行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ゆおた	おつ煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	桜田紅	おいしい煮玉子	
4	00:00:00	パンセポンセ	おいしい煮玉子	
5	00:00:00	つっちゃ!tv	美味しい煮玉子	
6	00:00:00	スモーク	おいしい煮玉子	
7	00:00:00	raptor 1843	おいしい煮玉子	
8	00:00:00	ゆおた	おいしい煮玉子	
9	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
10	00:00:13	Redmix	おいしい煮玉子	
11	00:00:14	ああ	おいしい煮玉子	
12	00:00:17	motiyomogi	おいしい煮玉子わよ	
13	00:00:19	にけい	おいしい煮玉子	
14	00:00:23	Ryo Kamiya	おいしい煮玉子	
15	00:00:24	sio3go	おいしい煮玉子	
16	00:00:25	ナウ	おいしい煮玉子	
17	00:00:32	ジャック・オー	おいしい煮玉子	
18	00:00:32	らうらう	おいしい煮玉子やで	
19	00:00:34	eve	おいしい煮玉子	
20	00:00:42	らうらう	え？	
21	00:00:42	ナウ	ゲスト！？	
22	00:00:44	motiyomogi	ゲスト！？	
23	00:00:45	マイフェイバリットトリビアン	！	
24	00:00:45	リフェ	ゲスト？	
25	00:00:51	スモーク	え？	
26	00:00:52	にけい	聞こえてない	
27	00:00:52	桜田紅	ゲスト！？	
28	00:00:53	助六	おいしい煮玉子	
29	00:00:53	パンセポンセ	ゲスト？	
30	00:00:54	eve	え！？	
31	00:00:56	JUNY	おいしい煮玉子	
32	00:00:57	Kei H	wako	
33	00:00:58	らうらう	え？！！？！！？！	
34	00:01:07	Redmix	？	
35	00:01:09	らうらう	きこえない	
36	00:01:14	motiyomogi	聞こえない	
37	00:01:15	ナウ	一体誰なんだ・・・	
38	00:01:20	にけい	まだ喋ってない？	
39	00:01:22	raptor 1843	姉ちゃんの声だけ	
40	00:01:22	つっちゃ!tv	きこえてる	
41	00:01:25	ヘンリーダーガー	姉ちゃんの声は聞こえるよ	
42	00:01:28	ナウ	ゲストの声はまだなのでは？	
43	00:01:36	motiyomogi	草	
44	00:01:37	らうらう	ｗｗｗｗｗｗｗｗｗｗ	
45	00:01:39	raptor 1843	？	
46	00:01:40	Ryo Kamiya	草	
47	00:01:41	スモーク	お、おう	
48	00:01:42	eve	草	
49	00:01:42	マイフェイバリットトリビアン	大物ゲストだ	
50	00:01:42	パンセポンセ	草	
51	00:01:42	リフェ	草	
