行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
1	00:00:00	ジャック・オー	おいしい煮玉子	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	えび	おいしい煮玉子	
4	00:00:00	パンセポンセ	おいしい煮玉子	
5	00:00:00	近藤亮	おいしい煮玉子	
6	00:00:00	むむめめ	おいしい煮玉子	
7	00:00:00	リフェ	おいしい煮玉子	
8	00:00:00	ゆおた	おいしい煮玉子	
9	00:00:00	D W	おいしい煮玉子	
10	00:00:00	天然ステルス	おいしい煮玉子	
11	00:00:00	桜田紅	おいしい煮玉子	
12	00:00:00	カギカギ	おいしい煮玉子	
13	00:00:00	いぶきんぐ	おいしい煮玉子	
14	00:00:00	x 7up	おいしい煮玉子～	
15	00:00:00	たびびと	おいしい煮玉子	
16	00:00:00	スモーク	おいしい煮玉子	
17	00:00:00	防人	おいしい煮玉子	
18	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
19	00:00:00	JUNY	おいしい煮玉子	
20	00:00:00	うぇいのる	おいしい煮玉子	
21	00:00:00	_ Die	おいしい煮玉子	
22	00:00:00	小さい胡麻塩	おいしい煮玉子	
23	00:00:09	Garden	​おいしい煮玉子	
24	00:00:15	seafood	おいしい煮玉子	
25	00:00:16	ジョナサン・グレーン	おいしい煮玉子	
26	00:00:16	御早和杯	おいしい煮玉子	
27	00:00:16	ゆおた	おいしい煮玉子	
28	00:00:17	sio3go	おいしい煮玉子	
29	00:00:18	パンセポンセ	おいしい煮玉子	
30	00:00:20	motiyomogi	おいしい煮玉子	
31	00:00:21	マイフェイバリットトリビアン	おいしい煮玉子	
32	00:00:25	えび	おいしい煮玉子	
33	00:00:26	JUNY	開幕時間の感覚狂っとるわ	
34	00:00:27	Ryo Kamiya	おいしい煮玉子	
35	00:00:27	究極ド根性ダイコン	かわいい	
36	00:00:29	天然ステルス	おいしい煮玉子	
37	00:00:30	らうらう	かわいい	
38	00:00:31	motiyomogi	かわいい	
39	00:00:31	ジョナサン・グレーン	かわいい	
40	00:00:35	リフェ	かわいい	
41	00:00:35	ジャック・オー	おいしい煮玉子	
42	00:00:35	いぶきんぐ	かわいい	
43	00:00:36	べるべる	おいしい煮玉子	
44	00:00:36	はぶじょうじ	おいしい煮卵	
45	00:00:37	x 7up	かわいい	
46	00:00:39	Shota Hamada	おいしい煮玉子	
47	00:00:39	もっけい	お煮玉	
48	00:00:40	近藤亮	かわいい	
49	00:00:41	マイフェイバリットトリビアン	かわいい	
50	00:00:41	Ryo Kamiya	かわいい	
51	00:00:42	seafood	かわいい	
52	00:00:42	スモーク	かわいいやさしい	
53	00:00:43	にけい	やったー	
54	00:00:44	せせらぎ	かわいい	
55	00:00:44	桜田紅	かわいい	
56	00:00:44	小さい胡麻塩	かわいい	
57	00:00:45	らうらう	​かわいい	
58	00:00:45	ヘンリーダーガー	かわいい	
