行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ゆおた	神は言われた、「アイカツあれ」こうして、アイカツがあった。神はアイカツを見て、良しとされた。	
1	00:00:00	いりこん	アイカツ!アイカツ!アイカツ!アイカツ!	
2	00:00:00	グエス -VEx Gues Ch-	待機待機・・・	
3	00:00:00	東京コノハムシ	アイカツフレンズヲミロ	
4	00:00:00	ゆおた	？？？「アイカツは5京点入る」	
5	00:00:00	岸辺一徳	おいしい煮玉子	
6	00:00:00	ねこくーる	サムネのタイトル手書きなのかな	
7	00:00:00	なんたら	no radio	
8	00:00:00	らうらう	あかふんれず	
9	00:00:00	周恩来	待機	
10	00:00:00	刀水橋	ダチョウの煮玉子	
11	00:00:00	じょーげん	おいしい煮玉子	
12	00:00:00	チキン肉なし	ダチョウの煮玉子	
13	00:00:00	ブロア	おいしい煮玉子	
14	00:00:00	T.のかね	おいたま	
15	00:00:00	ジャック・オー	恋しい煮玉子	
16	00:00:00	白鳥天羽【バーチャル百合お嬢様】	おいしい煮玉子	
17	00:00:00	空気	おいしい煮玉子	
18	00:00:00	ヌルヌペペ	おいしい煮玉子	
19	00:00:00	あい	おいしい煮玉子	
20	00:00:00	近藤亮	おいしい煮玉子	
21	00:00:00	周恩来	おいしい煮玉子	
22	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
23	00:00:00	らうらう	おいしい煮玉子	
24	00:00:00	岸辺一徳	緊張で胸が痛くなってきた	
25	00:00:00	sio3go	おいしい煮玉子	
26	00:00:00	Ryo Kamiya	おいしい煮玉子	
27	00:00:00	周恩来	ドキドキしてきた	
28	00:00:00	東京コノハムシ	おいしい煮玉子	
29	00:00:00	毒入りトマト	おいしい煮玉子	
30	00:00:00	スモーク	おいたま！	
31	00:00:01	なんたら	おいしい煮玉子	
32	00:00:02	borzowton	初見。アイカツ好きなので見に来ました。	
33	00:00:08	究極ド根性ダイコン	始まった	
34	00:00:08	岸辺一徳	おいしい煮玉子	
35	00:00:08	タケノコ男	おいしい煮玉子	
36	00:00:12	mori mori	わーわー	
37	00:00:15	ヌルヌペペ	きた	
38	00:00:17	まりん	こんばんはー！	
39	00:00:20	白鳥天羽【バーチャル百合お嬢様】	始まった！	
40	00:00:20	毒入りトマト	始まったああああ！	
41	00:00:20	村瀬名ロネツネ	おいしい煮玉子	
42	00:00:23	いぶきんぐ	おいしい煮玉子	
43	00:00:24	らうらう	よし←かわいい	
44	00:00:24	勇敢マダム	ﾊｼﾞﾏｯﾀｰｰｰ	
45	00:00:25	あい	おいしい煮玉子	
46	00:00:25	周恩来	おいしい煮玉子	
47	00:00:26	れい	こんばんわ。	
48	00:00:26	しろいぬ	おいしい煮玉子	
49	00:00:27	東京コノハムシ	はじまった	
50	00:00:27	のどあめ	わーわー	
51	00:00:27	お勤めサラダ	こんばんはぁー！	
52	00:00:28	T.のかね	おいしい煮玉子！！	
53	00:00:28	周恩来	！？	
54	00:00:31	mori mori	かわいい	
55	00:00:32	らうらう	！？！？	
56	00:00:32	常盤台メイちゃんねる	こんばんはー！	
57	00:00:33	グエス -VEx Gues Ch-	きたか・・・！	
58	00:00:35	じょーげん	おいしい煮玉子	
59	00:00:36	ゴギガガガギゴ	おもむろOP	
60	00:00:37	ブロア	かわいい	
61	00:00:37	究極ド根性ダイコン	かわいい	
62	00:00:37	岸辺一徳	！？	
63	00:00:38	タケノコ男	かわいい	
64	00:00:38	ゆおた	おうた	
65	00:00:40	周恩来	かわいい	
66	00:00:40	いぶきんぐ	いきなりかわいい	
67	00:00:40	スモーク	草	
68	00:00:40	T.のかね	！？	
69	00:00:41	勇敢マダム	ﾃﾚﾃﾚﾃﾃﾃﾃ	
70	00:00:41	U極/ゆーきょく	おいしい煮玉子	
71	00:00:41	GOVRIN BOON	一期の変身BGMだ！	
72	00:00:41	のどあめ	姉ちゃん！？	
73	00:00:42	hibisティオレー	！？	
74	00:00:43	東京コノハムシ	かわいい	
75	00:00:44	ヌルヌペペ	！？	
76	00:00:44	あい	かわいい	
77	00:00:44	白鳥天羽【バーチャル百合お嬢様】	かわいい	
78	00:00:44	Ryo Kamiya	かわいい	
79	00:00:45	しょうが焼き定食	ﾖｯｼｬｲｸｿﾞｰ‼	
80	00:00:45	おりはた	かわいい	
81	00:00:00	ゆおた	神は言われた、「アイカツあれ」こうして、アイカツがあった。神はアイカツを見て、良しとされた。	
82	00:00:00	いりこん	アイカツ!アイカツ!アイカツ!アイカツ!	
83	00:00:00	グエス -VEx Gues Ch-	待機待機・・・	
84	00:00:00	東京コノハムシ	アイカツフレンズヲミロ	
85	00:00:00	ゆおた	？？？「アイカツは5京点入る」	
86	00:00:00	岸辺一徳	おいしい煮玉子	
87	00:00:00	ねこくーる	サムネのタイトル手書きなのかな	
88	00:00:00	なんたら	no radio	
89	00:00:00	らうらう	あかふんれず	
90	00:00:00	周恩来	待機	
91	00:00:00	刀水橋	ダチョウの煮玉子	
92	00:00:00	じょーげん	おいしい煮玉子	
93	00:00:00	チキン肉なし	ダチョウの煮玉子	
94	00:00:00	ブロア	おいしい煮玉子	
95	00:00:00	T.のかね	おいたま	
96	00:00:00	ジャック・オー	恋しい煮玉子	
97	00:00:00	白鳥天羽【バーチャル百合お嬢様】	おいしい煮玉子	
98	00:00:00	空気	おいしい煮玉子	
99	00:00:00	ヌルヌペペ	おいしい煮玉子	
100	00:00:00	あい	おいしい煮玉子	
101	00:00:00	近藤亮	おいしい煮玉子	
102	00:00:00	周恩来	おいしい煮玉子	
103	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
104	00:00:00	らうらう	おいしい煮玉子	
105	00:00:00	岸辺一徳	緊張で胸が痛くなってきた	
106	00:00:00	sio3go	おいしい煮玉子	
107	00:00:00	Ryo Kamiya	おいしい煮玉子	
108	00:00:00	周恩来	ドキドキしてきた	
109	00:00:00	東京コノハムシ	おいしい煮玉子	
110	00:00:00	毒入りトマト	おいしい煮玉子	
111	00:00:00	スモーク	おいたま！	
112	00:00:01	なんたら	おいしい煮玉子	
113	00:00:02	borzowton	初見。アイカツ好きなので見に来ました。	
114	00:00:08	究極ド根性ダイコン	始まった	
115	00:00:08	岸辺一徳	おいしい煮玉子	
116	00:00:08	タケノコ男	おいしい煮玉子	
117	00:00:12	mori mori	わーわー	
118	00:00:15	ヌルヌペペ	きた	
119	00:00:17	まりん	こんばんはー！	
120	00:00:20	毒入りトマト	始まったああああ！	
121	00:00:20	村瀬名ロネツネ	おいしい煮玉子	
122	00:00:23	いぶきんぐ	おいしい煮玉子	
123	00:00:24	勇敢マダム	ﾊｼﾞﾏｯﾀｰｰｰ	
124	00:00:25	あい	おいしい煮玉子	
125	00:00:25	周恩来	おいしい煮玉子	
126	00:00:26	しろいぬ	おいしい煮玉子	
127	00:00:27	東京コノハムシ	はじまった	
128	00:00:27	のどあめ	わーわー	
129	00:00:27	お勤めサラダ	こんばんはぁー！	
130	00:00:28	T.のかね	おいしい煮玉子！！	
131	00:00:28	周恩来	！？	
132	00:00:31	mori mori	かわいい	
133	00:00:32	らうらう	！？！？	
134	00:00:32	常盤台メイちゃんねる	こんばんはー！	
135	00:00:33	グエス -VEx Gues Ch-	きたか・・・！	
136	00:00:35	じょーげん	おいしい煮玉子	
137	00:00:36	ゴギガガガギゴ	おもむろOP	
138	00:00:37	ブロア	かわいい	
139	00:00:37	究極ド根性ダイコン	かわいい	
140	00:00:37	岸辺一徳	！？	
141	00:00:38	タケノコ男	かわいい	
142	00:00:38	ゆおた	おうた	
143	00:00:40	周恩来	かわいい	
144	00:00:40	いぶきんぐ	いきなりかわいい	
145	00:00:40	スモーク	草	
146	00:00:40	T.のかね	！？	
147	00:00:41	勇敢マダム	ﾃﾚﾃﾚﾃﾃﾃﾃ	
148	00:00:41	U極/ゆーきょく	おいしい煮玉子	
149	00:00:41	GOVRIN BOON	一期の変身BGMだ！	
150	00:00:42	hibisティオレー	！？	
151	00:00:43	東京コノハムシ	かわいい	
152	00:00:44	ヌルヌペペ	！？	
153	00:00:44	あい	かわいい	
154	00:00:44	白鳥天羽【バーチャル百合お嬢様】	かわいい	
155	00:00:44	Ryo Kamiya	かわいい	
156	00:00:45	しょうが焼き定食	ﾖｯｼｬｲｸｿﾞｰ‼	
157	00:00:45	おりはた	かわいい	
158	00:00:46	ほるもん	おいしい煮玉子	
159	00:00:47	じょーげん	……！？	
160	00:00:47	村瀬名ロネツネ	芸能人はカードが命	
161	00:00:49	あてにこころ	かわいい	
162	00:00:50	太田の民	おいしい煮玉子	
163	00:00:54	チキン肉なし	おうたかわいい！高評価！	
164	00:00:55	勇敢マダム	てぇてぇてぇえええ	
165	00:00:56	周恩来	かわいい	
166	00:01:02	岸辺一徳	かわいい	
167	00:01:03	mori mori	いつまで歌うねーん	
168	00:01:04	魂鬼[たまき]	メンツが濃い	
169	00:01:04	いぶきんぐ	ててててー	
170	00:01:08	なんたら	開幕から飛ばしてるな…	
171	00:01:08	近藤亮	かわいい	
172	00:01:09	常盤台メイちゃんねる	かわいい	
173	00:01:11	狐のみーちゃんねる	カードの音聞こえる	
174	00:01:13	オオサキユリ	かわいい	
175	00:01:15	東京コノハムシ	かわいい	
176	00:01:16	じょーげん	草	
177	00:01:16	白鳥天羽【バーチャル百合お嬢様】	草	
178	00:01:16	岸辺一徳	88888888888	
179	00:01:17	毒入りトマト	おおおおおおおおおおおお	
180	00:01:18	蒼井時雨	草	
181	00:01:18	らうらう	かわいい	
182	00:01:19	箱神たから	88888888888	
183	00:01:19	mori mori	草	
184	00:01:20	しろいぬ	かわいい	
185	00:01:22	真新八	おいしい煮玉子^~	
186	00:01:23	いぶきんぐ	でゅわんでゅわんでゅわん	
187	00:01:23	T.のかね	草	
188	00:01:24	グエス -VEx Gues Ch-	草	
189	00:01:24	究極ド根性ダイコン	かわいい	
190	00:01:24	タケノコ男	かわいい	
191	00:01:25	tio pepe	かわいい	
192	00:01:25	あてにこころ	凝ってんなあ！	
193	00:01:27	おりはた	草	
194	00:01:27	勇敢マダム	ぎゅうぎゅうに座っとる	
195	00:01:28	スモーク	テンション高いな…	
196	00:01:29	周恩来	姉ちゃんの後ろ姿だー！	
197	00:01:30	biki koto	おいしい煮卵	
198	00:01:32	まりん	かわいい	
199	00:01:33	ゴギガガガギゴ	凝っとる	
200	00:01:33	Shota Hamada	おいしい煮玉子	
201	00:01:34	らうらう	おいしい煮玉子	
202	00:01:35	チキン肉なし	ラジオ形式だ！すごい！高評価！	
203	00:01:36	ニシキゴイ	豪華メンバーだ	
204	00:01:36	周恩来	わーわーわー	
205	00:01:36	毒入りトマト	楽しみ	
206	00:01:36	ジャック・オー	おおう、凝ってんねぇ！	
207	00:01:36	常盤台メイちゃんねる	こんばんはー！	
208	00:01:38	東京コノハムシ	素敵なアングル	
209	00:01:38	T.のかね	しゅごい…	
210	00:01:40	らうらう	すごいう！！！！！！	
211	00:01:40	borzowton	アイカツじゃー	
212	00:01:41	究極ド根性ダイコン	深雪ちゃんめっちゃ狭そう	
213	00:01:41	いぶきんぐ	大丈夫だよ	
214	00:01:41	岸辺一徳	著作権に優しい！高評価！	
215	00:01:42	あい	すごい！	
216	00:01:42	Fuzuki K	割れかけの煮玉子	
217	00:01:43	tio pepe	面接会場みたいですね	
218	00:01:45	U極/ゆーきょく	わーわー	
219	00:01:45	蒼井時雨	おいたま	
220	00:01:47	刀水橋	すごい	
221	00:01:47	たんこぶ	こんばんはー！！	
222	00:01:48	周恩来	がんばれー！	
223	00:01:53	常盤台メイちゃんねる	すごい	
224	00:01:55	プラスワン	おいたまー！	
225	00:01:55	エリンギ	おかお見えない	
226	00:01:55	じょーげん	なんだこの角度！！	
227	00:01:58	いぶきんぐ	ワイプいいなぁ	
228	00:01:58	mori mori	珍しい姉ちゃんの後ろ姿だ！	
229	00:02:01	だるま屋 楓	初見です、こんばんわー	
230	00:02:02	チキン肉なし	ばんたま	
231	00:02:04	BlueGran	すごい	
232	00:02:05	はまちハウマッチ	おいしい煮玉子	
233	00:02:09	TR NG	こんばんは	
234	00:02:11	こみこ	おいしい煮玉子	
235	00:02:13	プラスワン	がんばれー	
236	00:02:16	岸辺一徳	あせってる！かわいい！	
237	00:02:16	ジャック・オー	姉ちゃんの後頭部かわいい	
238	00:02:18	ヌルヌペペ	姉ちゃん台本読んでる？	
239	00:02:19	Fuzuki K	姉ちゃんの後ろ姿じゃん！	
240	00:02:20	タケノコ男	がんばえー	
241	00:02:21	borzowton	いちごちゃん大好きじゃぁ……	
242	00:02:21	PPP	がんばえ～	
243	00:02:22	おりはた	こんばんは	
244	00:02:22	Shota Hamada	かわいい	
245	00:02:23	biki koto	最近だな！	
246	00:02:23	毒入りトマト	がんばえー	
247	00:02:24	空気	本格的だ…	
248	00:02:26	はまちハウマッチ	画面めっちゃ凝ってる！	
249	00:02:26	東京コノハムシ	がんばれ！	
250	00:02:26	たんこぶ	がんばれー！！！	
251	00:02:26	狐薊桐	ちょうど今週の放送でシリーズ300話なんだよな	
252	00:02:29	U極/ゆーきょく	ワイプあるのか	
253	00:02:30	竹輪	おいたま！姉ちゃんがんばえー！	
254	00:02:31	プラスワン	おいしい煮玉子	
255	00:02:34	あてにこころ	へ〜とっても面白そうだね！	
256	00:02:34	周恩来	姉ちゃんがテンパってる！かわいい！	
257	00:02:36	ナウ	姉ちゃん特有の事前調査いいぞー	
258	00:02:37	らうらう	かわいい	
259	00:02:37	らどりみ	こんばんはー	
260	00:02:41	_たっきゅー	よし	
261	00:02:42	ヌルヌペペ	なってるよ	
262	00:02:42	なんたら	なってる	
263	00:02:42	Shota Hamada	ロゴがかわいい	
264	00:02:42	岸辺一徳	なってるよ	
265	00:02:44	Fuzuki K	台本書いてきてる！ 高評価！	
266	00:02:44	biki koto	カンペよみよみ	
267	00:02:44	東京コノハムシ	なってる	
268	00:02:44	mori mori	台本用意してる姉ちゃんえらい	
269	00:02:45	スモーク	なってるなってる	
270	00:02:45	hibisティオレー	鳴ってるよー	
271	00:02:46	T.のかね	なっとるよ	
272	00:02:46	タケノコ男	鳴ってる	
273	00:02:54	毒入りトマト	300話も行ってるのか	
274	00:03:01	Fuzuki K	あいうえお順なの！？	
275	00:03:03	らうらう	この視点？構図？いいな	
276	00:03:07	ナウ	煮玉子のクゥ！	
277	00:03:08	ブロア	おいしい煮玉子	
278	00:03:09	佐藤仁	かわいい	
279	00:03:09	あい	姉ちゃん！	
280	00:03:12	岸辺一徳	クゥ！	
281	00:03:13	らうらう	姉ちゃん！！！	
282	00:03:13	mori mori	姉ちゃん！	
283	00:03:14	はまちハウマッチ	自己紹介すき	
284	00:03:14	チキン肉なし	クゥ姉	
285	00:03:14	Sea Sting	姉ちゃん！	
286	00:03:15	東京コノハムシ	姉ちゃん	
287	00:03:16	シロクマ蓚一	クゥ姉ちゃん！	
288	00:03:17	竹輪	わかったよ姉ちゃん！	
289	00:03:19	たんこぶ	クゥちゃーん！！！！！！	
290	00:03:19	周恩来	姉ちゃんの自己紹介久しぶりに聞いた	
291	00:03:20	ゴギガガガギゴ	クゥって呼んでね！（呼ばれない）	
292	00:03:21	いぶきんぐ	わかったよ姉ちゃん	
293	00:03:24	佐藤仁	姉ちゃんかわいい	
294	00:03:24	ナウ	イキっていけー	
295	00:03:24	タケノコ男	姉ちゃん！	
296	00:03:26	こみこ	イキリ姉ちゃん	
297	00:03:26	あてにこころ	はーい！	
298	00:03:27	なんたら	生きれる	
299	00:03:29	HILO	クゥって呼びます	
300	00:03:31	Fuzuki K	高峰さんの視線が妙で面白いな……	
301	00:03:32	常盤台メイちゃんねる	リアタイはつよい	
302	00:03:33	Shota Hamada	姉ちゃんのうしろのスペース広すぎない？	
303	00:03:35	究極ド根性ダイコン	イキリ姉ちゃん	
