行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	カツキ	たまには遅刻も致し方無し	
1	00:00:00	MY k	遅刻する所初めて見た	
2	00:00:00	ulura _777	ミソ…ミソ…	
3	00:00:00	こみこ	私はミソシタ 私はミソシタ	
4	00:00:00	もふ	よし、まだ20時じゃないな！	
5	00:00:00	鼻毛の錬金術師	ミソ…ミソ…	
6	00:00:00	サラダラサ	RealじゃないがFakeでもない	
7	00:00:00	tage	バーチャル20時はまだきてない	
8	00:00:00	桜日ハル	遅刻した時の若干焦り気味のクゥ姉様かわいい	
9	00:00:00	りあすて	20時はリアルな奴の概念	
10	00:00:00	ヘンリーダーガー	姉ちゃんが時間通りに始めたところ見たことない…なくない？	
11	00:00:00	こみこ	バーチャルだから自由 開始時間も自由	
12	00:00:00	らうらう	ミソシタ待機	
13	00:00:00	周恩来	日本時間じゃないからセーフ	
14	00:00:00	周恩来	ミソ…ミソ…	
15	00:00:00	ulura _777	シタ…シタ…	
16	00:00:00	MY k	バーチャルだからな	
17	00:00:00	EEB	ミソシタって有名なの？	
18	00:00:00	ヘンリーダーガー	姉ちゃんの彼氏だよ	
19	00:00:00	せせらぎ	もしかしたら私は自分のことをミソシタだと思っているだけではないのだろうか	
20	00:00:00	じょーげん	闇の中で流行ってる	
21	00:00:00	らうらう	ミソクゥ、相思相愛、闇の中で流行ってる	
22	00:00:00	にか	私はミソシ␣タ。	
23	00:00:00	究極ド根性ダイコン	今朝クソした クソした	
24	00:00:00	桜日ハル	待つ間少しミソシタみてきましょ...	
25	00:00:00	鼻毛の錬金術師	始まる時間はミソシタに聞きなさい	
26	00:00:00	ついたち	ミソシタに聞きなさい？誰、それ？何言ってんだか、意味わかんない	
27	00:00:00	プレコ	ミソ…ミソ… シタ…シタ…	
28	00:00:00	クゥの部屋 Ch	はじまるざますよ	
29	00:00:00	水もの	！？	
30	00:00:00	ついたち	いくでがんす	
31	00:00:00	究極ド根性ダイコン	行くでガンス	
32	00:00:00	むらさきあんこ	いくでがんす	
33	00:00:00	tage	ふんがー！	
34	00:00:00	カツキ	ふんがー	
35	00:00:00	イルヴァ	フンガー	
36	00:00:00	met	ふんがー	
37	00:00:00	こみこ	まともにハジメなさいよ！	
38	00:00:00	MY k	ふんがー	
39	00:00:00	ゴギガガガギゴ	まともに始めなさいよ！	
40	00:00:00	竹輪	まともにはじめなさいよ！	
41	00:00:00	プレコ	ミソ☆シタ が始まってしまう	
42	00:00:00	周恩来	みそ☆した	
43	00:00:00	ついたち	みそ☆すた	
44	00:00:00	アリス		￥100
45	00:00:00	Garden		￥100
46	00:00:00	nendoki		￥100
47	00:00:13	こみこ	でかい	
48	00:00:13	サラダラサ	お	
49	00:00:18	周恩来	こんばんは	
50	00:00:20	Loki GH	きたーー	
51	00:00:24	カツキ	こんばんは！	
52	00:00:24	ulura _777	待ってた	
53	00:00:25	ヘンリーダーガー	こんばんは！	
54	00:00:28	竹輪	姉ちゃんこんばんわ	
55	00:00:29	たぬたぬ	こんばんはー	
56	00:00:29	Roy F.	神ゲー	
57	00:00:30	りこった	こんばんはー！！！！！！！！！！	
58	00:00:30	せせらぎ	きこえた	
59	00:00:31	_ Die	こんばんはー	
60	00:00:31	Loki GH	こんばんわー	
61	00:00:31	ついたち	ばんわ	
62	00:00:33	MY k	こんばんわ	
63	00:00:33	サモン	こんばんはー	
64	00:00:34	えちる	もしもしこんばんは	
65	00:00:35	タケノコ男	こんばんは	
66	00:00:35	tage	こんばんは！	
67	00:00:36	ナウ	こんばんは	
68	00:00:40	EEB	こんばんわー	
69	00:00:40	アリス	姉ちゃんのかわいいお声が聞こえる	
70	00:00:42	met	こんばんは	
71	00:00:43	Garden	こん	
72	00:00:46	ミワタリ	こんばんは	
73	00:00:46	Kコムギ	こんばんは	
74	00:00:46	プレコ	こんばんわー	
75	00:00:48	猫神楽	こんばんは姉ちゃん	
76	00:00:53	夕月	こんばんはー！	
77	00:00:54	いぬ	こんばんはー	
78	00:00:54	心の字	見届けにきたぜ！	
79	00:00:55	ulura _777	こんばんは	
80	00:00:56	鼻毛の錬金術師	こんばんは！	
81	00:00:58	ふかひれ	こんばんはー	
