行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ぴねかっと	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	motiyomogi	おいしい煮玉子	
3	00:00:00	天然ステルス	おいしい煮玉子	
4	00:00:00	スモーク	おいたま！	
5	00:00:00	ヌルヌペペ	おいしい煮玉子	
6	00:00:00	クロム	おいしい煮玉子	
7	00:00:00	らうらう	꧁꧂クゥの部屋꧁꧂ を待っています になってない・・・	
8	00:00:08	佐藤太郎	よし	
9	00:00:15	クロム	きた	
10	00:00:17	らうらう	​おいしい煮玉子	
11	00:00:19	なんたら	かわいい	
12	00:00:21	motiyomogi	おいしい煮玉子	
13	00:00:26	ぴねかっと	おいしい煮玉子	
14	00:00:26	たんこぶ	こんばんはー	
15	00:00:29	mori mori	おいしい	
16	00:00:31	佐藤太郎	こんばんは	
17	00:00:32	岸辺一徳	おいしい煮玉子	
18	00:00:32	天然ステルス	おいしい煮玉子	
19	00:00:33	桜田紅	おいしい煮玉子	
20	00:00:36	リフェ	おいしい煮玉子	
21	00:00:43	にけい	おいしい煮玉子	
22	00:00:52	センギ	おいたま〜	
23	00:00:59	愛と沈黙	おいしい煮玉子	
24	00:01:06	あい	おいしい煮玉子	
25	00:01:06	T.のかね	おいしい煮玉子	
26	00:01:20	なんたら	あるある	
27	00:01:29	クイニーのいえ	おいしい煮玉子	
28	00:01:31	らうらう	良いんじゃん別に	
29	00:01:33	eve	おいしい煮玉子	
30	00:01:37	タケノコ男	おいしい煮玉子	
31	00:01:48	_ Die	おいしい煮玉子	
32	00:01:48	mori mori	人としての尊厳と引き換えにいっぱい貰えるよ	
33	00:01:51	なんたら	アンケート書かされるぞ	
34	00:01:59	せせらぎ	来た以上は帰すわけにはいかねぇ！	
35	00:02:08	T.のかね	ポーズだけでも取ろうよ…	
36	00:02:08	FFDD	​おいしい煮玉子	
37	00:02:28	BDUパイソン	こんばんは～	
38	00:02:35	らうらう	JCがいっても何だこいつって思われるだけでは？	
39	00:02:38	にけい	個人情報と引き換えだと思う	
40	00:02:50	ジョナサン・グレーン	こわ…	
41	00:02:56	rM233g	こんばんは	
42	00:02:59	カギアカギ	おいしい煮玉子	
43	00:03:01	八木谷	おいしい煮玉子	
44	00:03:01	スモーク	展示会とかやってるとみやげだけもらいにくる人いる…	
45	00:03:03	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
46	00:03:05	いぶきんぐ	おいしい煮玉子	
47	00:03:07	motiyomogi	結婚式場の試食会とかもあるよね	
48	00:03:07	天然ステルス	経営者のお誘い電話がいっぱい来ることになるよ	
49	00:03:12	Eトマト	おいしい煮玉子！	
50	00:03:19	ねこくーる	おいしい煮玉子	
51	00:03:20	岸辺一徳	たしかにいそうではある	
52	00:03:33	らうらう	そこまで貧窮してるとは・・・	
