行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	たびびと	待機	
1	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
2	00:00:00	ミワタリ	おいしい煮玉子	
3	00:00:00	通り縋りのRPGマニア	待機|w・)実はアルカードの初登場作品は「前奏曲」で妹にあたるソフィァ・ベルモンドに敗れ、その後は悪魔城にヘクターが来る少し前まで眠っていた	
4	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	たびびと	おいしい煮玉子	
7	00:00:00	桜田紅	おいしい煮玉子	
8	00:00:00	パンセポンセ	おいしい煮玉子	
9	00:00:00	竹輪	おいしい煮玉子	
10	00:00:00	リフェ	おいしい煮玉子	
11	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
12	00:00:00	通り縋りのRPGマニア	…しかしヘクターって誰だろう？|w・)超期待()	
13	00:00:00	ヤマタノオロチ	おいしい煮玉子	
14	00:00:00	スモーク	おいしい煮玉子	
15	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
16	00:00:00	しれちゅー	おいしい煮玉子	
17	00:00:00	らうらう	遅刻ゥ	
18	00:00:00	りあすて	おいしい煮玉子	
19	00:00:00	sas b	おいしい煮玉子	
20	00:00:00	ゼッケン100	おいしい煮玉子	
21	00:00:00	小さい胡麻塩	おいしい煮玉子	
22	00:00:11	むむめめ	おいしい煮玉子	
23	00:00:16	らうらう	おいしい煮玉子	
24	00:00:17	sio3go	​おいしい煮玉子	
25	00:00:17	motiyomogi	おいしい煮玉子	
26	00:00:19	のねずみ	おいしい煮玉子	
27	00:00:20	Ryo Kamiya	おいしい煮玉子	
28	00:00:21	ホワイトラン衛兵	おいしい煮玉子	
29	00:00:21	リフェ	おいしい煮玉子	
30	00:00:22	ナウ	おいしい煮玉子	
31	00:00:22	seafood	おいしい煮玉子	
32	00:00:26	パンセポンセ	おいしい煮玉子	
33	00:00:27	たびびと	おいしい煮玉子	
34	00:00:27	JUNY	おいしい煮玉子	
35	00:00:30	ユキイチゴ	おいしい煮玉子	
36	00:00:33	小さい胡麻塩	おいしい煮玉子	
37	00:00:39	motiyomogi	ニューロン君しなないで	
38	00:00:39	Redmix	おいしい煮玉子	
39	00:00:40	ロンドベルジェニ	おいしい煮玉子	
40	00:00:44	通り縋りのRPGマニア	おいしい煮玉子	
41	00:00:45	らうらう	調子悪いの多い	
42	00:00:50	クロムア	にゅーろんくん・・・	
43	00:00:51	岸辺一徳	おいしい煮玉子	
44	00:00:53	リフェ	ニューロンがんばって…	
45	00:01:02	ジャック・オー	おいしい煮玉子	
46	00:01:04	aa aa	おいしい煮玉子	
47	00:01:07	Tachyon タキオン	おいしい煮玉子	
48	00:01:18	Johnny Lattarulo	TAKUYAAAAAAAAAAAAAAAAA HELLOOOOOOOOOO!!! ❤❤❤❤❤❤❤	
49	00:01:21	タケノコ男	おいしい煮玉子	
50	00:01:21	aa aa	ニューロン・・・お前と戦いたかった…	
51	00:01:27	八木谷	おいしい煮玉子	
52	00:01:31	ミワタリ	おいしい煮玉子	
53	00:01:34	らうらう	草	
54	00:01:36	motiyomogi	cute	
55	00:01:38	JUNY	過酷な耐久配信の結果…	
56	00:01:42	タケノコ男	cute	
57	00:01:52	aa aa	これからはニューロン枕として余生を過ごすのか…	
58	00:01:53	らうらう	NEURONもそろそろかなあ	
59	00:01:58	八木谷	さすがに限界が	
60	00:02:00	Johnny Lattarulo	cute!!	
61	00:02:03	ミワタリ	ついていけなくなった…	
62	00:02:28	りあすて	neuronくんお疲れさま・・・	
63	00:03:45	aa aa	スライド姉ちゃん	
64	00:03:46	ナウ	スライド姉ちゃん	
65	00:03:46	ユキイチゴ	姉ちゃんスライド	
66	00:03:55	ホワイトラン衛兵	ｽｯ	
67	00:03:56	ゼッケン100	そんなに	
68	00:03:57	Johnny Lattarulo	but Takuya is a girl? I mean from name?	
69	00:04:00	らうらう	値上げしちゃったNEURONくん	
70	00:04:02	motiyomogi	かわいい	
71	00:04:03	らうらう	かわいい	
72	00:00:00	たびびと	待機	
73	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
74	00:00:00	ミワタリ	おいしい煮玉子	
75	00:00:00	通り縋りのRPGマニア	待機|w・)実はアルカードの初登場作品は「前奏曲」で妹にあたるソフィァ・ベルモンドに敗れ、その後は悪魔城にヘクターが来る少し前まで眠っていた	
76	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
77	00:00:00	らうらう	おいしい煮玉子	
78	00:00:00	たびびと	おいしい煮玉子	
79	00:00:00	桜田紅	おいしい煮玉子	
80	00:00:00	パンセポンセ	おいしい煮玉子	
81	00:00:00	竹輪	おいしい煮玉子	
82	00:00:00	リフェ	おいしい煮玉子	
83	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
84	00:00:00	通り縋りのRPGマニア	…しかしヘクターって誰だろう？|w・)超期待()	
85	00:00:00	ヤマタノオロチ	おいしい煮玉子	
86	00:00:00	スモーク	おいしい煮玉子	
87	00:00:00	通り縋りのRPGマニア	おいしい煮玉子	
88	00:00:00	しれちゅー	おいしい煮玉子	
89	00:00:00	らうらう	遅刻ゥ	
90	00:00:00	りあすて	おいしい煮玉子	
91	00:00:00	sas b	おいしい煮玉子	
92	00:00:00	ゼッケン100	おいしい煮玉子	
