行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	たびびと	おつたまー	
1	00:00:00	いたづらごっこ	​おつかれ煮玉子	
2	00:00:00	クレイジーキャッツマンチカン	おいしい煮玉子!	
3	00:00:00	クレイジーキャッツマンチカン	ビヤンカに会いたい!	
4	00:00:00	3K VC	おいしい煮玉子	
5	00:00:00	クレイジーキャッツマンチカン	ドラクエシリーズは、４から悲しい😢物語りが入ってきた	
6	00:00:00	たびびと	おいしい煮玉子	
7	00:00:00	小さい胡麻塩	おいしい煮玉子	
8	00:00:00	クレイジーキャッツマンチカン	おいしい煮玉子	
9	00:00:00	Shuzo	おいしい煮玉子	
10	00:00:00	らうらう	​おいしい煮玉子	
11	00:00:00	桜田紅	おいしい煮玉子	
12	00:00:00	パンセポンセ	おいしい煮玉子	
13	00:00:00	くりお	おいしい煮玉子	
14	00:00:00	むむめめ	おいしい煮玉子	
15	00:00:00	ふーばー	おいしい煮玉子	
16	00:00:00	クレイジーキャッツマンチカン	ちゃんと、ご飯食べた？	
17	00:00:00	いたづらごっこ	​おいしい煮玉子	
18	00:00:00	うぇいのる	おいしい煮玉子	
19	00:00:00	リフェ	おいしい煮玉子	
20	00:00:00	しれちゅー	おいしい煮玉子	
21	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
22	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
23	00:00:15	らうらう	​おいしい煮玉子	
24	00:00:15	にけい	おいしい煮玉子	
25	00:00:16	まりも	おいしい煮玉子	
26	00:00:16	べるべる	おいしい煮玉子	
27	00:00:17	カギカギ	おいしい煮玉子	
28	00:00:18	seafood	おいしい煮玉子	
29	00:00:18	小さい胡麻塩	おいしい煮玉子	
30	00:00:19	biggs	おいしい煮玉子	
31	00:00:20	しれちゅー	再開ツイートえらい	
32	00:00:21	ジャック・オー	おいしい煮玉子	
33	00:00:22	ああ	おいしい煮玉子	
34	00:00:22	リフェ	おいしい煮玉子	
35	00:00:23	sio3go	おいしい煮玉子	
36	00:00:25	ふーばー	おいしい煮玉子	
37	00:00:26	ホワイトラン衛兵	おいしい煮玉子	
38	00:00:27	らむね。	おいしい煮玉子	
39	00:00:28	パンセポンセ	おいしい煮玉子	
40	00:00:38	ss kk	おいしい煮玉子	
41	00:00:39	motiyomogi	おいしい煮玉子	
42	00:00:46	ナウ	おいしい煮玉子	
43	00:00:47	キタカシ	おいしい煮玉子ってなんですか・・・？	
44	00:00:58	らうらう	ろこもこどん！	
45	00:00:59	いぶきんぐ	おいしい煮玉子	
46	00:01:00	桜田紅	ロコモコ丼	
47	00:01:01	K. u	おいしい煮玉子	
48	00:01:02	パンセポンセ	おいしそう	
49	00:01:08	まりも	ロコモコ丼いいですね	
50	00:01:09	ジョナサン・グレーン	おいしそう	
51	00:01:10	motiyomogi	おいしいロコモコ丼	
52	00:01:13	ふーばー	ろこもこ	
53	00:01:15	しれちゅー	おいしいおいしい煮玉子	
54	00:01:18	K. u	強火？	
55	00:01:19	キタカシ	お湯から７分派です	
56	00:01:21	天然ステルス	おいしい煮玉子	
57	00:01:28	じょーげん	おいしい煮玉子	
58	00:01:28	クレイジーキャッツマンチカン	半熟がムズイ	
59	00:01:40	らうらう	沸騰後6:30派	
60	00:01:52	キタカシ	お湯から７分でも半熟だと思ってるから自ら７分はえぇ！？ってなった	
61	00:01:59	御早和杯	おいしい煮玉子	
62	00:02:04	ジャック・オー	何かと合わせるなら半熟、単品で食べるなら固ゆで派	
63	00:02:04	キタカシ	水から	
64	00:02:04	スモーク	おいしい煮玉子	
65	00:02:18	クレイジーキャッツマンチカン	電撃ネットワーク	
66	00:02:29	mori mori	メラミくらいかな	
67	00:02:37	まりも	わかる	
68	00:02:38	motiyomogi	たしかに	
69	00:02:39	ホワイトラン衛兵	わかる	
70	00:02:40	ジャック・オー	わかる	
71	00:02:42	mori mori	草	
72	00:02:46	ジョナサン・グレーン	わかる	
73	00:00:00	たびびと	おつたまー	
74	00:00:00	いたづらごっこ	​おつかれ煮玉子	
75	00:00:00	クレイジーキャッツマンチカン	おいしい煮玉子!	
76	00:00:00	クレイジーキャッツマンチカン	ビヤンカに会いたい!	
77	00:00:00	3K VC	おいしい煮玉子	
78	00:00:00	クレイジーキャッツマンチカン	ドラクエシリーズは、４から悲しい😢物語りが入ってきた	
79	00:00:00	たびびと	おいしい煮玉子	
80	00:00:00	小さい胡麻塩	おいしい煮玉子	
81	00:00:00	クレイジーキャッツマンチカン	おいしい煮玉子	
82	00:00:00	Shuzo	おいしい煮玉子	
83	00:00:00	らうらう	​おいしい煮玉子	
84	00:00:00	桜田紅	おいしい煮玉子	
85	00:00:00	パンセポンセ	おいしい煮玉子	
86	00:00:00	くりお	おいしい煮玉子	
87	00:00:00	むむめめ	おいしい煮玉子	
88	00:00:00	ふーばー	おいしい煮玉子	
89	00:00:00	クレイジーキャッツマンチカン	ちゃんと、ご飯食べた？	
90	00:00:00	いたづらごっこ	​おいしい煮玉子	
91	00:00:00	うぇいのる	おいしい煮玉子	
92	00:00:00	リフェ	おいしい煮玉子	
93	00:00:00	しれちゅー	おいしい煮玉子	
94	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
95	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
96	00:00:15	らうらう	​おいしい煮玉子	
97	00:00:15	にけい	おいしい煮玉子	
98	00:00:16	まりも	おいしい煮玉子	
99	00:00:16	べるべる	おいしい煮玉子	
100	00:00:17	カギカギ	おいしい煮玉子	
101	00:00:18	seafood	おいしい煮玉子	
102	00:00:18	小さい胡麻塩	おいしい煮玉子	
103	00:00:19	biggs	おいしい煮玉子	
