行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	海東純一	bleak time	
1	00:00:00	らうらう	wait on this page	
2	00:00:00	Johnny Lattarulo	yes 😄❤	
3	00:00:00	らうらう	❤❤❤❤❤	
4	00:00:00	motiyomogi	たのしい英会話	
5	00:00:00	JUNY	👍👍👍	
6	00:00:00	Johnny Lattarulo	thank you friends! ❤❤❤❤❤	
7	00:00:00	周恩来	❤　❤:クゥフランゾーパークゥフランゾーパー2:❤　❤	
8	00:00:15	岸辺一徳	おいしい煮玉子	
9	00:00:18	らうらう	おいしい煮玉子	
10	00:00:18	JUNY	おいしい煮玉子	
11	00:00:21	あい	おいしい煮玉子	
12	00:00:21	なんたら	おいしい煮玉子	
13	00:00:21	海東純一	おいしい煮玉子	
14	00:00:22	デンキヒツジ	おいしい煮玉子	
15	00:00:23	竹輪	おいしい煮玉子	
16	00:00:29	motiyomogi	おいしい煮玉子	
17	00:00:30	eve	煮玉子おいしかった	
18	00:00:33	mk 95	おいしい煮玉子	
19	00:00:35	周恩来	おいしい煮玉子	
20	00:00:35	いぶきんぐ	おいしい煮玉子	
21	00:00:36	タケノコ男	おいしい煮玉子	
22	00:00:37	天然ステルス	おいしい煮玉子	
23	00:00:38	陰キャバス竹中	おいしい煮玉子ー	
24	00:00:40	ナウ	おいしい煮玉子	
25	00:00:41	mori mori	かっこいいポーズ	
26	00:00:44	御早和杯	おいしい煮玉子	
27	00:00:50	陰キャバス竹中	おいしかった煮玉子	
28	00:00:53	J u d a S S	おいしい煮玉子	
29	00:00:55	nmr	おいしい煮玉子	
30	00:00:55	むぎやちゃんねる	おいしい煮玉子	
31	00:01:04	motiyomogi	じゃがりこすき	
32	00:01:05	スモーク	おいしい煮玉子	
33	00:01:05	天然ステルス	おいしいじゃがりこ	
34	00:01:09	ソーデスソーデス	おいしいみず	
35	00:01:10	J u d a S S	チーズ味？	
36	00:01:11	mk 95	おいしいじゃがりこ	
37	00:01:14	ああ	おいしい煮玉子ですわ	
38	00:01:23	めるカバ	おいしい煮玉子	
39	00:01:25	うぇいのる	おいしい煮玉子	
40	00:01:27	_ Die	おいしい煮玉子	
41	00:01:32	いぶきんぐ	おいしいじゃがりこ	
42	00:01:35	worstplayerinjp	おいしい煮玉子	
43	00:01:43	うぇいのる	草	
44	00:01:49	motiyomogi	デンパァ草	
45	00:01:50	ぴねかっと	おいしい煮玉子	
46	00:01:50	自動人形	おいしい煮玉子	
47	00:01:50	やみくもちゃんねる	電波ァ！	
48	00:01:54	DKYM	ゲーセンなのにコイン品切れて	
49	00:01:57	天然ステルス	Takuya Defeated Erika	
50	00:01:59	なんたら	電波ァ！！	
51	00:02:00	ソーデスソーデス	ガンダム動物園かな？	
52	00:02:08	DKYM	左にいこう	
53	00:02:15	しろみんてぃS	一回タワーにのぼらないとフラグが・・・	
54	00:02:32	DKYM	ごめん。あれロケット団いねえな何でだ	
55	00:02:40	うぇいのる	タワーからかー	
56	00:02:56	motiyomogi	初代そんなフラグないはず	
57	00:02:57	陰キャバス竹中	ないない	
58	00:00:00	海東純一	bleak time	
59	00:00:00	らうらう	wait on this page	
60	00:00:00	Johnny Lattarulo	yes 😄❤	
61	00:00:00	らうらう	❤❤❤❤❤	
62	00:00:00	motiyomogi	たのしい英会話	
63	00:00:00	JUNY	👍👍👍	
64	00:00:00	Johnny Lattarulo	thank you friends! ❤❤❤❤❤	
65	00:00:00	周恩来	❤　❤:クゥフランゾーパークゥフランゾーパー2:❤　❤	
66	00:00:15	岸辺一徳	おいしい煮玉子	
67	00:00:18	らうらう	おいしい煮玉子	
68	00:00:18	JUNY	おいしい煮玉子	
69	00:00:21	あい	おいしい煮玉子	
70	00:00:21	なんたら	おいしい煮玉子	
71	00:00:21	海東純一	おいしい煮玉子	
72	00:00:22	デンキヒツジ	おいしい煮玉子	
73	00:00:23	竹輪	おいしい煮玉子	
74	00:00:29	motiyomogi	おいしい煮玉子	
75	00:00:30	eve	煮玉子おいしかった	
76	00:00:33	mk 95	おいしい煮玉子	
77	00:00:35	周恩来	おいしい煮玉子	
78	00:00:35	いぶきんぐ	おいしい煮玉子	
79	00:00:36	タケノコ男	おいしい煮玉子	
80	00:00:37	天然ステルス	おいしい煮玉子	
81	00:00:38	陰キャバス竹中	おいしい煮玉子ー	
82	00:00:40	ナウ	おいしい煮玉子	
83	00:00:41	mori mori	かっこいいポーズ	
84	00:00:44	御早和杯	おいしい煮玉子	
85	00:00:50	陰キャバス竹中	おいしかった煮玉子	
86	00:00:53	J u d a S S	おいしい煮玉子	
87	00:00:55	nmr	おいしい煮玉子	
88	00:00:55	むぎやちゃんねる	おいしい煮玉子	
89	00:01:04	motiyomogi	じゃがりこすき	
90	00:01:05	スモーク	おいしい煮玉子	
91	00:01:05	天然ステルス	おいしいじゃがりこ	
92	00:01:09	ソーデスソーデス	おいしいみず	
93	00:01:10	J u d a S S	チーズ味？	
94	00:01:11	mk 95	おいしいじゃがりこ	
95	00:01:14	ああ	おいしい煮玉子ですわ	
96	00:01:23	めるカバ	おいしい煮玉子	
97	00:01:25	うぇいのる	おいしい煮玉子	
98	00:01:27	_ Die	おいしい煮玉子	
99	00:01:32	いぶきんぐ	おいしいじゃがりこ	
100	00:01:35	worstplayerinjp	おいしい煮玉子	
101	00:01:43	うぇいのる	草	
102	00:01:49	motiyomogi	デンパァ草	
103	00:01:50	ぴねかっと	おいしい煮玉子	
104	00:01:50	自動人形	おいしい煮玉子	
105	00:01:50	やみくもちゃんねる	電波ァ！	
106	00:01:54	DKYM	ゲーセンなのにコイン品切れて	
107	00:01:57	天然ステルス	Takuya Defeated Erika	
108	00:01:59	なんたら	電波ァ！！	
109	00:02:00	ソーデスソーデス	ガンダム動物園かな？	
110	00:02:08	DKYM	左にいこう	
111	00:02:15	しろみんてぃS	一回タワーにのぼらないとフラグが・・・	
112	00:02:32	DKYM	ごめん。あれロケット団いねえな何でだ	
113	00:02:40	うぇいのる	タワーからかー	
114	00:02:56	motiyomogi	初代そんなフラグないはず	
115	00:02:57	陰キャバス竹中	ないない	
116	00:03:08	周恩来	まじかー	
117	00:03:26	なんたら	ワープさせてくれ	
118	00:03:29	かたもく	おいしいヤドン	
119	00:03:31	JUNY	そこも自動で済ませてくれないかな…	
120	00:03:33	めるカバ	もぐクゥ	
121	00:03:34	内臓脂肪	そんなフラグあったっけ？	
122	00:03:38	周恩来	じゃがりこじゃがりこ	
123	00:03:40	しろみんてぃS	タチサレ…が別ゲーになってるから一回やってみるのです	
124	00:03:42	motiyomogi	もぐクゥ	
125	00:03:43	なんたら	もぐクゥありがたい	
126	00:03:56	ぴねかっと	はやい	
127	00:03:57	らうらう	もぐもぐぼりぼり	
128	00:04:09	らうらう	やだ！	
129	00:04:11	スモーク	asmrかな	
130	00:04:13	eve	えー	
131	00:04:13	しれちゅー	そんな…	
132	00:04:14	竹輪	いれて！！！	
133	00:04:15	かたもく	もぐクゥ切らしてた	
134	00:04:15	内臓脂肪	バリバーリ！	
135	00:04:21	タケノコ男	もぐクゥすき	
136	00:04:21	なんたら	どうして…	
137	00:04:22	うぇいのる	ゴース捕まえよう	
138	00:04:50	かたもく	かわいい	
139	00:04:54	mori mori	かわいい	
140	00:05:04	JUNY	つよイシツブテ	
141	00:05:08	周恩来	草	
142	00:05:08	うぇいのる	かわいい	
143	00:05:10	ほるもん	つよい	
144	00:05:10	近藤亮	草	
145	00:05:13	竹輪	草	
146	00:05:14	タケノコ男	草	
147	00:05:33	いぶきんぐ	かたい	
148	00:05:37	mori mori	単純に一回分無駄にしただけで草	
149	00:06:00	大地	ユンゲラーが進化する予定はありますか？	
150	00:06:01	うぇいのる	つよい	
151	00:06:08	タケノコ男	つよい	
152	00:06:14	かたもく	つよい	
153	00:06:16	うぇいのる	草	
154	00:06:19	ソーデスソーデス	あっ	
155	00:06:21	めるカバ	かなしい	
156	00:06:22	竹輪	かなしい	
157	00:06:24	周恩来	草	
158	00:06:27	スモーク	草	
159	00:06:27	motiyomogi	かなしい	
160	00:06:29	JUNY	かなしい	
161	00:06:30	タケノコ男	かなしい	
162	00:06:31	らうらう	あやまらないで	
163	00:06:31	内臓脂肪	通信ケーブルないの？	
164	00:06:34	ふーばー	かなしい...	
165	00:06:42	岸辺一徳	そうだね……	
166	00:06:43	かたもく	お前らやめろよ！そんな目で姉ちゃんを見るなよ！	
167	00:06:47	いぶきんぐ	そこらへんに落ちてたもの	
168	00:06:53	天然ステルス	ピカチュウだったもの	
169	00:06:54	motiyomogi	友達は売ってないからね	
170	00:06:55	なんたら	それじゃしょうがないなー	
171	00:06:56	ソーデスソーデス	あーわかるぅ	
172	00:07:03	ゴギガガガギゴ	ならしょうがないね！	
173	00:07:04	岸辺一徳	それならしかたない	
174	00:07:04	周恩来	ケーブル持ってくるって言ったじゃん！	
175	00:07:05	近藤亮	すごい	
176	00:07:06	ふーばー	しかたないね	
177	00:07:06	うぇいのる	つよい	
178	00:07:08	たんこぶ	なら仕方ないね	
179	00:07:09	Shota Hamada	なんかごめん・・・	
180	00:07:11	しろみんてぃS	ビックカメラでケーブル買ってこよう	
181	00:07:13	スモーク	すごい	
182	00:07:24	BEN	通信ケーブルは友達とセットで売ってほしいよね	
183	00:07:34	めるカバ	通信中にケーブル抜いちゃダメだよ！	
184	00:07:44	かたもく	ビックカメラには友達売ってないからね	
185	00:07:55	いぶきんぐ	通信進化とかしばらく存在さえ知らなかったよ	
186	00:07:57	しろみんてぃS	amazonでなら‥‥	
187	00:07:58	内臓脂肪	シオンタウンのBGMいいわぁ～	
188	00:08:08	自動人形	お咀嚼	
189	00:08:12	JUNY	ゆらゆら	
190	00:08:17	周恩来	アマゾンなら友達も返品保障ついてるからな…	
191	00:08:20	DKYM	友達も揃ってるのかな？	
192	00:08:20	なんたら	ルゥ姉の悪影響が…	
193	00:08:21	天然ステルス	初代ゲームボーイとポケット以降だと変換コネクタも必要になってくる	
194	00:08:24	竹輪	ともだち売ってるかな	
195	00:08:44	うぇいのる	Amazonまだいたのか	
196	00:08:47	内臓脂肪	ん？	
197	00:08:54	JUNY	！？	
198	00:08:57	うぇいのる	草	
199	00:08:59	チキン肉なし	あばっ	
200	00:08:59	D W	タチサレマンだ！	
201	00:09:00	岸辺一徳	かわいい	
202	00:09:02	らうらう	かわいい	
203	00:09:02	周恩来	かわいい	
204	00:09:04	内臓脂肪	だれがババアだ！	
205	00:09:04	タケノコ男	かわいい	
206	00:09:05	_ Die	かわいい	
207	00:09:05	かたもく	タチサレ・・・タチサレ・・・	
208	00:09:06	JUNY	かわいい	
209	00:09:07	DKYM	かわいいなこいつ	
210	00:09:08	eve	ちょっとかわいい	
211	00:09:11	海東純一	タチサレ……タチサレ……	
212	00:09:12	ぴねかっと	かわいい	
213	00:09:13	motiyomogi	タチサレ… タチサレ…	
214	00:09:14	竹輪	かわいい	
215	00:09:16	じょーげん	ママー	
216	00:09:17	ナウ	ｿﾃﾞｸﾚ･･･	
217	00:09:20	なんたら	かわいい	
218	00:09:20	ふーばー	まぁー	
219	00:09:22	タケノコ男	かわいい	
220	00:09:23	D W	あっ…	
221	00:09:24	かたもく	マァ！	
222	00:09:24	うぇいのる	かわいい	
223	00:09:29	近藤亮	かなしい	
224	00:09:29	カギカギ	かわいい	
225	00:09:32	チキン肉なし	マァ	
226	00:09:33	motiyomogi	かわいい	
227	00:09:34	ぴねかっと	かわいい	
228	00:09:34	JUNY	かわいい	
229	00:09:34	空気	かわいい	
230	00:09:35	周恩来	かわいい	
231	00:09:35	スモーク	かわいい	
232	00:09:35	ふーばー	かわいい	
233	00:09:35	ほるもん	かわいい	
234	00:09:35	eve	かわいい	
235	00:09:36	うぇいのる	あざとい！	
236	00:09:37	_ Die	かわいい	
237	00:09:38	岸辺一徳	こわがってる……	
238	00:09:39	めるカバ	かわいいな	
239	00:09:40	Shota Hamada	かわいい	
240	00:09:41	いぶきんぐ	かわいい	
241	00:09:41	タケノコ男	かわいい	
242	00:09:41	まりも	かわいい	
243	00:09:42	むぎやちゃんねる	かわいい	
244	00:09:42	じょーげん	かわいい	
245	00:09:44	近藤亮	かわいい	
246	00:09:47	なんたら	ちょろい	
247	00:09:52	チキン肉なし	あざといソフマップ	
248	00:09:59	かたもく	うそん	
249	00:10:04	JUNY	タチサレボンバー	
250	00:10:17	いぶきんぐ	ロケット団！	
251	00:10:25	粉チーズ	ムサシ達でるの初めて知った	
252	00:10:25	スモーク	イベント追加されてるんだね	
253	00:10:29	らうらう	かわいい	
254	00:10:37	チキン肉なし	ヌルイ	
255	00:10:39	eve	にゃ かわいい	
256	00:10:40	うぇいのる	そういう…	
257	00:10:41	タケノコ男	かわいい	
258	00:10:43	カギカギ	マ？	
259	00:10:47	じょーげん	かわいそう	
260	00:10:49	うぇいのる	かわいい	
261	00:10:57	D W	地味にめちゃくちゃひどいことしてるやん	
262	00:10:58	めるカバ	恥を知りなさい！！	
263	00:10:58	内臓脂肪	こんなイベントがあったのか…	
264	00:10:59	ヘンリーダーガー	おいしい煮玉子	
265	00:11:00	DKYM	外道だ	
266	00:11:03	かたもく	かわいそう	
267	00:11:09	motiyomogi	わかる	
268	00:11:16	JUNY	スルーされる見てしまった人	
269	00:11:17	チキン肉なし	面倒やな･･･	
270	00:11:25	DKYM	スコープ先取り安定だもんな	
271	00:11:36	かたもく	へー	
272	00:11:39	竹輪	ほんとだ	
273	00:11:49	JUNY	そこに気づくとは…	
274	00:12:04	Shota Hamada	かわいい	
275	00:12:05	らうらう	ぽりぽり音は。。。	
276	00:12:16	かたもく	JYAGALICO	
277	00:12:34	内臓脂肪	神に芋けんぴついてるよ！	
278	00:12:41	うぇいのる	いもけんぴはおしゃれ	
279	00:12:43	PURANASU14	じゃがビーはまんまじゃがいもだからちょっと	
280	00:12:44	ねこくーる	こんばんは煮玉子	
281	00:13:03	かたもく	神様って案外心狭いからね・・・	
282	00:13:07	DKYM	アルセウスに芋ケンピは草	
283	00:13:42	周恩来	草	
284	00:13:45	タケノコ男	草	
285	00:13:47	かたもく	りゅうせい不可避	
286	00:13:47	motiyomogi	草	
287	00:13:48	内臓脂肪	ってゲーセンになってるのかｗ	
288	00:13:49	しれちゅー	タチ悪すぎる	
289	00:13:52	東京コノハムシ	おいしい煮玉子	
290	00:13:52	なんたら	あれ芋けんぴなんだ…	
291	00:13:53	ああ	いもけんぴタイプ	
292	00:13:53	JUNY	やめたげてよぉ！	
293	00:13:55	PURANASU14	cv.美輪激おこ	
294	00:13:56	うぇいのる	劇場版かな？	
295	00:13:56	Shota Hamada	草	
296	00:14:16	Johnny Lattarulo	😍😍😍😍❤❤❤❤	
297	00:14:33	かたもく	芋けんぴプレート	
298	00:14:35	東京コノハムシ	弱点:みず	
299	00:14:38	DFC	音がデカすぎる	
300	00:14:49	ぴねかっと	ダメすぎる…	
301	00:14:53	佐藤太郎	お？！アニメのやつらじゃねーか	
302	00:14:58	内臓脂肪	あいとるー！！	
303	00:15:01	スモーク	草	
304	00:15:01	うぇいのる	こいつら…	
305	00:15:04	eve	草	
306	00:15:06	周恩来	草	
307	00:15:08	かたもく	えぇ・・・	
308	00:15:11	ねこくーる	やさしい	
309	00:15:14	東京コノハムシ	愉快な二人じゃん	
310	00:15:15	大地	背景かっけえ	
311	00:15:18	尾花	配慮が行き届いてる	
312	00:15:30	周恩来	ロケット団嫌われとる	
313	00:15:37	うぇいのる	強者すぎる…	
314	00:15:40	佐藤太郎	美人スパイ(自称)	
315	00:15:41	JUNY	ムサシとコジロウ嫌われとる	
316	00:15:42	かたもく	やったね！	
317	00:15:43	Shota Hamada	spy	
318	00:15:48	nene nira	ミニスカが！？	
319	00:15:49	motiyomogi	制服支給あり	
320	00:15:53	かたもく	メタルギアかな？	
321	00:15:55	Johnny Lattarulo	yeah	
322	00:15:56	内臓脂肪	びじんスパイとかｴｯｯｯｯ	
323	00:16:04	じょーげん	念願のミニスカ！？	
324	00:16:08	周恩来	かわいい	
325	00:16:12	めるカバ	スパイにメガネは必須	
326	00:16:13	ニャンコ先生	かわいい	
327	00:16:13	うぇいのる	かわいい	
328	00:16:18	佐藤太郎	なんかすごいリメイクだな……	
329	00:16:21	motiyomogi	かわいい	
330	00:16:22	Johnny Lattarulo	can you change shoes?	
331	00:16:24	東京コノハムシ	おしゃれじゃん？	
332	00:16:30	ポルポル	かわいい	
333	00:16:31	ソーデスソーデス	性癖	
334	00:16:40	eve	いいなこれ	
335	00:16:41	周恩来	ビックカメラが不良になっちまっただー！	
336	00:16:45	ねこくーる	わるわるJC	
337	00:16:46	_ Die	いいねぇ	
338	00:16:47	ニャンコ先生	お母さんロケット団しってるんぬ？	
339	00:17:16	らうらう	ミニスカあんのかな	
340	00:17:24	Shota Hamada	おしゃれ	
341	00:17:43	東京コノハムシ	サカキ様にカリスマ性ある？	
342	00:17:49	うぇいのる	どっかで買えるのかな？	
343	00:17:56	東京コノハムシ	最終進化系だ	
344	00:17:59	eve	スカートは難しかったんだろうか	
345	00:18:12	にけい	テクスチャのバリエーションだけなのかな？	
346	00:18:26	nene nira	ポケモンに跨ったりするからね…	
347	00:18:29	Johnny Lattarulo	why you duel with Takuya? also Takuya is a Team Rocket. 😂😂	
348	00:18:52	かたもく	もっとキャラメとかコスの幅増やして欲しいところではある	
349	00:18:58	むらさきあんこ	ムービーとの兼ね合いがあったのかな、スカートだと見えてしまう場面とか	
350	00:19:06	めるカバ	お前は誰だ俺の中のオレ	
351	00:19:21	sas b	ポケモンのグラに全力投球してる感ある	
352	00:19:47	K. u	あれはコーディネートするだけで楽しいよね	
353	00:20:07	ぴねかっと	コラッタ相手でも戦わせてもらえない石橋さん	
354	00:20:12	東京コノハムシ	最後のドット世代なので気合が入ってる	
355	00:20:36	うぇいのる	おお	
356	00:20:38	東京コノハムシ	最終進化系だ！！	
357	00:20:40	motiyomogi	最終進化系へ！	
358	00:20:41	タケノコ男	おお	
359	00:20:41	ナウ	最終進化キター！	
360	00:20:42	ねこくーる	最終進化！	
361	00:20:42	ふーばー	やったね！	
362	00:20:44	竹輪	おお最終進化だ！！	
363	00:20:48	いぶきんぐ	進化おめでとう	
364	00:20:49	かたもく	石橋！立派になって・・・	
365	00:20:49	ぴねかっと	最終進化が揃ってきたね	
366	00:20:50	eve	やったね！	
367	00:20:51	mori mori	かっこいい	
368	00:20:53	DKYM	頼れる男になったな	
369	00:20:54	内臓脂肪	最終進化！	
370	00:20:57	FFDD	最終進化やったね！	
371	00:20:58	スモーク	瀕死の印象しかない石橋くん	
372	00:21:04	ナウ	これ以上は腕が生えたりしない限り無理だな	
