行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	たんこぶ	お疲れ様でした	
1	00:00:00	eve	お疲れ様でした	
2	00:00:00	岸辺一徳	おつ煮玉子	
3	00:00:00	むらさきあんこ	おつだっしゅ！	
4	00:00:00	HILO	たにたま	
5	00:00:00	究極ド根性ダイコン	ぐるぐるおめめ姉ちゃんかわいい	
6	00:00:00	らうらう	かわいい！	
7	00:00:00	チキン肉なし	確かにここにあった煮玉子	
8	00:00:00	岸辺一徳	かわいい！	
9	00:00:00	近藤亮	かわいい	
10	00:00:00	らうらう	千年帽子も参っとる	
11	00:00:00	なんたら	かわいい	
12	00:00:00	ヘンリーダーガー	グルグル目がかわいい！高評価！	
13	00:00:00	岸辺一徳		￥100
14	00:00:09	Fuzuki K	ヤッター！	
15	00:00:12	なんたら	おいしい煮玉子	
16	00:00:18	岸辺一徳	LSD！LSD！	
17	00:00:19	究極ド根性ダイコン	おいしい煮玉子	
18	00:00:19	なる	おいしい煮玉子	
19	00:00:20	むらさきあんこ	おいしい煮玉子	
20	00:00:20	かんてら	おいしい煮玉子	
21	00:00:20	Garden	おいしい煮玉子	
22	00:00:21	鈴木おじさん	おいしい煮玉子	
23	00:00:21	うぇいのる	おいしい煮玉子	
24	00:00:22	らうらう	おいたま	
25	00:00:23	近藤大輔	LSDだ１	
26	00:00:24	陰キャバス竹中	おいしい煮玉子	
27	00:00:26	岸辺一徳	おいしい煮玉子	
28	00:00:27	近藤亮	おいしい煮玉子	
29	00:00:27	ああ	おいしい煮玉子	
30	00:00:28	ポンコツジョン	おいしい煮玉子	
31	00:00:31	箸盛り【はしもり】	おいしい煮玉子	
32	00:00:31	Fuzuki K	声が疲れてる……	
33	00:00:33	べるべる	おいしい煮玉子	
34	00:00:33	袖口	おいしい煮玉子	
35	00:00:35	あい	おいしい煮玉子	
36	00:00:36	Yo mi	LSDすき	
37	00:00:36	タケノコ男	おいしい煮玉子	
38	00:00:36	真新八	おいしい煮玉子！	
39	00:00:39	ニコラス・ケージ	おいしい煮玉子2個目	
40	00:00:48	ざなゔぃ	うわLSDだ（歓喜）	
41	00:00:48	秋箱	おいしい煮玉子	
42	00:00:51	カギカギ	おいしい煮玉子	
43	00:00:52	ジュンペイ	おいしい煮玉子	
44	00:00:55	ねこくーる	おいしい煮玉子	
45	00:00:55	ヘンリーダーガー	おいしい煮玉子	
46	00:01:04	あまいさい	おいしい煮玉子	
47	00:01:05	真新八	お姉ちゃん元気出して…	
48	00:01:08	うぇいのる	dash寝過ごしてしまった…	
49	00:01:09	ニコラス・ケージ	煮玉子キメる	
50	00:01:15	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
51	00:01:21	岸辺一徳	姉ちゃんに切手送っていいのか！	
52	00:01:22	秋箱	元気無いなら届いたおこめ食べよう	
53	00:01:22	究極ド根性ダイコン	もうヤバい	
54	00:01:27	ロンドベルジェニ	おいしい煮玉子	
55	00:01:33	らうらう	なんかもうおかしいゲーム	
56	00:01:34	タケノコ男	すでにキマってる	
57	00:01:45	むらさきあんこ	スモウレスラー…	
58	00:01:47	近藤大輔	夢がいっぱい！	
59	00:01:48	岸辺一徳	これが夢女子……	
60	00:01:49	助六	夢カワ力士	
61	00:02:00	真新八	Dランドは不味いですよォ！？	
62	00:02:00	10あああ	おいしい煮玉子	
63	00:00:00	たんこぶ	お疲れ様でした	
64	00:00:00	eve	お疲れ様でした	
65	00:00:00	岸辺一徳	おつ煮玉子	
66	00:00:00	むらさきあんこ	おつだっしゅ！	
67	00:00:00	HILO	たにたま	
68	00:00:00	究極ド根性ダイコン	ぐるぐるおめめ姉ちゃんかわいい	
69	00:00:00	らうらう	かわいい！	
70	00:00:00	チキン肉なし	確かにここにあった煮玉子	
71	00:00:00	岸辺一徳	かわいい！	
72	00:00:00	近藤亮	かわいい	
73	00:00:00	らうらう	千年帽子も参っとる	
74	00:00:00	なんたら	かわいい	
75	00:00:00	ヘンリーダーガー	グルグル目がかわいい！高評価！	
76	00:00:00	岸辺一徳		￥100
77	00:00:09	Fuzuki K	ヤッター！	
78	00:00:12	なんたら	おいしい煮玉子	
79	00:00:18	岸辺一徳	LSD！LSD！	
80	00:00:19	究極ド根性ダイコン	おいしい煮玉子	
81	00:00:19	なる	おいしい煮玉子	
82	00:00:20	むらさきあんこ	おいしい煮玉子	
83	00:00:20	かんてら	おいしい煮玉子	
84	00:00:20	Garden	おいしい煮玉子	
85	00:00:21	鈴木おじさん	おいしい煮玉子	
86	00:00:21	うぇいのる	おいしい煮玉子	
87	00:00:22	らうらう	おいたま	
88	00:00:23	近藤大輔	LSDだ１	
89	00:00:24	陰キャバス竹中	おいしい煮玉子	
90	00:00:26	岸辺一徳	おいしい煮玉子	
91	00:00:27	近藤亮	おいしい煮玉子	
92	00:00:27	ああ	おいしい煮玉子	
93	00:00:28	ポンコツジョン	おいしい煮玉子	
94	00:00:31	箸盛り【はしもり】	おいしい煮玉子	
95	00:00:31	Fuzuki K	声が疲れてる……	
96	00:00:33	べるべる	おいしい煮玉子	
97	00:00:33	袖口	おいしい煮玉子	
98	00:00:35	あい	おいしい煮玉子	
99	00:00:36	Yo mi	LSDすき	
100	00:00:36	タケノコ男	おいしい煮玉子	
101	00:00:36	真新八	おいしい煮玉子！	
102	00:00:39	ニコラス・ケージ	おいしい煮玉子2個目	
103	00:00:48	ざなゔぃ	うわLSDだ（歓喜）	
104	00:00:48	秋箱	おいしい煮玉子	
105	00:00:51	カギカギ	おいしい煮玉子	
106	00:00:52	ジュンペイ	おいしい煮玉子	
107	00:00:55	ねこくーる	おいしい煮玉子	
108	00:00:55	ヘンリーダーガー	おいしい煮玉子	
109	00:01:04	あまいさい	おいしい煮玉子	
110	00:01:05	真新八	お姉ちゃん元気出して…	
111	00:01:08	うぇいのる	dash寝過ごしてしまった…	
112	00:01:09	ニコラス・ケージ	煮玉子キメる	
113	00:01:15	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
114	00:01:21	岸辺一徳	姉ちゃんに切手送っていいのか！	
115	00:01:22	秋箱	元気無いなら届いたおこめ食べよう	
116	00:01:22	究極ド根性ダイコン	もうヤバい	
117	00:01:27	ロンドベルジェニ	おいしい煮玉子	
118	00:01:33	らうらう	なんかもうおかしいゲーム	
119	00:01:34	タケノコ男	すでにキマってる	
120	00:01:45	むらさきあんこ	スモウレスラー…	
121	00:01:47	近藤大輔	夢がいっぱい！	
122	00:01:48	岸辺一徳	これが夢女子……	
123	00:01:49	助六	夢カワ力士	
124	00:02:00	真新八	Dランドは不味いですよォ！？	
125	00:02:00	10あああ	おいしい煮玉子	
126	00:02:10	うぇいのる	決まってるなぁ…	
127	00:02:12	フレイムリンクス	お前もLDSか！？	
128	00:02:15	らうらう	おいしい薬物	
129	00:02:15	箸盛り【はしもり】	建前なんだ	
130	00:02:24	あい	健全だ	
131	00:02:25	穀潰之熊 バーチャルなろう作家	おいしいLSD	
132	00:02:28	なにここ	おいしい煮玉子	
133	00:02:30	究極ド根性ダイコン	どう見てもキメまくってる世界	
134	00:02:33	なんたら	ﾄﾞｩｰﾝ	
135	00:02:33	陰キャバス竹中	キメてんだよ・・・くれよ・・	
136	00:02:34	秋箱	彼女は薬物ではない	
137	00:02:47	ニコラス・ケージ	ﾄﾞｩｰﾝ	
138	00:02:47	HILO	おにたま	
139	00:02:49	eve	おいしい煮玉子	
140	00:02:56	らうらう	うるさいSE	
141	00:03:02	陰キャバス竹中	頭があああ	
142	00:03:04	なんたら	このゲームじゃないところで遊ぶ姉ちゃんだよな…	
143	00:03:06	岸辺一徳	ｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞ	
144	00:03:07	クロノス	謎の恐怖～	
145	00:03:07	うぇいのる	ﾄﾞｩﾝﾄﾞｩﾝﾄﾞｩﾝ	
146	00:03:12	礼先輩と妹達の前でゲームして負けてあげたい	にたまごー	
147	00:03:22	秋箱	ここまで狂ったゲームの企画が通るPS黎明期は凄い	
148	00:03:22	eve	久しぶりのLSDだ	
149	00:03:23	鈴木おじさん	🐑	
150	00:03:25	むらさきあんこ	ひつじがいっぴき	
151	00:03:26	タケノコ男	こわい	
152	00:03:27	真新八	( ˘ω˘ ) ｽﾔｧ…	
153	00:03:30	ジャック・オー	おいしい煮玉子	
154	00:03:33	らうらう	🐑🐑🐑🐑🐑	
155	00:03:35	岸辺一徳	健全じゃない方のせがれいじり	
156	00:03:37	うぇいのる	こっわ	
157	00:03:44	究極ド根性ダイコン	おいしいラム肉	
158	00:03:44	礼先輩と妹達の前でゲームして負けてあげたい	朝から狂ったのやってるね	
159	00:03:46	あい	こわい	
160	00:03:46	らうらう	？？？？？？？？？？	
161	00:03:49	近藤亮	こわい	
162	00:03:52	陰キャバス竹中	え？	
163	00:03:54	真新八	やっぱりキメてんな	
164	00:03:58	タケノコ男	困惑しかない	
165	00:03:58	完ちゃん	おいしい煮玉子	
166	00:04:00	HILO	寝かしつけボイスきたな	
167	00:04:01	助六	最高にキマっちゃうなー	
168	00:04:08	秋箱	そもそも本編ってなんなの…	
169	00:04:08	袖口	ひっ	
170	00:04:09	タケノコ男	うわあああ	
171	00:04:10	うぇいのる	ﾋｴｯ	
172	00:04:12	ホット懇願マン	やっぱ神ゲー	
173	00:04:22	近藤大輔	妙に赤茶け	
174	00:04:22	究極ド根性ダイコン	こわい	
175	00:04:22	ニコラス・ケージ	ガンギマリ	
176	00:04:23	鈴木おじさん	ハーブかなにかやつておられる？	
177	00:04:28	無気力キック	なんて書いてあんの	
178	00:04:39	らうらう	ええ・・・	
179	00:04:39	クロノス	うわキッツ・・・(´Д｀)	
180	00:04:43	うぇいのる	キマってる…	
181	00:04:51	ゴギガガガギゴ	ヤクい	
182	00:04:51	あい	やべえ	
183	00:04:53	ああ	やや	
184	00:04:53	タケノコ男	やば	
185	00:05:00	HILO	前回のアレでまとも...？	
186	00:05:00	礼先輩と妹達の前でゲームして負けてあげたい	このゲームの目的ってあるの？	
187	00:05:10	真新八	あ	
188	00:05:10	無気力キック	あ	
189	00:05:14	鈴木おじさん	BB姉ちゃん	
190	00:05:15	むらさきあんこ	こういうのは当時ぐらいのグラのおかげで気持ち悪さが増してると思う	
191	00:05:17	ああ	姉ちゃんBB	
192	00:05:18	タケノコ男	姉ちゃんBB	
193	00:05:20	パリパリ海苔	あのゆめにっきもリスペクトする名作やぞ	
194	00:05:23	礼先輩と妹達の前でゲームして負けてあげたい	なにそれ、こわい	
195	00:05:26	ジョナサン・グレーン	おいしい煮玉子	
196	00:05:32	ナウ	おいしい煮玉子	
197	00:05:41	らうらう	こわい	
198	00:05:46	クロノス	動画のやつでは紙相撲の所がヤバかった～	
199	00:05:48	究極ド根性ダイコン	同じ文章のループだろうし…	
200	00:05:49	たんこぶ	いきなり出るお相撲さん怖かったね	
201	00:05:52	なんたら	姉ちゃんのサムネみたいだな…	
202	00:06:03	完ちゃん	ぐるぐるお目々の姉ちゃん好き	
203	00:06:08	むらさきあんこ	長い！？	
204	00:06:16	らうらう	耐久・・・	
205	00:06:16	テトラ	おいしい煮卵	
206	00:06:25	究極ド根性ダイコン	なんて話を・・・	
207	00:06:29	うぇいのる	気が狂う	
208	00:06:40	ジョナサン・グレーン	気が狂う	
209	00:06:40	HILO	姉ちゃんって地味に横のつながり強いよね	
210	00:06:44	礼先輩と妹達の前でゲームして負けてあげたい	まさか耐久放送か.....？	
211	00:06:45	鈴木おじさん	そのエンディングって大丈夫なやつ？	
212	00:06:47	真新八	1年耐久レースやる？()	
213	00:07:02	タケノコ男	こわい	
214	00:07:09	むらさきあんこ	地	
215	00:07:12	鈴木おじさん	ﾋｯ	
216	00:07:13	ナウ	消えた	
217	00:07:14	トク維図	すっげええええええええええええええLSDじゃないですかあああああああ	
218	00:07:15	あい	消えた…	
219	00:07:19	近藤亮	いなくなった…	
220	00:07:22	らうらう	地地地地地地地地地	
221	00:07:27	うぇいのる	地	
222	00:07:37	完ちゃん	いかないで	
223	00:07:38	真新八	ひぇ…	
224	00:07:39	近藤大輔	shyガールだなぁ	
225	00:07:40	究極ド根性ダイコン	顔を見ようとすると消えちゃうシャイな人々	
226	00:07:40	むらさきあんこ	近づくと消えるの	
227	00:07:40	カギカギ	こわい	
228	00:07:42	たんこぶ	こわい	
229	00:07:52	ああ	ホイッスルが入るだけで陽気な音楽に聞こえる	
230	00:07:55	ジョナサン・グレーン	こわい	
231	00:07:59	タケノコ男	こわい	
232	00:08:07	近藤亮	こわい	
233	00:08:08	HILO	ピッ！	
234	00:08:10	なんたら	LRでカニ歩きできたような	
235	00:08:21	真新八	のっぺらぼうだァ！ひ…ひえぇぇぇぇ(´･∀･｀)	
236	00:08:25	biggs	おいしい煮玉子	
237	00:08:27	岸辺一徳	あっ	
238	00:08:31	完ちゃん	？	
239	00:08:32	らうらう	？？？	
240	00:08:32	たんこぶ	草	
241	00:08:36	近藤亮	？	
242	00:08:36	タケノコ男	？	
243	00:08:37	うぇいのる	こわいこわい	
244	00:08:39	究極ド根性ダイコン	わからん…	
245	00:08:45	あい	なんだこれ…	
246	00:08:49	ああ	え？	
247	00:08:51	クロノス	目的がわからない～(´・ω・`)	
248	00:09:01	ねこくーる	テク坊がいても違和感なさそうな世界	
249	00:09:07	ナウ	このゲーム配信できるのは姉ちゃんぐらいだと思うわ	
250	00:09:12	らうらう	姉ちゃんの驚異的な雑談力でもたせて	
251	00:09:19	パリパリ海苔	目的なんかないぞ 夢みるのに理由がいるのかい！？	
252	00:09:25	HILO	弟か姉ちゃん、どっちが先にギブアップするかの耐久ゲーム	
253	00:09:27	タケノコ男	鱗	
254	00:09:28	近藤亮	鱗	
255	00:09:31	Garden	鱗	
256	00:09:39	PPP	えっこの後デスクリムゾンクリア耐久配信を？	
257	00:09:43	助六	クソゲーVtuberのセナさんがやってたのしか知らん･･･	
258	00:09:45	むらさきあんこ	チャカポコチャカポコ	
259	00:09:48	真新八	軽快なBGM	
260	00:09:49	近藤大輔	BGMいいね	
