行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
1	00:00:00	借金200万ヴェルヴルグ	姉ちゃんは心を折られずクリアできるのか？	
2	00:00:00	たびびと	おいしい煮玉子	
3	00:00:00	モノちゃんねる	おにたま	
4	00:00:00	Shuzo	おたま	
5	00:00:00	biggs	おいしい煮玉子	
6	00:00:00	ハイナマ	おいしい煮玉子	
7	00:00:00	aa aa	おいしい煮玉子	
8	00:00:00	早坂達夫	おいしい煮玉子	
9	00:00:00	ジョナサン・グレーン	おにたま〜	
10	00:00:00	tage	おいたま！！！	
11	00:00:00	メレンゲ	おいたま～	
12	00:00:00	工場侵入	おいしい煮玉子	
13	00:00:00	スモーク	煮玉子を捧げよ	
14	00:00:00	究極ド根性ダイコン	ここから先、煮玉子に注意	
15	00:00:00	八木谷	おいしい煮玉子	
16	00:00:00	フレイムリンクス	おいたま！	
17	00:00:00	袖口	おいしい煮卵	
18	00:00:00	biggs	上、そして煮玉子が有効だ	
19	00:00:00	nathan alucard	おいしい煮玉子	
20	00:00:00	あまいさい	おいたま～	
21	00:00:00	eve	おいたま～	
22	00:00:00	あい	おにたま	
23	00:00:00	弥七	おいしい煮玉子賛美	
24	00:00:00	空気	おいしい煮玉子	
25	00:00:00	ヌルヌペペ	おいしい煮玉子	
26	00:00:00	食べる小魚	おいたまー	
27	00:00:00	王猫	おいしい煮玉子	
28	00:00:00	くりお	おいしい煮玉子〜	
29	00:00:00	もふ		￥100
30	00:00:00	ジャック・オー		￥100
31	00:00:00	千屋一二三		￥100
32	00:00:00	馬の骨に念仏	空気清浄機の水の値段知らない	￥600
33	00:00:00	_ Die		￥100
34	00:00:00	たんこぶ		￥100
35	00:00:21	mori mori	わーい	
36	00:00:23	ロンドベルジェニ	おいしい煮玉子	
37	00:00:23	ゴギガガガギゴ	おいしい煮玉子	
38	00:00:24	袖口	こんばん煮卵	
39	00:00:24	ジャック・オー	おいしい煮玉子を捧げよ	
40	00:00:27	王猫	おいしい煮玉子おいしい煮玉子	
41	00:00:30	周恩来	おいたま～	
42	00:00:31	鼻毛の錬金術師	おいしい煮玉子	
43	00:00:32	ゾンビはっか	おいしい煮玉子	
44	00:00:33	めろんソーダ	おいしい煮た孫～ こんばんは	
45	00:00:34	カーキ	おいしい煮玉子	
46	00:00:35	工場侵入	がんばれよ	
47	00:00:36	ジョナサン・グレーン	おにたま〜	
48	00:00:37	biggs	おいしい煮玉子	
49	00:00:38	モノちゃんねる	寝てました？	
50	00:00:39	monyamon	おいしい煮玉子	
51	00:00:40	いぶきんぐ	おいしい煮玉子	
52	00:00:51	ハイナマ	おいしい煮玉子	
53	00:00:51	_ Die	おいしい煮玉子	
54	00:00:52	のどあめ	おいたまー	
55	00:00:52	tage	遅刻してない！高評価！	
56	00:00:54	あい	おいしい煮玉子	
57	00:00:56	陽性さん	煮玉子～	
58	00:00:59	究極ド根性ダイコン	おいしい煮玉子	
