行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	Clacklin/クラックリン	待機	
1	00:00:24	味付けタマゴ	再開煮玉子	
2	00:00:29	JUNY	おいしい煮玉子	
3	00:00:41	mori mori	おっ	
4	00:00:46	eve	おいしい煮玉子	
5	00:00:47	うぇいのる	おいしい煮玉子	
6	00:00:48	Clacklin/クラックリン	おいしい煮玉子	
7	00:01:00	sas b	おいしい煮玉子	
8	00:01:00	ジャック・オー	おいしい煮玉子	
9	00:01:02	mori mori	おいしい煮玉子	
10	00:01:04	ヌルヌペペ	おいしい煮玉子	
11	00:01:14	Clacklin/クラックリン	30分で何ができた？	
12	00:01:58	うぇいのる	おいしい朝ごはん	
13	00:02:02	mori mori	かわいい	
14	00:02:02	すけあら	おいしい煮玉子、、、これ挨拶ですか？	
15	00:02:06	ジャック・オー	かわいい	
16	00:02:11	JUNY	4時頃やってた戦争は勝ったの？	
17	00:02:15	Clacklin/クラックリン	ご飯食べると眠くなるぞー（笑）	
18	00:02:20	eve	何食べたの？	
19	00:02:22	ジャック・オー	なに食べた？	
20	00:02:31	mori mori	この段階で終盤なら	
21	00:02:41	くりお	おはよう煮卵 姉ちゃんがんばれ	
22	00:02:42	JUNY	草	
23	00:02:45	mori mori	徹夜しないでよかったでしょ！	
24	00:02:45	うぇいのる	固いあいつかな	
25	00:02:46	Clacklin/クラックリン	おいしい煮玉子はあいさつ	
26	00:02:57	ジャック・オー	:クゥフランゾーパークゥフランゾーパー2:🍕	
27	00:03:07	じょーげん	おいしい煮玉子	
28	00:03:47	ジャック・オー	兵糧は十分か	
29	00:04:00	うぇいのる	FEパート！	
30	00:04:01	JUNY	リドリーどの捕まったのかー	
31	00:04:35	ジャック・オー	リドリーさんイベント多いな	
32	00:04:38	うぇいのる	めっちゃ囲まれてる…	
33	00:04:41	mori mori	にげよう	
34	00:05:11	じょーげん	つよい	
35	00:05:15	ジャック・オー	モブ部隊には十分勝てる	
36	00:05:23	ジャック・オー	うわぁ	
37	00:05:43	じょーげん	意外に早かった	
38	00:06:21	JUNY	敵味方が入れ替わった？	
39	00:07:01	らうらう	​おいしい煮玉子	
40	00:07:03	ジャック・オー	あ	
41	00:07:17	eve	ああー	
42	00:07:18	じょーげん	サムスが悪い	
43	00:07:23	mori mori	草	
44	00:07:24	JUNY	あぁー	
45	00:07:29	うぇいのる	これきついな…	
46	00:07:31	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
47	00:09:14	ジャック・オー	やったね	
48	00:09:16	うぇいのる	これはいけそう	
49	00:09:20	Clacklin/クラックリン	退路を作る！	
50	00:09:24	JUNY	左の歩兵倒して逃げ道を作るのが正解か	
51	00:00:00	Clacklin/クラックリン	待機	
52	00:00:24	味付けタマゴ	再開煮玉子	
53	00:00:29	JUNY	おいしい煮玉子	
54	00:00:41	mori mori	おっ	
55	00:00:46	eve	おいしい煮玉子	
56	00:00:47	うぇいのる	おいしい煮玉子	
57	00:00:48	Clacklin/クラックリン	おいしい煮玉子	
58	00:01:00	sas b	おいしい煮玉子	
59	00:01:00	ジャック・オー	おいしい煮玉子	
60	00:01:02	mori mori	おいしい煮玉子	
61	00:01:04	ヌルヌペペ	おいしい煮玉子	
62	00:01:14	Clacklin/クラックリン	30分で何ができた？	
63	00:01:58	うぇいのる	おいしい朝ごはん	
64	00:02:02	mori mori	かわいい	
65	00:02:02	すけあら	おいしい煮玉子、、、これ挨拶ですか？	
66	00:02:06	ジャック・オー	かわいい	
67	00:02:11	JUNY	4時頃やってた戦争は勝ったの？	
68	00:02:15	Clacklin/クラックリン	ご飯食べると眠くなるぞー（笑）	
69	00:02:20	eve	何食べたの？	
70	00:02:22	ジャック・オー	なに食べた？	
71	00:02:31	mori mori	この段階で終盤なら	
