行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	伏葦たぐい	おいしい煮玉子	
1	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたまー	
2	00:00:00	究極ド根性ダイコン	おいしいKBT	
3	00:00:00	ブロア	おいしい煮玉子	
4	00:00:12	ジャック・オー	おいしい煮玉子	
5	00:00:19	ふーばー	おいしい煮玉子	
6	00:00:21	バリ島のサボテン	おいしい煮玉子	
7	00:00:21	むらさきあんこ	おいしい煮玉子	
8	00:00:22	秋箱	おはよー姉ちゃん	
9	00:00:22	鹿の仔	おいしい煮玉子	
10	00:00:24	ジュンペイ	おいしい煮玉子	
11	00:00:24	量産型雑魚	おいしい煮玉子	
12	00:00:24	Luce	おいしい煮玉子	
13	00:00:28	桜日ハル	おいしい煮玉子	
14	00:00:31	ヨビダンゴ	おいしい煮玉子	
15	00:00:35	なんたら	おいしい煮玉子	
16	00:00:36	究極ド根性ダイコン	おいしい煮玉子	
17	00:00:39	majika	おいしい煮玉子	
18	00:00:40	メレンゲ	おいたまー	
19	00:00:41	えび	おいしい煮玉子	
20	00:00:43	mori mori	おはよー	
21	00:00:43	eve	おいしい煮玉子	
22	00:00:43	tamachan0312	おいたま	
23	00:00:46	Luce	オハヨーハヨー	
24	00:00:48	むらさきあんこ	おはよう！	
25	00:00:50	ヨビダンゴ	おはよー	
26	00:00:51	すのー	おはよう	
27	00:00:58	スルーラスト	おいしい煮玉子(๑>ڡ<๑)	
28	00:00:59	佐藤楓	人間性とおいしい煮玉子を捧げよ	
29	00:01:05	mori mori	姉ちゃんは早起きだなあ	
30	00:01:17	夕張檸檬	おいしい煮玉子	
31	00:01:20	秋箱	昨日の姉ちゃん放送寝落ちしたから二窓しながら見る	
32	00:01:34	ラジオ	おはよー	
33	00:01:34	ネズミ2/2/6	おはよう煮玉子	
34	00:02:02	もみじおろし	姉ちゃんおはよう	
35	00:02:05	秋箱	回転してる？	
36	00:02:21	密室少年	美味しい煮玉子ー	
37	00:02:22	究極ド根性ダイコン	届いてるよ	
38	00:02:35	YHT AKO	ゲーム音かなり小さいね	
39	00:02:38	量産型雑魚	極端なパーツだ	
40	00:02:40	TKG M	おいしい煮玉子	
41	00:02:46	桜日ハル	一瞬止まりかけたけれど直りましたわ	
42	00:02:48	秋箱	踏んだり蹴ったり姉ちゃん	
43	00:02:51	むらさきあんこ	中古ゲー買えてしまう…	
44	00:02:56	mori mori	草	
45	00:03:04	のねずみ20日	こっちからは問題ないような気がするけど	
46	00:03:07	ふーばー	姉ちゃんの位置いつも左下だったっけ？	
47	00:03:09	なんたら	トリガーが空気清浄機にひっかかる？	
48	00:03:12	究極ド根性ダイコン	サイバーガジェットに期待をしてはいけない(戒め)	
49	00:03:17	究極ド根性ダイコン	でたでた	
50	00:03:17	mori mori	でた	
51	00:03:20	_ Die	きた	
52	00:03:21	秋箱	音出た！	
53	00:03:22	ネズミ2/2/6	姉ちゃんがヨガってる	
54	00:00:00	伏葦たぐい	おいしい煮玉子	
55	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいたまー	
56	00:00:00	究極ド根性ダイコン	おいしいKBT	
57	00:00:00	ブロア	おいしい煮玉子	
58	00:00:12	ジャック・オー	おいしい煮玉子	
59	00:00:19	ふーばー	おいしい煮玉子	
60	00:00:21	バリ島のサボテン	おいしい煮玉子	
61	00:00:21	むらさきあんこ	おいしい煮玉子	
62	00:00:22	秋箱	おはよー姉ちゃん	
63	00:00:22	鹿の仔	おいしい煮玉子	
64	00:00:24	ジュンペイ	おいしい煮玉子	
65	00:00:24	量産型雑魚	おいしい煮玉子	
66	00:00:24	Luce	おいしい煮玉子	
67	00:00:28	桜日ハル	おいしい煮玉子	
68	00:00:31	ヨビダンゴ	おいしい煮玉子	
69	00:00:35	なんたら	おいしい煮玉子	
70	00:00:36	究極ド根性ダイコン	おいしい煮玉子	
71	00:00:39	majika	おいしい煮玉子	
72	00:00:40	メレンゲ	おいたまー	
73	00:00:41	えび	おいしい煮玉子	
74	00:00:43	mori mori	おはよー	
75	00:00:43	eve	おいしい煮玉子	
76	00:00:43	tamachan0312	おいたま	
77	00:00:46	Luce	オハヨーハヨー	
78	00:00:48	むらさきあんこ	おはよう！	
79	00:00:50	ヨビダンゴ	おはよー	
80	00:00:51	すのー	おはよう	
81	00:00:58	スルーラスト	おいしい煮玉子(๑>ڡ<๑)	
82	00:00:59	佐藤楓	人間性とおいしい煮玉子を捧げよ	
83	00:01:05	mori mori	姉ちゃんは早起きだなあ	
84	00:01:17	夕張檸檬	おいしい煮玉子	
85	00:01:20	秋箱	昨日の姉ちゃん放送寝落ちしたから二窓しながら見る	
86	00:01:34	ラジオ	おはよー	
87	00:01:34	ネズミ2/2/6	おはよう煮玉子	
88	00:02:02	もみじおろし	姉ちゃんおはよう	
89	00:02:05	秋箱	回転してる？	
90	00:02:21	密室少年	美味しい煮玉子ー	
91	00:02:22	究極ド根性ダイコン	届いてるよ	
92	00:02:35	YHT AKO	ゲーム音かなり小さいね	
93	00:02:38	量産型雑魚	極端なパーツだ	
94	00:02:40	TKG M	おいしい煮玉子	
95	00:02:46	桜日ハル	一瞬止まりかけたけれど直りましたわ	
96	00:02:48	秋箱	踏んだり蹴ったり姉ちゃん	
97	00:02:51	むらさきあんこ	中古ゲー買えてしまう…	
98	00:02:56	mori mori	草	
99	00:03:04	のねずみ20日	こっちからは問題ないような気がするけど	
100	00:03:07	ふーばー	姉ちゃんの位置いつも左下だったっけ？	
101	00:03:09	なんたら	トリガーが空気清浄機にひっかかる？	
102	00:03:12	究極ド根性ダイコン	サイバーガジェットに期待をしてはいけない(戒め)	
