行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい	
1	00:00:00	mori mori	何で姉ちゃん0時に配信したがるん・・・？	
2	00:00:00	りあすて	おにたま	
3	00:00:00	くりお	wktk	
4	00:00:00	tage	にたまご～	
5	00:00:00	くりお	おいしい煮玉子〜	
6	00:00:00	なんたら	おいしい煮玉子	
7	00:00:00	らうらう	おいしい煮玉子	
8	00:00:00	くりお	モイラ様のトラック配信を見ながら待機	
9	00:00:00	Garden	おにたま～	
10	00:00:00	satoshi takahashi	お姉ちゃんのおいしい煮玉子	
11	00:00:00	なる	おいたま～	
12	00:00:00	らうらう	おいたまなの、おにたまなの	
13	00:00:00	Garden	わからん…	
14	00:00:00	くりお	おにたま優勢の模様	
15	00:00:00	はらまき	おいたまー	
16	00:00:00	らうらう	おいたま～(手のひら返し)	
17	00:00:00	くりお	おいたま優勢の模様	
18	00:00:20	mori mori	おはよう！	
19	00:00:21	くりお	おいしい煮玉子〜	
20	00:00:23	たびびと	おいしい煮玉子	
21	00:00:25	なんたら	こんばんは	
22	00:00:25	fami fami	こんばん煮玉子	
23	00:00:26	ジャック・オー	おいたま～	
24	00:00:29	Garden	こんばんはったらこんばんは	
25	00:00:29	ポンコツジョン	おいしい煮玉子	
26	00:00:29	八木谷	おいしい煮玉子	
27	00:00:32	むらさきあんこ	おいしいたにし	
28	00:00:34	ジョナサン・グレーン	おいしい煮玉子〜	
29	00:00:35	スルーラスト	おいしい煮玉子〜	
30	00:00:37	あまいさい	おいしい煮玉子	
31	00:00:37	りあすて	おいしい煮玉子	
32	00:00:42	Garden	おーにーたーまー！！！！	
33	00:00:44	tage	おいたま～	
34	00:00:48	ネズミ2/2/6	おいしい煮玉子	
35	00:00:48	メレンゲ	おいしい煮玉子	
36	00:00:51	なんたら	おいしい煮玉子	
37	00:00:53	タマウガチ	おいたま〜	
38	00:00:53	究極ド根性ダイコン	おいしい煮玉子	
39	00:00:53	なる	おにたま派は馬鹿だなぁ	
40	00:00:54	蒼井時雨	おいしい煮玉子	
41	00:01:07	eve	おいしい煮玉子～	
42	00:01:08	mahiroまひろ	タニシツイートからこんばんは	
43	00:01:10	らうらう	もはやおいたまが公式	
44	00:01:16	砂上きみず	おいしい煮玉子～	
45	00:01:20	畑秋	おいしい煮玉子	
46	00:01:30	mori mori	マフィアだよ	
47	00:01:35	究極ド根性ダイコン	tarentokana///	
48	00:01:38	究極ド根性ダイコン	タレントかな…	
49	00:01:43	ヤマタノオロチ	おいしい煮玉子	
50	00:01:45	くりお	マフィア梶田はエッセイスト的な？	
51	00:01:46	メレンゲ	梶田はライターの筈・・・	
52	00:01:54	Ganon	草	
53	00:01:55	むらさきあんこ	送りものにマフィアが入っててビックリした	
54	00:01:55	なんたら	出来が良すぎる	
55	00:01:58	らうらう	草	
56	00:01:58	tage	マフィア梶田とグラブル中村	
57	00:02:01	くりお	草生えた	
58	00:02:02	灘こよみ	ライターよ	
59	00:02:04	らうらう	出来よくて草	
60	00:02:04	猫の散歩道	どう見ても悪役	
61	00:02:05	ネズミ2/2/6	フリー素材のライター	
62	00:02:06	タマウガチ	草	
63	00:02:07	フレイムリンクス	マフィア梶田は草	
64	00:02:11	ポンコツジョン	草	
65	00:02:17	あい	完全に本人	
66	00:02:19	mori mori	めっちゃ強キャラ感出てて草	
67	00:02:20	ジョナサン・グレーン	見てこの顔絶対ホモよ！	
68	00:00:00	らうらう	おいしい	
69	00:00:00	mori mori	何で姉ちゃん0時に配信したがるん・・・？	
70	00:00:00	りあすて	おにたま	
71	00:00:00	くりお	wktk	
72	00:00:00	tage	にたまご～	
73	00:00:00	くりお	おいしい煮玉子〜	
74	00:00:00	なんたら	おいしい煮玉子	
75	00:00:00	らうらう	おいしい煮玉子	
76	00:00:00	くりお	モイラ様のトラック配信を見ながら待機	
77	00:00:00	Garden	おにたま～	
78	00:00:00	satoshi takahashi	お姉ちゃんのおいしい煮玉子	
79	00:00:00	なる	おいたま～	
80	00:00:00	らうらう	おいたまなの、おにたまなの	
81	00:00:00	Garden	わからん…	
82	00:00:00	くりお	おにたま優勢の模様	
83	00:00:00	はらまき	おいたまー	
84	00:00:00	らうらう	おいたま～(手のひら返し)	
85	00:00:00	くりお	おいたま優勢の模様	
86	00:00:20	mori mori	おはよう！	
87	00:00:21	くりお	おいしい煮玉子〜	
88	00:00:23	たびびと	おいしい煮玉子	
89	00:00:25	なんたら	こんばんは	
90	00:00:25	fami fami	こんばん煮玉子	
91	00:00:26	ジャック・オー	おいたま～	
92	00:00:29	Garden	こんばんはったらこんばんは	
93	00:00:29	ポンコツジョン	おいしい煮玉子	
94	00:00:29	八木谷	おいしい煮玉子	
95	00:00:32	むらさきあんこ	おいしいたにし	
96	00:00:34	ジョナサン・グレーン	おいしい煮玉子〜	
97	00:00:35	スルーラスト	おいしい煮玉子〜	
98	00:00:37	あまいさい	おいしい煮玉子	
99	00:00:37	りあすて	おいしい煮玉子	
100	00:00:42	Garden	おーにーたーまー！！！！	
101	00:00:44	tage	おいたま～	
102	00:00:48	ネズミ2/2/6	おいしい煮玉子	
103	00:00:48	メレンゲ	おいしい煮玉子	
104	00:00:51	なんたら	おいしい煮玉子	
105	00:00:53	タマウガチ	おいたま〜	
106	00:00:53	究極ド根性ダイコン	おいしい煮玉子	
107	00:00:53	なる	おにたま派は馬鹿だなぁ	
108	00:00:54	蒼井時雨	おいしい煮玉子	
109	00:01:07	eve	おいしい煮玉子～	
110	00:01:08	mahiroまひろ	タニシツイートからこんばんは	
111	00:01:10	らうらう	もはやおいたまが公式	
112	00:01:16	砂上きみず	おいしい煮玉子～	
113	00:01:20	畑秋	おいしい煮玉子	
114	00:01:30	mori mori	マフィアだよ	
115	00:01:35	究極ド根性ダイコン	tarentokana///	
116	00:01:38	究極ド根性ダイコン	タレントかな…	
117	00:01:43	ヤマタノオロチ	おいしい煮玉子	
118	00:01:45	くりお	マフィア梶田はエッセイスト的な？	
