行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	キタカシ	待機	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	JUNY	おいしい煮玉子	
4	00:00:00	mk 95	おいしい煮玉子	
5	00:00:00	じょーげん	おいしい煮玉子	
6	00:00:00	ほるもん	おいしい煮玉子	
7	00:00:00	パンセポンセ	おいしい煮玉子	
8	00:00:00	桜田紅	おいしい煮玉子	
9	00:00:00	岸辺一徳	おいしい煮玉子	
10	00:00:00	海のさかな	おいしい煮玉子	
11	00:00:00	カギカギ	おいしい煮玉子	
12	00:00:14	seafood	おいしい煮玉子	
13	00:00:15	キタカシ	美味しい煮玉子	
14	00:00:18	ナウ	おいしい煮玉子	
15	00:00:18	助六	おいしい煮玉子	
16	00:00:20	岸辺一徳	おいしい煮玉子	
17	00:00:20	ふーばー	おいしい煮玉子	
18	00:00:24	らうらう	おいしい煮玉子	
19	00:00:24	むらさきあんこ	おいしい煮玉子	
20	00:00:24	カギカギ	おいしい煮玉子	
21	00:00:25	ねぎ男	おいしい煮玉子	
22	00:00:25	Aschen puttel	おいしい煮玉子	
23	00:00:27	刀根雅武	おいしい煮玉子	
24	00:00:28	なんたら	おいしい煮玉子	
25	00:00:29	のねずみ	おいしい煮玉子	
26	00:00:33	リフェ	おいしい煮玉子	
27	00:00:33	peakyside you	おいしい煮玉子	
28	00:00:34	aa aa	おいしいにたまご	
29	00:00:36	ナウ	クソゲーの中のクソゲー	
30	00:00:38	Aschen puttel	クソゲーofクソゲー	
31	00:00:43	マイフェイバリットトリビアン	おいしい煮玉子	
32	00:00:45	JUNY	久々のBGM	
33	00:00:47	aa aa	ドラゴンズレア・・・売ったはずじゃ…	
34	00:00:50	キタカシ	初見です、どういうゲームなんですか？	
35	00:01:03	味付けタマゴ	おいしい煮玉子	
36	00:01:06	imo	おいしい煮玉子	
37	00:01:14	助六	このゲームやってるVtuber２人しか知らない･･･	
38	00:01:16	sas b	おいしい煮玉子	
39	00:01:17	せせらぎ	コントローラ直ったから今回はいける！	
40	00:01:21	リフェ	前回は3面だったっけ…	
41	00:01:21	aa aa	10000円するクソゲー	
42	00:01:22	なんたら	謎ジャンプが発生した	
43	00:01:24	ナウ	縛りをとかれたクゥ	
44	00:01:32	岸辺一徳	100％のドラゴンズレアを楽しめる	
45	00:01:35	JUNY	やっぱニンテンドー製だよなぁ！	
46	00:01:40	ふーばー	草	
47	00:01:43	せせらぎ	草	
48	00:01:46	リフェ	草	
49	00:01:47	aa aa	100%（即死	
50	00:01:48	キタカシ	クソゲー愛好を自称してるVtuberなんて３人しかしらない…	
51	00:01:59	ねこくーる	おいしい煮玉子	
52	00:02:15	aa aa	姉ちゃん前回どこまでいったっけ	
53	00:02:17	ミワタリ	おいしい煮玉子	
54	00:02:25	JUNY	忘れてたんだ	
55	00:02:28	キタカシ	嘘だろ年明けて３か月経ったの…？	
56	00:02:31	くーねる	おいしい煮玉子	
57	00:02:34	mk 95	そんなに経ってたんだ…	
58	00:02:52	aa aa	最後見えない落とし穴だらけの橋でクソゲー認定して終わったか	
