行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	スモーク	おいたま！	
1	00:00:00	近藤亮	おいしい煮玉子	
2	00:00:00	らうらう	おいたま	
3	00:00:00	うぇいのる	おいしい煮玉子	
4	00:00:00	Shota Hamada	おいしい煮玉子	
5	00:00:00	岸辺一徳	おいしい煮玉子	
6	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
7	00:00:00	ミワタリ	おいしい煮玉子	
8	00:00:00	mk 95	おいしい煮玉子	
9	00:00:00	あい	おいしい煮玉子	
10	00:00:13	ヌルヌペペ	おいしい煮玉子	
11	00:00:14	mori mori	姉ちゃん！	
12	00:00:20	究極ド根性ダイコン	おいしい煮玉子	
13	00:00:20	ヤマえもん	おいしい煮玉子	
14	00:00:20	レアリスム星人	おいしい煮玉子	
15	00:00:28	らうらう	おいたまご	
16	00:00:28	うぇいのる	始まった	
17	00:00:28	めるカバ	おいしいミソシタ	
18	00:00:31	近藤亮	おいしい煮玉子	
19	00:00:31	eve	おいしい煮玉子	
20	00:00:32	mori mori	無問題煮玉子	
21	00:00:33	T.のかね	おいしい煮玉子	
22	00:01:11	究極ド根性ダイコン	ガチャ欲を抑えきれない姉ちゃん	
23	00:01:13	らうらう	開幕即ガチャ	
24	00:01:15	mori mori	ガチャに取り付かれている・・・	
25	00:01:18	ヤマえもん	単独ならステップアップが欲しかった	
26	00:01:26	めるカバ	CV水樹奈々	
27	00:01:52	なる	おいしい煮玉子	
28	00:01:56	うぇいのる	すばらしい尻	
29	00:01:57	mori mori	足元に得物置いてあるの草	
30	00:01:59	ヤマえもん	双剣の扱いよｗ	
31	00:01:59	マーキングおじさん	えっち	
32	00:02:00	タケノコ男	おいしい煮玉子	
33	00:02:09	あい	シンプル過ぎでやばいよね	
34	00:02:11	らうらう	えっど	
35	00:02:27	岸辺一徳	どうせ紐はフェイクなんでしょー	
36	00:02:28	むらさきあんこ	おいしい水着	
37	00:02:30	究極ド根性ダイコン	地面に直置きで草	
38	00:02:35	めるカバ	なぜ柔軟でお尻を揺らすのですか？	
