行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	蘭子	あれは限界に挑戦した良作品だ	
1	00:00:00	マツコリ	デビルマンを一人で観る勇気はなかったのでありがたい	
2	00:00:00	アトリア	あああああああねえちゃあああああああああん	
3	00:00:00	虹色ガンダム	一人でブツブツ言いながら見てる説ありえる	
4	00:00:00	蘭子	なお次回作があったらヒロインは変わってる可能性大の模様	
5	00:00:00	らうらう	姉ちゃんまたサラダボウルでコーヒーを？	
6	00:00:00	十手	かわいい	
7	00:00:00	しまはる	虚空に向かってデビルマン視聴	
8	00:00:00	ばじりこ	ルゥ姉ちゃんが出たいと駄々こねて姉妹でもめてる説	
9	00:00:00	MY k	水筒とか用意しているのかもしれない	
10	00:00:00	らうらう	もうこぼすのはやめてほしいぞ	
11	00:00:00	キノ	姉ちゃんってコーヒー淹れられるの？	
12	00:00:00	ネズミ2/2/6	遅刻スパチャ草	
13	00:00:00	塩ラーメン	おそない？	
14	00:00:00	じょーげん	30分までは普通だから…	
15	00:00:00	きなこあんこ	虚空とデビルマン見てそう	
16	00:00:00	虹色ガンダム	お、ツイート	
17	00:00:00	山海天半	もしかして姉ちゃん一人で見てる？	
18	00:00:00	mori mori	スタートは21:50説あるでこれ	
19	00:00:00	十手	もしかしてお姉ちゃんデビルマンレディーに・・・	
20	00:00:00	サライラ	間に合ってよかった	
21	00:00:00	T M.	JCから遅刻癖つくと大変だよ	
22	00:00:00	せせらぎ	来るかな？	
23	00:00:00	らうらう	ほんとマイペースだな姉ちゃんすき	
24	00:00:00	アトリア	遅刻者の名を受けて	
25	00:00:00	hime kami	くるか…	
26	00:00:00	サモン	流石に虚空はコメント見て気付くだろうしただの遅刻かな	
27	00:00:00	ヘンリーダーガー	また何かこぼしたのかな	
28	00:00:00	かーるポン	やった間に合ったゼ遅延の神に感謝	
29	00:00:00	まかべ	姉ちゃんの肌ってはじめ褐色だったような気がするんだが	
30	00:00:00	ジュンペイ	コーヒーかめんつゆこぼしたのか…	
31	00:00:00	脱太郎	まあ姉ちゃんだからな…	
32	00:00:00	まにとば	1人で気付かず実況してる説	
33	00:00:00	寿司丸	配信ボタン押し忘れてる説	
34	00:00:00	EEB	はじまるツイから３０分遅刻の展開、あると思います	
35	00:00:00	たんこぶ	みんなの事を待ってたんだよ・・・	
36	00:00:00	虹色ガンダム	「デビルマンがはじまる」って状態で10分待たせて、被験者の精神状態を見る実験説	
37	00:00:00	キノ	姉ちゃんって実はアホなんじゃ…	
38	00:00:00	マツコリ	しかしなぜgamingの方で…	
39	00:00:00	吉岡拓郎	各自始めればいいのかな	
40	00:00:00	アトリア	もうはじま…ってない！	
41	00:00:00	蘭子	サタンだからな	
42	00:00:00	しまはる	この待ち時間より本編の方が苦行の可能性ある	
43	00:00:00	らうらう	姉ちゃんのなかでなにがはじまってるんだ？	
44	00:00:00	ノンフロン	はじまらないー！	
