行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	バーチャルYouTuberガニメデちゃんねる	待機…	
1	00:00:00	ジャック・オー	煮待機	
2	00:00:00	山の田んぼ	アンテうおおおおおおおおおお	
3	00:00:00	りあすて	イヤホン付けてる？	
4	00:00:00	ぴねかっと	おいしい煮玉子	
5	00:00:00	mori mori	かわいい	
6	00:00:00	らうらう	おいしい煮玉子	
7	00:00:00	ジョナサン・グレーン	おいしいバタースコッチシナモンケーキ	
8	00:00:00	カーマイン	おいしい煮玉子	
9	00:00:00	biki koto	おいしい煮玉子	
10	00:00:00	ほるもん	おいしい煮玉子	
11	00:00:00	スモーク	おいしい煮玉子	
12	00:00:00	みね	おいしい煮玉子	
13	00:00:00	天然ステルス	おいしい煮玉子	
14	00:00:00	なんたら	おいしい煮玉子	
15	00:00:00	リフェ	おいしい煮玉子	
16	00:00:00	厳かな守護者P	おいしい煮玉子	
17	00:00:00	袖口	おいしい煮玉子	
18	00:00:00	究極ド根性ダイコン	おいしいバタースコッチシナモンパイ	
19	00:00:00	カギカギ	おいしい煮玉子	
20	00:00:00	じょーげん	おいしい煮玉子	
21	00:00:00	あたふた	おいしいカタツムリパイ	
22	00:00:00	ロンドベルジェニ	おいしい煮玉子	
23	00:00:00	御早和杯	1かいめって書いてある…	
24	00:00:00	山の田んぼ	おいしいスパイダードーナツ	
25	00:00:00	らうらう	サムネすき	
26	00:00:00	カーマイン	サムネいいよね…	
27	00:00:00	ジョナサン・グレーン	姉ちゃんのサムネ凝ってていいよね…	
28	00:00:00	ジャック・オー	いい…	
29	00:00:00	eve	いい	
30	00:00:00	T.のかね	いい…	
31	00:00:00	なんたら	いい…	
32	00:00:00	じょーげん	いい…	
33	00:00:00	厳かな守護者P	いい...	
34	00:00:00	sas b	おいしい煮玉子	
35	00:00:00	FFDD	いい…	
36	00:00:00	山の田んぼ	美味しい煮玉子	￥200
37	00:00:08	あたふた	今日アンテ一回目楽しみ	
38	00:00:11	らうらう	？！？！？！	
39	00:00:15	せせらぎ	かわいい	
40	00:00:16	ジャック・オー	！？！？	
41	00:00:17	motiyomogi	おいしい煮玉子	
42	00:00:18	mori mori	かわいい！！！	
43	00:00:18	スモーク	かわいい！	
44	00:00:18	究極ド根性ダイコン	！？	
45	00:00:20	あたふた	急に始まった	
46	00:00:20	ぴねかっと	かわいい	
47	00:00:21	猫の散歩道	美味しい煮テイル	
48	00:00:22	天然ステルス	帽子	
49	00:00:22	biki koto	！？	
50	00:00:23	ジャック・オー	かわいいお帽子	
51	00:00:23	御早和杯	おいしい煮玉子	
52	00:00:23	らうらう	専念帽子くん？！！？！	
53	00:00:23	T.のかね	おいしい煮玉子…かわいい！！！！！！！！	
54	00:00:24	リフェ	かわいい	
55	00:00:25	なんたら		￥1,000
56	00:00:26	ジョナサン・グレーン	かわいい	
57	00:00:27	eve	おいしい煮玉子	
58	00:00:27	じょーげん	かわいい	
59	00:00:27	桜田紅	おいしい煮玉子！かわいい帽子！	
60	00:00:31	motiyomogi	かわいいおぼうし	
61	00:00:31	FFDD	かわいい	
62	00:00:32	カギカギ	かわいい！	
63	00:00:34	なんたら	かわいい	
64	00:00:38	毒入りトマト	おいしい煮玉子	
65	00:00:38	カーマイン	かわいい！！！！！！	
66	00:00:39	山の田んぼ	かわいいお帽子	
67	00:00:42	ナウ	おいしい煮玉子	
68	00:00:42	和音	かわいいぼうし	
69	00:00:43	やなぎかげ	かわいい！	
70	00:00:46	いぶきんぐ	おいしい煮玉子	
71	00:00:46	TheiA -OD	わこ	
72	00:00:47	biki koto	クリスマス気分が抜けた！	
73	00:00:48	みね	かわいい	
74	00:00:50	seafood	おいしい煮玉子	
75	00:00:50	厳かな守護者P	かわいいおぼうし	
76	00:00:54	タケノコ男	おいしい煮玉子	
77	00:00:54	ほるもん	おいしい煮玉子	
78	00:00:55	じょーげん	千年帽子くん！！！？？？	
79	00:00:56	ジャック・オー	千年帽子は犠牲になったのだ	
80	00:00:57	御早和杯	でんせつの山に登っちゃダメだよ！	
81	00:00:58	ニャンコ先生	帽子かわいい	
82	00:00:59	いぶきんぐ	うわああああかわいい！	
83	00:00:59	らうらう		￥100
84	00:01:00	あい	おいしい煮玉子	
85	00:01:02	スモーク	わかる	
86	00:00:00	バーチャルYouTuberガニメデちゃんねる	待機…	
87	00:00:00	ジャック・オー	煮待機	
88	00:00:00	山の田んぼ	アンテうおおおおおおおおおお	
89	00:00:00	りあすて	イヤホン付けてる？	
90	00:00:00	ぴねかっと	おいしい煮玉子	
91	00:00:00	mori mori	かわいい	
92	00:00:00	らうらう	おいしい煮玉子	
93	00:00:00	ジョナサン・グレーン	おいしいバタースコッチシナモンケーキ	
94	00:00:00	カーマイン	おいしい煮玉子	
95	00:00:00	biki koto	おいしい煮玉子	
96	00:00:00	ほるもん	おいしい煮玉子	
