行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	キタカシ	美味しい煮玉子	
3	00:00:00	カギカギ	おいしい煮玉子	
4	00:00:00	ほるもん	おいしい煮玉子	
5	00:00:00	岸辺一徳	おいしい煮玉子	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:00	にけい	おいしい煮玉子	
8	00:00:14	岸辺一徳	おいしい煮玉子	
9	00:00:20	biggs	おいしい煮玉子	
10	00:00:21	タケノコ男	おいしい煮玉子	
11	00:00:21	motiyomogi	おいしい煮玉子	
12	00:00:22	ほるもん	おいしい煮玉子	
13	00:00:22	JUNY	おいしい煮玉子	
14	00:00:23	八木谷	おいしい煮玉子	
15	00:00:24	ジャック・オー	　おいしい煮玉子　	
16	00:00:26	eve	おいしい煮玉子	
17	00:00:30	らうらう	おいしい煮玉子	
18	00:00:31	aarar scsrt	おいしい煮玉子	
19	00:00:32	ナウ	おいしい煮玉子	
20	00:00:33	リフェ	おいしい煮玉子	
21	00:00:42	motiyomogi	おみず	
22	00:00:47	ねこくーる	おいしい煮玉子	
23	00:00:50	キタカシ	BGMに対して貧弱な声量好き	
24	00:00:58	aarar scsrt	オールドオールド	
25	00:00:58	aa aa	おいしい煮玉子	
26	00:00:59	御早和杯	おいしい煮玉子	
27	00:01:03	あい	おいしい煮玉子	
28	00:01:11	八木谷	BGMがすごい	
29	00:01:23	カギカギ	おいしい煮玉子	
30	00:01:50	うぇいのる	おいしい煮玉子	
31	00:01:55	ここあ	こんにちは	
32	00:02:15	ジャック・オー	ルゥ姉ちゃんはフェアリータイプ	
33	00:02:17	タケノコ男	姉ちゃん妖精だったんだ…	
34	00:02:29	ねこくーる	都に行くんだっけ	
35	00:02:45	らうらう	ドラゴンキラールゥ	
36	00:02:50	ジョナサン・グレーン	おいしい煮玉子	
37	00:03:26	キタカシ	この男の子がバテンカイトス君？	
38	00:03:30	JUNY	仙台アニメイトね。もうずっと昔のことだけど	
39	00:03:38	うぇいのる	そうなんだ…	
40	00:03:41	岸辺一徳	魚屋の上の仙台アニメイトはもう……	
41	00:04:31	究極ド根性ダイコン	ギバリさん人間の鑑すぎない？	
42	00:04:41	やなぎかげ	おいしい煮玉子	
43	00:04:56	ジャック・オー	ジャスコ憎し	
44	00:05:03	なんたら	イオン？	
45	00:05:07	タケノコ男	ジャスコ	
