行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ふかちゃんチャンネル	おつ！	
1	00:00:00	Garden	わざわざポーズとって画面に紛れるの好き	
2	00:00:00	なんたら	サムネ視認性が良い	
3	00:00:00	らうらう	スカートがみじかすぎて教育に悪いよ	
4	00:00:15	なんたら	おいしい煮玉子	
5	00:00:16	ふじ	おいしい煮玉子	
6	00:00:18	ブロア	おいしい煮玉子	
7	00:00:20	周恩来	おいしい煮玉子	
8	00:00:23	ミワタリ	おいしい煮玉子	
9	00:00:25	Garden	おいしい煮玉子	
10	00:00:29	べるべる	おいしい煮玉子	
11	00:00:29	まつ	おいしい煮玉子	
12	00:00:30	あい	おいしい煮玉子	
13	00:00:30	竹輪	おいたまー！	
14	00:00:33	blank	おいしい煮玉子	
15	00:00:34	らうらう	​おいしい煮玉子	
16	00:00:34	レアリスム星人	おいしい煮玉子	
17	00:00:34	ぴねかっと	おいしい煮玉子	
18	00:00:36	くれみ	おいしい煮玉子	
19	00:00:36	やなぎかげ	おいしい煮玉子	
20	00:00:36	はまちハウマッチ	おいしい煮卵	
21	00:00:41	明日カン八郎	おいしい煮玉子	
22	00:00:47	陰キャバス竹中	おいしい煮玉子	
23	00:00:48	究極ド根性ダイコン	おいしい煮玉子	
24	00:00:57	八木谷	おいしい煮玉子	
25	00:01:00	K. u	おいしい煮玉子	
26	00:01:00	みよ	おいしいみず	
27	00:01:01	陰キャバス竹中	うんｋしてたら倒してた	
28	00:01:02	めるカバ	おいしい煮玉子	
29	00:01:09	いぶきんぐ	おいしい煮玉子	
30	00:01:12	こみこ	おいしい煮玉子	
31	00:01:12	なる	おいしい煮玉子	
32	00:01:13	肉赤子ちゃんPB	おいしいみず	
33	00:01:20	のどあめ	おいたま〜	
34	00:01:49	うぇいのる	おいしい煮玉子	
35	00:02:01	肉赤子ちゃんPB	？？「人間に造られた私はポケモンですらない！」	
36	00:02:25	究極ド根性ダイコン	ポリゴンが泣いている	
37	00:02:27	ブロア	イアイ・ドー	
38	00:02:28	Jiban	hi	
39	00:02:29	Garden	ポリゴン…	
40	00:02:30	ジャック・オー	おいしい煮玉子	
41	00:02:50	周恩来	そんなポケモンはいないピカ	
42	00:02:55	配信する鍛冶屋アンドレイ	ポリゴンは…ピカチュウのせいで…テレビにはもう…	
43	00:03:05	tage	高飛び中で隠れとるんやろなあ	
44	00:03:10	やなぎかげ	ｷｭｲﾝ!	
45	00:03:12	周恩来	責任転嫁するなピカ	
46	00:03:13	くれみ	何者なんだこの子は	
47	00:03:17	なんたら	姉ちゃんの声帯模写好き	
48	00:03:24	味付けタマゴ	煮タマタマ	
49	00:03:25	じょーげん	ピカチュウてめぇ…	
50	00:03:25	陰キャバス竹中	ピカカスいい加減にしろ！！	
51	00:03:31	こみこ	デデンネ最低だな	
52	00:03:35	うぇいのる	最低ピカね…	
53	00:03:40	毒入りトマト	美味しい煮玉子	
54	00:00:00	ふかちゃんチャンネル	おつ！	
55	00:00:00	Garden	わざわざポーズとって画面に紛れるの好き	
56	00:00:00	なんたら	サムネ視認性が良い	
57	00:00:00	らうらう	スカートがみじかすぎて教育に悪いよ	
58	00:00:15	なんたら	おいしい煮玉子	
59	00:00:16	ふじ	おいしい煮玉子	
60	00:00:18	ブロア	おいしい煮玉子	
61	00:00:20	周恩来	おいしい煮玉子	
62	00:00:23	ミワタリ	おいしい煮玉子	
63	00:00:25	Garden	おいしい煮玉子	
64	00:00:29	べるべる	おいしい煮玉子	
65	00:00:29	まつ	おいしい煮玉子	
66	00:00:30	あい	おいしい煮玉子	
67	00:00:30	竹輪	おいたまー！	
68	00:00:33	blank	おいしい煮玉子	
69	00:00:34	らうらう	​おいしい煮玉子	
70	00:00:34	レアリスム星人	おいしい煮玉子	
71	00:00:34	ぴねかっと	おいしい煮玉子	
72	00:00:36	くれみ	おいしい煮玉子	
73	00:00:36	やなぎかげ	おいしい煮玉子	
74	00:00:36	はまちハウマッチ	おいしい煮卵	
75	00:00:41	明日カン八郎	おいしい煮玉子	
76	00:00:47	陰キャバス竹中	おいしい煮玉子	
77	00:00:48	究極ド根性ダイコン	おいしい煮玉子	
78	00:00:57	八木谷	おいしい煮玉子	
79	00:01:00	K. u	おいしい煮玉子	
80	00:01:00	みよ	おいしいみず	
81	00:01:01	陰キャバス竹中	うんｋしてたら倒してた	
82	00:01:02	めるカバ	おいしい煮玉子	
83	00:01:09	いぶきんぐ	おいしい煮玉子	
84	00:01:12	こみこ	おいしい煮玉子	
85	00:01:12	なる	おいしい煮玉子	
86	00:01:13	肉赤子ちゃんPB	おいしいみず	
87	00:01:20	のどあめ	おいたま〜	
88	00:01:49	うぇいのる	おいしい煮玉子	
89	00:02:01	肉赤子ちゃんPB	？？「人間に造られた私はポケモンですらない！」	
90	00:02:25	究極ド根性ダイコン	ポリゴンが泣いている	
91	00:02:27	ブロア	イアイ・ドー	
92	00:02:28	Jiban	hi	
93	00:02:29	Garden	ポリゴン…	
94	00:02:30	ジャック・オー	おいしい煮玉子	
95	00:02:50	周恩来	そんなポケモンはいないピカ	
96	00:02:55	配信する鍛冶屋アンドレイ	ポリゴンは…ピカチュウのせいで…テレビにはもう…	
97	00:03:05	tage	高飛び中で隠れとるんやろなあ	
98	00:03:10	やなぎかげ	ｷｭｲﾝ!	
99	00:03:12	周恩来	責任転嫁するなピカ	
100	00:03:13	くれみ	何者なんだこの子は	
101	00:03:17	なんたら	姉ちゃんの声帯模写好き	
102	00:03:24	味付けタマゴ	煮タマタマ	
103	00:03:25	じょーげん	ピカチュウてめぇ…	
104	00:03:25	陰キャバス竹中	ピカカスいい加減にしろ！！	
105	00:03:31	こみこ	デデンネ最低だな	
106	00:03:35	うぇいのる	最低ピカね…	
107	00:03:40	毒入りトマト	美味しい煮玉子	
108	00:03:42	配信する鍛冶屋アンドレイ	そして、ポリゴンは姿を変えて帰ってきた	
109	00:03:48	ブロア	かわいい	
110	00:03:49	らうらう	!?!?!	
111	00:03:50	ぴねかっと	草	
112	00:03:52	竹輪	かわいい	
113	00:03:52	たんこぶ	草	
114	00:03:54	肉赤子ちゃんPB	草	
115	00:03:55	K. u	草	
116	00:03:55	配信する鍛冶屋アンドレイ	ミミッキュとしてな！	
117	00:03:55	ミワタリ	かわいい	
118	00:03:56	くれみ	騒音！？	
119	00:03:57	毒入りトマト	草	
120	00:03:57	陰キャバス竹中	かわいい	
121	00:03:57	やなぎかげ	！？	
122	00:03:58	らうらう	目が冷めた	
123	00:03:59	松本幸四郎	びっくりした	
124	00:03:59	なんたら	かわいい	
125	00:04:00	A-100100	明らかに笛の音ではない	
126	00:04:01	うぇいのる	かわいい	
127	00:04:01	ブロア	これは襲うわ	
128	00:04:04	味付けタマゴ	ロックだね...	
129	00:04:04	周恩来		￥100
130	00:04:04	いぶきんぐ	工事現場かな？	
131	00:04:05	配信する鍛冶屋アンドレイ	騒音やんけ	
132	00:04:08	Garden	ロックだ…	
133	00:04:08	周恩来	かわいい	
134	00:04:22	配信する鍛冶屋アンドレイ	ポリゴンって聞こえた	
135	00:04:22	たんこぶ	そりゃ起きるわ	
136	00:04:25	究極ド根性ダイコン	変な音楽を必死に忘れようとしてる	
137	00:04:28	ミワタリ	騒音で起こしておいて飛び出してきたって	
138	00:04:32	ブロア	うわー捕獲したい…	
139	00:04:37	A-100100	初代のど忘れは異常	
140	00:04:40	K. u	捕まえるの地味に難しいんだよね	
141	00:04:52	配信する鍛冶屋アンドレイ	あぁ！	
142	00:04:57	ブロア	サイコJC	
143	00:04:59	周恩来	綿詰まってそう	
144	00:05:00	配信する鍛冶屋アンドレイ	大腸が…	
145	00:05:04	なんたら	打ち上がったクジラみたいになりそう	
146	00:05:06	究極ド根性ダイコン	まあ厚い脂肪だし…	
147	00:05:13	エクセルシオール	具体的な描写を想像してはならない()	
148	00:05:18	陰キャバス竹中	ｸｿｯ	
149	00:05:20	ブロア	ｸｿ	
150	00:05:23	K. u	姉ちゃん小声で…	
151	00:05:26	味付けタマゴ	重傷で帰っていったカビゴン	
152	00:05:32	くれめんて	腹きりさかれながら逃げたカビゴンはその後…	
153	00:05:37	ブロア	ｽｯｿﾞｵﾗｰ！	
154	00:05:38	ミワタリ	ライディングポケモンバトル	
155	00:05:43	周恩来	やんのかコラ！	
156	00:05:56	まつ	バイクと合体しそう	
157	00:06:03	やなぎかげ	絶妙なアホ顔	
158	00:06:04	うぇいのる	族に絡まれる陰キャ	
159	00:06:11	陰キャバス竹中	なぜバイクと合体しないんだ	
160	00:06:19	tage	ライディングポケモンバトル！	
161	00:06:30	毒入りトマト	ランニングポケモンバトル！	
162	00:06:31	生霊X	暴走族に勝つ陰キャ	
163	00:06:32	陰キャバス竹中	ｯｽｯｿﾞｺﾗｰ	
164	00:06:45	なんたら	暴走族（走らない）	
165	00:06:55	竹輪	だらだらしたいならなぜバイクに乗っているんだ……	
166	00:07:03	周恩来	頭が複数あるのかもしれない	
167	00:07:05	ブロア	スキンヘッズのWeb漫画すこだった	
168	00:07:05	A-100100	改めて考えるとサイクリングロードでバイクなんですねこいつら	
169	00:07:10	なんたら	スキンヘッズ！	
170	00:07:11	味付けタマゴ	100億万円ローンも可	
171	00:07:17	陰キャバス竹中	禿げてるおじさんって名前でよかったよね	
172	00:07:39	めるカバ	ヘッズ！？	
173	00:07:54	やなぎかげ	チャリンコ暴走族じゃないっけ	
174	00:07:58	まつ	かわいがり…	
175	00:08:04	tage	いんキャはほんとかわいいなァ･･･	
176	00:08:06	周恩来	あやふやおうた	
177	00:08:08	ブロア	おうた	
178	00:08:09	こみこ	おうた	
179	00:08:12	neiteng	おうた	
180	00:08:13	ミワタリ	おうた	
181	00:08:15	やなぎかげ	ｷｬﾝﾕﾏｽﾀｰﾍﾞｲﾍﾞｰ	
182	00:08:16	いぶきんぐ	おうた	
183	00:08:22	うぇいのる	かわいい	
184	00:08:25	ブロア	愛されてる！愛されてる実感がある！	
185	00:08:26	らうらう	ふわふわ	
186	00:08:31	竹輪	かわいい	
187	00:08:31	A-100100	そんな歌詞だったんだ	
188	00:08:32	biki koto	ミッドナイト！	
189	00:08:55	ブロア	関係無いこと言ったよ！	
190	00:08:58	なんたら	ドガ	
191	00:09:13	肉赤子ちゃんPB	それは生まれてくるはずだった双子のドガース	
192	00:09:19	周恩来	ちっちゃいひとつはまだドガースとしての自我がない	
193	00:10:16	竹輪	なつかしい……	
194	00:10:19	こみこ	あやふや	
195	00:10:19	やなぎかげ	チカチカけっこうつらいなぁ	
196	00:10:21	なんたら	～～～～いいよね	
197	00:10:23	A-100100	うろ覚えすぎる…	
198	00:10:29	らうらう	草	
199	00:10:30	周恩来	逆ゥ！	
200	00:10:31	味付けタマゴ	草	
201	00:10:31	いぶきんぐ	不思議な気持ちがわいちゃうのか…	
202	00:10:32	うぇいのる	おうたが多くて嬉しい…嬉しい…	
203	00:10:33	こみこ	脳みそ！？	
204	00:10:34	ミワタリ	草	
205	00:10:34	じょーげん	草	
206	00:10:35	究極ド根性ダイコン	歌詞がふわふわすぎる	
207	00:10:37	周恩来	脳みそにつめちゃえー！	
208	00:10:37	A-100100	脳みそに…？	
209	00:10:38	Garden	不思議な気持ちなら割と湧くかな…	
210	00:10:38	やなぎかげ	のうみそ！？	
211	00:10:40	肉赤子ちゃんPB	脳みそに詰めちゃえこわい	
