行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	_ Tamaya	おいしい煮玉子	
1	00:00:00	ジョナサン・グレーン	おいしいメトロイド	
2	00:00:00	フレイムリンクス	おいしいフェイゾン	
3	00:00:00	五十嵐万人	メトロイドおもロイド	
4	00:00:00	motiyomogi	中身超うめぇ！	
5	00:00:00	御早和杯	モーフボール（煮玉子）	
6	00:00:00	なんたら	FPS酔わないかな…	
7	00:00:00	カギアカギ	おいしい煮玉子	
8	00:00:00	T.のかね	おいしい煮玉子	
9	00:00:00	味付けタマゴ	おいしい煮玉子	
10	00:00:00	_ Die	おいしい煮玉子	
11	00:00:00	じょーげん	酔わないか心配	
12	00:00:00	らうらう	おいしい煮玉子	
13	00:00:00	なれはてはづき	おいしい煮玉子	
14	00:00:00	DoubleU	¥100	
15	00:00:00	岸辺一徳	おいしい煮玉子	
16	00:00:00	ジュンペイ	おいしい煮玉子	
17	00:00:00	タケノコ男	おいしい煮玉子	
18	00:00:00	kuyno egq	おいしい煮玉子	
19	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
20	00:00:00	スモーク	おいたま！	
21	00:00:14	motiyomogi	おいしい煮玉子	
22	00:00:14	eve	おいしい煮玉子	
23	00:00:16	岸辺一徳	おいしい煮玉子	
24	00:00:17	カギアカギ	おいたま！	
25	00:00:19	フレイムリンクス	おいしい煮玉子	
26	00:00:20	袖口	おいしい煮玉子	
27	00:00:21	ジョナサン・グレーン	おいたま〜	
28	00:00:22	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
29	00:00:26	御早和杯	おいしい煮玉子	
30	00:00:28	なる	おいしい煮玉子	
31	00:00:28	T.のかね	おいしい煮玉子	
32	00:00:29	竹本カキフライ	BB助かる	
33	00:00:29	らうらう	おいしい煮玉子	
34	00:00:29	究極ド根性ダイコン	おいしい煮玉子	
35	00:00:30	タチャンカ	おいしい煮玉子	
36	00:00:33	のねずみ20日	おいしい煮玉子	
37	00:00:34	じょーげん	おいしい煮玉子	
38	00:00:35	kuyno egq	おいしい煮玉子	
39	00:00:35	たんこぶ	おはようございます	
40	00:00:35	nmr	おいしい煮玉子	
41	00:00:41	_ Die	おいしい煮玉子	
42	00:00:42	Cream	おいたま	
43	00:00:44	ジャック・オー	おいしい煮玉子	
44	00:00:48	かたもく	美味しい賞金稼ぎ	
45	00:00:49	カギアカギ	ねむそう	
46	00:00:56	ナウ	おいしい煮玉子	
47	00:00:59	mori mori	早朝煮玉子	
48	00:01:00	めるカバ	おいしい煮玉子	
49	00:01:05	竹本カキフライ	かわいい	
50	00:01:05	ジョナサン・グレーン	寝起き姉ちゃんかわいい	
51	00:01:05	aruzas	おいしい煮玉子	
52	00:01:14	カギアカギ	かわいい	
53	00:01:15	フレイムリンクス	ねむねむ姉ちゃんかわいい	
54	00:01:19	ジャック・オー	かわいい	
55	00:01:25	ああ	おいしい煮玉子	
56	00:01:27	ナウ	眠そうなのにがんばって放送してる！高評価！	
57	00:01:34	mori mori	WiiってGCリモコン繋げなかったっけ？	
58	00:01:34	T.のかね	GC版なの	
59	00:01:35	ss kk	おいしい煮玉子	
60	00:01:38	らうらう	サクっと・・？	
61	00:01:45	FFDD	メトロイドプライム楽しみ	
62	00:01:46	究極ド根性ダイコン	サクっとやれるかな…	
63	00:01:48	フレイムリンクス	姉ちゃんプライムシリーズ初見？	
64	00:01:50	めるカバ	(FPSサクッとクリアできるか？)	
65	00:01:54	なる	1のダークサムスのムービーって100％クリアじゃなかった…？	
66	00:01:57	mori mori	しにそう	
67	00:01:58	ヌルヌペペ	おいしい煮玉子	
68	00:01:58	タケノコ男	はい	
69	00:02:00	らうらう	ぽよん	
70	00:02:01	岸辺一徳	さすが姉ちゃんに	
71	00:00:00	_ Tamaya	おいしい煮玉子	
72	00:00:00	ジョナサン・グレーン	おいしいメトロイド	
73	00:00:00	フレイムリンクス	おいしいフェイゾン	
74	00:00:00	五十嵐万人	メトロイドおもロイド	
75	00:00:00	motiyomogi	中身超うめぇ！	
76	00:00:00	御早和杯	モーフボール（煮玉子）	
77	00:00:00	なんたら	FPS酔わないかな…	
78	00:00:00	カギアカギ	おいしい煮玉子	
79	00:00:00	T.のかね	おいしい煮玉子	
80	00:00:00	味付けタマゴ	おいしい煮玉子	
81	00:00:00	_ Die	おいしい煮玉子	
82	00:00:00	じょーげん	酔わないか心配	
83	00:00:00	らうらう	おいしい煮玉子	
84	00:00:00	なれはてはづき	おいしい煮玉子	
85	00:00:00	DoubleU	¥100	
86	00:00:00	岸辺一徳	おいしい煮玉子	
87	00:00:00	ジュンペイ	おいしい煮玉子	
88	00:00:00	タケノコ男	おいしい煮玉子	
89	00:00:00	kuyno egq	おいしい煮玉子	
90	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
91	00:00:00	スモーク	おいたま！	
92	00:00:14	motiyomogi	おいしい煮玉子	
93	00:00:14	eve	おいしい煮玉子	
94	00:00:16	岸辺一徳	おいしい煮玉子	
95	00:00:17	カギアカギ	おいたま！	
96	00:00:19	フレイムリンクス	おいしい煮玉子	
97	00:00:20	袖口	おいしい煮玉子	
98	00:00:21	ジョナサン・グレーン	おいたま〜	
99	00:00:22	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
100	00:00:26	御早和杯	おいしい煮玉子	
101	00:00:28	なる	おいしい煮玉子	
102	00:00:28	T.のかね	おいしい煮玉子	
103	00:00:29	竹本カキフライ	BB助かる	
104	00:00:29	らうらう	おいしい煮玉子	
105	00:00:29	究極ド根性ダイコン	おいしい煮玉子	
106	00:00:30	タチャンカ	おいしい煮玉子	
107	00:00:33	のねずみ20日	おいしい煮玉子	
108	00:00:34	じょーげん	おいしい煮玉子	
109	00:00:35	kuyno egq	おいしい煮玉子	
110	00:00:35	たんこぶ	おはようございます	
111	00:00:35	nmr	おいしい煮玉子	
112	00:00:41	_ Die	おいしい煮玉子	
113	00:00:42	Cream	おいたま	
114	00:00:44	ジャック・オー	おいしい煮玉子	
115	00:00:48	かたもく	美味しい賞金稼ぎ	
116	00:00:49	カギアカギ	ねむそう	
117	00:00:56	ナウ	おいしい煮玉子	
118	00:00:59	mori mori	早朝煮玉子	
119	00:01:00	めるカバ	おいしい煮玉子	
120	00:01:05	竹本カキフライ	かわいい	
121	00:01:05	ジョナサン・グレーン	寝起き姉ちゃんかわいい	
122	00:01:05	aruzas	おいしい煮玉子	
123	00:01:14	カギアカギ	かわいい	
124	00:01:15	フレイムリンクス	ねむねむ姉ちゃんかわいい	
125	00:01:19	ジャック・オー	かわいい	
126	00:01:25	ああ	おいしい煮玉子	
127	00:01:27	ナウ	眠そうなのにがんばって放送してる！高評価！	
128	00:01:34	mori mori	WiiってGCリモコン繋げなかったっけ？	
129	00:01:34	T.のかね	GC版なの	
130	00:01:35	ss kk	おいしい煮玉子	
131	00:01:38	らうらう	サクっと・・？	
132	00:01:45	FFDD	メトロイドプライム楽しみ	
133	00:01:46	究極ド根性ダイコン	サクっとやれるかな…	
134	00:01:48	フレイムリンクス	姉ちゃんプライムシリーズ初見？	
135	00:01:50	めるカバ	(FPSサクッとクリアできるか？)	
136	00:01:54	なる	1のダークサムスのムービーって100％クリアじゃなかった…？	
137	00:01:57	mori mori	しにそう	
138	00:01:58	ヌルヌペペ	おいしい煮玉子	
139	00:01:58	タケノコ男	はい	
140	00:02:00	らうらう	ぽよん	
141	00:02:01	岸辺一徳	さすが姉ちゃんに	
142	00:02:03	_ Die	そうだね…	
143	00:02:04	ナウ	可能性は否定できない	
144	00:02:05	ss kk	かもしれない配信	
145	00:02:06	ジョナサン・グレーン	イキっていくスタイル	
146	00:02:08	ねこくーる	おいしい煮玉子	
147	00:02:10	御早和杯	終わるだろ…午前中には	
148	00:02:11	竹本カキフライ	今日（明日	
149	00:02:15	天然ステルス	おいしい煮玉子	
150	00:02:20	Ryo Kamiya	おいしい煮玉子	
151	00:02:27	kuyno egq	初見でサクッとクリアできるゲームではないんだよなぁ･･･	
152	00:02:38	ygk ichi	おいしい煮玉子	
153	00:02:42	クロノス	普通に良ゲー	
154	00:02:53	竹本カキフライ	ホラゲーっぽい	
155	00:02:57	めるカバ	外人メトロイド好きすぎ	
156	00:02:57	フレイムリンクス	GCの中ではグラフィックかなり凝ってる方だと思う	
157	00:02:58	らうらう	バーチャルリモコン	
158	00:03:00	たんこぶ	かっこいい	
159	00:03:01	D W	おいしい煮玉子	
160	00:03:07	ブロア	おいしい煮玉子	
161	00:03:07	なる	メインBGMかっこいい	
162	00:03:09	尾花	おいしい煮玉子	
163	00:03:10	究極ド根性ダイコン	ウイルス系のホラゲー感	
164	00:03:11	タケノコ男	かっこいい	
165	00:03:12	ジョナサン・グレーン	かっこいい	
166	00:03:14	天然ステルス	メトロイDOOM	
167	00:03:14	FFDD	GCの性能高いよね	
168	00:03:31	T.のかね	かっこいい	
169	00:03:33	D W	おっきくなった	
170	00:03:33	mori mori	グラきれい	
171	00:03:42	竹本カキフライ	サムスエロすぎない？	
172	00:03:43	ブロア	中身もかっこいいんだろうな・・・	
173	00:03:44	かたもく	渋くてかっこいい	
174	00:03:52	なんたら	おいしい煮玉子	
175	00:03:55	フレイムリンクス	プライム4も楽しみだなぁ…	
176	00:03:58	mori mori	かっこいいポーズだよ	
177	00:03:58	御早和杯	宇宙船から降りただけ！	
178	00:04:05	ナウ	説明書を読んだのよ	
179	00:04:09	岸辺一徳	ｱﾝｯ	
180	00:04:10	らうらう	かわいい	
181	00:04:11	motiyomogi	朗読	
182	00:04:12	なんたら	XX(ｱﾝｯ）	
183	00:04:14	ジャック・オー	かわいい	
184	00:04:18	生霊X	えっち	
185	00:04:26	じょーげん	急に喘がないで…	
186	00:04:28	ジョナサン・グレーン	ｱﾝｯ	
187	00:04:38	クロノス	メトロイドの話か～	
188	00:04:44	RY U	おいしい煮玉子	
189	00:04:59	かたもく	美味しいスペースパイレーツ	
190	00:05:22	フレイムリンクス	フェイゾン…	
191	00:05:32	天然ステルス	アマゾン細胞	
192	00:05:43	らうらう	はやくち	
193	00:05:50	うぇいのる	おいしい煮玉子	
194	00:06:03	T.のかね	三行で説明して	
195	00:06:09	竹本カキフライ	（賞金稼ぎ）	
196	00:06:14	岸辺一徳	海賊の時間だ！	
197	00:06:17	めるカバ	プライムってメトロイド出てくるの？	
198	00:06:23	究極ド根性ダイコン	わかりやすい	
199	00:06:24	御早和杯	リドリーさん知的に見えない	
200	00:06:30	ブロア	かわいい	
201	00:06:30	かたもく	スペースパイレーツ王に、俺はなる！	
202	00:06:32	タケノコ男	なるほど	
203	00:06:32	フレイムリンクス	メトロイド スペースパイレーツ ぶっ倒す	
204	00:06:34	なんたら	おはな	
205	00:06:42	ジョナサン・グレーン	スマブラ参戦おめでとう	
206	00:06:45	クロノス	おい～(笑)	
207	00:06:47	御早和杯	煮玉子形態	
208	00:06:49	ジョナサン・グレーン	おはな	
209	00:06:51	竹本カキフライ	姉ちゃん…	
210	00:06:56	ブロア	JCはうんこだいすき	
211	00:06:57	なんたら	うんこ！	
212	00:06:58	タケノコ男	うんこ大好きJC	
213	00:06:58	スモーク	草	
214	00:07:00	ぴねかっと	おいしい煮玉子	
215	00:07:00	ああ	間違い？？	
216	00:07:02	なる	姉ちゃんボムジャンプできそう？	
217	00:07:04	D W	うんこ!	
218	00:07:04	ジョナサン・グレーン	upd8	
219	00:07:07	ミワタリ	草	
220	00:07:08	究極ド根性ダイコン	実質upd8	
221	00:07:09	ジャック・オー	んもー	
222	00:07:12	かたもく	美味しいうんこ	
223	00:07:13	T.のかね	実質upd8	
224	00:07:13	kuyno egq	このBGMすき	
