行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	​おいしい煮玉子	
1	00:00:00	桜田紅	おいしい煮玉子	
2	00:00:00	岸辺一徳	おいしい煮玉子	
3	00:00:00	スモーク	おいしい煮玉子	
4	00:00:00	小さい胡麻塩	おいしい煮玉子	
5	00:00:00	パンセポンセ	おいしい煮玉子	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:00	クロムア	おいしい煮玉子	
8	00:00:00	お誕生日席	おいしい煮玉子	
9	00:00:00	竹輪	おいしい煮玉子	
10	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
11	00:00:00	天然ステルス	おいしい煮玉子	
12	00:00:00	ああ	おいしい煮玉子	
13	00:00:00	Fine TK	美味しい煮たまご	
14	00:00:00	ほるもん	おいしい煮玉子	
15	00:00:00	ss kk	おいしい煮玉子	
16	00:00:00	りあすて	おいしい煮玉子	
17	00:00:16	岸辺一徳	おいしい煮玉子	
18	00:00:16	motiyomogi	おいしい煮玉子	
19	00:00:17	ナウ	おいしい煮玉子	
20	00:00:17	タケノコ男	おいしい煮玉子	
21	00:00:23	sio3go	おいしい煮玉子	
22	00:00:28	小さい胡麻塩	クゥラフトワーク	
23	00:00:28	リフェ	おいしい煮玉子	
24	00:00:29	パンセポンセ	おいしい煮玉子	
25	00:00:30	ぽぼす	おいしい煮玉子	
26	00:00:31	むらさきあんこ	おいしい煮玉子	
27	00:00:36	ss kk	おいしい煮玉子	
28	00:00:39	こみこ	おいしい煮玉子	
29	00:00:39	らうらう	​おいしい煮玉子	
30	00:00:44	チキン肉なし	おいしい煮玉子	
31	00:00:49	Fine TK	結構プレミアしてた。	
32	00:00:52	ふーばー	おいしい煮玉子	
33	00:00:54	竹輪	おいたま	
34	00:01:05	ああ	楽しそうな名前	
35	00:01:08	にけい	メーカーロゴが知らないとこばっかだ	
36	00:01:15	こみこ	キマッてるね	
37	00:01:28	小さい胡麻塩	「クソゲー」決定版	
38	00:01:32	竹輪	こわい	
39	00:01:35	motiyomogi	シャウト草	
40	00:01:35	リフェ	草	
41	00:01:38	桜田紅	草	
42	00:01:38	タケノコ男	草	
43	00:01:40	クロムア	なにこれ	
44	00:01:40	グエス -VEx Gues Ch-	？！	
45	00:01:41	にけい	面白くなってきやがった	
46	00:01:42	究極ド根性ダイコン	キマってる感すごい	
47	00:01:43	パンセポンセ	草	
48	00:01:48	ほるもん	たのしそう	
49	00:01:48	伏葦たぐい	キマッてる	
50	00:01:49	小さい胡麻塩	初期電気で聞くシャウトだ	
51	00:01:49	チキン肉なし	どういう…ことだ…	
52	00:01:54	ss kk	左の帯はコラじゃなくてゲームのやつのままなの？	
53	00:01:55	ナウ	調整助かる	
54	00:01:57	らうらう	なにこれわ	
55	00:01:59	motiyomogi	作ったやつは薬でもやってるのか？	
56	00:02:05	真新八	おいしい煮玉子	
57	00:02:07	むらさきあんこ	ファアアアアアイブ	
58	00:02:10	ささき.	面白そう	
59	00:02:13	ぽぼす	MVと同じようなノリで草	
60	00:02:30	リフェ	草	
61	00:02:30	歌川	おいしい煮玉子	
62	00:02:32	motiyomogi	草	
63	00:02:35	竹輪	草	
64	00:02:39	小さい胡麻塩	草	
65	00:02:46	sio3go	草	
66	00:02:49	Redmix	キめてやがる	
67	00:00:00	らうらう	​おいしい煮玉子	
68	00:00:00	桜田紅	おいしい煮玉子	
69	00:00:00	岸辺一徳	おいしい煮玉子	
70	00:00:00	スモーク	おいしい煮玉子	
71	00:00:00	小さい胡麻塩	おいしい煮玉子	
72	00:00:00	パンセポンセ	おいしい煮玉子	
73	00:00:00	リフェ	おいしい煮玉子	
74	00:00:00	クロムア	おいしい煮玉子	
75	00:00:00	お誕生日席	おいしい煮玉子	
76	00:00:00	竹輪	おいしい煮玉子	
77	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
78	00:00:00	天然ステルス	おいしい煮玉子	
79	00:00:00	ああ	おいしい煮玉子	
80	00:00:00	Fine TK	美味しい煮たまご	
81	00:00:00	ほるもん	おいしい煮玉子	
82	00:00:00	ss kk	おいしい煮玉子	
83	00:00:00	りあすて	おいしい煮玉子	
84	00:00:16	岸辺一徳	おいしい煮玉子	
85	00:00:16	motiyomogi	おいしい煮玉子	
86	00:00:17	ナウ	おいしい煮玉子	
87	00:00:17	タケノコ男	おいしい煮玉子	
88	00:00:23	sio3go	おいしい煮玉子	
89	00:00:28	小さい胡麻塩	クゥラフトワーク	
90	00:00:28	リフェ	おいしい煮玉子	
91	00:00:29	パンセポンセ	おいしい煮玉子	
92	00:00:30	ぽぼす	おいしい煮玉子	
93	00:00:31	むらさきあんこ	おいしい煮玉子	
94	00:00:36	ss kk	おいしい煮玉子	
95	00:00:39	こみこ	おいしい煮玉子	
96	00:00:39	らうらう	​おいしい煮玉子	
97	00:00:44	チキン肉なし	おいしい煮玉子	
98	00:00:49	Fine TK	結構プレミアしてた。	
99	00:00:52	ふーばー	おいしい煮玉子	
100	00:00:54	竹輪	おいたま	
101	00:01:05	ああ	楽しそうな名前	
102	00:01:08	にけい	メーカーロゴが知らないとこばっかだ	
103	00:01:15	こみこ	キマッてるね	
104	00:01:28	小さい胡麻塩	「クソゲー」決定版	
105	00:01:32	竹輪	こわい	
106	00:01:35	motiyomogi	シャウト草	
107	00:01:35	リフェ	草	
108	00:01:38	桜田紅	草	
109	00:01:38	タケノコ男	草	
