行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	小さい胡麻塩	美味しい煮玉子	
2	00:00:00	ジャック・オー	おいしい煮玉子　	
3	00:00:07	T.のかね	おいしい煮玉子	
4	00:00:15	Ryo Kamiya	おいしい煮玉子	
5	00:00:19	小さい胡麻塩	美味しい煮玉子	
6	00:00:20	motiyomogi	おいしい煮玉子	
7	00:00:22	にけい	おいしい煮玉子	
8	00:00:23	ミワタリ	おいしい煮玉子	
9	00:00:23	らうらう	​おいしい煮玉子	
10	00:00:32	助六	おいしい煮玉子	
11	00:00:46	ジャック・オー	おいしい煮玉子	
12	00:00:52	ナウ	おいしい煮玉子	
13	00:00:54	いぶきんぐ	おいしい煮玉子	
14	00:01:07	【reb00t】リブート	おいすぃー煮玉子	
15	00:01:25	カギカギ	おいしい煮玉子	
16	00:01:38	mori mori	前回前々回ときつかったからね	
17	00:01:48	ねこくーる	こんばんは煮玉子	
18	00:02:13	クレイジーキャッツマンチカン	おいしい煮卵ლ(´ڡ`ლ)	
19	00:02:14	ナウ	いやあ鳥は強敵でしたね	
20	00:02:28	味付けタマゴ	おいしい煮玉子	
21	00:02:33	ここあ	こんばんは	
22	00:02:53	りあすて	おいしい煮玉子	
23	00:02:55	motiyomogi	たしかにかっこいいね	
24	00:03:00	ねこくーる	戦闘曲いいよね	
25	00:03:11	ナウ	周１だから毎回新鮮なのかもしれない	
26	00:03:21	りあすて	王道な感じのBGMもｼﾞｬｺﾓみたいなBGMもかっこいいね	
27	00:03:33	リフェ	おいしい煮玉子	
28	00:03:41	mori mori	基本では・・・？	
29	00:04:21	小さい胡麻塩	ヴォコーダー？	
30	00:05:40	りあすて	専用曲のが多いんだ	
31	00:06:13	motiyomogi	豪華	
32	00:06:15	T.のかね	そんなに	
33	00:07:27	ねこくーる	あ…	
34	00:07:28	motiyomogi	草	
35	00:07:32	ナウ	マジか	
36	00:08:20	ジャック・オー	へー	
37	00:08:23	じょーげん	培養液でのり付けしよ…	
38	00:08:45	ジャック・オー	草	
39	00:08:47	T.のかね	草	
40	00:08:52	motiyomogi	草	
41	00:09:42	リフェ	なるほど	
42	00:09:53	mori mori	SO1二回も作り直すことになるのか	
43	00:10:00	ナウ	姉ちゃんからの信頼感がすごい	
44	00:10:11	HILO	おいしい煮玉子	
45	00:11:03	HILO	ルゥ姉ちゃんは体調崩してない？	
46	00:11:15	リフェ	SO1は漫画版から存在知ったなぁ…	
47	00:11:28	HILO	良かった	
48	00:11:29	ねこくーる	元気ＪＤ	
49	00:11:57	ジャック・オー	２の漫画ってDisc１で終わったやつだっけ	
50	00:12:31	じょーげん	あぁ、あの時期…	
51	00:12:34	mori mori	2の漫画だけ読んでブルースフィアの漫画読んだら知らない十賢者とかいうワードが出てきて混乱した記憶	
52	00:12:40	らうらう	かなしい	
53	00:00:00	らうらう	おいしい煮玉子	
54	00:00:00	小さい胡麻塩	美味しい煮玉子	
55	00:00:00	ジャック・オー	おいしい煮玉子　	
56	00:00:07	T.のかね	おいしい煮玉子	
57	00:00:15	Ryo Kamiya	おいしい煮玉子	
58	00:00:19	小さい胡麻塩	美味しい煮玉子	
59	00:00:20	motiyomogi	おいしい煮玉子	
60	00:00:22	にけい	おいしい煮玉子	
61	00:00:23	ミワタリ	おいしい煮玉子	
62	00:00:23	らうらう	​おいしい煮玉子	
63	00:00:32	助六	おいしい煮玉子	
64	00:00:46	ジャック・オー	おいしい煮玉子	
65	00:00:52	ナウ	おいしい煮玉子	
66	00:00:54	いぶきんぐ	おいしい煮玉子	
67	00:01:07	【reb00t】リブート	おいすぃー煮玉子	
68	00:01:25	カギカギ	おいしい煮玉子	
69	00:01:38	mori mori	前回前々回ときつかったからね	
70	00:01:48	ねこくーる	こんばんは煮玉子	
71	00:02:13	クレイジーキャッツマンチカン	おいしい煮卵ლ(´ڡ`ლ)	
72	00:02:14	ナウ	いやあ鳥は強敵でしたね	
73	00:02:28	味付けタマゴ	おいしい煮玉子	
74	00:02:33	ここあ	こんばんは	
75	00:02:53	りあすて	おいしい煮玉子	
76	00:02:55	motiyomogi	たしかにかっこいいね	
77	00:03:00	ねこくーる	戦闘曲いいよね	
78	00:03:11	ナウ	周１だから毎回新鮮なのかもしれない	
79	00:03:21	りあすて	王道な感じのBGMもｼﾞｬｺﾓみたいなBGMもかっこいいね	
80	00:03:33	リフェ	おいしい煮玉子	
81	00:03:41	mori mori	基本では・・・？	
82	00:04:21	小さい胡麻塩	ヴォコーダー？	
83	00:05:40	りあすて	専用曲のが多いんだ	
84	00:06:13	motiyomogi	豪華	
85	00:06:15	T.のかね	そんなに	
86	00:07:27	ねこくーる	あ…	
87	00:07:28	motiyomogi	草	
88	00:07:32	ナウ	マジか	
89	00:08:20	ジャック・オー	へー	
90	00:08:23	じょーげん	培養液でのり付けしよ…	
91	00:08:45	ジャック・オー	草	
92	00:08:47	T.のかね	草	
93	00:08:52	motiyomogi	草	
94	00:09:42	リフェ	なるほど	
95	00:09:53	mori mori	SO1二回も作り直すことになるのか	
96	00:10:00	ナウ	姉ちゃんからの信頼感がすごい	
97	00:10:11	HILO	おいしい煮玉子	
98	00:11:03	HILO	ルゥ姉ちゃんは体調崩してない？	
99	00:11:15	リフェ	SO1は漫画版から存在知ったなぁ…	
100	00:11:28	HILO	良かった	
101	00:11:29	ねこくーる	元気ＪＤ	
102	00:11:57	ジャック・オー	２の漫画ってDisc１で終わったやつだっけ	
103	00:12:31	じょーげん	あぁ、あの時期…	
104	00:12:34	mori mori	2の漫画だけ読んでブルースフィアの漫画読んだら知らない十賢者とかいうワードが出てきて混乱した記憶	
105	00:12:40	らうらう	かなしい	
106	00:12:49	HILO	SOはクゥ姉ちゃんの影響でアナムネシスやってるだけだなぁ	
107	00:12:59	ナウ	草	
108	00:13:00	motiyomogi	草	
109	00:13:03	ジャック・オー	草	
110	00:13:09	らうらう	草	
111	00:13:20	ミワタリ	草	
112	00:13:23	じょーげん	草	
113	00:13:27	リフェ	草	
114	00:13:28	HILO	ソードマスターヤマトかよ	
115	00:14:06	mori mori	ドラえもんで見た	
116	00:14:47	ナウ	なにが	
117	00:14:47	motiyomogi	かわいい	
118	00:14:57	いぶきんぐ	癖	
119	00:14:57	mori mori	癖	
120	00:15:01	りあすて	癖	
121	00:15:02	究極ド根性ダイコン	癖	
122	00:15:06	HILO	えっちなの？	
123	00:15:09	ジャック・オー	草	
124	00:15:13	ナウ	ええ・・・	
125	00:15:32	りあすて	癖に正直すぎる	
126	00:15:36	ねこくーる	進化したのかな	
127	00:15:41	リフェ	プランクトンからイケメンは凄いなぁ	
128	00:16:12	じょーげん	フーファイターズだった…？	
129	00:16:24	HILO	ふくよか？	
130	00:16:25	内海柚	おいしい煮玉子ー	
131	00:16:29	らうらう	ええ・・・	
132	00:16:35	リフェ	草	
133	00:16:37	究極ド根性ダイコン	イケメンパラダイスだね	
134	00:16:38	ナウ	イケメンで金持ち	
135	00:16:48	ねこくーる	少女漫画みたいだ	
136	00:16:49	ミワタリ	草	
137	00:17:03	mori mori	描いてて楽しそう	
138	00:17:32	motiyomogi	そんな感じする	
139	00:17:42	ジャック・オー	たしかに	
140	00:17:45	リフェ	たしかに	
141	00:19:08	ねこくーる	ロリ学長いたね	
142	00:19:09	HILO	ちっちゃい先生っていいよね	
143	00:20:19	HILO	JDに単位を取ってこいって言いやがって	
144	00:20:20	ジャック・オー	生徒全員寝てるやん	
145	00:21:42	HILO	「おい、ちょっと面白いことやれよ」	
146	00:22:12	リフェ	1だと勝手に腐ったけど、同じなのかな？	
147	00:22:13	にけい	わらしべクエストかな	
148	00:22:24	HILO	腐った煮玉子	
149	00:23:15	りあすて	謎のクイズ大会	
150	00:23:18	HILO	BGMが	
151	00:23:27	motiyomogi	草	
152	00:23:33	クレイジーキャッツマンチカン	ルゥさんは、何人姉妹なの？	
153	00:23:36	りあすて	落単	
154	00:24:06	T.のかね	三人姉弟では・・・？	
155	00:24:07	HILO	でも弟が10000人	
156	00:24:49	クレイジーキャッツマンチカン	そんなにいるの？	
157	00:24:56	ナウ	あってるだと・・・	
158	00:25:07	リフェ	おー！	
159	00:25:09	らうらう	かしこい	
160	00:25:10	HILO	長女、次女、弟10000人	
161	00:25:10	ナウ	やったね	
162	00:25:14	motiyomogi	やったね	
163	00:25:22	HILO	かしこい	
164	00:25:32	ジャック・オー	やったね	
165	00:25:36	りあすて	やったね	
166	00:25:48	カーマイン	おいしい煮玉子	
167	00:25:52	りあすて	笑えないギャグとかでごまかせたりしない？	
168	00:26:11	HILO	草	
169	00:27:21	HILO	だろうね	
170	00:27:30	りあすて	商売やる気無し太郎かよ	
171	00:28:53	らうらう	おいしいゆでたまご	
172	00:29:26	HILO	マズい歌ってどんな感じだろ？	
173	00:29:49	カーマイン	姉ちゃん！	
174	00:29:49	りあすて	まずいよ姉ちゃん！	
175	00:29:50	らうらう	アカン	
176	00:29:51	ジャック・オー	おうた	
177	00:29:51	motiyomogi	それはマズい！	
178	00:29:53	リフェ	あぶない！	
179	00:30:00	ジャック・オー	🐭ﾊﾊｯ	
180	00:30:00	クロムア	それはまずい	
181	00:30:04	HILO	消される！	
182	00:30:04	クレイジーキャッツマンチカン	歌姫サイコー!	
183	00:30:06	近藤亮	間違いなくマズい	
184	00:31:05	motiyomogi	おみず	
185	00:31:07	らうらう	おみず	
186	00:31:11	カーマイン	おみず	
187	00:31:12	seafood	おみず	
188	00:31:19	ジャック・オー	おみず	
189	00:32:53	りあすて	青	
190	00:33:36	HILO	青いでしょ？	
191	00:33:49	りあすて	家の中とか通って迂回できないかな	
192	00:34:32	seafood	元祖をより多く持って本家密輸するのかな	
193	00:36:03	J u d a S S	おいしい煮玉子ー	
194	00:36:12	HILO	食い物ですら派閥争いがあるのなんかやだね	
195	00:38:55	リフェ	元祖を本家より多めに持てばいいらしいよ	
196	00:39:17	にけい	プログレどこ	
197	00:39:48	りあすて	悪意がある	
198	00:39:54	JUNY	おいしい煮玉子	
199	00:41:44	HILO	？	
200	00:41:49	究極ド根性ダイコン	イヤな誉め言葉だな…	
201	00:41:51	リフェ	草	
202	00:41:59	カーマイン	？	
203	00:42:10	にけい	ここまで複雑なお使いイベントなかなか見ない	
204	00:43:37	JUNY	ホロホロ鳥クライシス	
205	00:43:50	究極ド根性ダイコン	なんであんな強いのを詰みセーブ箇所に…	
206	00:44:03	HILO	やったぜ	
207	00:44:30	いぶきんぐ	ホロホロ鳥はほんとに難関すぎて…	
208	00:46:02	リフェ	たしかに	
209	00:46:17	らうらう	マグナエッセンスにたよりすぎている	
210	00:47:31	究極ド根性ダイコン	草	
211	00:47:33	らうらう	草	
212	00:47:36	リフェ	草	
213	00:47:46	むむめめ	すごい	
214	00:47:53	HILO	草	
215	00:47:56	りあすて	マグナスキメてるな・・・	
216	00:48:12	クロムア	洗脳では？	
217	00:48:21	カーマイン	キマッてるな…	
218	00:48:25	JUNY	退屈な時間を手に入れた	
219	00:48:28	T.のかね	草	
220	00:48:30	究極ド根性ダイコン	炎上不可避	
221	00:49:19	ジャック・オー	NKT	
222	00:49:29	JUNY	インテリ高飛車帰国子女にありがち	
223	00:49:37	motiyomogi	おうた	
224	00:49:39	クロムア	おうた	
225	00:49:43	ジャック・オー	（⊃ω・）	
226	00:49:43	T.のかね	おうたすき	
227	00:49:46	カーマイン	ブッピガン！	
228	00:49:46	いぶきんぐ	おうた	
229	00:50:06	HILO	日本がどうこう言う人だいたい外国語話せなくて日本を出れない	
230	00:51:20	究極ド根性ダイコン	ホロホロ鳥Mk2とか出てきそう	
231	00:51:39	motiyomogi	おみず	
232	00:51:42	らうらう	おみず	
233	00:51:46	りあすて	ｺﾞｸｺﾞｸ	
234	00:51:57	にけい	まさか石を？	
235	00:51:59	クレイジーキャッツマンチカン	おいしい水	
236	00:52:05	究極ド根性ダイコン	ちょくちょくギロの使ってる慣用句の動物が出てくるね	
237	00:52:36	motiyomogi	^^	
238	00:54:29	リフェ	隠れてるのかぁ	
239	00:54:35	HILO	めんどい	
240	00:55:26	東京コノハムシ	時間かかるやつか	
241	00:56:34	らうらう	無限ループかな？	
242	00:57:13	りあすて	ほんとだよ	
243	00:58:14	にけい	だれだっけ…	
244	00:58:17	りあすて	子供が遊んでた謎のロボットみたいなやつを作った人	
245	00:58:20	リフェ	なんか機械作ってた人じゃない？	
246	00:59:39	ねこくーる	鳥みたいだ	
247	00:59:48	JUNY	水飲み鳥みたいな動き	
248	01:00:10	にけい	貴重な顔グラかわいい人	
249	01:00:56	HILO	姉ちゃんもかわいいぞ	
250	01:02:06	にけい	むっ！	
251	01:02:07	JUNY	ミリィ…	
252	01:02:09	いぶきんぐ	あらあらあら	
253	01:02:09	リフェ	！？	
254	01:02:09	motiyomogi	ハグ	
