行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	えび	おいしい煮玉子	
2	00:00:00	カギアカギ	おいしい煮玉子	
3	00:00:00	天然ステルス	おいしい煮玉子	
4	00:00:00	スモーク	おいしい煮玉子	
5	00:00:00	竹輪	おいしい煮玉子	
6	00:00:00	うぇいのる	おいしい煮玉子	
7	00:00:00	ああ	惜しい煮玉子	
8	00:00:00	パンセポンセ	おいしい煮玉子	
9	00:00:00	mk 95	おいしい煮玉子	
10	00:00:00	リフェ	おいしい煮玉子	
11	00:00:00	ジャック・オー	おいしい煮玉子	
12	00:00:00	ふーばー	おいしい煮玉子	
13	00:00:00	らうらう	姉ちゃんどこ	
14	00:00:15	竹輪	おいしい煮玉子ー	
15	00:00:15	ナウ	おいしい煮玉子	
16	00:00:17	リフェ	おいしい煮玉子	
17	00:00:20	motiyomogi	おいしい煮玉子	
18	00:00:22	ふーばー	おいしい煮玉子	
19	00:00:22	なんたら	おいしい煮玉子	
20	00:00:22	天然ステルス	おいしい煮玉子	
21	00:00:22	らうらう	おいしい煮玉子	
22	00:00:23	カギアカギ	おいしい煮玉子	
23	00:00:23	えび	おいしい煮玉子	
24	00:00:25	mk 95	おいしい煮玉子	
25	00:00:29	ひとーん	おいしい煮玉子	
26	00:00:30	ぴねかっと	おいしい煮玉子	
27	00:00:30	パンセポンセ	おいしい煮玉子	
28	00:00:32	mori mori	もう春だよ姉ちゃん	
29	00:00:35	FFDD	​おいしい煮玉子	
30	00:00:43	x 7up	おいしい煮玉子	
31	00:00:46	八木谷	おいしい煮玉子	
32	00:00:48	タケノコ男	おいしい煮玉子	
33	00:00:56	ヘンリーダーガー	おいしい煮玉子	
34	00:01:00	天然ステルス	花粉症？	
35	00:01:08	結城晶	奴の季節がやってきた	
36	00:01:13	なんたら	アイマスクして	
37	00:01:15	タケノコ男	花粉つらい	
38	00:01:16	リフェ	花粉症なのか疲れ目なのか	
39	00:01:36	天然ステルス	ミジンコ寄付したところで終わった前回	
40	00:01:43	らうらう	え	
41	00:01:44	スモーク	草	
42	00:01:45	motiyomogi	えぇ…	
43	00:01:54	ヘンリーダーガー	どれくらい寝たの？	
44	00:01:55	結城晶	かなしい	
45	00:01:57	x 7up	行けなかった悲しみで…	
46	00:01:57	うぇいのる	花粉症の薬は眠くなる…	
47	00:02:15	ナウ	たくさん寝ててえらい	
48	00:02:16	ヘンリーダーガー	成長期だからしょうがない	
49	00:02:18	らうらう	ムゥくんが遅くまでうるさかったせいかな	
50	00:02:19	なんたら	普段の睡眠不足が	
51	00:02:20	スモーク	やんごとない用事が…	
52	00:02:20	ふーばー	ぐっすり	
53	00:02:26	竹輪	ぐっすり寝ててえらい	
54	00:02:39	タケノコ男	寝る子は育つ	
55	00:02:53	3K VC	リンダはめちゃやりこんだゲームの１つだから楽しみ	
56	00:03:16	ジョナサン・グレーン	おいしい煮玉子	
57	00:04:22	らうらう	やんごとなき	
58	00:04:23	ジョナサン・グレーン	草	
59	00:04:24	なんたら	ツイッターで言うと早く来るという噂が	
60	00:04:42	天然ステルス	特殊でじわじわ弱らせるしか無い	
61	00:04:58	リフェ	一度確認したほうがいいかもね	
62	00:05:03	ひとーん	何か月って…	
63	00:05:20	ジョナサン・グレーン	そんなに	
64	00:00:00	らうらう	おいしい煮玉子	
65	00:00:00	えび	おいしい煮玉子	
66	00:00:00	カギアカギ	おいしい煮玉子	
67	00:00:00	天然ステルス	おいしい煮玉子	
68	00:00:00	スモーク	おいしい煮玉子	
69	00:00:00	竹輪	おいしい煮玉子	
70	00:00:00	うぇいのる	おいしい煮玉子	
71	00:00:00	ああ	惜しい煮玉子	
72	00:00:00	パンセポンセ	おいしい煮玉子	
73	00:00:00	mk 95	おいしい煮玉子	
74	00:00:00	リフェ	おいしい煮玉子	
75	00:00:00	ジャック・オー	おいしい煮玉子	
76	00:00:00	ふーばー	おいしい煮玉子	
77	00:00:00	らうらう	姉ちゃんどこ	
78	00:00:15	竹輪	おいしい煮玉子ー	
79	00:00:15	ナウ	おいしい煮玉子	
80	00:00:17	リフェ	おいしい煮玉子	
81	00:00:20	motiyomogi	おいしい煮玉子	
82	00:00:22	ふーばー	おいしい煮玉子	
83	00:00:22	なんたら	おいしい煮玉子	
84	00:00:22	天然ステルス	おいしい煮玉子	
85	00:00:22	らうらう	おいしい煮玉子	
86	00:00:23	カギアカギ	おいしい煮玉子	
87	00:00:23	えび	おいしい煮玉子	
88	00:00:25	mk 95	おいしい煮玉子	
89	00:00:29	ひとーん	おいしい煮玉子	
90	00:00:30	ぴねかっと	おいしい煮玉子	
91	00:00:30	パンセポンセ	おいしい煮玉子	
92	00:00:32	mori mori	もう春だよ姉ちゃん	
93	00:00:35	FFDD	​おいしい煮玉子	
94	00:00:43	x 7up	おいしい煮玉子	
95	00:00:46	八木谷	おいしい煮玉子	
96	00:00:48	タケノコ男	おいしい煮玉子	
97	00:00:56	ヘンリーダーガー	おいしい煮玉子	
98	00:01:00	天然ステルス	花粉症？	
99	00:01:08	結城晶	奴の季節がやってきた	
100	00:01:13	なんたら	アイマスクして	
101	00:01:15	タケノコ男	花粉つらい	
102	00:01:16	リフェ	花粉症なのか疲れ目なのか	
103	00:01:36	天然ステルス	ミジンコ寄付したところで終わった前回	
104	00:01:43	らうらう	え	
105	00:01:44	スモーク	草	
106	00:01:45	motiyomogi	えぇ…	
107	00:01:54	ヘンリーダーガー	どれくらい寝たの？	
108	00:01:55	結城晶	かなしい	
109	00:01:57	x 7up	行けなかった悲しみで…	
110	00:01:57	うぇいのる	花粉症の薬は眠くなる…	
111	00:02:15	ナウ	たくさん寝ててえらい	
112	00:02:16	ヘンリーダーガー	成長期だからしょうがない	
113	00:02:18	らうらう	ムゥくんが遅くまでうるさかったせいかな	
114	00:02:19	なんたら	普段の睡眠不足が	
115	00:02:20	スモーク	やんごとない用事が…	
116	00:02:20	ふーばー	ぐっすり	
117	00:02:26	竹輪	ぐっすり寝ててえらい	
118	00:02:39	タケノコ男	寝る子は育つ	
119	00:02:53	3K VC	リンダはめちゃやりこんだゲームの１つだから楽しみ	
120	00:03:16	ジョナサン・グレーン	おいしい煮玉子	
121	00:04:22	らうらう	やんごとなき	
122	00:04:23	ジョナサン・グレーン	草	
123	00:04:24	なんたら	ツイッターで言うと早く来るという噂が	
124	00:04:42	天然ステルス	特殊でじわじわ弱らせるしか無い	
125	00:04:58	リフェ	一度確認したほうがいいかもね	
126	00:05:03	ひとーん	何か月って…	
127	00:05:20	ジョナサン・グレーン	そんなに	
128	00:06:37	motiyomogi	草	
129	00:06:41	ふーばー	HAHAHA	
130	00:06:41	なんたら	草	
131	00:06:41	x 7up	草	
132	00:06:42	パンセポンセ	草	
133	00:06:42	らうらう	かわいい	
134	00:06:45	竹輪	かわいい	
135	00:06:45	ああ	くわしい	
136	00:06:48	スモーク	かわいい	
137	00:06:48	mk 95	草	
138	00:06:53	ナウ	JCなのによう知っとる	
139	00:07:46	らうらう	大姉ちゃんから愚痴聞いてそう	
140	00:08:03	ひとーん	今更だけどこんな生物のＤＮＡ持って宇宙に行くとか迷惑過ぎる	
141	00:08:31	なんたら	目覚まし時計も部屋に埋まりそう	
142	00:08:32	らうらう	すまほのアラームは？	
143	00:08:51	パンセポンセ	装備は戦闘中でも変えられますよー	
144	00:08:52	うぇいのる	スマホで代用してるけどちゃんとしたの欲しいね…	
145	00:09:24	Ami Saika	イヤホン使うとか	
146	00:09:30	ナウ	物理的に起こされるタイプにする？	
147	00:09:35	えび	ド深夜じゃなかったら大丈夫だと思う	
148	00:09:43	うぇいのる	どんだけ大音量なの	
149	00:09:43	リフェ	キャラボイス付きの奴とかはどう？	
150	00:09:46	x 7up	枕元にスマホおいてめっさブルブルさせるようにしてる	
151	00:09:59	ああ	イヤホンつけたまま寝に入るの結構大変	
