行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クゥの部屋 Ch	test	
1	00:00:28	motiyomogi	おいしい煮玉子	
2	00:00:45	JUNY	おいしい煮玉子	
3	00:00:49	デンキヒツジ	おいしい煮玉子	
4	00:01:06	FFDD	おいしい煮玉子	
5	00:01:06	らうらう	おいしい煮玉子	
6	00:01:27	大地	おいしい煮玉子	
7	00:01:37	T.のかね	おいしい煮玉子	
8	00:01:55	らうらう	うん	
9	00:03:13	ジョナサン・グレーン	おいしい煮玉子	
10	00:04:04	カーマイン	おいしい煮玉子	
11	00:04:35	らうらう	買えなかったの	
12	00:05:17	カーマイン	おててかわいい	
13	00:06:12	らうらう	姉ちゃんすごい	
14	00:06:15	motiyomogi	すごい	
15	00:06:18	FFDD	すごい	
16	00:06:20	カーマイン	すごい	
17	00:06:42	ジョナサン・グレーン	かわいい	
18	00:06:50	らうらう	かわいい	
19	00:06:59	カーマイン	かわいい	
20	00:07:20	らうらう	すごい	
21	00:07:53	ほるもん	おいしい煮玉子	
22	00:08:02	カーマイン	さす姉	
23	00:08:03	らうらう	草	
24	00:08:04	motiyomogi	姉ちゃん関係者説	
25	00:08:11	ほるもん	見ました	
26	00:08:55	motiyomogi	何回でもイキって	
27	00:10:02	ジャック・オー	おいしい煮玉子	
28	00:10:17	aarar scsrt	おいしいにたまご	
29	00:10:28	ほるもん	ｶｼｬｰｶｼｬｰ	
30	00:10:32	カーマイン	はじめてきいたそんなの	
31	00:10:58	らうらう	草	
32	00:11:07	カーマイン	草	
33	00:11:15	motiyomogi	草	
34	00:11:21	ジャック・オー	草	
35	00:11:27	らうらう	姉ちゃんも連射して	
36	00:11:29	ミワタリ	草	
37	00:11:31	なんたら	おいしい煮玉子	
38	00:11:43	らうらう	かわいい	
39	00:11:58	なんたら	押しっぱなしでなるやつ	
40	00:12:09	ジャック・オー	繋げれば動画にできる…か？	
41	00:15:07	ほるもん	むこうのことばわかるべんりきゃら	
42	00:15:08	なんたら	コミュ力強いのか	
43	00:16:14	ジャック・オー	わっかんね	
44	00:17:23	カーマイン	なるほどね	
45	00:18:43	ほるもん	ほー	
46	00:19:46	ジャック・オー	ギャングスターに憧れたのか	
47	00:20:44	motiyomogi	なるほどね	
48	00:20:47	なんたら	なぜかね	
49	00:20:53	らうらう	そうだね	
50	00:20:55	カーマイン	なぜだろう	
51	00:00:00	クゥの部屋 Ch	test	
52	00:00:28	motiyomogi	おいしい煮玉子	
53	00:00:45	JUNY	おいしい煮玉子	
54	00:00:49	デンキヒツジ	おいしい煮玉子	
55	00:01:06	FFDD	おいしい煮玉子	
56	00:01:06	らうらう	おいしい煮玉子	
57	00:01:27	大地	おいしい煮玉子	
58	00:01:37	T.のかね	おいしい煮玉子	
59	00:01:55	らうらう	うん	
60	00:03:13	ジョナサン・グレーン	おいしい煮玉子	
61	00:04:04	カーマイン	おいしい煮玉子	
62	00:04:35	らうらう	買えなかったの	
63	00:05:17	カーマイン	おててかわいい	
64	00:06:12	らうらう	姉ちゃんすごい	
65	00:06:15	motiyomogi	すごい	
66	00:06:18	FFDD	すごい	
67	00:06:20	カーマイン	すごい	
68	00:06:42	ジョナサン・グレーン	かわいい	
69	00:06:50	らうらう	かわいい	
70	00:06:59	カーマイン	かわいい	
71	00:07:20	らうらう	すごい	
72	00:07:53	ほるもん	おいしい煮玉子	
73	00:08:02	カーマイン	さす姉	
74	00:08:03	らうらう	草	
75	00:08:04	motiyomogi	姉ちゃん関係者説	
76	00:08:11	ほるもん	見ました	
77	00:08:55	motiyomogi	何回でもイキって	
