行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	スモーク	濃いソースこそグルメ	
1	00:00:00	リフェ	おいしい煮玉子ボンバー	
2	00:00:00	カギカギ	濃いソースこそグルメ	
3	00:00:00	らうらう	濃いソースこそグルメ	
4	00:00:00	桜田紅	濃いソースこそグルメ	
5	00:00:00	究極ド根性ダイコン	濃いソースこそグルメ	
6	00:00:00	小さい胡麻塩	濃いソースこそグルメ	
7	00:00:00	マイフェイバリットトリビアン	濃いソースこそグルメ	
8	00:00:00	おさかな	濃いソースこそグルメ	
9	00:00:00	Shuzo	煮玉子ビーム！	
10	00:00:00	こみこ	濃いソグ～	
11	00:00:00	mori mori	そばめしふりかけかと	
12	00:00:00	ジョナサン・グレーン	濃いソースこそグルメ	
13	00:00:00	クロムア	濃いソースこそグルメ	
14	00:00:00	近藤亮	濃いソースこそグルメ	
15	00:00:00	Loki GH	濃いソースこそグルメ	
16	00:00:00	らうらう		￥100
17	00:00:12	seafood	濃いソースこそグルメ	
18	00:00:16	らうらう	かわいい！”	
19	00:00:21	motiyomogi	おいしい煮玉子	
20	00:00:22	ジョナサン・グレーン	かわいい	
21	00:00:25	ホワイトラン衛兵	濃いソースこそグルメ	
22	00:00:25	リフェ	かわいい	
23	00:00:26	Ryo Kamiya	かわいい	
24	00:00:26	こみこ	おいしい煮玉子	
25	00:00:27	ニャンコ先生	濃いソースこそグルメ	
26	00:00:27	カギカギ	何か食べてる！	
27	00:00:30	mori mori	おいしそう	
28	00:00:30	Loki GH	おいたまー	
29	00:00:30	らうらう	濃いソースこそグルメ	
30	00:00:31	タケノコ男	濃いソースこそグルメ	
31	00:00:32	motiyomogi	やきそば食べてるの？	
32	00:00:33	究極ド根性ダイコン	濃いソースこそグルメ	
33	00:00:33	いぶきんぐ	濃いソースこそグルメ	
34	00:00:34	パンセポンセ	濃いソースこそグルメ	
35	00:00:37	D W	濃いソースこそ	
36	00:00:37	むむめめ	おいしそう	
37	00:00:39	らうらう	ふーふー	
38	00:00:41	ニャンコ先生	美味しそう	
39	00:00:41	スモーク	UFO食べてるの？	
40	00:00:42	タケノコ男	かわいい	
41	00:00:44	おさかな	おいしそう	
42	00:00:47	ナウ	濃いソースこそグルメ	
43	00:00:49	D W	グルメ	
44	00:00:49	ジョナサン・グレーン	おいしそう	
45	00:00:50	パンセポンセ	かわいい	
46	00:00:51	mori mori	流石にSFCは発色が良い	
47	00:00:52	ヘンリーダーガー	濃いソースこそグルメ	
48	00:00:53	らうらう	ずぞぞぞぞぞぞ	
49	00:00:55	クロムア	かわいい	
50	00:00:57	りょう八咫烏ヒナ愛し隊所属	今流行りのゲーム	
51	00:00:57	motiyomogi	かわいい	
52	00:00:58	マイフェイバリットトリビアン	かわいい	
53	00:00:58	こみこ	えちっ	
54	00:00:59	尾花	かわいい	
55	00:01:00	らうらう	かわいい	
56	00:01:00	_ Die	かわいい	
57	00:01:01	近藤亮	かわいい	
58	00:01:01	せせらぎ	草	
59	00:01:03	究極ド根性ダイコン	かわいい	
60	00:01:03	ニャンコ先生	あえてペヤング？	
61	00:01:04	カギカギ	かわいい	
62	00:01:04	スモーク	かわいい	
63	00:01:06	タケノコ男	かわいい	
64	00:01:07	いぶきんぐ	かわいい	
65	00:01:08	むむめめ	かわいい	
66	00:00:00	スモーク	濃いソースこそグルメ	
67	00:00:00	リフェ	おいしい煮玉子ボンバー	
68	00:00:00	カギカギ	濃いソースこそグルメ	
69	00:00:00	らうらう	濃いソースこそグルメ	
70	00:00:00	桜田紅	濃いソースこそグルメ	
71	00:00:00	究極ド根性ダイコン	濃いソースこそグルメ	
72	00:00:00	小さい胡麻塩	濃いソースこそグルメ	
73	00:00:00	マイフェイバリットトリビアン	濃いソースこそグルメ	
74	00:00:00	おさかな	濃いソースこそグルメ	
75	00:00:00	Shuzo	煮玉子ビーム！	
76	00:00:00	こみこ	濃いソグ～	
77	00:00:00	mori mori	そばめしふりかけかと	
78	00:00:00	ジョナサン・グレーン	濃いソースこそグルメ	
79	00:00:00	クロムア	濃いソースこそグルメ	
80	00:00:00	近藤亮	濃いソースこそグルメ	
81	00:00:00	Loki GH	濃いソースこそグルメ	
82	00:00:00	らうらう		￥100
83	00:00:12	seafood	濃いソースこそグルメ	
84	00:00:16	らうらう	かわいい！”	
85	00:00:21	motiyomogi	おいしい煮玉子	
86	00:00:22	ジョナサン・グレーン	かわいい	
87	00:00:25	ホワイトラン衛兵	濃いソースこそグルメ	
88	00:00:25	リフェ	かわいい	
89	00:00:26	Ryo Kamiya	かわいい	
90	00:00:26	こみこ	おいしい煮玉子	
91	00:00:27	ニャンコ先生	濃いソースこそグルメ	
92	00:00:27	カギカギ	何か食べてる！	
93	00:00:30	mori mori	おいしそう	
94	00:00:30	Loki GH	おいたまー	
95	00:00:30	らうらう	濃いソースこそグルメ	
96	00:00:31	タケノコ男	濃いソースこそグルメ	
97	00:00:32	motiyomogi	やきそば食べてるの？	
98	00:00:33	究極ド根性ダイコン	濃いソースこそグルメ	
99	00:00:33	いぶきんぐ	濃いソースこそグルメ	
100	00:00:34	パンセポンセ	濃いソースこそグルメ	
