行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	Shuzo	煮玉子とケツアゴで韻が踏める	
1	00:00:00	ラルエメ	おいしい煮玉子	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
4	00:00:00	カーマイン	おいしい煮玉子	
5	00:00:00	ミワタリ	おいしい煮玉子	
6	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
7	00:00:00	張島サボ太	おいしい煮玉子	
8	00:00:00	えび	おいしい煮玉子	
9	00:00:00	ニャンコ先生	おいしい煮玉子	
10	00:00:00	なんたら	おいしい煮玉子	
11	00:00:00	竹輪	おいしい煮玉子	
12	00:00:00	スモーク	おいしい煮玉子	
13	00:00:00	ジャック・オー	おいしい煮玉子	
14	00:00:00	タケノコ男	おいしい煮玉子	
15	00:00:00	リフェ	おいしい煮玉子	
16	00:00:00	JUNY	おいしい煮玉子	
17	00:00:00	ラルエメ	おいしい煮玉子	
18	00:00:00	biki koto	おいしい煮玉子	
19	00:00:00	めるカバ	おいしい煮玉子	
20	00:00:00	にけい	煮玉子おいしい❓	
21	00:00:00	こみこ	おいしい煮玉子	
22	00:00:00	カーマイン	じまんの煮玉子	
23	00:00:00	ジャック・オー	まじいい子　	
24	00:00:00	めるカバ	いま煮玉子のしじま	
25	00:00:00	T.のかね	おいしい煮玉子	
26	00:00:00	らうらう	煮しんおいしい	
27	00:00:00	eve	おいしい煮玉子	
28	00:00:00	カーマイン	じんましんのしおしおの子	
29	00:00:00	HILO	おいしい煮玉子	
30	00:00:00	じょーげん	のんの	
31	00:00:00	Shuzo	おいおい	
32	00:00:09	motiyomogi	おいしい煮玉子	
33	00:00:11	こみこ	煮玉子玉子まじ玉子	
34	00:00:11	ヌルヌペペ	おいしい煮玉子	
35	00:00:16	カーマイン	おいしい煮玉子	
36	00:00:16	にけい	おお	
37	00:00:19	ホワイトラン衛兵	おいしい煮玉子	
38	00:00:19	aarar scsrt	おいしい煮玉子	
39	00:00:20	リフェ	おいしい煮玉子	
40	00:00:20	えび	おいしい煮玉子	
41	00:00:20	じょーげん	おいしい煮玉子	
42	00:00:21	ミワタリ	おいしい煮玉子	
43	00:00:23	御早和杯	おいしい煮玉子	
44	00:00:23	らうらう	おいしい煮玉子	
45	00:00:24	なんたら	おいしい煮玉子	
46	00:00:24	桜田紅	おいしい煮玉子	
47	00:00:24	張島サボ太	おいしい煮玉子	
48	00:00:26	竹輪	おいしい煮玉子	
49	00:00:28	ラルエメ	おいしい煮玉子	
50	00:00:30	HILO	おいしい煮玉子	
51	00:00:34	なんたら	聞こえてる	
52	00:00:34	タケノコ男	おいしい煮玉子	
53	00:00:34	カーマイン	メガ姉ちゃんだ！！！	
54	00:00:35	らうらう	きこえる	
55	00:00:36	ジャック・オー	おいしい煮玉子	
56	00:00:37	リフェ	聞こえてるよー	
57	00:00:37	竹輪	かわいい声が聞こえる	
58	00:00:39	めるカバ	おいしい煮玉子	
59	00:00:41	らうらう	超メモ欄	
60	00:00:42	biki koto	おいしい煮玉子	
61	00:00:43	ミワタリ	かわいい	
62	00:00:45	aarar scsrt	coolなお声が聞こえる	
63	00:00:47	こみこ	今日もかわいい	
64	00:00:48	カーマイン	聴こえてるよ	
65	00:00:51	らうらう	超メモ欄とは・・・？	
66	00:00:53	HILO	こんばんわ、声ちゃんと聞こえてるよ	
67	00:00:59	らうらう	うん	
68	00:01:00	なんたら	ドゥクドゥク	
69	00:01:02	えび	音量オッケー	
70	00:01:03	タケノコ男	聞こえる	
71	00:01:05	リフェ	大丈夫ー	
72	00:01:08	ジャック・オー	音量OK	
73	00:01:09	こみこ	ﾃﾞｭｸﾃﾞｭｸ	
74	00:01:10	らうらう	かわいい	
75	00:01:11	ジョナサン・グレーン	オッケー	
76	00:01:13	めるカバ	ナニコレ	
77	00:01:14	じょーげん	ﾋｭｰ	
78	00:01:15	にけい	クラブじみてきたぜ	
79	00:01:16	竹輪	かわいい	
80	00:01:16	motiyomogi	かわいい	
81	00:01:17	究極ド根性ダイコン	かわいい	
82	00:00:00	Shuzo	煮玉子とケツアゴで韻が踏める	
83	00:00:00	ラルエメ	おいしい煮玉子	
84	00:00:00	らうらう	おいしい煮玉子	
85	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
86	00:00:00	カーマイン	おいしい煮玉子	
87	00:00:00	ミワタリ	おいしい煮玉子	
88	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
89	00:00:00	張島サボ太	おいしい煮玉子	
90	00:00:00	えび	おいしい煮玉子	
91	00:00:00	ニャンコ先生	おいしい煮玉子	
92	00:00:00	なんたら	おいしい煮玉子	
93	00:00:00	竹輪	おいしい煮玉子	
94	00:00:00	スモーク	おいしい煮玉子	
95	00:00:00	ジャック・オー	おいしい煮玉子	
96	00:00:00	タケノコ男	おいしい煮玉子	
97	00:00:00	リフェ	おいしい煮玉子	
98	00:00:00	JUNY	おいしい煮玉子	
99	00:00:00	ラルエメ	おいしい煮玉子	
100	00:00:00	biki koto	おいしい煮玉子	
101	00:00:00	めるカバ	おいしい煮玉子	
102	00:00:00	にけい	煮玉子おいしい❓	
103	00:00:00	こみこ	おいしい煮玉子	
104	00:00:00	カーマイン	じまんの煮玉子	
105	00:00:00	ジャック・オー	まじいい子　	
106	00:00:00	めるカバ	いま煮玉子のしじま	
107	00:00:00	T.のかね	おいしい煮玉子	
108	00:00:00	らうらう	煮しんおいしい	
109	00:00:00	eve	おいしい煮玉子	
110	00:00:00	カーマイン	じんましんのしおしおの子	
111	00:00:00	HILO	おいしい煮玉子	
112	00:00:00	じょーげん	のんの	
113	00:00:00	Shuzo	おいおい	
114	00:00:09	motiyomogi	おいしい煮玉子	
115	00:00:11	こみこ	煮玉子玉子まじ玉子	
116	00:00:11	ヌルヌペペ	おいしい煮玉子	
117	00:00:16	カーマイン	おいしい煮玉子	
118	00:00:16	にけい	おお	
119	00:00:19	ホワイトラン衛兵	おいしい煮玉子	
120	00:00:19	aarar scsrt	おいしい煮玉子	
121	00:00:20	リフェ	おいしい煮玉子	
122	00:00:20	えび	おいしい煮玉子	
123	00:00:20	じょーげん	おいしい煮玉子	
124	00:00:21	ミワタリ	おいしい煮玉子	
