行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	じょーげん	おいしい煮玉子	
1	00:00:00	天然ステルス	おいしい煮玉子	
2	00:00:00	JUNY	おいしい煮玉子	
3	00:00:00	リフェ	おいしい煮玉子	
4	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
5	00:00:00	あのあれ	おいしい煮玉子	
6	00:00:00	やなぎかげ	おいしい煮玉子	
7	00:00:00	スモーク	おいしい煮玉子	
8	00:00:00	猫の散歩道	美味しい煮ルート	
9	00:00:00	厳かな守護者P	おいしい煮玉子	
10	00:00:00	海東純一	​おいしい煮玉子	
11	00:00:00	桜田紅	おいしい煮玉子	
12	00:00:00	ぴねかっと	おいしい煮玉子	
13	00:00:00	たろうずり	おいしい煮玉子	
14	00:00:00	らうらう	まじい煮玉子	
15	00:00:00	クゥの部屋 Ch	　　　	
16	00:00:00	ジャック・オー	ダチョウの煮玉子	
17	00:00:00	クゥの部屋 Ch	らうらうさんの提供で スポンサー絵文字が高画質化しました	
18	00:00:00	クゥの部屋 Ch	ありがとうございました	
19	00:00:00	究極ド根性ダイコン	まじんの煮玉子	
20	00:00:00	motiyomogi	すごい	
21	00:00:00	カギカギ	すごい	
22	00:00:00	リフェ	すごい	
23	00:00:00	究極ド根性ダイコン	らうらうさんありがとう	
24	00:00:00	桜田紅	すごい	
25	00:00:00	D W	すごい	
26	00:00:00	ジャック・オー	すごい	
27	00:00:00	T.のかね	　　　	
28	00:00:00	ぴねかっと	　　　	
29	00:00:00	クゥの部屋 Ch	今からNEURON着リングバイツ	
30	00:00:00	クゥの部屋 Ch	お待ち下さい	
31	00:00:00	いぶきんぐ	はーい	
32	00:00:00	らうらう	🤔	
33	00:00:00	motiyomogi	まつ	
34	00:00:00	T.のかね	りょ！	
35	00:00:00	竹輪	はーい	
36	00:00:00	究極ド根性ダイコン	おけまる	
37	00:00:00	リフェ	りょ！	
38	00:00:00	キタカシ	あれ着るの30分位かかるんだっけ	
39	00:00:00	ジョナサン・グレーン	はい	
40	00:00:00	らうらう	装着RTA	
41	00:00:00	スモーク	ありがとうそしてありがとう	
42	00:00:00	sas b	おいしい煮玉子	
43	00:00:00	FFDD	恐ろしいゲームやでホンマに	
44	00:00:00	JUNY	お待つ	
45	00:00:00	HILO	おいしい煮玉子	
46	00:00:00	aarar scsrt	まそー	
47	00:00:00	黄咲隼	おいしい煮玉子	
48	00:00:00	猫の散歩道	やっぱりニューロンって着脱に手間がかかるんだな	
49	00:00:00	らうらう	10分経過	
50	00:00:00	スモーク		￥100
51	00:00:00	カーマイン		￥120
52	00:00:11	JUNY	くる！	
53	00:00:12	なんたら	おみず	
54	00:00:12	ジョナサン・グレーン	おいしい煮玉子	
55	00:00:15	竹輪	おいしい煮玉子	
56	00:00:16	motiyomogi	おいしい煮玉子	
57	00:00:16	究極ド根性ダイコン	おいしい煮玉子	
58	00:00:17	リフェ	おいしい煮玉子	
