行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:17	らうらう	​おいしい煮玉子	
1	00:00:19	はるにれ	おいしい煮玉子	
2	00:00:19	なんたら	おいしい煮玉子	
3	00:00:19	ふじ	おいしい煮玉子	
4	00:00:20	べるべる	おいしい煮玉子	
5	00:00:20	竹輪	おいしい煮玉子	
6	00:00:21	プレコ	おにたま	
7	00:00:21	Garden	おいしい煮玉子	
8	00:00:21	御早和杯	おいしい煮玉子	
9	00:00:22	ブロア	おいしい煮玉子	
10	00:00:22	まつ	おいしい煮玉子	
11	00:00:22	_ Die	おかえり煮玉子	
12	00:00:28	あい	おいしい煮玉子	
13	00:00:28	ノギ	おいたまー	
14	00:00:29	くれみ	おいしい煮玉子～	
15	00:00:31	味付けタマゴ	おいしい煮玉子	
16	00:00:33	ミワタリ	おいしい煮玉子	
17	00:00:38	カンタ	おいしい煮玉子	
18	00:00:40	うぇいのる	おいしい煮玉子	
19	00:00:45	こみこ	おいしい煮玉子	
20	00:00:48	ゆうきジョン	おいしい煮玉子	
21	00:00:49	秋箱	おいしい煮玉子	
22	00:00:49	はるにれ	おいしい煮玉子	
23	00:00:50	天然ステルス	おいしい煮玉子	
24	00:00:50	ふかちゃんチャンネル	シルフカンパニー攻略	
25	00:00:58	クガッチ	おいしい煮玉子	
26	00:01:03	らうらう	だえき・・・・・	
27	00:01:10	らうらう	姉ちゃんのだえき・・・・・・	
28	00:01:10	こみこ	ダゲキの間違いかな？(すっとぼけ)	
29	00:01:11	ミワタリ	姉ちゃんもよくやるヨガ	
30	00:01:11	秋箱	名前ひど過ぎてほんと草	
31	00:01:17	たたた	陰キャは金持ち	
32	00:01:20	あい	チャットが動いてない	
33	00:01:22	たべ太	唾液を育てる	
34	00:01:24	竹輪	姉ちゃんのだえきだって！？	
35	00:01:27	うぇいのる	姉ちゃんもよくやるやつ	
36	00:01:34	味付けタマゴ	唾液を育てるとは....	
37	00:01:39	ブロア	うごいでないよ	
38	00:01:42	周恩来	とまってる	
39	00:01:42	ふかちゃんチャンネル	メガトンパンチかメガトンキックを	
40	00:01:53	habanero	煮玉子	
41	00:02:10	めるカバ	おいしい煮玉子	
42	00:02:10	ミワタリ	煮玉子	
43	00:02:12	あい	フシギダネ	
44	00:02:16	竹輪	フシギダネ	
45	00:02:17	うぇいのる	にてる	
46	00:02:18	なんたら	はい	
47	00:02:18	プレコ	時の流れはフシギダネ	
48	00:02:18	_ Die	ばな～	
49	00:02:20	秋箱	初代の格闘って正直・・・	
50	00:00:17	らうらう	​おいしい煮玉子	
51	00:00:19	はるにれ	おいしい煮玉子	
52	00:00:19	なんたら	おいしい煮玉子	
53	00:00:19	ふじ	おいしい煮玉子	
54	00:00:20	べるべる	おいしい煮玉子	
55	00:00:20	竹輪	おいしい煮玉子	
56	00:00:21	プレコ	おにたま	
57	00:00:21	Garden	おいしい煮玉子	
58	00:00:21	御早和杯	おいしい煮玉子	
59	00:00:22	ブロア	おいしい煮玉子	
60	00:00:22	まつ	おいしい煮玉子	
61	00:00:22	_ Die	おかえり煮玉子	
62	00:00:28	あい	おいしい煮玉子	
63	00:00:28	ノギ	おいたまー	
64	00:00:29	くれみ	おいしい煮玉子～	
65	00:00:31	味付けタマゴ	おいしい煮玉子	
66	00:00:33	ミワタリ	おいしい煮玉子	
67	00:00:38	カンタ	おいしい煮玉子	
68	00:00:40	うぇいのる	おいしい煮玉子	
69	00:00:45	こみこ	おいしい煮玉子	
70	00:00:48	ゆうきジョン	おいしい煮玉子	
71	00:00:49	秋箱	おいしい煮玉子	
72	00:00:49	はるにれ	おいしい煮玉子	
73	00:00:50	天然ステルス	おいしい煮玉子	
74	00:00:50	ふかちゃんチャンネル	シルフカンパニー攻略	
75	00:00:58	クガッチ	おいしい煮玉子	
76	00:01:03	らうらう	だえき・・・・・	
77	00:01:10	らうらう	姉ちゃんのだえき・・・・・・	
78	00:01:10	こみこ	ダゲキの間違いかな？(すっとぼけ)	
79	00:01:11	ミワタリ	姉ちゃんもよくやるヨガ	
80	00:01:11	秋箱	名前ひど過ぎてほんと草	
81	00:01:17	たたた	陰キャは金持ち	
82	00:01:20	あい	チャットが動いてない	
83	00:01:22	たべ太	唾液を育てる	
84	00:01:24	竹輪	姉ちゃんのだえきだって！？	
85	00:01:27	うぇいのる	姉ちゃんもよくやるやつ	
86	00:01:34	味付けタマゴ	唾液を育てるとは....	
87	00:01:39	ブロア	うごいでないよ	
88	00:01:42	周恩来	とまってる	
89	00:01:42	ふかちゃんチャンネル	メガトンパンチかメガトンキックを	
90	00:01:53	habanero	煮玉子	
91	00:02:10	めるカバ	おいしい煮玉子	
92	00:02:10	ミワタリ	煮玉子	
93	00:02:12	あい	フシギダネ	
94	00:02:16	竹輪	フシギダネ	
95	00:02:17	うぇいのる	にてる	
96	00:02:18	なんたら	はい	
97	00:02:18	プレコ	時の流れはフシギダネ	
98	00:02:18	_ Die	ばな～	
99	00:02:20	秋箱	初代の格闘って正直・・・	
100	00:02:24	こみこ	バーナード	
101	00:02:35	味付けタマゴ	ダネフシッ	
102	00:02:36	らうらう	賑やかし要因のだえき	
103	00:02:42	うぇいのる	唾液かわいそう過ぎる…	
104	00:02:42	岸辺一徳	おうた	
105	00:02:43	ブロア	ﾖﾜｲﾗｲﾊﾞﾙ！	
106	00:02:50	ミワタリ	おうた	
107	00:02:57	究極ド根性ダイコン	珍しくまともな歌詞だ	
108	00:03:00	らうらう	いんきゃが喋ったああああああああああ	
109	00:03:09	ゆうきジョン	シルフカンパニーすこ	
110	00:03:10	SyG TTT	しめしめて	
111	00:03:12	周恩来	あいつ休み時間いつも寝てるよなw	
112	00:03:12	めるカバ	おうた	
113	00:03:14	秋箱	ひどい名前つけられた挙句放置されるだえき	
114	00:03:37	うぇいのる	陰キャっていうキャラ付けが	
115	00:03:38	SyG TTT	ウロウロするんじゃあないッ	
116	00:03:46	らうらう	いんきゃって義務教育うけなくて大丈夫なの	
117	00:03:46	究極ド根性ダイコン	草	
118	00:03:48	べるべる	煮玉子みたい	
119	00:03:54	ふじ	揚げ鶏かな？	
120	00:03:56	松本幸四郎	チン○ポやん！	
121	00:03:57	ふかちゃんチャンネル	ここワープめんどい、カードーキー探さないとね	
122	00:03:59	竹輪	若干煮玉子っぽい	
123	00:04:08	こみこ	キック要素を微塵も感じさせない後ろ姿	
124	00:04:11	秋箱	初代のゴルバットこわい	
125	00:04:18	you k	どくひこうにかくとうは…	
126	00:05:02	はまちハウマッチ	プテラが何おぼえるかによるけどいわなだれ覚えさせてもよさそう	
127	00:05:10	ノギ	地獄車覚えさせるとか	
128	00:05:25	you k	30を2回だったかな	
129	00:05:39	らうらう	だえき・・・・・	
130	00:05:40	うぇいのる	だえきー！	
131	00:05:40	ふかちゃんチャンネル	サワムラーぁぁぁ！	
132	00:05:40	周恩来	だえき…	
133	00:05:44	ゆうきジョン	だえきー！	
134	00:05:44	ミワタリ	だえき…	
135	00:05:53	たべ太	口の中パッサパサだよ	
136	00:05:54	you k	だえき…いいやつだった	
137	00:06:17	めるカバ	とびげりスカしそう	
138	00:06:24	竹輪	かわいい	
139	00:06:26	らうらう	かわいい	
140	00:06:28	周恩来	せやなー	
141	00:06:31	たたた	それなー	
142	00:06:33	ミワタリ	それなー	
143	00:06:35	うぇいのる	せやな～	
144	00:06:36	べるべる	壊れたレコードみたいじゃん	
145	00:06:40	秋箱	だえき育てたらカンナで活躍できるかな？	
146	00:06:42	ノギ	カウンターもいいかもしれない	
147	00:06:47	岸辺一徳	なんでもかわいいねえちゃん	
148	00:06:55	プレコ	だえきを育てるメリットあるのかな？	
149	00:07:04	周恩来	かわいい	
150	00:07:05	ブロア	かわいい	
151	00:07:07	あい	かわいい	
152	00:07:07	こみこ	事実	
153	00:07:12	うぇいのる	かわいい	
154	00:07:13	めるカバ	姉ちゃんはかわいいからな	
155	00:07:13	たんこぶ	かわいい	
156	00:07:13	カンタ	かわいい	
157	00:07:13	べるべる	かわいいよねえちゃん	
158	00:07:15	秋箱	かわいい	
