行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	Johnny Lattarulo	Takuya, are you there?	
2	00:00:00	らうらう	hi TAKUYA	
3	00:00:00	core quad	takuya-san...	
4	00:00:00	岸辺一徳	Takuya will come soon?	
5	00:00:00	ジャック・オー	TAKUYA is coming soon.Wait a minute.	
6	00:00:00	Clacklin/クラックリン	Hi everyone, tasty ni-tamago	
7	00:00:00	こみこ	Takuya nee-chan is very very cute♥	
8	00:00:00	岸辺一徳	Wa-ka-ru…	
9	00:00:00	クロムア	Thats light	
10	00:00:00	Clacklin/クラックリン	an eternal truth	
11	00:00:00	JUNY	TAKUYA comes soon	
12	00:00:00	motiyomogi	Tyo-mateyo	
13	00:00:00	じょーげん	おいしい煮玉子	
14	00:00:00	岸辺一徳	おいしい煮玉子	
15	00:00:00	リフェ	おいしい煮玉子	
16	00:00:00	スモーク	おいしい煮玉子	
17	00:00:00	なんたら	おいしい煮玉子	
18	00:00:00	カギカギ	おいしい煮玉子	
19	00:00:00	ジャック・オー	tasty boiled egg	
20	00:00:00	eve	おいしい煮玉子	
21	00:00:00	ロンドベルジェニ	おいしい煮玉子	
22	00:00:00	こみこ	おいしい煮玉子	
23	00:00:00	seafood	おいしい煮玉子	
24	00:00:00	ジャック・オー	おしい煮玉子	
25	00:00:00	らうらう	おいしい煮玉子	
26	00:00:00	九代目中山稲五朗	おいしいだし巻き玉子	
27	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
28	00:00:00	タケノコ男	おいしい煮玉子	
29	00:00:00	Clacklin/クラックリン	おいしい？コーヒー巻き玉子	
30	00:00:00	ねこくーる	hello	
31	00:00:00	うぇいのる	おいしい煮玉子	
32	00:00:00	ライ	美味しい煮卵	
33	00:00:00	のねずみ	delicious simmered egg	
34	00:00:00	core quad	t a s t y	
35	00:00:00	りあすて	おいしい煮だし巻き玉子	
36	00:00:22	JUNY	TAKUYA has come	
37	00:00:23	motiyomogi	おいしい煮玉子	
38	00:00:26	らうらう	おいしい煮玉子	
39	00:00:30	リフェ	おいしい煮玉子	
40	00:00:33	ふぁる	おいしい煮玉子	
41	00:00:34	なんたら	おいしい煮玉子	
42	00:00:35	のねずみ	おいしい煮玉子	
43	00:00:35	スモーク	今日もメガネ姉ちゃん！	
44	00:00:39	タケノコ男	おいしい煮玉子	
45	00:00:39	うぇいのる	おいしい煮玉子	
46	00:00:40	ジャック・オー	まじおいしい煮玉子	
47	00:00:42	Clacklin/クラックリン	おいしい煮玉子	
48	00:00:42	あい	おいしい煮玉子	
49	00:00:42	岸辺一徳	おいしい煮玉子	
50	00:00:45	ナウ	おいしい煮玉子	
51	00:00:48	こみこ	体勢が	
52	00:00:48	eve	メガネかわいい	
53	00:00:48	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
54	00:00:53	ヘンリーダーガー	おいしい煮玉子	
55	00:00:55	ジャック・オー	イナバウアー姉ちゃん	
56	00:00:56	チキン肉なし	ゲンゲル～	
57	00:00:57	むらさきあんこ	おいしい煮玉子	
58	00:00:57	_ Die	おいしい煮玉子	
59	00:00:59	ライ	美味しい煮玉子	
60	00:00:59	motiyomogi	ﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟ	
61	00:00:59	ナウ	いつもの	
62	00:01:00	らうらう	ppppp	
63	00:01:01	せせらぎ	ﾋﾟﾋﾟﾋﾟﾋﾟ	
64	00:01:03	スモーク	pppppp	
65	00:01:03	JUNY	おいしい煮玉子	
66	00:01:04	尾花	おいしい煮玉子	
67	00:01:04	タケノコ男	pppppppp	
68	00:01:09	クロムア	pppppppp	
69	00:01:09	sio3go	おいしい煮玉子	
70	00:01:09	毒入りトマト	おいしいに煮玉子	
71	00:01:11	岸辺一徳	ﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟ	
72	00:01:11	なんたら	ﾆｭｰﾛﾝ君大丈夫かな…	
73	00:01:13	ジャック・オー	ppppppppp	
74	00:01:21	ひとーん	ぉま環じゃなかった	
75	00:01:43	究極ド根性ダイコン	おにたま～	
76	00:01:50	motiyomogi	おみず	
77	00:01:58	八木谷	おいしい煮玉子	
78	00:02:09	バーチャルYouTuberガニメデちゃんねる	ピピピなったから家に設置してる警報なったかと思って監視カメラみにいってしまった…	
79	00:02:09	ナツメ大尉	おいしい煮玉子	
80	00:02:13	10あああ	おいしい煮玉子	
81	00:02:23	ジャック・オー	自然な眼鏡クイッ	
82	00:02:34	チキン肉なし	かっこいいからいいじゃん	
83	00:02:36	JUNY	キーラは倒せなかったの？	
84	00:02:36	スモーク	いやー昨日は衝撃の展開でした	
85	00:02:41	りあすて	でかい	
86	00:00:00	Johnny Lattarulo	Takuya, are you there?	
88	00:00:00	らうらう	hi TAKUYA	
89	00:00:00	core quad	takuya-san...	
90	00:00:00	岸辺一徳	Takuya will come soon?	
91	00:00:00	ジャック・オー	TAKUYA is coming soon.Wait a minute.	
92	00:00:00	Clacklin/クラックリン	Hi everyone, tasty ni-tamago	
93	00:00:00	こみこ	Takuya nee-chan is very very cute♥	
94	00:00:00	岸辺一徳	Wa-ka-ru…	
95	00:00:00	クロムア	Thats light	
96	00:00:00	Clacklin/クラックリン	an eternal truth	
97	00:00:00	JUNY	TAKUYA comes soon	
98	00:00:00	motiyomogi	Tyo-mateyo	
99	00:00:00	じょーげん	おいしい煮玉子	
100	00:00:00	岸辺一徳	おいしい煮玉子	
101	00:00:00	リフェ	おいしい煮玉子	
102	00:00:00	スモーク	おいしい煮玉子	
103	00:00:00	なんたら	おいしい煮玉子	
104	00:00:00	カギカギ	おいしい煮玉子	
105	00:00:00	ジャック・オー	tasty boiled egg	
106	00:00:00	eve	おいしい煮玉子	
107	00:00:00	ロンドベルジェニ	おいしい煮玉子	
108	00:00:00	こみこ	おいしい煮玉子	
109	00:00:00	seafood	おいしい煮玉子	
110	00:00:00	ジャック・オー	おしい煮玉子	
111	00:00:00	らうらう	おいしい煮玉子	
112	00:00:00	九代目中山稲五朗	おいしいだし巻き玉子	
113	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
114	00:00:00	タケノコ男	おいしい煮玉子	
115	00:00:00	Clacklin/クラックリン	おいしい？コーヒー巻き玉子	
116	00:00:00	ねこくーる	hello	
117	00:00:00	うぇいのる	おいしい煮玉子	
118	00:00:00	ライ	美味しい煮卵	
119	00:00:00	のねずみ	delicious simmered egg	
120	00:00:00	core quad	t a s t y	
121	00:00:00	りあすて	おいしい煮だし巻き玉子	
122	00:00:22	JUNY	TAKUYA has come	
123	00:00:23	motiyomogi	おいしい煮玉子	
124	00:00:26	らうらう	おいしい煮玉子	
125	00:00:30	リフェ	おいしい煮玉子	
126	00:00:33	ふぁる	おいしい煮玉子	
127	00:00:34	なんたら	おいしい煮玉子	
128	00:00:35	のねずみ	おいしい煮玉子	
129	00:00:35	スモーク	今日もメガネ姉ちゃん！	
130	00:00:39	タケノコ男	おいしい煮玉子	
131	00:00:39	うぇいのる	おいしい煮玉子	
132	00:00:40	ジャック・オー	まじおいしい煮玉子	
133	00:00:42	Clacklin/クラックリン	おいしい煮玉子	
134	00:00:42	あい	おいしい煮玉子	
135	00:00:42	岸辺一徳	おいしい煮玉子	
136	00:00:45	ナウ	おいしい煮玉子	
137	00:00:48	こみこ	体勢が	
138	00:00:48	eve	メガネかわいい	
139	00:00:48	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
140	00:00:53	ヘンリーダーガー	おいしい煮玉子	
141	00:00:55	ジャック・オー	イナバウアー姉ちゃん	
142	00:00:56	チキン肉なし	ゲンゲル～	
143	00:00:57	むらさきあんこ	おいしい煮玉子	
144	00:00:57	_ Die	おいしい煮玉子	
145	00:00:59	ライ	美味しい煮玉子	
146	00:00:59	motiyomogi	ﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟ	
147	00:00:59	ナウ	いつもの	
148	00:01:00	らうらう	ppppp	
149	00:01:01	せせらぎ	ﾋﾟﾋﾟﾋﾟﾋﾟ	
150	00:01:03	スモーク	pppppp	
151	00:01:03	JUNY	おいしい煮玉子	
152	00:01:04	尾花	おいしい煮玉子	
153	00:01:04	タケノコ男	pppppppp	
154	00:01:09	クロムア	pppppppp	
155	00:01:09	sio3go	おいしい煮玉子	
156	00:01:09	毒入りトマト	おいしいに煮玉子	
157	00:01:11	岸辺一徳	ﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟﾋﾟ	
158	00:01:11	なんたら	ﾆｭｰﾛﾝ君大丈夫かな…	
159	00:01:13	ジャック・オー	ppppppppp	
160	00:01:21	ひとーん	ぉま環じゃなかった	
161	00:01:43	究極ド根性ダイコン	おにたま～	
162	00:01:50	motiyomogi	おみず	
163	00:01:58	八木谷	おいしい煮玉子	
164	00:02:09	バーチャルYouTuberガニメデちゃんねる	ピピピなったから家に設置してる警報なったかと思って監視カメラみにいってしまった…	
165	00:02:09	ナツメ大尉	おいしい煮玉子	
166	00:02:13	10あああ	おいしい煮玉子	
167	00:02:23	ジャック・オー	自然な眼鏡クイッ	
168	00:02:34	チキン肉なし	かっこいいからいいじゃん	
169	00:02:36	JUNY	キーラは倒せなかったの？	
170	00:02:36	スモーク	いやー昨日は衝撃の展開でした	
171	00:02:41	りあすて	でかい	
172	00:02:54	こみこ	ジョジョ立ちみたいで格好いい	
173	00:03:11	JUNY	半分…？	
174	00:03:12	御早和杯	おいしい煮玉子	
175	00:03:14	うぇいのる	そんなに…	
176	00:03:14	motiyomogi	ボリュームおかしい	
177	00:03:14	なんたら	はぁ…	
178	00:03:16	タケノコ男	草	
179	00:03:19	のねずみ	24時間！？	
180	00:03:21	チキン肉なし	そん なに	
181	00:03:23	じょーげん	やばい	
182	00:03:28	ナウ	長く遊べるんやなあ	
183	00:03:28	カギカギ	そんなに	
184	00:03:29	eve	今日中にいけるのかな...	
185	00:03:32	リフェ	そんなに	
186	00:03:32	デンキヒツジ	おいしい煮玉子	
187	00:03:35	ジャック・オー	灯火の星で全ファイター出せるからね	
188	00:03:37	近藤大輔	こっからも沢山キャラ出るのよね	
189	00:03:56	JUNY	キーラくん下っ端だったんか…	
190	00:04:09	八木谷	やばそう	
191	00:04:19	天然ステルス	おいしい煮玉子	
192	00:04:24	りあすて	スキルが上がるじゃん	
193	00:04:24	うぇいのる	おおう…	
194	00:04:25	ねこくーる	かなりきつそう	
