行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	Redmix	おいしい煮玉子	
1	00:00:00	なんたら	おいしい煮玉子	
2	00:00:00	助六	おいしい煮玉子	
3	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
4	00:00:00	らうらう	​おいしい煮玉子	
5	00:00:00	スモーク	おいたま！	
6	00:00:00	らうらう	おかしい。このサムネなら姉ちゃん水着になるべきでは？	
7	00:00:00	弐号。あくじき	おいしい煮玉子	
8	00:00:00	助六	大姉ちゃん呼んでくる？	
9	00:00:00	えび	おいしい煮玉子	
10	00:00:00	Redmix	おうたの新作がTwitterに	
11	00:00:00	Shota Hamada	おいしい煮玉子	
12	00:00:00	さんぽーる祐三	おいしい煮玉子	
13	00:00:00	岸辺一徳	おいしい煮玉子	
14	00:00:00	うぇいのる	おいしい煮玉子	
15	00:00:00	周恩来	おいしいセメント	
16	00:00:00	ジョナサン・グレーン	おいしいプンレク	
17	00:00:00	竹輪	おいセメ〜	
18	00:00:00	らうらう	おいしいベトベトン	
19	00:00:00	ジョナサン・グレーン	姉ちゃんが遅刻とは珍しいな…	
20	00:00:00	竹輪	jcは準備に時間がかかりますから仕方ないですね	
21	00:00:00	周恩来	え？あの姉ちゃんが遅刻を！？	
22	00:00:00	さんぽーる祐三	おいしい埃	
23	00:00:04	なんたら	台風でも来るんじゃないか？	
24	00:00:10	mori mori	なんで枠予約してるのに毎回ちょっと遅れるんだろうとは思う	
25	00:00:10	岸辺一徳	おいしい煮玉子	
26	00:00:11	さんぽーる祐三	水着だあああああ	
27	00:00:12	らうらう	！？	
28	00:00:14	ジョナサン・グレーン	来たのか！？	
29	00:00:18	むらさきあんこ	おいしい水着イベ	
30	00:00:19	Garden	おいしい煮玉子	
31	00:00:19	周恩来	おいしい煮玉子	
32	00:00:22	ヌルヌペペ	おいしい煮玉子	
33	00:00:24	周恩来	！?	
34	00:00:26	竹輪	おいしい煮玉子〜…！？	
35	00:00:26	K. u	おいしい煮玉子	
36	00:00:28	mori mori	おっ姉ちゃん水着！	
37	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
38	00:00:29	あい	おいしい煮玉子	
39	00:00:29	さんぽーる祐三	おいしい煮玉子	
40	00:00:32	らうらう	おいしい水着	
41	00:00:33	ヤマえもん	おいしい煮玉子	
42	00:00:35	なんたら		￥1,000
43	00:00:38	_ Die	​おいしい煮玉子	
44	00:00:38	タケノコ男	おいしい煮玉子	
45	00:00:39	えび	おいたま～	
46	00:00:39	Shota Hamada	やったーー！！水着だー！！	
47	00:00:40	よーた	エースチケ1枚でちゃんさま出たので来ました	
48	00:00:43	ジョナサン・グレーン	むっ！	
49	00:00:45	eve	おいしい煮玉子	
50	00:00:45	スモーク	水着イベ！	
51	00:00:48	いぶきんぐ	おいしい煮玉子	
52	00:00:49	Eトマト	おいしい水着煮玉子！	
53	00:00:53	_ Die	水着だー！	
54	00:00:55	周恩来		￥100
55	00:00:58	ゆうきジョン	おいしい煮玉子	
56	00:01:00	なんたら	水着！！！	
57	00:01:02	eve	水着かわいい	
58	00:01:03	竹輪	やったー！	
59	00:01:23	タケノコ男	水着かわいい	
60	00:01:27	らうらう		￥100
61	00:01:29	Eトマト	よし！始めよう！	
62	00:01:32	ジョナサン・グレーン	水着かわいい！	
63	00:01:37	ゆうきジョン	やらなくちゃ…！	
64	00:01:46	Eトマト	今何がおすすめキャラ？	
65	00:01:51	むらさきあんこ	水着イベはリセマラのしがいがある	
66	00:01:56	sas b	おいしい煮玉子、嬉しい水着	
67	00:01:58	いぶきんぐ	水着かわいい	￥1,000
68	00:02:02	周恩来	たしかに	
69	00:02:07	ハインツ	左下にいるのは渚の何ですか？	
70	00:02:27	EEB	おいしい煮玉子	
71	00:02:35	岸辺一徳	スポーティーな覚醒	
72	00:02:36	ポピーポピー	この体でJCだと？	
73	00:00:00	Redmix	おいしい煮玉子	
74	00:00:00	なんたら	おいしい煮玉子	
75	00:00:00	助六	おいしい煮玉子	
76	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
77	00:00:00	らうらう	​おいしい煮玉子	
78	00:00:00	スモーク	おいたま！	
79	00:00:00	らうらう	おかしい。このサムネなら姉ちゃん水着になるべきでは？	
80	00:00:00	弐号。あくじき	おいしい煮玉子	
81	00:00:00	助六	大姉ちゃん呼んでくる？	
82	00:00:00	えび	おいしい煮玉子	
83	00:00:00	Redmix	おうたの新作がTwitterに	
84	00:00:00	Shota Hamada	おいしい煮玉子	
85	00:00:00	さんぽーる祐三	おいしい煮玉子	
86	00:00:00	岸辺一徳	おいしい煮玉子	
87	00:00:00	うぇいのる	おいしい煮玉子	
88	00:00:00	周恩来	おいしいセメント	
89	00:00:00	ジョナサン・グレーン	おいしいプンレク	
90	00:00:00	竹輪	おいセメ〜	
91	00:00:00	らうらう	おいしいベトベトン	
92	00:00:00	ジョナサン・グレーン	姉ちゃんが遅刻とは珍しいな…	
93	00:00:00	竹輪	jcは準備に時間がかかりますから仕方ないですね	
94	00:00:00	周恩来	え？あの姉ちゃんが遅刻を！？	
95	00:00:00	さんぽーる祐三	おいしい埃	
