行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	リフェ	おいしい煮玉子	
1	00:00:00	カギカギ	おいしい煮玉子	
2	00:00:00	らうらう	​おいしい煮玉子	
3	00:00:00	たびびと	おいしい煮玉子	
4	00:00:00	パンセポンセ	おいしい煮玉子	
5	00:00:00	桜田紅	おいしい煮玉子	
6	00:00:00	防人	おいしい煮玉子	
7	00:00:00	JUNY	おいしい煮玉子	
8	00:00:00	スモーク	おいしい煮玉子	
9	00:00:00	aa aa	おいしい煮玉子	
10	00:00:00	りこった	​おいしい煮玉子	
11	00:00:08	じょーげん	おいしい煮玉子	
12	00:00:17	Ryo Kamiya	おいしい煮玉子	
13	00:00:20	まりも	おいしい煮玉子	
14	00:00:21	ジャック・オー	おいしい煮玉子	
15	00:00:22	にけい	おいしい煮玉子	
16	00:00:25	御早和杯	おいしい煮玉子	
17	00:00:28	seafood	おいしい煮玉子	
18	00:00:48	りこった	1周60時間って言ってる人いたから今1/4くらい？	
19	00:00:54	リフェ	なるほどー	
20	00:01:13	aa aa	おひるごはんたべた？	
21	00:01:40	らうらう	なにたべたの？ぶどう？	
22	00:01:54	ジャック・オー	ピッツァ	
23	00:01:58	パンセポンセ	ピッツァ	
24	00:02:09	リフェ	おいしそう	
25	00:02:12	なまずおとうしろう	ピッツァ	
26	00:02:15	にけい	わかるよ	
27	00:02:15	スモーク	草	
28	00:02:24	aa aa	シンプルな丸刈り	
29	00:02:24	らうらう	3枚も	
30	00:02:26	じょーげん	ポルポのピッツァ	
31	00:02:36	スモーク	薄いやつ	
32	00:02:45	aa aa	スーパーのピッツァは自分でサラミとピーマン添えまくるといいよ	
33	00:02:54	はおたど	姉ちゃん食べ盛りだからね	
34	00:03:11	aa aa	お菓子（生ハム	
35	00:03:12	らうらう	もぐくぅ！	
36	00:03:16	ジャック・オー	ナラの木の薪で焼いた故郷の本物のマルガリータだ!ボルチーニ茸ものっけてもらおう！	
37	00:03:20	まりも	全体的にイタリアみある	
38	00:03:22	SyG TTT	ポルチーニ茸のっけた？	
39	00:03:46	aa aa	生ハム啜ってるのかわいい	
40	00:03:47	リフェ	くっついてるから…	
41	00:03:47	スモーク	めっちゃのど渇きそう	
42	00:04:18	らうらう	にんにく煮玉子	
43	00:04:20	リフェ	にんにくの煮玉子	
