行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	ほるもん	おいしい煮玉子	
3	00:00:00	岸辺一徳	おいしい煮玉子	
4	00:00:00	seafood	おいしい煮玉子	
5	00:00:00	カギアカギ	おいしい煮玉子	
6	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
7	00:00:00	JUNY	おいしい煮玉子	
8	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
9	00:00:00	天然ステルス	おいしい煮玉子	
10	00:00:00	スモーク	おいしい煮玉子	
11	00:00:00	プラスワン	おいしい煮玉子	
12	00:00:00	eve	おいしい煮玉子	
13	00:00:00	ろりはるこん	おいしい煮玉子	
14	00:00:00	タケノコ男	おいしい煮玉子	
15	00:00:00	むむめめ	おつたま～	￥500
16	00:00:14	岸辺一徳	おいしい煮玉子	
17	00:00:15	motiyomogi	おいしい煮玉子	
18	00:00:15	mk 95	おいしい煮玉子	
19	00:00:18	Ryo Kamiya	おいしい煮玉子	
20	00:00:19	御早和杯	おいしい煮玉子	
21	00:00:21	カギアカギ	おいしい煮玉子	
22	00:00:21	あい	おいしい煮玉子	
23	00:00:24	ジュンペイ	おいしい煮玉子	
24	00:00:32	Luce	おいしい煮玉子	
25	00:00:32	Clacklin/クラックリン	おいしい煮玉子	
26	00:00:32	ふぁる	おいしい煮玉子	
27	00:00:33	ほるもん	おいしい煮玉子	
28	00:00:34	もずつき	おいしい煮玉子	
29	00:00:34	なんたら	おいしい煮玉子	
30	00:00:35	のねずみ20日	おいしい煮玉子	
31	00:00:36	らうらう	おいしい煮玉子	
32	00:00:37	ナウ	美味しい煮玉子	
33	00:00:38	なる	おいしい煮玉子	
34	00:00:39	ろりはるこん	おいしい煮玉子	
35	00:00:41	ジョナサン・グレーン	おいしい煮玉子	
36	00:00:41	RY U	おいしい煮玉子	
37	00:00:41	凛穏	美味しい煮玉子	
