行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	馬の骨に念仏	おいしい煮玉子	
1	00:00:00	ポンコツジョン	おいしい煮玉子	
2	00:00:00	ジョナサン・グレーン	おいしい煮玉子〜	
3	00:00:00	松本幸四郎	おいしい煮玉子	
5	00:00:00	畑秋	​おいしい煮玉子	
6	00:00:00	らうらう	おにたま～	
7	00:00:00	ヌルヌペペ	おいしい煮玉子	
8	00:00:00	うぇいのる	おいしい煮玉子	
9	00:00:00	ジュンペイ	おにたま〜	
10	00:00:00	じょーげん	꧁꧂	
11	00:00:00	海東純一	おいしい煮玉子	
12	00:00:00	周恩来	おいしい煮玉子	
13	00:00:00	めるカバ	おいしい煮玉子	
14	00:00:00	九尾桐岬	おいしい煮玉子	
15	00:00:00	らうらう	>俺の婿で第２位だったアルベルくれよ！！！ まじかよ婿だったのかよ	
16	00:00:00	周恩来	遅刻！高評価！	
17	00:00:00	めるカバ	(コラボ前なのになんで突発配信するんだ…？)	
18	00:00:00	あい	おいしい煮玉子	
19	00:00:00	Redmix	おいしい煮玉子	
20	00:00:00	ジュンペイ	おいしい　	
21	00:00:00	あい	　꧁꧂	
22	00:00:00	馬の骨に念仏		￥100
23	00:00:00	らうらう	おつにた！！	￥200
24	00:00:06	らうらう	　🥚	
25	00:00:15	めるカバ	　	
26	00:00:16	周恩来	おいしい煮玉子	
27	00:00:25	もっけいChannel	姉ちゃんおいしい	
28	00:00:25	ほるもん	おいしい	
29	00:00:27	ジョナサン・グレーン	おにたま〜	
30	00:00:27	MY k	こんばんわー	
31	00:00:28	とがま日和	こんばんはー	
32	00:00:28	らうらう	おいしい煮玉子	
33	00:00:29	_ Tamaya	こんばんは	
34	00:00:29	畑秋	　おいしい煮玉子	
35	00:00:32	かたもく	🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚	
36	00:00:32	ジュンペイ	こんばん煮卵	
37	00:00:35	なんたら	おいしい煮玉子​꧁꧂	
38	00:00:37	_ Die	おいしい煮玉子	
39	00:00:40	mouko	おいしい煮玉子～	
40	00:00:42	Redmix	おいしい煮玉子	
41	00:00:43	あい	おいしい煮玉子	
42	00:00:50	松本幸四郎	おいしい煮玉子	
43	00:00:54	とがま日和	姉ちゃん！！！！！またクレアの限定だよ！！！！！！！	
44	00:00:54	MY k	美味しい煮卵ー	
45	00:00:55	レアリスム星人	おいしい煮玉子	
46	00:00:56	太陽サン	おみたまー	
47	00:01:10	ヘンリーダーガー	おにたま～	
48	00:01:16	ノンフロン	おにたま～	
49	00:01:28	周恩来	隔週定期かな	
50	00:01:40	えび	おにたま～	
51	00:01:50	海東純一	おいしい遅刻煮玉子	
52	00:01:53	めるカバ	更新ない週に動画投稿しよう	
53	00:01:55	よーた	初見です、ガチャ大勝利したのできました	
54	00:02:08	八木谷	おいしい煮玉子	
55	00:02:17	ブロア	15分までは遅刻じゃない	
56	00:02:25	周恩来	±30分は定時だから	
57	00:02:35	海東純一	俺もSOAたまに起動しないで暗転したままの時あるわ	
58	00:02:41	松本幸四郎	姉ちゃんは人生で遅刻したことないぞ	
59	00:02:43	なんたら	ラグだぞ	
60	00:03:14	Redmix	むしろ俺らが遅刻の可能性	
61	00:03:16	ブロア	結婚したのか…	
62	00:03:17	ジョナサン・グレーン	超JC時空だぞ！	
63	00:03:30	ハインツ	花嫁アルベルはどうなりましたか？	
64	00:03:44	海東純一	ピックアップされてないけど前半キャラも出るよ！	
65	00:03:55	めるカバ	姉ちゃんプリシス好きそう(偏見)	
66	00:03:59	尾花	16歳だし大丈夫大丈夫	
67	00:04:21	mori mori	アルベル一位じゃないのかと思ったら二位なのか	
68	00:05:15	よーた	今回二人とも絵がすごくいいですよね	
69	00:05:51	うぇいのる	コラボ前配信で遅刻するのか…	
70	00:05:54	太陽サン	ネルさん強くなった	
71	00:05:59	らうらう	横アングルがいい	
72	00:00:00	馬の骨に念仏	おいしい煮玉子	
73	00:00:00	ポンコツジョン	おいしい煮玉子	
74	00:00:00	ジョナサン・グレーン	おいしい煮玉子〜	
75	00:00:00	松本幸四郎	おいしい煮玉子	
77	00:00:00	畑秋	​おいしい煮玉子	
78	00:00:00	らうらう	おにたま～	
79	00:00:00	ヌルヌペペ	おいしい煮玉子	
80	00:00:00	うぇいのる	おいしい煮玉子	
81	00:00:00	ジュンペイ	おにたま〜	
82	00:00:00	じょーげん	꧁꧂	
83	00:00:00	海東純一	おいしい煮玉子	
84	00:00:00	周恩来	おいしい煮玉子	
85	00:00:00	めるカバ	おいしい煮玉子	
86	00:00:00	九尾桐岬	おいしい煮玉子	
87	00:00:00	らうらう	>俺の婿で第２位だったアルベルくれよ！！！ まじかよ婿だったのかよ	
88	00:00:00	周恩来	遅刻！高評価！	
89	00:00:00	めるカバ	(コラボ前なのになんで突発配信するんだ…？)	
90	00:00:00	あい	おいしい煮玉子	
91	00:00:00	Redmix	おいしい煮玉子	
92	00:00:00	ジュンペイ	おいしい　	
93	00:00:00	あい	　꧁꧂	
94	00:00:00	馬の骨に念仏		￥100
95	00:00:00	らうらう	おつにた！！	￥200
96	00:00:06	らうらう	　🥚	
97	00:00:15	めるカバ	　	
98	00:00:16	周恩来	おいしい煮玉子	
99	00:00:25	もっけいChannel	姉ちゃんおいしい	
100	00:00:25	ほるもん	おいしい	
101	00:00:27	ジョナサン・グレーン	おにたま〜	
102	00:00:27	MY k	こんばんわー	
103	00:00:28	とがま日和	こんばんはー	
104	00:00:28	らうらう	おいしい煮玉子	
105	00:00:29	_ Tamaya	こんばんは	
106	00:00:29	畑秋	　おいしい煮玉子	
107	00:00:32	かたもく	🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚🥚	
108	00:00:32	ジュンペイ	こんばん煮卵	
109	00:00:35	なんたら	おいしい煮玉子​꧁꧂	
110	00:00:37	_ Die	おいしい煮玉子	
111	00:00:40	mouko	おいしい煮玉子～	
112	00:00:42	Redmix	おいしい煮玉子	
113	00:00:43	あい	おいしい煮玉子	
114	00:00:50	松本幸四郎	おいしい煮玉子	
115	00:00:54	とがま日和	姉ちゃん！！！！！またクレアの限定だよ！！！！！！！	
116	00:00:54	MY k	美味しい煮卵ー	
117	00:00:55	レアリスム星人	おいしい煮玉子	
118	00:00:56	太陽サン	おみたまー	
119	00:01:10	ヘンリーダーガー	おにたま～	
120	00:01:16	ノンフロン	おにたま～	
121	00:01:28	周恩来	隔週定期かな	
