行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クロムア	おいしい煮玉子	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	aa aa	おいしい煮玉子	
4	00:00:00	あのあれ	おいしい煮玉子	
5	00:00:00	厳かな守護者P	おいしい煮玉子	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:00	パンセポンセ	おいしい煮玉子	
8	00:00:00	さけとば	おいしい煮玉子	
9	00:00:00	らうらう	そういえばとは・・・？	
10	00:00:00	aa aa	4秒前にツイートしてる姉ちゃん	
11	00:00:00	クロムア	そういえば・・・？	
12	00:00:00	うぇいのる	おいしい煮玉子	
13	00:00:00	岸辺一徳	うっかりはJCあるある	
14	00:00:00	カギカギ	告知を忘れてた故のそういえばかもしれない	
15	00:00:00	aarar scsrt	おいしいにたまご	
16	00:00:10	ふーばー	​おいしい煮玉子	
17	00:00:18	ナウ	おいしい煮玉子	
18	00:00:19	リフェ	おいしい煮玉子	
19	00:00:20	mori mori	かわいい	
20	00:00:20	motiyomogi	おいしい煮玉子	
21	00:00:22	らうらう	おいしいおみず	
22	00:00:24	seafood	おいしい煮玉子	
23	00:00:24	ヌルヌペペ	おいしい煮玉子	
24	00:00:27	近藤亮	おいしい煮玉子	
25	00:00:28	うぇいのる	おいしい煮玉子	
26	00:00:30	八木谷	おいしい煮玉子	
27	00:00:32	aa aa	おいしい煮玉子	
28	00:00:33	パンセポンセ	おいしい煮玉子	
29	00:00:33	らうらう	かわいい	
30	00:00:42	なんたら	おいしい煮玉子	
31	00:00:42	ふーばー	なんか響いてる	
32	00:00:46	のねずみ	おいしい煮玉子	
33	00:00:48	匿名希望	なんか声変わった？	
34	00:00:48	らうらう	ひびいてる	
35	00:00:48	D W	おいしい煮玉子	
36	00:00:51	タケノコ男	おいしい煮玉子	
37	00:00:52	ss kk	​おいしい煮玉子	
38	00:00:57	mori mori	問題だらけの感	
39	00:01:08	さけとば	おいしい煮玉子	
40	00:01:24	匿名希望	お風呂にいるみたい	
41	00:01:27	ふーばー	まだちょっと響いてるかな	
42	00:01:28	八木谷	もうちょい抑えていいかも	
43	00:01:28	クロムア	大分響いとる	
44	00:01:33	なんたら	なんか臨場感ある	
45	00:01:34	mori mori	扇風機の前で喉叩いてる感	
46	00:01:36	タケノコ男	お風呂っぽい	
47	00:01:39	匿名希望	リバーブがかかってると言うより元の音が大きいのかな	
48	00:01:45	ぴねかっと	いつもより音量自体がかなり大きい気がする	
49	00:02:12	なんたら	音量はいいと思う	
50	00:02:31	ふーばー	よいと思います	
51	00:02:36	タケノコ男	よさそう	
