行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	yuya4000	お煮	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	よもよも	てえき	
3	00:00:00	白雪	おにた	
4	00:00:00	こみこ	すばらしいFilmora	
5	00:00:00	死骸	美味しい煮卵	
6	00:00:00	猫の散歩道	業務用煮卵メン	
7	00:00:00	ゴギガガガギゴ	太陽煮玉子メン	
8	00:00:00	呂宋鋼四郎	燃料煮卵メン	
9	00:00:00	タケノコ男	おいたま	
10	00:00:00	クロム	おいたま～	
11	00:00:00	たちかわ	おいたま	
12	00:00:00	レアリスム星人	おいしい煮玉子	
13	00:00:24	Ami Saika	おいたま	
14	00:00:36	八木谷	おいしい煮玉子	
15	00:00:40	ゴギガガガギゴ	おいしい煮玉子	
16	00:00:42	tage	おいしい電池メン	
17	00:00:43	ジャック・オー	おいしい煮玉子	
18	00:00:47	_ Die	おいしい煮玉子	
19	00:00:49	fami fami	企業案件をもらった姉ちゃん！企業案件をもらった姉ちゃんだ！	
20	00:00:49	こみこ	おいしい煮玉子	
21	00:00:52	はるにれ	おいしい煮玉子	
22	00:00:52	チャキ	おいしい煮玉子	
23	00:00:54	ygk ichi	おいしい煮玉子	
24	00:01:01	馬の骨に念仏	おいしいダチョウの煮玉子～	
25	00:01:04	さんぽーる祐三	起きててよかったおいしい煮玉子	
26	00:01:04	のなちき	おいしいテク坊	
27	00:01:25	クロノス	美味しい煮卵～ なんか久しぶり～	
28	00:01:38	氷結狐	おいしい煮卵	
29	00:01:44	猫の散歩道	おいしいマドルチェ	
30	00:01:44	よもよも	お玉	
31	00:02:09	呂宋鋼四郎	お、ウィッチレイド	
32	00:02:17	さんぽーる祐三	？	
33	00:02:18	こみこ	リスタート待ちでしょ	
34	00:02:21	なんたら	オ、パジャマ	
35	00:02:25	ygk ichi	リスタか	
36	00:02:42	よもよも	初手事故	
37	00:02:56	馬の骨に念仏	パジャマちゃんと着れてる！高評価！	￥200
38	00:03:02	呂宋鋼四郎	ライロかぁ	
39	00:03:09	いぶきんぐ	おいしい煮玉子	
40	00:03:19	行方不明	おいたま	
41	00:03:28	たちかわ	事故がね...	
42	00:03:29	こみこ	初手ウィッチ事故辛み	
43	00:03:36	馬の骨に念仏	ライフで受ける！	
44	00:03:47	どんとこいぼのえもん侍	融合カモン！	
45	00:03:49	めるカバ	おいしい煮玉子　	
46	00:03:49	ヤタピ榊原	こんばんは！	
47	00:04:16	馬の骨に念仏	　　　　　　	
48	00:04:17	いぶきんぐ	最近立て込んでてなかなか放送が見れなかった分	￥2,000
49	00:04:35	たちかわ	セキュリティホールの採用率上がってるのかな？	
50	00:04:40	タケノコ男	やったぜ	
51	00:04:41	くれみ	稲妻の剣ってルリちゃんに嫌がらせになりそうなカードだな…	
52	00:05:12	めるカバ	れらクゥ花嫁アクスタ予約したよ姉ちゃん…	
53	00:05:32	むらさきあんこ	さすが深夜だパジャマ着てる！	
54	00:05:40	こみこ	草	
55	00:05:40	呂宋鋼四郎	でもレイド回収できるゾ	
56	00:05:49	たちかわ	ライロ打点高いからすぐ倒されそう	
57	00:06:02	K. u	姉ちゃんのパジャマ可愛い	
58	00:06:11	タケノコ男	予約したけどいつ頃届くんだろ	
59	00:06:22	ヴァ虎	こんばんは	
60	00:06:52	呂宋鋼四郎	安定の壁	
61	00:07:24	ygk ichi	魂のカード！	
62	00:07:54	たちかわ	2枚で返せないはず	
63	00:00:00	yuya4000	お煮	
64	00:00:00	岸辺一徳	おいしい煮玉子	
65	00:00:00	よもよも	てえき	
66	00:00:00	白雪	おにた	
67	00:00:00	こみこ	すばらしいFilmora	
68	00:00:00	死骸	美味しい煮卵	
69	00:00:00	猫の散歩道	業務用煮卵メン	
70	00:00:00	ゴギガガガギゴ	太陽煮玉子メン	
71	00:00:00	呂宋鋼四郎	燃料煮卵メン	
72	00:00:00	タケノコ男	おいたま	
73	00:00:00	クロム	おいたま～	
74	00:00:00	たちかわ	おいたま	
75	00:00:00	レアリスム星人	おいしい煮玉子	
76	00:00:24	Ami Saika	おいたま	
77	00:00:36	八木谷	おいしい煮玉子	
78	00:00:40	ゴギガガガギゴ	おいしい煮玉子	
79	00:00:42	tage	おいしい電池メン	
80	00:00:43	ジャック・オー	おいしい煮玉子	
81	00:00:47	_ Die	おいしい煮玉子	
82	00:00:49	fami fami	企業案件をもらった姉ちゃん！企業案件をもらった姉ちゃんだ！	
83	00:00:49	こみこ	おいしい煮玉子	
84	00:00:52	はるにれ	おいしい煮玉子	
85	00:00:52	チャキ	おいしい煮玉子	
86	00:00:54	ygk ichi	おいしい煮玉子	
87	00:01:01	馬の骨に念仏	おいしいダチョウの煮玉子～	
88	00:01:04	さんぽーる祐三	起きててよかったおいしい煮玉子	
89	00:01:04	のなちき	おいしいテク坊	
90	00:01:25	クロノス	美味しい煮卵～ なんか久しぶり～	
91	00:01:38	氷結狐	おいしい煮卵	
92	00:01:44	猫の散歩道	おいしいマドルチェ	
93	00:01:44	よもよも	お玉	
94	00:02:09	呂宋鋼四郎	お、ウィッチレイド	
95	00:02:17	さんぽーる祐三	？	
96	00:02:18	こみこ	リスタート待ちでしょ	
97	00:02:21	なんたら	オ、パジャマ	
98	00:02:25	ygk ichi	リスタか	
99	00:02:42	よもよも	初手事故	
100	00:02:56	馬の骨に念仏	パジャマちゃんと着れてる！高評価！	￥200
101	00:03:02	呂宋鋼四郎	ライロかぁ	
102	00:03:09	いぶきんぐ	おいしい煮玉子	
103	00:03:19	行方不明	おいたま	
104	00:03:28	たちかわ	事故がね...	
105	00:03:29	こみこ	初手ウィッチ事故辛み	
106	00:03:36	馬の骨に念仏	ライフで受ける！	
107	00:03:47	どんとこいぼのえもん侍	融合カモン！	
108	00:03:49	めるカバ	おいしい煮玉子　	
109	00:03:49	ヤタピ榊原	こんばんは！	
110	00:04:16	馬の骨に念仏	　　　　　　	
111	00:04:17	いぶきんぐ	最近立て込んでてなかなか放送が見れなかった分	￥2,000
112	00:04:35	たちかわ	セキュリティホールの採用率上がってるのかな？	
113	00:04:40	タケノコ男	やったぜ	
114	00:04:41	くれみ	稲妻の剣ってルリちゃんに嫌がらせになりそうなカードだな…	
115	00:05:12	めるカバ	れらクゥ花嫁アクスタ予約したよ姉ちゃん…	
116	00:05:32	むらさきあんこ	さすが深夜だパジャマ着てる！	
117	00:05:40	こみこ	草	
118	00:05:40	呂宋鋼四郎	でもレイド回収できるゾ	
119	00:05:49	たちかわ	ライロ打点高いからすぐ倒されそう	
120	00:06:02	K. u	姉ちゃんのパジャマ可愛い	
121	00:06:11	タケノコ男	予約したけどいつ頃届くんだろ	
122	00:06:22	ヴァ虎	こんばんは	
123	00:06:52	呂宋鋼四郎	安定の壁	
124	00:07:24	ygk ichi	魂のカード！	
125	00:07:54	たちかわ	2枚で返せないはず	
126	00:08:31	ヴァ虎	破壊系が来たら終わりですよ。	
127	00:08:36	K. u	シナジーが読めない...	
128	00:08:37	はまちハウマッチ	あっ姉ちゃんがリンクスやってる！	
129	00:08:41	こみこ	見せ草原	
130	00:08:43	よもよも	大草原	
131	00:08:44	タケノコ男	どうなってるんだ	
132	00:08:50	呂宋鋼四郎	単純なパワーカードかな？	
133	00:08:53	たちかわ	ブラフ草原？	
134	00:09:04	よもよも	せっかくだから！	
135	00:09:12	たちかわ	おースラドラ	
136	00:09:14	氷結狐	草原に裏効果があるのかな？	
137	00:09:15	はまちハウマッチ	レッスラすき	
138	00:09:16	ゴギガガガギゴ	こくじん！こくじんじゃないか！	
139	00:09:19	くれみ	ほう融合呪印生物	
140	00:09:19	呂宋鋼四郎	おーレッスラ	
