行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	くりお	一万弟まであと76人	
1	00:00:00	エクセルシオール	あとちょっとだ	
2	00:00:00	らうらう	何度みても父の字に拘束されてるようにみえるな	
3	00:00:00	周恩来	ちょっとバランス悪いからもうちょっと横長の父の字になってもらうね…	
4	00:00:18	もっけいChannel	おいしい煮玉子	
5	00:00:21	海東純一	おいしい煮玉子！	
6	00:00:22	周恩来	おかえり	
7	00:00:23	べるべる	おかえりー	
8	00:00:24	Redmix	おいしい煮玉子	
9	00:00:25	はるにれ	おかえり	
10	00:00:26	スモーク	oitama	
11	00:00:30	ミワタリ	おいしい煮玉子	
12	00:00:30	ほーすう	おいたま～	
13	00:00:31	周恩来	おいしい煮玉子	
14	00:00:31	八木谷	おいしい煮玉子	
15	00:00:32	ロンドベルジェニ	おいしい煮玉子	
16	00:00:32	岸辺一徳	おいしい煮玉子	
17	00:00:37	なんたら	おいしい煮玉子	
18	00:00:39	弐号。あくじき	oisiinitaago	
19	00:00:41	_ Die	おいしい煮玉子	
20	00:00:41	たびびと	おいしい煮玉子	
21	00:00:43	tage	おいたま～	
22	00:00:44	ジャック・オー	おいしい煮玉子	
23	00:00:50	くりお	おいしい煮玉子〜	
24	00:01:08	Garden	おいしい煮玉子	
25	00:01:09	周恩来	重い煮玉子	
26	00:01:14	らうらう	あ	
27	00:01:15	aru ku	おいしい煮玉子～	
28	00:01:32	うぇいのる	おいしい煮玉子	
29	00:01:36	らうらう	順調なー	
30	00:01:37	エクセルシオール	おいしい煮玉子	
31	00:01:53	周恩来	いけるのでは～？	
32	00:02:04	らうらう	よくわからないあらすじで草	
33	00:02:10	Garden	お姫様(プニキ)	
34	00:02:14	八木谷	ワダアキコのインパクトが強すぎる	
35	00:02:15	くりお	わだあきこ	
36	00:02:19	味付けタマゴ	おいしい煮玉子～	
37	00:02:21	ふじ	おいしい煮玉子	
38	00:02:25	なんたら	記憶を無くした和田アキ子とプニキ姫のパーティ	
39	00:02:25	岸辺一徳	それだけ聞くとさっぱりだな！	
40	00:02:28	さんぽーる祐三	おいたまー	
41	00:02:28	海東純一	一回クリアしたことあるけど全然覚えてない	
42	00:03:06	周恩来	インド人を右に！	
43	00:03:17	はるにれ	ウルルン滞在記かな	
44	00:03:26	海東純一	MOTHERウルルン滞在記	
45	00:03:54	ふじ	たしかみてみろ！	
46	00:04:00	りあすて	ザンギュラのスーパーウリアッ上	
47	00:04:02	御早和杯	こんばんは	
48	00:04:04	Garden	ウリアッ上	
49	00:04:05	周恩来	おてて	
50	00:04:20	窒素な空機	未だに2足歩行な犬	
51	00:04:22	エクセルシオール	さすがゲーメスト	
52	00:04:44	やたごかわはす	みてしまいましたね	
53	00:04:50	むにむにまんじゅう	五章でオソへ城に寄って隠しボス倒すと最強武器手に入るんだよね	
54	00:00:00	くりお	一万弟まであと76人	
55	00:00:00	エクセルシオール	あとちょっとだ	
56	00:00:00	らうらう	何度みても父の字に拘束されてるようにみえるな	
57	00:00:00	周恩来	ちょっとバランス悪いからもうちょっと横長の父の字になってもらうね…	
58	00:00:18	もっけいChannel	おいしい煮玉子	
59	00:00:21	海東純一	おいしい煮玉子！	
60	00:00:22	周恩来	おかえり	
61	00:00:23	べるべる	おかえりー	
62	00:00:24	Redmix	おいしい煮玉子	
63	00:00:25	はるにれ	おかえり	
64	00:00:26	スモーク	oitama	
65	00:00:30	ミワタリ	おいしい煮玉子	
66	00:00:30	ほーすう	おいたま～	
67	00:00:31	周恩来	おいしい煮玉子	
68	00:00:31	八木谷	おいしい煮玉子	
69	00:00:32	ロンドベルジェニ	おいしい煮玉子	
70	00:00:32	岸辺一徳	おいしい煮玉子	
71	00:00:37	なんたら	おいしい煮玉子	
72	00:00:39	弐号。あくじき	oisiinitaago	
73	00:00:41	_ Die	おいしい煮玉子	
74	00:00:41	たびびと	おいしい煮玉子	
75	00:00:43	tage	おいたま～	
76	00:00:44	ジャック・オー	おいしい煮玉子	
77	00:00:50	くりお	おいしい煮玉子〜	
78	00:01:08	Garden	おいしい煮玉子	
79	00:01:09	周恩来	重い煮玉子	
80	00:01:14	らうらう	あ	
81	00:01:15	aru ku	おいしい煮玉子～	
82	00:01:32	うぇいのる	おいしい煮玉子	
83	00:01:36	らうらう	順調なー	
84	00:01:37	エクセルシオール	おいしい煮玉子	
85	00:01:53	周恩来	いけるのでは～？	
86	00:02:04	らうらう	よくわからないあらすじで草	
87	00:02:10	Garden	お姫様(プニキ)	
88	00:02:14	八木谷	ワダアキコのインパクトが強すぎる	
89	00:02:15	くりお	わだあきこ	
90	00:02:19	味付けタマゴ	おいしい煮玉子～	
91	00:02:21	ふじ	おいしい煮玉子	
92	00:02:25	なんたら	記憶を無くした和田アキ子とプニキ姫のパーティ	
93	00:02:25	岸辺一徳	それだけ聞くとさっぱりだな！	
94	00:02:28	さんぽーる祐三	おいたまー	
95	00:02:28	海東純一	一回クリアしたことあるけど全然覚えてない	
96	00:03:06	周恩来	インド人を右に！	
97	00:03:17	はるにれ	ウルルン滞在記かな	
98	00:03:26	海東純一	MOTHERウルルン滞在記	
99	00:03:54	ふじ	たしかみてみろ！	
100	00:04:00	りあすて	ザンギュラのスーパーウリアッ上	
101	00:04:02	御早和杯	こんばんは	
102	00:04:04	Garden	ウリアッ上	
103	00:04:05	周恩来	おてて	
104	00:04:20	窒素な空機	未だに2足歩行な犬	
105	00:04:22	エクセルシオール	さすがゲーメスト	
106	00:04:44	やたごかわはす	みてしまいましたね	
107	00:04:50	むにむにまんじゅう	五章でオソへ城に寄って隠しボス倒すと最強武器手に入るんだよね	
108	00:05:03	伏葦たぐい	結構かつかつ	
109	00:05:07	八木谷	草	
110	00:05:30	ふじ	今回はそもそも最初貨幣制度がなかったこともあるんかね	
111	00:05:42	窒素な空機	このゲーム地味にキャラ個別に隠し武器有るからスキ	
112	00:05:48	御早和杯	さすがに批判が来るような時代ではなかったと思う	
113	00:06:32	フロストフレイム	とりあえず塔を最後にして村戻ろう	
114	00:06:57	なんたら	ワインが飲みたくてね	
115	00:07:07	エクセルシオール	お金が厳しいので突然の文化発展感を味わえてる気がしなくもない	
116	00:07:16	べるべる	反発し続けてるリュカが金を使うのはどうかみたいなこともあるんかなぁ	
117	00:08:40	ゼッケン100	なにか？	
118	00:08:45	しろねこ	珍しい	
119	00:09:16	くれみ	改造っていうかもう別物だこれ	
120	00:09:22	ふじ	コイツの改造度なかなかえげつない	
121	00:09:26	窒素な空機	キメラ系の敵厄介なんだよなぁここから	
122	00:09:27	周恩来	和田アキ子の歌唱力が上がった	
123	00:09:29	ゼッケン100	ここのBGMすき	
