行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:15	じょーげん	おいしい煮玉子	
1	00:00:19	スモーク	おいしい煮玉子	
2	00:00:20	なんたら	おいしい煮玉子	
3	00:00:20	えび	おいしい煮玉子	
4	00:00:24	あい	おいしい煮玉子	
5	00:00:27	ほるもん	おいしい煮玉子	
6	00:00:27	にけい	おいしい煮玉子	
7	00:00:27	八木谷	おいしい煮玉子	
8	00:00:28	motiyomogi	おいしい煮玉子	
9	00:00:28	竹輪	おいしい煮玉子	
10	00:00:31	結城晶	おいしい煮玉子	
11	00:00:34	_ Die	おいしい煮玉子	
12	00:00:38	うぇいのる	おいしい煮玉子	
13	00:00:41	めるカバ	おいしい煮玉子	
14	00:00:42	biggs	おいしい煮玉子	
15	00:00:42	らうらう	おいしい煮玉子	
16	00:00:43	タケノコ男	おいしい煮玉子	
17	00:00:50	むらさきあんこ	おいしい噴水	
18	00:01:01	Eトマト	おいしいネズミ	
19	00:01:03	くろが	おいしい煮玉子	
20	00:01:22	こみこ	おいしい煮玉子	
21	00:01:23	かたもく	おいしいヤドン	
22	00:01:24	ジョナサン・グレーン	ゼニ〜！	
23	00:01:24	八木谷	かわいい	
24	00:01:25	DKYM	フラッシュ貰える場所で教えてもらえる（技枠いらない	
25	00:01:25	らうらう	かわいい！	
26	00:01:28	biggs	かわいい	
27	00:01:33	ミワタリ	おいしい煮玉子	
28	00:01:41	eve	かわいい	
29	00:02:02	カギアカギ	かわいい	
30	00:02:02	らうらう	かわいい	
31	00:02:05	タケノコ男	かわいい	
32	00:02:10	ジョナサン・グレーン	かわいい	
33	00:02:13	うぇいのる	かわいい	
34	00:02:15	motiyomogi	草	
35	00:02:16	えび	かなしい	
36	00:02:20	biggs	草	
37	00:02:21	ジョナサン・グレーン	目が死んでる	
38	00:02:21	竹輪	草	
39	00:02:23	スモーク	茫然自失…	
40	00:02:23	じょーげん	放心状態	
41	00:02:40	弐号。あくじき	おいしい煮玉子	
42	00:02:42	八木谷	かわいそう	
43	00:02:47	岸辺一徳	かなしい	
44	00:02:48	biggs	かなしい	
45	00:02:50	ジョナサン・グレーン	かわいそう	
46	00:03:13	Eトマト	デュエル！(ポケモンバトル)	
47	00:04:08	DKYM	盗んだ物より家直してけよ	
48	00:05:08	らうらう	つよいよねあなをほる	
49	00:05:11	うぇいのる	ピカ様優秀…	
50	00:00:15	じょーげん	おいしい煮玉子	
51	00:00:19	スモーク	おいしい煮玉子	
52	00:00:20	なんたら	おいしい煮玉子	
53	00:00:20	えび	おいしい煮玉子	
54	00:00:24	あい	おいしい煮玉子	
55	00:00:27	ほるもん	おいしい煮玉子	
56	00:00:27	にけい	おいしい煮玉子	
57	00:00:27	八木谷	おいしい煮玉子	
58	00:00:28	motiyomogi	おいしい煮玉子	
59	00:00:28	竹輪	おいしい煮玉子	
60	00:00:31	結城晶	おいしい煮玉子	
61	00:00:34	_ Die	おいしい煮玉子	
62	00:00:38	うぇいのる	おいしい煮玉子	
63	00:00:41	めるカバ	おいしい煮玉子	
64	00:00:42	biggs	おいしい煮玉子	
65	00:00:42	らうらう	おいしい煮玉子	
66	00:00:43	タケノコ男	おいしい煮玉子	
67	00:00:50	むらさきあんこ	おいしい噴水	
68	00:01:01	Eトマト	おいしいネズミ	
69	00:01:03	くろが	おいしい煮玉子	
70	00:01:22	こみこ	おいしい煮玉子	
71	00:01:23	かたもく	おいしいヤドン	
72	00:01:24	ジョナサン・グレーン	ゼニ〜！	
73	00:01:24	八木谷	かわいい	
74	00:01:25	DKYM	フラッシュ貰える場所で教えてもらえる（技枠いらない	
75	00:01:25	らうらう	かわいい！	
76	00:01:28	biggs	かわいい	
77	00:01:33	ミワタリ	おいしい煮玉子	
78	00:01:41	eve	かわいい	
79	00:02:02	カギアカギ	かわいい	
80	00:02:02	らうらう	かわいい	
81	00:02:05	タケノコ男	かわいい	
82	00:02:10	ジョナサン・グレーン	かわいい	
83	00:02:13	うぇいのる	かわいい	
84	00:02:15	motiyomogi	草	
85	00:02:16	えび	かなしい	
86	00:02:20	biggs	草	
87	00:02:21	ジョナサン・グレーン	目が死んでる	
88	00:02:21	竹輪	草	
89	00:02:23	スモーク	茫然自失…	
90	00:02:23	じょーげん	放心状態	
91	00:02:40	弐号。あくじき	おいしい煮玉子	
92	00:02:42	八木谷	かわいそう	
93	00:02:47	岸辺一徳	かなしい	
94	00:02:48	biggs	かなしい	
95	00:02:50	ジョナサン・グレーン	かわいそう	
96	00:03:13	Eトマト	デュエル！(ポケモンバトル)	
97	00:04:08	DKYM	盗んだ物より家直してけよ	
98	00:05:08	らうらう	つよいよねあなをほる	
99	00:05:11	うぇいのる	ピカ様優秀…	
100	00:05:28	よく	必要になってからでいいんじゃないの	
101	00:05:32	ゼッケン100	格闘と地面でちょっと攻撃範囲かぶってるし二度蹴りアウトでもいいかも	
102	00:05:34	くりお	おいしい煮玉子〜、ソフマップ…？	
103	00:05:35	Eトマト	このピカチュウ素質あり過ぎない？	
104	00:05:35	じょーげん	そうか100は初代だけか	
105	00:06:02	ゼッケン100	鋼とか岩とか・・・	
106	00:06:23	ゼッケン100	確かに	
107	00:07:00	天然ステルス	おいしい煮玉子	
108	00:07:07	スモーク	サイクリングロードも徒歩なのか	
109	00:07:15	うぇいのる	かわいい	
110	00:07:18	むらさきあんこ	メタモンだああああ	
111	00:07:19	なんたら	あメタモン❤	
112	00:07:19	八木谷	かわいい	
113	00:07:21	カギアカギ	あメタモン♡	
114	00:07:21	竹輪	かわいい	
115	00:07:22	スモーク	かわいい	
116	00:07:23	らうらう	あメタモン❤	
117	00:07:28	motiyomogi	メタモン❤	
118	00:07:29	まりも	かわいい	
119	00:07:33	eve	あメタモン	
120	00:07:43	えび	メタモンかわいい	
121	00:07:51	biki koto	３９枚もってるよ	
122	00:08:03	めるカバ	あメタモン❤️すき	
123	00:08:08	しろみんてぃS	ブルーアイズホワイトメタモン	
124	00:08:10	くりお	姉ちゃん相変わらずエキセントリックな名付けしてるね	
125	00:08:28	じょーげん	草	
126	00:08:29	Clacklin/クラックリン	amaビク尊い…	
127	00:08:31	うぇいのる	いもけんぴ草	
128	00:08:31	motiyomogi	草	
129	00:08:32	しろみんてぃS	芋けんぴ展開	
130	00:08:32	まりも	芋けんぴ…	
131	00:08:32	eve	草	
132	00:08:34	竹輪	芋けんぴ草	
133	00:08:36	DKYM	ラブコメか	
134	00:08:39	うぇいのる	優しい…	
135	00:08:42	ゼッケン100	Amazonのおすそ分け	
136	00:08:43	めるカバ	Amazon最低だな…	
137	00:08:44	biki koto	少女漫画的な	
138	00:08:49	あまいさい	いいやつすぎる	
139	00:08:49	なんたら	普通にあげただけじゃ	
140	00:08:50	らうらう	姉ちゃんに彼氏が・・・・・	
141	00:08:52	motiyomogi	いいやつすぎる 裏がありそう	
142	00:08:58	むらさきあんこ	ボーイミーツガールかよ！	
143	00:08:59	うぇいのる	草	
144	00:09:00	biggs	やさしい	
145	00:09:01	スモーク	草	
146	00:09:04	しろみんてぃS	乙女ゲーかな？	
147	00:09:09	八木谷	やさしい	
148	00:09:16	えび	Amazonいいやつ	
149	00:09:25	あい	男でも同じだよ	
150	00:09:27	うぇいのる	草	
151	00:09:28	biki koto	ほ？	
152	00:09:32	タケノコ男	ホモ展開	
153	00:09:38	ゼッケン100	ホモよ！	
154	00:09:38	しれちゅー	腐ってやがる…	
155	00:09:41	竹輪	姉ちゃん嬉しそうだな…	
156	00:09:45	biggs	要求が露骨	
157	00:09:46	かたもく	ホモよ！	
158	00:09:48	えび	健全な男子が目覚めてしまう！	
159	00:09:51	結城晶	あーお茶が飲みたいなー！	
160	00:09:53	スモーク	ライバルが女の子になったりしないんですか！	
161	00:10:01	らうらう	姉ちゃん	
162	00:10:01	しろみんてぃS	受けによさそう？	
163	00:10:01	DKYM	エロいよね	
164	00:10:01	ゼッケン100	受けとか言わないで	
165	00:10:04	motiyomogi	姉ちゃん	
166	00:10:04	タケノコ男	姉ちゃん？？？	
167	00:10:07	biggs	姉ちゃん	
168	00:10:10	やみくもちゃんねる	任天堂のダークサイドが	
169	00:10:11	結城晶	一部の方からね	
170	00:10:11	むむめめ	なるほどね	
171	00:10:12	eve	姉ちゃん？	
172	00:10:18	ねこくーる	うむ	
173	00:10:24	竹輪	姉ちゃん！	
174	00:10:25	なんたら	わかる	
175	00:10:27	スモーク	お、おう	
176	00:10:34	かたもく	お、おう	
