行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい旋風	
1	00:00:00	mori mori	おいしいケンカキック	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	こみこ	おいしい煮玉子インザミラー！！！	
4	00:00:00	水澤悠仮面ライダーアマゾンオメガ	バグ旋風	
5	00:00:00	小さい胡麻塩	おいしい煮玉子	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:00	biki koto	風のリグレット	
8	00:00:00	カギカギ	おいしインザミラー！！	
9	00:00:00	スモーク	おいしい煮玉子	
10	00:00:00	カーマイン	おいしい煮玉子	
11	00:00:00	竹輪	おいしい煮玉子	
12	00:00:00	キタカシ	俺はもうヤバいと思う	
13	00:00:00	パンセポンセ	おいしい煮玉子	
14	00:00:00	_ Die	おいしい煮玉子	
15	00:00:00	近藤大輔	おいしいアバ茶	
16	00:00:00	T.のかね	おいしい煮玉子	
17	00:00:00	うぇいのる	おいしい煮玉子	
18	00:00:00	ジョナサン・グレーン	俺はもうやばいと思う	
19	00:00:00	天然ステルス	おいしい煮玉子	
20	00:00:00	おさかな	おいしい煮玉子	
21	00:00:00	カーマイン	アリーヴェ始まるチ	
22	00:00:00	なんたら	おいしインザミラーッ！	
23	00:00:00	seafood	おいしい煮玉子	
24	00:00:00	袖口	おいしい煮玉子	
25	00:00:00	mk 95	おいしい煮玉子	
26	00:00:00	カーマイン	姉ちゃんはどこだ…どこに隠れて…	
27	00:00:00	さいとう555	おいしい煮玉子	
28	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
29	00:00:00	こみこ	何も問題はないようじゃがのぉ～	
30	00:00:00	近藤大輔	やるしかＧＯ！	
31	00:00:00	いぶきんぐ	おいしい煮玉子	
32	00:00:09	motiyomogi	おいしい煮玉子	
33	00:00:12	カギカギ	おいしい煮玉子	
34	00:00:14	天然ステルス	おいしい煮玉子	
35	00:00:14	せせらぎ	こんばんわ～	
36	00:00:15	竹輪	おいしい煮玉子	
37	00:00:17	肉赤子ちゃんPB	神ゲー	
38	00:00:17	パンセポンセ	おいしい煮玉子	
39	00:00:18	リフェ	おいしい煮玉子	
40	00:00:21	_ Die	おいしい煮玉子	
41	00:00:25	seafood	おいしい煮玉子	
42	00:00:25	小さい胡麻塩	おいしい煮玉子	
43	00:00:27	竹輪	かわいい	
44	00:00:27	ジャック・オー	おいしい煮玉子	
45	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
46	00:00:28	mori mori	きもちふにゃふにゃしてる	
47	00:00:28	らうらう	おいしい煮玉子	
48	00:00:28	motiyomogi	姉ちゃんの上にバーが見える	
49	00:00:39	かげを	おいしい煮玉子	
50	00:00:40	らうらう	なんか線？でてりゅ	
51	00:00:40	こみこ	何か線が出てる	
52	00:00:40	水澤悠仮面ライダーアマゾンオメガ	クゥ姉こんばんは😃🌃今日はパッショーネ24時かな？	
53	00:00:40	近藤大輔	上の黒いバーなに？	
54	00:00:42	霧雨	NAMCO	
55	00:00:43	つきかげ	おいしい煮玉子	
56	00:00:43	肉赤子ちゃんPB	ウオオ	
57	00:00:44	うぇいのる	おいしい煮玉子	
58	00:00:46	mori mori	草	
59	00:00:47	カーマイン	無駄ァ！	
60	00:00:50	いぶきんぐ	なんだろう黒い線	
61	00:00:51	竹輪	草	
62	00:01:02	JUNY	おいしい煮玉子	
63	00:01:02	白雀	おいしい煮玉子	
64	00:01:02	近藤大輔	よし？	
65	00:01:03	ジョナサン・グレーン	ヴォアァァーッ（幻聴）	
66	00:01:03	リフェ	今度は横に…	
67	00:01:04	天然ステルス	また線出てる	
68	00:01:05	ジャック・オー	姉ちゃんの枠が	
69	00:01:05	ナウ	おいしい煮玉子	
70	00:01:06	mori mori	なんか裂け目が	
71	00:01:07	カギカギ	縦になった！	
72	00:01:07	霧雨	縦線が	
73	00:01:09	motiyomogi	まだ線が…	
74	00:01:09	_ Die	こんどは左に線が	
75	00:01:09	キタカシ	なにも問題はないようじゃがのぉ～	
76	00:01:09	うぇいのる	姉ちゃんのスタンドか…	
77	00:01:10	クロム	別の黒い線出てる	
78	00:01:10	つきかげ	何も問題はないようじゃがのう〜	
79	00:01:12	らうらう	すげええええええええええ	
80	00:01:14	パンセポンセ	ホワイトアルバム戦がクソむずいのってこれだっけ	
81	00:01:14	JUNY	おおおS端子！	
82	00:00:00	ジャック・オー	おいしい旋風	
83	00:00:00	mori mori	おいしいケンカキック	
84	00:00:00	らうらう	おいしい煮玉子	
85	00:00:00	こみこ	おいしい煮玉子インザミラー！！！	
86	00:00:00	水澤悠仮面ライダーアマゾンオメガ	バグ旋風	
87	00:00:00	小さい胡麻塩	おいしい煮玉子	
88	00:00:00	リフェ	おいしい煮玉子	
89	00:00:00	biki koto	風のリグレット	
90	00:00:00	カギカギ	おいしインザミラー！！	
91	00:00:00	スモーク	おいしい煮玉子	
92	00:00:00	カーマイン	おいしい煮玉子	
93	00:00:00	竹輪	おいしい煮玉子	
94	00:00:00	キタカシ	俺はもうヤバいと思う	
95	00:00:00	パンセポンセ	おいしい煮玉子	
96	00:00:00	_ Die	おいしい煮玉子	
97	00:00:00	近藤大輔	おいしいアバ茶	
98	00:00:00	T.のかね	おいしい煮玉子	
99	00:00:00	うぇいのる	おいしい煮玉子	
100	00:00:00	ジョナサン・グレーン	俺はもうやばいと思う	
101	00:00:00	天然ステルス	おいしい煮玉子	
102	00:00:00	おさかな	おいしい煮玉子	
103	00:00:00	カーマイン	アリーヴェ始まるチ	
104	00:00:00	なんたら	おいしインザミラーッ！	
105	00:00:00	seafood	おいしい煮玉子	
106	00:00:00	袖口	おいしい煮玉子	
107	00:00:00	mk 95	おいしい煮玉子	
108	00:00:00	カーマイン	姉ちゃんはどこだ…どこに隠れて…	
109	00:00:00	さいとう555	おいしい煮玉子	
110	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
111	00:00:00	こみこ	何も問題はないようじゃがのぉ～	
112	00:00:00	近藤大輔	やるしかＧＯ！	
113	00:00:00	いぶきんぐ	おいしい煮玉子	
114	00:00:09	motiyomogi	おいしい煮玉子	
115	00:00:12	カギカギ	おいしい煮玉子	
116	00:00:14	天然ステルス	おいしい煮玉子	
117	00:00:14	せせらぎ	こんばんわ～	
118	00:00:15	竹輪	おいしい煮玉子	
119	00:00:17	肉赤子ちゃんPB	神ゲー	
120	00:00:17	パンセポンセ	おいしい煮玉子	
121	00:00:18	リフェ	おいしい煮玉子	
122	00:00:21	_ Die	おいしい煮玉子	
123	00:00:25	seafood	おいしい煮玉子	
124	00:00:25	小さい胡麻塩	おいしい煮玉子	
125	00:00:27	竹輪	かわいい	
126	00:00:27	ジャック・オー	おいしい煮玉子	
127	00:00:28	ジョナサン・グレーン	おいしい煮玉子	
128	00:00:28	mori mori	きもちふにゃふにゃしてる	
129	00:00:28	らうらう	おいしい煮玉子	
130	00:00:28	motiyomogi	姉ちゃんの上にバーが見える	
131	00:00:39	かげを	おいしい煮玉子	
132	00:00:40	らうらう	なんか線？でてりゅ	
133	00:00:40	こみこ	何か線が出てる	
134	00:00:40	水澤悠仮面ライダーアマゾンオメガ	クゥ姉こんばんは😃🌃今日はパッショーネ24時かな？	
135	00:00:40	近藤大輔	上の黒いバーなに？	
136	00:00:42	霧雨	NAMCO	
137	00:00:43	つきかげ	おいしい煮玉子	
138	00:00:43	肉赤子ちゃんPB	ウオオ	
139	00:00:44	うぇいのる	おいしい煮玉子	
140	00:00:46	mori mori	草	
141	00:00:47	カーマイン	無駄ァ！	
142	00:00:50	いぶきんぐ	なんだろう黒い線	
143	00:00:51	竹輪	草	
144	00:01:02	JUNY	おいしい煮玉子	
145	00:01:02	白雀	おいしい煮玉子	
146	00:01:02	近藤大輔	よし？	
147	00:01:03	ジョナサン・グレーン	ヴォアァァーッ（幻聴）	
148	00:01:03	リフェ	今度は横に…	
149	00:01:04	天然ステルス	また線出てる	
150	00:01:05	ジャック・オー	姉ちゃんの枠が	
151	00:01:05	ナウ	おいしい煮玉子	
152	00:01:06	mori mori	なんか裂け目が	
153	00:01:07	カギカギ	縦になった！	
154	00:01:07	霧雨	縦線が	
155	00:01:09	motiyomogi	まだ線が…	
156	00:01:09	_ Die	こんどは左に線が	
157	00:01:09	キタカシ	なにも問題はないようじゃがのぉ～	
158	00:01:09	うぇいのる	姉ちゃんのスタンドか…	
159	00:01:10	クロム	別の黒い線出てる	
160	00:01:10	つきかげ	何も問題はないようじゃがのう〜	
161	00:01:12	らうらう	すげええええええええええ	
162	00:01:14	パンセポンセ	ホワイトアルバム戦がクソむずいのってこれだっけ	
163	00:01:14	JUNY	おおおS端子！	
164	00:01:17	カーマイン	すごい	
165	00:01:24	いぶきんぐ	今度は縦線	
166	00:01:33	らうらう	縦の線がでて草	
167	00:01:36	パンセポンセ	縦線が	
168	00:01:39	JUNY	コンポジの一つ上の端子	
169	00:01:40	近藤大輔	今度は縦の線でてまっせ	
170	00:01:45	mori mori	へえー	
171	00:01:46	竹輪	かわいい	
172	00:01:46	キタカシ	閉じろジッパー！	
173	00:01:49	いぶきんぐ	色差信号分離してるだけでかなり違うよね	
174	00:01:49	ジュンペイ	おけおけ	
175	00:01:51	パンセポンセ	Ｓ端子懐かしい	
176	00:01:52	リフェ	OK!	
177	00:01:52	ジョナサン・グレーン	スタンド攻撃を受けているッ！	
178	00:01:52	小さい胡麻塩	大丈夫	
179	00:02:00	らうらう	D端子どこ・・・・・・	
180	00:02:03	motiyomogi	おおおおおおおおお	
181	00:02:04	JUNY	うすらぼやけてる	
182	00:02:04	ジュンペイ	新手のスタンド使いか！	
183	00:02:07	近藤大輔	あーほんとだ	
184	00:02:07	カーマイン	すごい	
185	00:02:08	パンセポンセ	全然違う	
186	00:02:11	mori mori	ワオ	
187	00:02:11	motiyomogi	わかる	
188	00:02:14	こみこ	ほー	
189	00:02:14	竹輪	すごい！	
190	00:02:15	ジョナサン・グレーン	すごい	
191	00:02:16	結城晶	しゃーぷ	
192	00:02:17	リフェ	おー	
193	00:02:17	霧雨	クッキリした	
194	00:02:17	おさかな	めっちゃきれいになった	
195	00:02:17	小さい胡麻塩	すごい！	
196	00:02:17	なんたら	わかる	
197	00:02:18	ジャック・オー	めっちゃくっきり	
198	00:02:19	カギカギ	すごい	
199	00:02:19	ナウ	S端子は神	
200	00:02:19	つきかげ	くっきり	
201	00:02:19	近藤大輔	色が綺麗だ	
202	00:02:20	むむめめ	すっごい	
203	00:02:20	うぇいのる	すごい	
