行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ヘンリーダーガー	早くしてけろ	
1	00:00:00	内海柚	今姉ちゃんおけしょうしてるから・・・	
2	00:00:00	陰キャバス竹中	誤差だよ誤差！	
3	00:00:00	近藤亮	やっぱり誤差だった	
4	00:00:00	東原	遅れてくる方への配慮ですねこれは 優しいお姉ちゃん	
5	00:00:00	ナウ	誤差かもしれない	
6	00:00:00	周恩来	なんだ誤差か	
7	00:00:00	岸辺一徳	21時だろうがこの四捨五入にかかれば造作もない	
8	00:00:00	ブロア	誤差は１０～２０分以内に納めれば許容範囲とする	
9	00:00:00	きなこあんこ	姉ちゃんが優しくて弟の俺も鼻が高いよ…	
10	00:00:00	ニーツちゃんねる	クゥちゃんさんは首を骨折してしまったらしいので、今緊急手術中、です	
11	00:00:00	らうらう	ええ・・・	
12	00:00:00	you you	重症すぎる	
13	00:00:00	ブロア	やばいじゃん！	
14	00:00:00	りあすて	日本標準時の水全部抜く	
15	00:00:00	タケノコ男	！？	
16	00:00:00	陰キャバス竹中	いつものこと	
17	00:00:00	東京コノハムシ	安静にしてほしい	
18	00:00:00	こみこ	！？	
19	00:00:00	T.のかね	骨折！！？？？	
20	00:00:00	竹輪	えぇ……	
21	00:00:00	岸辺一徳	しなないで	
22	00:00:00	近藤亮	！？	
23	00:00:00	カギカギ	病院だよぉ！	
24	00:00:00	東原	えぇ…	
25	00:00:00	佐藤太郎	マジかよ……	
26	00:00:00	ダンのすけ	重すぎぃ	
27	00:00:00	内海柚	強く生きて	
28	00:00:00	りあすて	危篤じゃん・・・	
29	00:00:00	鳶一マキナ	死ぬでしょ	
30	00:00:00	柔らな床	ご冥福を祈ります……	
31	00:00:00	周恩来	しなないで	
32	00:00:00	ナウ	死なないで	
33	00:00:00	こみこ	ヨガのしすぎで…	
34	00:00:00	近藤亮	お化粧のやりすぎか…	
35	00:00:00	きなこあんこ	しぬなーっねぇちゃん！	
36	00:00:00	タケノコ男	しなないで	
37	00:00:00	ジャック・オー	致命傷なんだよなぁ	
38	00:00:00	あい	ヨガを極めた姉ちゃんが骨折なんて…	
39	00:00:00	陰キャバス竹中	複雑骨折はJCの嗜み	
40	00:00:00	かんてら	しなないで	
41	00:00:00	スモーク	ああいつも傾いてゲームしてるから…	
42	00:00:00	りあすて	身体柔らかいから大丈夫だと信じたい	
43	00:00:00	T.のかね	バーチャルだから…	
44	00:00:00	Shota Hamada	致命傷やんけ	
45	00:00:00	究極ド根性ダイコン	しなないで	
46	00:00:00	東京コノハムシ	バーチャル骨折は軽症だと信じたい	
47	00:00:00	天然ステルス	マジか…	
48	00:00:00	ヘンリーダーガー	首骨折くらいでめげる姉ちゃんじゃない	
49	00:00:00	速水アクセル	こんばんわ	
50	00:00:08	岸辺一徳	こんはんわ！	
51	00:00:10	こみこ	おいしいたけのこ	
52	00:00:10	ブロア	かわいい	
53	00:00:11	周恩来	おいしいたけのこ	
54	00:00:12	mori mori	やったー	
55	00:00:12	カギカギ	こんばんわ！	
56	00:00:13	ブロア	おいしいたけのこ	
57	00:00:13	りあすて	こんばんは	
58	00:00:14	はまちハウマッチ	おはこんばんにちは煮玉子	
59	00:00:14	究極ド根性ダイコン	こんばんわ	
60	00:00:14	陰キャバス竹中	おいしいきのこ	
61	00:00:15	バリ島のサボテン	おいしいたけのこ	
62	00:00:15	袖口	おいしい煮玉子	
63	00:00:16	なんたら	全治！	
64	00:00:16	かたもく	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
65	00:00:17	速水アクセル	映りました！	
66	00:00:17	ナウ	生きてた！高評価！	
67	00:00:18	一般女児	おいしいたけのこ	
68	00:00:19	タケノコ男	こんばんは	
69	00:00:19	きなこあんこ	姉ちゃん生きとったかワレ！	
