行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	肉赤子ちゃんPB	んおおあ	
1	00:00:00	爆発銃魔王	やあ	
2	00:00:00	らうらう	꧁　꧂	
3	00:00:00	朝粥	2度漬け	
4	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
5	00:00:00	じょーげん	んなあああああああ	
6	00:00:00	弐号。あくじき	おいしい煮トマト	
7	00:00:00	かたもく	おにたま	
8	00:00:00	旅の男	おいしいそうめん	
9	00:00:00	天然ステルス	おいしい煮玉子	
10	00:00:00	近藤亮	おいしい煮玉子	
11	00:00:00	こみこ	クゥって呼んでね！	
12	00:00:00	なんたら	おいしい煮玉子	
13	00:00:00	nuwan nuwano	おいしい煮卵	
14	00:00:00	channel stickman	おいしい煮玉子	
15	00:00:00	うぇいのる	待機	
16	00:00:00	ブロア	おいしい煮玉子。アイクのフィギュア取ってないっけ	
17	00:00:00	えび	🥚　🥚	
18	00:00:00	Eトマト	おいしいカレー	
19	00:00:00	スモーク	おいたま！	
20	00:00:00	タケノコ男	おいしい煮玉子	
21	00:00:00	Luce	🥚	
22	00:00:00	Eトマト	🥚🍛꧁꧂	
23	00:00:00	べるべる	おいたまー	
24	00:00:00	味付けタマゴ	おいしい煮玉子	
25	00:00:00	Yuu Modi	初見 難易度はゲキむず？	
26	00:00:00	爆発銃魔王	難しいだぞ	
27	00:00:00	かたもく	アイクはタブー側についてもいいと思う	
28	00:00:00	ささき.	Xはロード時間なんとかしろ()	
29	00:00:00	nokonokoasyu	アイクすねてそう	
30	00:00:00	バーチャル嫁イド『レン』	おいしい煮たまご	
31	00:00:00	だっちぃうさぎ	おいしい煮玉子	
32	00:00:00	八木谷	おいしい煮玉子	
33	00:00:07	あい	おいしい煮玉子	
34	00:00:10	なんたら	おいしい煮玉子	
35	00:00:11	むらさきあんこ	おいしい次枠	
36	00:00:12	周恩来	おいしい煮玉子	
37	00:00:12	助六	おにたま	
38	00:00:14	ブロア	おいしい煮玉子	
39	00:00:15	せせらぎ	こんにちは	
40	00:00:15	ナウ	おいしい煮玉子	
41	00:00:16	えび	おいたま～	
42	00:00:20	うぇいのる	おいしい煮玉子	
