行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	さんぽーる祐三	待機煮玉子	
1	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
2	00:00:00	えび	おいしい煮玉子	
3	00:00:00	うぇいのる	おいしい煮玉子	
4	00:00:00	白雪	おいしい煮玉子	
5	00:00:00	ほるもん	おいしい煮玉子	
6	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
7	00:00:00	_ Die	​おいしい煮玉子	
8	00:00:00	東京コノハムシ	おいしい煮玉子	
9	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
10	00:00:00	カギアカギ	おいしい煮玉子	
11	00:00:00	らうらう	おいしいにたまご	
12	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
13	00:00:00	スモーク	おいしい煮玉子	
14	00:00:00	mori mori	108煮玉子	
15	00:00:00	ヘンリーダーガー	おいしい煮玉子	
16	00:00:00	K. u	おいしい煮玉子	
17	00:00:00	J T	おい...しい...煮玉子...	
18	00:00:00	バーチャルYouTuberガニメデちゃんねる	煮…玉子…	
19	00:00:00	ヘンリーダーガー	おい…し……	
20	00:00:16	なんたら	おいしい煮玉子	
21	00:00:17	seafood	おいしい煮玉子	
22	00:00:19	eve	おいしい煮玉子	
23	00:00:19	あい	おいしい煮玉子	
24	00:00:19	周恩来	おいしい煮玉子	
25	00:00:20	東京コノハムシ	姉ちゃん史に残るイベント	
26	00:00:21	のねずみ20日	​おいしい煮玉子	
27	00:00:22	らうらう	おいたま！10800人おめでとう姉ちゃん！	
28	00:00:24	motiyomogi	おいしい煮玉子	
29	00:00:25	ヘンリーダーガー	おいしい煮玉子	
30	00:00:28	さんぽーる祐三	おいしい煮玉子	
31	00:00:28	白雪	おいしい煮玉子	
32	00:00:29	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子！	
33	00:00:29	うぇいのる	おいしい煮玉子	
34	00:00:30	カギアカギ	おいしい煮玉子	
35	00:00:30	えび	おいしい煮玉子	
36	00:00:35	Eトマト	おいしいにたまご	
37	00:00:35	東京コノハムシ	おいしい煮玉子	
38	00:00:37	mori mori	姉ちゃんがぬるぬる動く	
39	00:00:41	ほるもん	おいしい煮玉子	
40	00:00:49	マイフェイバリットトリビアン	おいしい煮玉子	
41	00:00:54	タケノコ男	おいしい煮玉子	
42	00:00:56	JUNY	おいしい煮玉子	
43	00:00:58	ねこくーる	おいしい煮玉子	
44	00:00:58	にけい	おいしい煮玉子	
45	00:00:59	たんこぶ	こんにちは	
46	00:01:04	Galzas Ribot	おい玉	
47	00:01:06	_ Tamaya	おいしい煮玉子	
48	00:01:11	味付けタマゴ	おいしい煮玉子	
49	00:01:12	J T	おいしい煮玉子	
50	00:01:16	周恩来	かわいい	
51	00:01:18	_ Die	​おいしい煮玉子	
52	00:01:18	近藤亮	おいしい煮玉子	
53	00:01:22	なんたら	自分が２つ開いてたごめん	
54	00:01:23	mori mori	しらない	
55	00:01:24	Garden	おいしい煮玉子	
56	00:01:25	にけい	エコーかかってない	
57	00:01:28	らうらう	かわいい	
58	00:01:32	Eトマト	ゲーム音聞こえないのですが	
59	00:01:32	ヘンリーダーガー	かかってないよ	
60	00:01:34	厳かな守護者P	おいしい煮玉子	
61	00:01:34	ジョナサン・グレーン	おいしい煮玉子	
62	00:01:34	Redmix	おいしい煮玉子	
63	00:01:36	Ryo Kamiya	おいしい煮玉子	
64	00:01:37	Clacklin/クラックリン	おいしい煮玉子 いつもの声だと思う	
65	00:01:38	さんぽーる祐三	ゲーム音ないんですが	
66	00:01:40	JUNY	大丈夫	
67	00:01:44	ほるもん	なつかしい	
68	00:01:48	かたもく	美味しい水滸伝	
69	00:01:48	むらさきあんこ	おいしい煮玉子	
70	00:00:00	さんぽーる祐三	待機煮玉子	
71	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
72	00:00:00	えび	おいしい煮玉子	
73	00:00:00	うぇいのる	おいしい煮玉子	
74	00:00:00	白雪	おいしい煮玉子	
75	00:00:00	ほるもん	おいしい煮玉子	
76	00:00:00	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子	
77	00:00:00	_ Die	​おいしい煮玉子	
78	00:00:00	東京コノハムシ	おいしい煮玉子	
79	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
80	00:00:00	カギアカギ	おいしい煮玉子	
81	00:00:00	らうらう	おいしいにたまご	
82	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
83	00:00:00	スモーク	おいしい煮玉子	
84	00:00:00	mori mori	108煮玉子	
85	00:00:00	ヘンリーダーガー	おいしい煮玉子	
86	00:00:00	K. u	おいしい煮玉子	
87	00:00:00	J T	おい...しい...煮玉子...	
88	00:00:00	バーチャルYouTuberガニメデちゃんねる	煮…玉子…	
89	00:00:00	ヘンリーダーガー	おい…し……	
90	00:00:16	なんたら	おいしい煮玉子	
91	00:00:17	seafood	おいしい煮玉子	
92	00:00:19	eve	おいしい煮玉子	
93	00:00:19	あい	おいしい煮玉子	
94	00:00:19	周恩来	おいしい煮玉子	
95	00:00:20	東京コノハムシ	姉ちゃん史に残るイベント	
96	00:00:21	のねずみ20日	​おいしい煮玉子	
97	00:00:22	らうらう	おいたま！10800人おめでとう姉ちゃん！	
98	00:00:24	motiyomogi	おいしい煮玉子	
99	00:00:25	ヘンリーダーガー	おいしい煮玉子	
100	00:00:28	さんぽーる祐三	おいしい煮玉子	
101	00:00:28	白雪	おいしい煮玉子	
102	00:00:29	バーチャルYouTuberガニメデちゃんねる	おいしい煮玉子！	
103	00:00:29	うぇいのる	おいしい煮玉子	
104	00:00:30	カギアカギ	おいしい煮玉子	
105	00:00:30	えび	おいしい煮玉子	
106	00:00:35	Eトマト	おいしいにたまご	
107	00:00:35	東京コノハムシ	おいしい煮玉子	
108	00:00:37	mori mori	姉ちゃんがぬるぬる動く	
109	00:00:41	ほるもん	おいしい煮玉子	
110	00:00:49	マイフェイバリットトリビアン	おいしい煮玉子	
111	00:00:54	タケノコ男	おいしい煮玉子	
112	00:00:56	JUNY	おいしい煮玉子	
113	00:00:58	ねこくーる	おいしい煮玉子	
114	00:00:58	にけい	おいしい煮玉子	
115	00:00:59	たんこぶ	こんにちは	
116	00:01:04	Galzas Ribot	おい玉	
117	00:01:06	_ Tamaya	おいしい煮玉子	
118	00:01:11	味付けタマゴ	おいしい煮玉子	
119	00:01:12	J T	おいしい煮玉子	
120	00:01:16	周恩来	かわいい	
121	00:01:18	_ Die	​おいしい煮玉子	
122	00:01:18	近藤亮	おいしい煮玉子	
123	00:01:22	なんたら	自分が２つ開いてたごめん	
124	00:01:23	mori mori	しらない	
125	00:01:24	Garden	おいしい煮玉子	
126	00:01:25	にけい	エコーかかってない	
127	00:01:28	らうらう	かわいい	
128	00:01:32	Eトマト	ゲーム音聞こえないのですが	
129	00:01:32	ヘンリーダーガー	かかってないよ	
130	00:01:34	厳かな守護者P	おいしい煮玉子	
131	00:01:34	ジョナサン・グレーン	おいしい煮玉子	
132	00:01:34	Redmix	おいしい煮玉子	
133	00:01:36	Ryo Kamiya	おいしい煮玉子	
134	00:01:37	Clacklin/クラックリン	おいしい煮玉子 いつもの声だと思う	
135	00:01:38	さんぽーる祐三	ゲーム音ないんですが	
136	00:01:40	JUNY	大丈夫	
137	00:01:44	ほるもん	なつかしい	
138	00:01:48	かたもく	美味しい水滸伝	
139	00:01:48	むらさきあんこ	おいしい煮玉子	
140	00:01:53	東京コノハムシ	豚は…	
141	00:01:55	スモーク	草	
142	00:01:55	J u d a s s	おいしい煮玉子	
143	00:01:56	らうらう	ゲーム音ない煮玉子	
144	00:01:56	うぇいのる	ゲームの音ないね	
145	00:01:57	バーチャルYouTuberガニメデちゃんねる	ほんとだよ	
