行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	ジャック・オー	おいしい煮玉子　	
4	00:00:00	むむめめ	おいしい煮玉子	
5	00:00:00	にけい	いしのまじんまじおおい	
6	00:00:00	T.のかね	おいしい煮玉子	
7	00:00:00	クゥの部屋 Ch	まじんじじいのま子	
8	00:00:00	motiyomogi	まじんのじんましん	
9	00:00:00	T.のかね	のま子じじい	
10	00:00:00	ジャック・オー	まじ❓いいの❓	
11	00:00:16	らうらう	おいしい煮玉子	
12	00:00:16	motiyomogi	おいしい煮玉子	
13	00:00:19	Ryo Kamiya	おいしい煮玉子	
14	00:00:19	peakyside you	美味しい煮玉子	
15	00:00:21	リフェ	おいしい煮玉子	
16	00:00:22	にけい	おいしい煮玉子	
17	00:00:24	sas b	おいしい煮玉子	
18	00:00:24	ジャック・オー	おいしい煮玉子	
19	00:00:26	カーマイン	おしい煮玉子	
20	00:00:30	いぶきんぐ	おいしい煮玉子	
21	00:00:31	カギカギ	ちかい	
22	00:00:32	seafood	おいしい煮玉子	
23	00:01:03	にけい	やっかいな体質	
24	00:01:07	リフェ	衝撃の真実だったね	
25	00:01:32	ジャック・オー	大姉ちゃん今日は近いね	
26	00:01:37	白猫きゃっとちゃん	おいしい煮玉子	
27	00:01:39	スモーク	おいしい煮玉子	
28	00:01:47	ジャック・オー	助かる	
29	00:01:47	竹輪	かわいい！！！	
30	00:01:52	seafood	かわいい	
31	00:01:52	Ryo Kamiya	かわいい	
32	00:01:54	カーマイン	ありがたい…	
33	00:01:56	Pumpklin	...	
34	00:01:57	motiyomogi	かわいい	
35	00:01:59	らうらう	dekai	
36	00:02:03	T.のかね	かわいい	
37	00:02:04	カギカギ	かわいい	
38	00:02:16	リフェ	なんか負けちゃったけど報酬貰いにいこ！とかじゃなかったっけ？	
39	00:02:47	竹輪	はーい	
