行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	岸辺一徳	おいしい煮玉子	
1	00:00:00	カギアカギ	おいしい煮玉子	
2	00:00:00	ジョナサン・グレーン	姉ちゃんのパンツ！！！！	
3	00:00:00	ジョナサン・グレーン	いい…	
4	00:00:00	らうらう	おいしい煮玉子	
5	00:00:00	リフェ	おいしい煮玉子	
6	00:00:00	JUNY	おいしい煮玉子	
7	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
8	00:00:00	T.のかね	おいしい煮玉子	
9	00:00:00	eve	おいしい煮玉子	
10	00:00:00	ふーばー	おいしい煮玉子	
11	00:00:00	うぇいのる	おいしい煮玉子	
12	00:00:00	デンキヒツジ	おいしい煮玉子	
13	00:00:00	ねこくーる	おいしい煮玉子	
14	00:00:11	カギアカギ	おいしい煮玉子	
15	00:00:12	岸辺一徳	おいしい煮玉子	
16	00:00:13	らうらう	おいしい煮玉子	
17	00:00:18	ジョナサン・グレーン	おいしい煮玉子	
18	00:00:18	うぇいのる	おいしい煮玉子	
19	00:00:19	いぶきんぐ	おいしい煮玉子	
20	00:00:21	biggs	おいしい煮玉子	
21	00:00:24	リフェ	おいしい煮玉子	
22	00:00:28	ふーばー	ｶﾗｰﾝ	
23	00:00:32	mori mori	出横移動草	
24	00:00:33	seafood	おいしい煮玉子	
25	00:00:35	にけい	おいしい煮玉子	
26	00:00:38	JUNY	こんにちは	
27	00:00:38	なんたら	おいい煮玉子	
28	00:00:41	東京コノハムシ	おいしい煮玉子	
29	00:00:42	ねこくーる	こんにちわ	
30	00:00:43	タケノコ男	おいしい煮玉子	
31	00:00:49	eve	おいしい煮玉子	
32	00:00:50	ゼッケン100	おいしい煮玉子	
33	00:00:53	らうらう	​おいしい煮玉子	
34	00:00:57	にけい	ゲーム音しない	
35	00:01:05	カギアカギ	こんにちは！	
36	00:01:05	岸辺一徳	こんにちは！	
37	00:01:05	ジョナサン・グレーン	かわいい	
38	00:01:09	東京コノハムシ	大阪万博かな	
39	00:01:10	ゼッケン100	ねえあれ大姉ちゃんのパンツなの？？？？？	
40	00:01:10	なんたら	脳に直接…	
41	00:01:10	リフェ	こんにちわー	
42	00:01:11	タケノコ男	きこえた	
43	00:01:11	JUNY	ねこかな？	
44	00:01:12	mori mori	こーんにーちはー！	
45	00:01:12	biggs	こんにちは！	
46	00:01:12	うぇいのる	かわいい	
47	00:01:14	らうらう	​おいしい煮玉子！！！！！！！！！！！！！！！！！！！！	
48	00:01:35	東京コノハムシ	こにゃにゃちは	
49	00:02:00	motiyomogi	おいしい煮玉子	
50	00:02:17	うぇいのる	ゲーム音がちょっと小さいかな	
51	00:02:36	JUNY	顔や薄い仲間が増えた	
52	00:02:38	りあすて	おいしい煮玉子	
53	00:03:08	タケノコ男	ヤバい	
54	00:03:26	岸辺一徳	おのれマイケル……	
55	00:04:08	ねこくーる	マルペルシュロ覚えてるのすごい	
56	00:04:24	JUNY	いいと思う	
57	00:05:30	なんたら	カードの属性と数字考えなきゃいけないやつ	
58	00:05:51	うぇいのる	独特	
59	00:06:19	鯵缶【アジ】	ｷｬｧｧｯﾁﾏｲﾊｧｧｧｧﾄ!	
60	00:06:40	らうらう	おみず	
61	00:06:41	タケノコ男	おみず	
62	00:07:06	mori mori	おはぎ	
63	00:07:25	岸辺一徳	なるほどね	
64	00:00:00	岸辺一徳	おいしい煮玉子	
65	00:00:00	カギアカギ	おいしい煮玉子	
66	00:00:00	ジョナサン・グレーン	姉ちゃんのパンツ！！！！	
67	00:00:00	ジョナサン・グレーン	いい…	
68	00:00:00	らうらう	おいしい煮玉子	
69	00:00:00	リフェ	おいしい煮玉子	
70	00:00:00	JUNY	おいしい煮玉子	
71	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
72	00:00:00	T.のかね	おいしい煮玉子	
73	00:00:00	eve	おいしい煮玉子	
74	00:00:00	ふーばー	おいしい煮玉子	
75	00:00:00	うぇいのる	おいしい煮玉子	
76	00:00:00	デンキヒツジ	おいしい煮玉子	
77	00:00:00	ねこくーる	おいしい煮玉子	
78	00:00:11	カギアカギ	おいしい煮玉子	
79	00:00:12	岸辺一徳	おいしい煮玉子	
80	00:00:13	らうらう	おいしい煮玉子	
81	00:00:18	ジョナサン・グレーン	おいしい煮玉子	
82	00:00:18	うぇいのる	おいしい煮玉子	
83	00:00:19	いぶきんぐ	おいしい煮玉子	
84	00:00:21	biggs	おいしい煮玉子	
85	00:00:24	リフェ	おいしい煮玉子	
86	00:00:28	ふーばー	ｶﾗｰﾝ	
87	00:00:32	mori mori	出横移動草	
88	00:00:33	seafood	おいしい煮玉子	
89	00:00:35	にけい	おいしい煮玉子	
90	00:00:38	JUNY	こんにちは	
91	00:00:38	なんたら	おいい煮玉子	
92	00:00:41	東京コノハムシ	おいしい煮玉子	
93	00:00:42	ねこくーる	こんにちわ	
94	00:00:43	タケノコ男	おいしい煮玉子	
95	00:00:49	eve	おいしい煮玉子	
96	00:00:50	ゼッケン100	おいしい煮玉子	
97	00:00:53	らうらう	​おいしい煮玉子	
98	00:00:57	にけい	ゲーム音しない	
99	00:01:05	カギアカギ	こんにちは！	
100	00:01:05	岸辺一徳	こんにちは！	
101	00:01:05	ジョナサン・グレーン	かわいい	
102	00:01:09	東京コノハムシ	大阪万博かな	
103	00:01:10	ゼッケン100	ねえあれ大姉ちゃんのパンツなの？？？？？	
104	00:01:10	なんたら	脳に直接…	
105	00:01:10	リフェ	こんにちわー	
106	00:01:11	タケノコ男	きこえた	
107	00:01:11	JUNY	ねこかな？	
108	00:01:12	mori mori	こーんにーちはー！	
109	00:01:12	biggs	こんにちは！	
110	00:01:12	うぇいのる	かわいい	
111	00:01:14	らうらう	​おいしい煮玉子！！！！！！！！！！！！！！！！！！！！	
112	00:01:35	東京コノハムシ	こにゃにゃちは	
113	00:02:00	motiyomogi	おいしい煮玉子	
114	00:02:17	うぇいのる	ゲーム音がちょっと小さいかな	
115	00:02:36	JUNY	顔や薄い仲間が増えた	
116	00:02:38	りあすて	おいしい煮玉子	
117	00:03:08	タケノコ男	ヤバい	
118	00:03:26	岸辺一徳	おのれマイケル……	
119	00:04:08	ねこくーる	マルペルシュロ覚えてるのすごい	
120	00:04:24	JUNY	いいと思う	
121	00:05:30	なんたら	カードの属性と数字考えなきゃいけないやつ	
122	00:05:51	うぇいのる	独特	
123	00:06:19	鯵缶【アジ】	ｷｬｧｧｯﾁﾏｲﾊｧｧｧｧﾄ!	
124	00:06:40	らうらう	おみず	
125	00:06:41	タケノコ男	おみず	
126	00:07:06	mori mori	おはぎ	
127	00:07:25	岸辺一徳	なるほどね	
128	00:07:32	りあすて	豪華なマップと隠し通路で視認性がやばい	
129	00:07:49	ポテトスイート	この辺は火属性いっぱい入れたらいいかも	
130	00:09:31	りあすて	PRIZEっていうのがカードの数字揃えたボーナス？	
131	00:09:56	らうらう	花粉症はやいね	
132	00:10:27	T.のかね	めんどくさいやつ	
133	00:10:57	りあすて	マップに縛られたNPCの運命	
134	00:11:51	ねこくーる	ロリ学長	
135	00:11:55	ふーばー	話が早くて助かる	
136	00:12:16	biggs	やさしい	
137	00:12:27	りあすて	ありがち	
138	00:13:19	T.のかね	ちょうどいい	
139	00:13:36	なんたら	歯ごたえあるけどサクサク	
140	00:13:54	らうらう	おみず	
141	00:14:06	らうらう	つまったというか人の話聞いてなかっただけなような・・・	
142	00:14:45	J u d a s s	おいしい煮玉子ー	
143	00:15:21	ねこくーる	とにかく固い系の敵多いのかな	
144	00:15:36	うぇいのる	敵がタフだなぁ	
145	00:16:45	ジャック・オー	おいしい煮玉子	
146	00:18:19	りあすて	新羅屋敷に出てきそうな動きしてる	
147	00:19:25	らうらう	おいしいくさもち	
148	00:20:35	mori mori	草	
149	00:20:36	タケノコ男	草	
150	00:20:38	T.のかね	草	
151	00:20:42	ポテトスイート	リュードの闇必殺はネタ枠	
152	00:20:42	リフェ	草	
153	00:20:42	らうらう	草	
154	00:20:43	うぇいのる	草	
155	00:20:43	ねこくーる	どちゃくそ殴打	
156	00:20:47	ジョナサン・グレーン	草	
157	00:20:51	カギアカギ	草	
158	00:20:58	なんたら	ｶﾞｯｶﾞｯｶﾞｯ	
159	00:21:05	biggs	草	
160	00:21:16	りあすて	ﾎﾟｶ!ﾎﾟｶ!	
161	00:21:23	ポテトスイート	防御カードない時は攻撃カード選んでデッキから新しいやつ引いたほうがいいかも	
162	00:24:50	ねこくーる	キュウリの浅漬けの違和感すごい	
163	00:25:23	T.のかね	ほえー	
164	00:25:30	うぇいのる	キュウリで栄養補給！	
165	00:25:39	リフェ	キュウリ強い	
166	00:27:22	零影鴉-ZKK	こんにちは	
167	00:28:07	biggs	原始編かな	
168	00:28:21	ねこくーる	スコール	
169	00:29:59	なんたら	どうしたの	
170	00:29:59	T.のかね	かわいい	
171	00:30:02	タケノコ男	かわいい	
172	00:30:07	リフェ	かわいい	
173	00:30:08	カギアカギ	かわいい	
174	00:30:16	T.のかね	また…	
175	00:30:23	なんたら	拭こう？	
176	00:30:23	ねこくーる	草	
177	00:30:25	タケノコ男	またこぼしてる…	
178	00:30:28	らうらう	また・・	
179	00:30:29	ゼッケン100	姉ちゃん！！	
180	00:30:30	リフェ	拭こう	
181	00:30:30	カギアカギ	ふいて！	
182	00:30:32	mori mori	結構いってて草	
183	00:30:37	eve	よくこぼしたり落としたり	
184	00:30:46	らうらう	落とすプロ	
185	00:31:08	JUNY	たしかに乾くけど……	
186	00:31:34	ジャック・オー	ほんとぉ？	
187	00:31:47	らうらう	かわいい！	
188	00:31:49	タケノコ男	かわいい	
189	00:31:50	なんたら	かわいい	
190	00:31:50	カギアカギ	かわいい	
191	00:31:52	JUNY	ガンガンガンガン	
192	00:31:54	リフェ	かわいい	
193	00:31:57	eve	かわいい！	
194	00:32:13	ねこくーる	貝割るラッコみたい	
