行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	motiyomogi	おいしい煮玉子	
1	00:00:00	天然ステルス	おいしい煮玉子	
2	00:00:00	T.のかね	おいしい煮玉子	
3	00:00:00	えび	おいしい煮玉子	
4	00:00:00	じょーげん	おいしい煮玉子	
5	00:00:00	クロム	おいしい煮玉子	
6	00:00:00	ノギ	おいしい煮玉子	
7	00:00:00	あい	おいしい煮玉子	
8	00:00:00	らうらう	​おいしい煮玉子	
9	00:00:00	なんたら	おいしい煮玉子	
10	00:00:00	カギアカギ	おいしい煮玉子	
11	00:00:00	タケノコ男	おいしい煮玉子	
12	00:00:00	桜田紅	おいしい煮玉子	
13	00:00:00	こみこ	おいしい煮玉子	
14	00:00:11	あい	おいしい煮玉子	
15	00:00:18	biki koto	おいしい煮玉子	
16	00:00:24	らうらう	​おいしい煮玉子	
17	00:00:27	motiyomogi	おいしい煮玉子	
18	00:00:28	ジャック・オー	おいしい煮玉子	
19	00:00:29	ぴねかっと	おいしい煮玉子	
20	00:00:29	eve 8848	おいしい煮玉子	
21	00:00:31	天然ステルス	おいしいココナッツピーナッツパイナップル	
22	00:00:32	ねこくーる	おいしい煮玉子	
23	00:00:37	スモーク	おいたま！	
24	00:00:38	たんこぶ	こんばんわ～	
25	00:00:39	えび	おいたま～	
26	00:00:39	究極ド根性ダイコン	おいしい煮玉子	
27	00:00:40	むらさきあんこ	おいしい煮玉子	
28	00:00:41	ジョナサン・グレーン	おいしいバナナ	
29	00:00:41	佐藤太郎	こんばんは	
30	00:00:46	ナウ	おいしい煮玉子	
31	00:01:00	Clacklin	おいしい煮玉子	
32	00:01:01	Eトマト	おいしい煮玉子	
33	00:01:16	霜月翔生希	おいたま～	
34	00:01:17	_ Die	おいしい煮玉子	
35	00:01:29	カギアカギ	おいたま！	
36	00:01:47	さいふぁー	おいしい煮卵	
37	00:01:56	ねこくーる	バナナ集め	
38	00:02:00	佐藤太郎	まず10本だな…	
39	00:02:06	佐藤仁	おいしい煮玉子	
40	00:02:06	岸辺一徳	おいしい煮玉子	
41	00:02:07	畑秋	おいしい煮玉子ヾ(⌒▽⌒）ゞ	
