行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	天然ステルス	おいしい煮玉子	
1	00:00:00	えび	おいしい煮玉子	
2	00:00:00	らうらう	おいしい煮玉子	
3	00:00:00	T.のかね	おいしい煮玉子	
4	00:00:00	うぇいのる	おいしい煮玉子	
5	00:00:00	こみこ	ムゥくん…ムゥくんしゅき…	
6	00:00:00	佐藤太郎	火曜だ！	
7	00:00:00	あい	おいしい煮玉子	
8	00:00:00	motiyomogi	おいしい煮玉子	
9	00:00:00	スモーク	おいしい煮玉子	
10	00:00:00	いぶきんぐ	おいしい煮玉子	
11	00:00:00	リフェ	おいしい煮玉子	
12	00:00:00	桜田紅	おいしい煮玉子	
13	00:00:00	さんぽーる祐三	おいしい遅刻	
14	00:00:00	ぴねかっと	おいしい煮玉子	
15	00:00:00	らうらう	ちこく	
16	00:00:10	岸辺一徳	おいしい煮玉子	
17	00:00:14	なんたら	おいしい煮玉子	
18	00:00:17	こみこ	おいしい煮玉子	
19	00:00:17	あい	おいしい煮玉子	
20	00:00:17	eve	おいしい煮玉子	
21	00:00:17	さんぽーる祐三	おいしい煮玉子	
22	00:00:18	ひとーん	おいしい煮玉子	
23	00:00:19	うぇいのる	おいしい煮玉子	
24	00:00:21	えび	おいたま～	
25	00:00:22	リフェ	おいしい煮玉子	
26	00:00:22	天然ステルス	おいしい煮玉子	
27	00:00:23	motiyomogi	おいしい煮玉子	
28	00:00:24	せせらぎ	おいたま～	
29	00:00:26	ジョナサン・グレーン	おいしい煮玉子	
30	00:00:27	タケノコ男	おいしい煮玉子	
31	00:00:28	らうらう	おいしい煮玉子	
32	00:00:29	佐藤太郎	こんばんは	
33	00:00:29	ゼッケン100	おいしい煮玉子	
34	00:00:30	ジャック・オー	おいしい煮玉子	
35	00:00:30	Eトマト	おいしいohバナナ	
36	00:00:30	mori mori	おいしい	
37	00:00:33	なんたら	姉ちゃんループしてる	
38	00:00:35	くーねる	おいしい煮玉子	
39	00:00:38	ねこくーる	おいしい煮玉子	
40	00:00:45	御早和杯	おいしい煮玉子	
41	00:00:57	Eトマト	ポケモンクリアお疲れさまー	
42	00:00:59	らうらう	kawaii	
43	00:01:24	ヌルヌペペ	おいしい煮玉子	
44	00:01:27	天然ステルス	Chromeのレイアウト変わったせいか姉ちゃんが遠く見える	
45	00:01:28	Eトマト	22時間半でしたね	
46	00:01:35	うぇいのる	ピカチュウ可愛かった…	
47	00:01:59	タケノコ男	やったー	
48	00:02:02	せせらぎ	おぉ！楽しみ	
49	00:02:02	さんぽーる祐三	レッド条件も本人もきつい・・・	
50	00:02:07	クロム	おいしい煮玉子	
51	00:02:09	Eトマト	あれの各マスター1部手抜きがありましたで姉御	
52	00:02:13	スモーク	草	
53	00:02:14	ナウ	おいしい煮玉子	
54	00:02:21	えび	こわい	
55	00:02:22	motiyomogi	アッシーくんの活躍見たい	
56	00:02:25	うぇいのる	強いのか…	
57	00:02:27	mori mori	草	
58	00:02:29	こみこ	ポケモンを溶かす…？	
59	00:02:32	せせらぎ	オーキド博士こわい	
60	00:02:32	T.のかね	溶かされてるのか…	
61	00:02:42	Eトマト	グリーンもする？	
62	00:02:44	ナウ	マ？	
63	00:02:51	mori mori	アイテム使えないのきつすぎる	
64	00:02:52	らうらう	いつになったら殿堂入りのあの子たち進化するの？	
65	00:02:54	さんぽーる祐三	基本75レベぐらい	
66	00:00:00	天然ステルス	おいしい煮玉子	
67	00:00:00	えび	おいしい煮玉子	
68	00:00:00	らうらう	おいしい煮玉子	
69	00:00:00	T.のかね	おいしい煮玉子	
70	00:00:00	うぇいのる	おいしい煮玉子	
71	00:00:00	こみこ	ムゥくん…ムゥくんしゅき…	
72	00:00:00	佐藤太郎	火曜だ！	
73	00:00:00	あい	おいしい煮玉子	
74	00:00:00	motiyomogi	おいしい煮玉子	
75	00:00:00	スモーク	おいしい煮玉子	
76	00:00:00	いぶきんぐ	おいしい煮玉子	
77	00:00:00	リフェ	おいしい煮玉子	
78	00:00:00	桜田紅	おいしい煮玉子	
79	00:00:00	さんぽーる祐三	おいしい遅刻	
80	00:00:00	ぴねかっと	おいしい煮玉子	
81	00:00:00	らうらう	ちこく	
82	00:00:10	岸辺一徳	おいしい煮玉子	
83	00:00:14	なんたら	おいしい煮玉子	
84	00:00:17	こみこ	おいしい煮玉子	
85	00:00:17	あい	おいしい煮玉子	
86	00:00:17	eve	おいしい煮玉子	
87	00:00:17	さんぽーる祐三	おいしい煮玉子	
88	00:00:18	ひとーん	おいしい煮玉子	
89	00:00:19	うぇいのる	おいしい煮玉子	
90	00:00:21	えび	おいたま～	
91	00:00:22	リフェ	おいしい煮玉子	
92	00:00:22	天然ステルス	おいしい煮玉子	
93	00:00:23	motiyomogi	おいしい煮玉子	
94	00:00:24	せせらぎ	おいたま～	
95	00:00:26	ジョナサン・グレーン	おいしい煮玉子	
96	00:00:27	タケノコ男	おいしい煮玉子	
97	00:00:28	らうらう	おいしい煮玉子	
98	00:00:29	佐藤太郎	こんばんは	
99	00:00:29	ゼッケン100	おいしい煮玉子	
100	00:00:30	ジャック・オー	おいしい煮玉子	
101	00:00:30	Eトマト	おいしいohバナナ	
