行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	꧁꧂クゥの部屋꧁꧂	ごはん食べてるので１０分以上遅れるらしいです すいません	
1	00:00:00	にけい	ごはんだいじ	
2	00:00:00	ナウ	待機	
3	00:00:00	竹輪	きちんとごはん食べててえらい	
4	00:00:00	꧁꧂クゥの部屋꧁꧂	３０分開始ぐらいで	
5	00:00:00	なんたら	おいしいごはん	
6	00:00:00	竹輪	はーい	
7	00:00:00	らうらう	おいしい🍱	
8	00:00:00	Johnny Lattarulo	I can't wait! 😍😍😍😍😍	
9	00:00:00	らうらう	wwwwwwwww	
10	00:00:00	Johnny Lattarulo	look at Takuya's face. looks sad 😂😂	
11	00:00:00	えび	おいしい煮玉子	
12	00:00:00	天然ステルス	おいしい煮玉子	
13	00:00:00	ふーばー	おいしい煮玉子	
14	00:00:00	ジャック・オー	おいしい煮玉子	
15	00:00:00	sas b	おいしい煮玉子	
16	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
17	00:00:00	ヌルヌペペ	おいしい煮玉子	
18	00:00:00	竹輪	おいしい煮玉子	
19	00:00:00	らうらう	​おいしい煮玉子	
20	00:00:00	スモーク	おいしい煮玉子	
21	00:00:00	リフェ	おいしい煮玉子	
22	00:00:00	パンセポンセ	おいしい煮玉子	
23	00:00:00	りあすて	おいしい煮玉子	
24	00:00:00	岸辺一徳	おいしい煮玉子	
25	00:00:00	カギアカギ	おいしい煮玉子	
26	00:00:00	じょーげん	おいしい煮玉子	
27	00:00:00	sio3go	おいしい煮玉子	
28	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
29	00:00:00	厳かな守護者P	おいしい煮玉子	
30	00:00:00	デンキヒツジ	おいしい煮玉子	
31	00:00:00	ナウ	姉ちゃんどこ・・・	
32	00:00:00	りあすて	姉ちゃん標準時の13:30開始了解	
33	00:00:00	らうらう	シナリオCって2回めだっけ	
34	00:00:13	岸辺一徳	おいしい煮玉子	
35	00:00:15	えび	おいしい煮玉子	
36	00:00:16	ホワイトラン衛兵	おいしい煮玉子	
37	00:00:18	のねずみ20日	おいしい煮玉子	
38	00:00:19	カギアカギ	おいしい煮玉子	
39	00:00:21	リフェ	おいしい煮玉子	
40	00:00:21	ss kk	​おいしい煮玉子	
41	00:00:22	天然ステルス	おいしい煮玉子	
42	00:00:22	ジャック・オー	おいしい煮玉子	
43	00:00:23	motiyomogi	おいしい煮玉子	
44	00:00:23	ふーばー	おいしい煮玉子	
45	00:00:23	らうらう	おいしい煮玉子	
46	00:00:24	なんたら	おいしい煮玉子	
47	00:00:24	ほるもん	おいしい煮玉子	
48	00:00:25	JUNY	おいしい煮玉子	
49	00:00:25	パンセポンセ	おいしい煮玉子	
50	00:00:26	ナウ	急に始まる	
51	00:00:30	竹輪	おいしい煮玉子	
52	00:00:31	タケノコ男	おいしい煮玉子	
53	00:00:31	にけい	おいしい煮玉子	
54	00:00:32	ヌルヌペペ	おいしい煮玉子	
55	00:00:32	せせらぎ	おいたま～	
56	00:00:35	愛と沈黙	おいしい煮玉子	
57	00:00:38	ナウ	おいしい煮玉子	
58	00:00:41	りあすて	おいしい煮玉子	
59	00:00:48	ヘンリーダーガー	おいしい煮玉子	
60	00:00:57	sio3go	おいしい煮玉子	
