行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	モノちゃんねる	おはようございます。そろそろですね	
1	00:00:00	らんたんだむ	おはようございます伝説決闘者…！	
2	00:00:00	あきさん	おはようございます😃	
3	00:00:00	Funnel	おはようございますー	
4	00:00:00	꧁꧂クゥの部屋꧁꧂	ちょっとだけ待って	
5	00:00:00	タケノコ男	おはようございます	
6	00:00:00	らんたんだむ	まつぜまつぜぇ！	
7	00:00:00	じょーげん	おはようございます	
8	00:00:00	そでりゅー	おはようございます。	
9	00:00:00	ヌルヌペペ	おはようございます	
10	00:00:00	和音	はーい	
11	00:00:00	たんこぶ	おはようございます、デュエルスタンバイ！	
12	00:00:00	あきさん	かしこま	
13	00:00:00	くしかつ	最初のヘイシーン倒すんですかね	
14	00:00:00	たぬたぬ	おはようございます	
15	00:00:00	nagi	最初のヘイシーンって負けるまで終わらないやつだった気も	
16	00:00:00	モノちゃんねる	懐かしいですね。罠と双頭のサンダードラゴンを強化しまってやっとこさクリアした記憶あります	
17	00:00:00	ネズミ2/2/6	おはようございます	
18	00:00:00	Funnel	草原神官を狩る仕事が始まる…	
19	00:00:00	ぽーちき	ケンを見てたのに姉ちゃんも始まるのか…	
20	00:00:00	ネズミ2/2/6	ポケステ無双	
21	00:00:00	くしかつ	MBD3積みするまで周回するのいいよね･･･よくない･･･	
22	00:00:00	꧁꧂クゥの部屋꧁꧂	なんとかなった	
23	00:00:00	Funnel	さす姉	
24	00:00:00	NEG -13	クゥChannel を待っています	
25	00:00:00	らんたんだむ	流石ァ！	
26	00:00:00	じょーげん	さすが姉ちゃん！！	
27	00:00:00	アトリア	双 頭 の 雷 龍	
28	00:00:13	ぜふぉん	ポケステあるなら余裕だな！	
29	00:00:17	ぽーちき	おはよう姉ちゃん！	
30	00:00:19	ジョナサン・グレーン	おいしい煮玉子	
31	00:00:20	あい	おはようございます	
32	00:00:20	くしかつ	お早うございます	
33	00:00:22	nagi	おはようございます	
34	00:00:23	Funnel	おはようございます！	
35	00:00:24	右京橘	おはよう	
36	00:00:25	りこった	おはようございます！！	
37	00:00:27	Cream	お早うございます	
38	00:00:27	カヤノ	おはようございます	
39	00:00:27	ことひら	おはよう！	
40	00:00:27	たんこぶ	おはようございます	
41	00:00:29	阿久津零	姉ちゃんおはよう	
42	00:00:30	バショウセン	このクソゲーは…	
43	00:00:32	クラースナヤ	おはよう姉ちゃん	
44	00:00:33	アトリア	おはよう煮玉子	
45	00:00:33	らんたんだむ	メテオドラゴン	
46	00:00:35	ふーばー	おは姉ちゃん	
47	00:00:35	ジュンペイ	おはよう煮卵	
48	00:00:35	うどん天ぷら	ポケステは使うのかい、姉さん	
49	00:00:35	ジョナサン・グレーン	おはようございます	
50	00:00:36	ドンさん	おはようございます	
51	00:00:37	有機浮遊	おはようございます	
52	00:00:39	夕時雨	おはようございます	
53	00:00:39	ワカン	おはようございます！	
54	00:00:39	mo- papa	おはよう姉ちゃん	
55	00:00:40	uraraうらら	おはようございました	
56	00:00:40	じょーげん	姉ちゃんだああああああああ	
57	00:00:44	ネズミ2/2/6	遅かったじゃないか…	
58	00:00:45	monyamon	おはようございます	
59	00:00:47	あきさん	おはようございます☀	
60	00:00:58	Yo mi	おはようございます	
61	00:01:00	阿久津零	それじゃ仕方ないなー（棒	
62	00:01:00	めるカバ	おはようございます	
63	00:01:01	ヌルヌペペ	そうだねしょうがないね	
64	00:01:01	ゆるふわ院	おはよう姉ちゃん！	
65	00:01:02	あい	機材トラブルなら仕方ない	
66	00:01:07	Funnel	気合！？	
67	00:01:08	ロクレン	ん？いつも通りだよ姉ちゃん	
68	00:01:09	もみじおろし	おはようございます	
69	00:01:10	りこった	気合ってすごい	
70	00:01:12	ばくろす	おはよう☀️🙋❗クゥ姉	
71	00:01:15	ふーばー	何事も気合いが重要	
72	00:01:19	メレンゲ	おはようございます	
73	00:01:24	早坂達夫	おはよう姉ちゃん	
74	00:01:34	クラースナヤ	うわこの音なっつ	
75	00:01:39	Fuzuki K	懐かしい起動音だ	
76	00:01:50	タケノコ男	確かにノイズ聞こえる	
77	00:01:55	かたもく	おはよう姉ちゃん	
78	00:00:00	モノちゃんねる	おはようございます。そろそろですね	
79	00:00:00	らんたんだむ	おはようございます伝説決闘者…！	
80	00:00:00	あきさん	おはようございます😃	
81	00:00:00	Funnel	おはようございますー	
82	00:00:00	꧁꧂クゥの部屋꧁꧂	ちょっとだけ待って	
83	00:00:00	タケノコ男	おはようございます	
84	00:00:00	らんたんだむ	まつぜまつぜぇ！	
85	00:00:00	じょーげん	おはようございます	
86	00:00:00	そでりゅー	おはようございます。	
87	00:00:00	ヌルヌペペ	おはようございます	
88	00:00:00	和音	はーい	
89	00:00:00	たんこぶ	おはようございます、デュエルスタンバイ！	
90	00:00:00	あきさん	かしこま	
91	00:00:00	くしかつ	最初のヘイシーン倒すんですかね	
92	00:00:00	たぬたぬ	おはようございます	
93	00:00:00	nagi	最初のヘイシーンって負けるまで終わらないやつだった気も	
94	00:00:00	モノちゃんねる	懐かしいですね。罠と双頭のサンダードラゴンを強化しまってやっとこさクリアした記憶あります	
95	00:00:00	ネズミ2/2/6	おはようございます	
96	00:00:00	Funnel	草原神官を狩る仕事が始まる…	
97	00:00:00	ぽーちき	ケンを見てたのに姉ちゃんも始まるのか…	
98	00:00:00	ネズミ2/2/6	ポケステ無双	
99	00:00:00	くしかつ	MBD3積みするまで周回するのいいよね･･･よくない･･･	
100	00:00:00	꧁꧂クゥの部屋꧁꧂	なんとかなった	
101	00:00:00	Funnel	さす姉	
102	00:00:00	NEG -13	クゥChannel を待っています	
103	00:00:00	らんたんだむ	流石ァ！	
104	00:00:00	じょーげん	さすが姉ちゃん！！	
105	00:00:00	アトリア	双 頭 の 雷 龍	
106	00:00:13	ぜふぉん	ポケステあるなら余裕だな！	
107	00:00:17	ぽーちき	おはよう姉ちゃん！	
108	00:00:19	ジョナサン・グレーン	おいしい煮玉子	
109	00:00:20	あい	おはようございます	
110	00:00:20	くしかつ	お早うございます	
111	00:00:22	nagi	おはようございます	
112	00:00:23	Funnel	おはようございます！	
113	00:00:24	右京橘	おはよう	
114	00:00:25	りこった	おはようございます！！	
115	00:00:27	Cream	お早うございます	
116	00:00:27	カヤノ	おはようございます	
117	00:00:27	ことひら	おはよう！	
118	00:00:27	たんこぶ	おはようございます	
119	00:00:29	阿久津零	姉ちゃんおはよう	
120	00:00:30	バショウセン	このクソゲーは…	
121	00:00:32	クラースナヤ	おはよう姉ちゃん	
122	00:00:33	アトリア	おはよう煮玉子	
123	00:00:33	らんたんだむ	メテオドラゴン	
124	00:00:35	ふーばー	おは姉ちゃん	
125	00:00:35	ジュンペイ	おはよう煮卵	
126	00:00:35	うどん天ぷら	ポケステは使うのかい、姉さん	
127	00:00:35	ジョナサン・グレーン	おはようございます	
128	00:00:36	ドンさん	おはようございます	
129	00:00:37	有機浮遊	おはようございます	
130	00:00:39	夕時雨	おはようございます	
131	00:00:39	ワカン	おはようございます！	
132	00:00:39	mo- papa	おはよう姉ちゃん	
133	00:00:40	uraraうらら	おはようございました	
134	00:00:40	じょーげん	姉ちゃんだああああああああ	
135	00:00:44	ネズミ2/2/6	遅かったじゃないか…	
136	00:00:45	monyamon	おはようございます	
137	00:00:47	あきさん	おはようございます☀	
138	00:00:58	Yo mi	おはようございます	
139	00:01:00	阿久津零	それじゃ仕方ないなー（棒	
140	00:01:00	めるカバ	おはようございます	
141	00:01:01	ヌルヌペペ	そうだねしょうがないね	
142	00:01:01	ゆるふわ院	おはよう姉ちゃん！	
143	00:01:02	あい	機材トラブルなら仕方ない	
144	00:01:07	Funnel	気合！？	
145	00:01:08	ロクレン	ん？いつも通りだよ姉ちゃん	
146	00:01:09	もみじおろし	おはようございます	
147	00:01:10	りこった	気合ってすごい	
148	00:01:12	ばくろす	おはよう☀️🙋❗クゥ姉	
149	00:01:15	ふーばー	何事も気合いが重要	
150	00:01:19	メレンゲ	おはようございます	
151	00:01:24	早坂達夫	おはよう姉ちゃん	
152	00:01:34	クラースナヤ	うわこの音なっつ	
153	00:01:39	Fuzuki K	懐かしい起動音だ	
154	00:01:50	タケノコ男	確かにノイズ聞こえる	
155	00:01:55	かたもく	おはよう姉ちゃん	
156	00:02:03	ミワタリ	おはよう姉ちゃん	
157	00:02:03	夕時雨	懐かしすぎて気が狂いそう	
158	00:02:10	ジョナサン・グレーン	ﾌﾞーーーーーーーー	
159	00:02:21	りこった	これは名作だろうなあ	
160	00:02:23	ネズミ2/2/6	BGMすき	
161	00:02:26	のどあめ	RTAなら90分で終わるらしいし午前中には終わりますね！	
162	00:02:28	くしかつ	伝説のクソゲーなんだよなぁ	
163	00:02:29	じょーげん	ｲｲﾈ	
164	00:02:30	あい	これは神げーの予感	
165	00:02:31	弥七	真だけやたら目立つ	
166	00:02:32	クラースナヤ	名作の予感	
167	00:02:32	モノちゃんねる	ノイズは気になるほどではありませんね	
168	00:02:33	ぜふぉん	もう見たくないんだよなぁ	
169	00:02:38	タケノコ男	名作確定	
170	00:02:39	みてるぞ	名作の匂いがしますね	
171	00:02:39	かたもく	お？名作か？	
172	00:02:39	たんこぶ	気が早いよ！	
173	00:02:41	ふーばー	間違いなく神ゲー	
174	00:02:43	ナポリたん	お！名作かな？	
175	00:02:45	Funnel	何度聞いたかこのBGM	
