行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ちーひゃ72	可愛い(素振り	
1	00:00:00	りあすて	ちっちゃいねえちゃん可愛すぎて頭めちゃくちゃになってるよ	
2	00:00:00	JUNY	自発的に遅らせてるから遅刻ではない	
3	00:00:00	りあすて	弟が早く来過ぎたんだぞ	
4	00:00:00	JUNY	ロリ姉ちゃん（身長180cm）がかわい過ぎて気が流行ってしまったか…	
5	00:00:00	ジョナサン・グレーン	かわいい	
6	00:00:00	らうらう	おいしいにたまご	
7	00:00:00	カギカギ	おいしい煮玉子	
8	00:00:00	デンキヒツジ	おいしい煮玉子	
9	00:00:00	ユキイチゴ	おいしい煮玉子	
10	00:00:00	ヌルヌペペ	おいしい煮玉子	
11	00:00:00	sas b	おいしい煮玉子 このサムネ本当かわいい	
12	00:00:00	じょーげん	おいしい煮玉子	
13	00:00:00	ぴねかっと	いおん	
14	00:00:00	カーマイン	おいしい煮玉子	
15	00:00:00	_ Die	おいしい煮玉子	
16	00:00:00	めるカバ	おいしい煮玉子	
17	00:00:00	リフェ	おいしい煮玉子	
18	00:00:00	竹輪	おいしい煮玉子	
19	00:00:00	クロムア	おいしい煮玉子	
20	00:00:00	おさかな	おいしい煮玉子	
21	00:00:00	あざーら	おいしい煮玉子	
22	00:00:00	motiyomogi	おいしい煮玉子	
23	00:00:00	Ami Saika	おいしい煮玉子	
24	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
25	00:00:00	小さい胡麻塩	おいしい煮玉子	
26	00:00:00	うぇいのる	おいしい煮玉子	
27	00:00:00	天然ステルス	おいしい煮玉子	
28	00:00:00	ラルエメ	おいしい煮玉子	
29	00:00:00	ねこくーる	おいしい煮玉子	
30	00:00:00	ジョナサン・グレーン	ツイーティングえらい	
31	00:00:00	桜田紅	おいしい煮玉子	
32	00:00:00	スモーク	おいしい煮玉子	
33	00:00:00	がっしー	​おいしい煮玉子	
34	00:00:00	こみこ	おいしい煮玉子	
35	00:00:00	10あああ	おいしい煮玉子	
36	00:00:00	JUNY	おいしい煮玉子	
37	00:00:00	T.のかね	おいしい煮玉子	
38	00:00:00	HILO	おいしい煮玉子	
39	00:00:00	ジョナサン・グレーン	いおん煮い子お	
40	00:00:00	なんたら		￥100
41	00:00:12	らうらう	かわいい	
42	00:00:14	東京コノハムシ	おいしい煮玉子	
43	00:00:14	motiyomogi	おいしい煮玉子	
44	00:00:16	カギカギ	おいしいにたまかわいい	
45	00:00:17	らうらう	おいしい煮玉子	
46	00:00:17	むらさきあんこ	おいしい煮玉子	
47	00:00:18	うぇいのる	かわいい！	
48	00:00:18	なんたら	おいしい煮玉子	
49	00:00:18	Ryo Kamiya	おいしい煮玉子	
50	00:00:18	ぴねかっと	かわいい	
51	00:00:18	クロムア	かわいい	
52	00:00:18	タケノコ男	おいしい煮玉子	
53	00:00:18	天然ステルス	おいしい煮玉子	
54	00:00:20	sio3go	おいしい煮玉子	
55	00:00:20	aarar scsrt	おいしい煮玉子	
56	00:00:20	ナウ	おいしい煮玉子	
57	00:00:21	桜田紅	かわいい	
58	00:00:21	竹輪	かわいい！	
59	00:00:22	ジョナサン・グレーン	かわいい	
60	00:00:23	HILO	かわいい	
61	00:00:23	秋箱	おしし煮玉子	
62	00:00:23	刀根雅武	おいし	
63	00:00:24	あざーら	かわいい	
64	00:00:24	こみこ	うわあああああ	
65	00:00:25	もっけい	誰だお前は！	
66	00:00:25	ユキイチゴ	かわいい！！！	
67	00:00:26	グエス -VEx Gues Ch-	こんばんは	
68	00:00:26	さけとば	おいしい煮玉子	
69	00:00:27	がっしー	かわいい	
70	00:00:27	チャキ	おいしい煮玉子	
71	00:00:27	motiyomogi	かわいい	
72	00:00:27	mori mori	久しぶりのピンク部屋	
73	00:00:28	リフェ	かわいい	
74	00:00:28	せせらぎ	かわいい～	
75	00:00:29	おさかな	かわいい	
76	00:00:29	ブロア	かわいい	
77	00:00:29	東京コノハムシ	かわいい	
78	00:00:29	Garden	おにたま～	
79	00:00:29	クラックリン	おいしい煮玉子	
80	00:00:29	らうらう	かわいい	
81	00:00:30	なんたら	かわいい	
82	00:00:32	T.のかね	かわいいいいい	
83	00:00:33	らうらう	くぅ！！！	
84	00:00:34	ナウ	マウスカーソル助かる	
85	00:00:34	桜田紅	カーソルくん	
86	00:00:35	にけい	おいしい煮玉子	
87	00:00:35	sio3go	かわいい	
88	00:00:35	タケノコ男	かわいい	
89	00:00:35	aarar scsrt	ていうやつかわいい	
90	00:00:00	ちーひゃ72	可愛い(素振り	
91	00:00:00	りあすて	ちっちゃいねえちゃん可愛すぎて頭めちゃくちゃになってるよ	
92	00:00:00	JUNY	自発的に遅らせてるから遅刻ではない	
93	00:00:00	りあすて	弟が早く来過ぎたんだぞ	
94	00:00:00	JUNY	ロリ姉ちゃん（身長180cm）がかわい過ぎて気が流行ってしまったか…	
95	00:00:00	ジョナサン・グレーン	かわいい	
96	00:00:00	らうらう	おいしいにたまご	
97	00:00:00	カギカギ	おいしい煮玉子	
98	00:00:00	デンキヒツジ	おいしい煮玉子	
99	00:00:00	ユキイチゴ	おいしい煮玉子	
100	00:00:00	ヌルヌペペ	おいしい煮玉子	
101	00:00:00	sas b	おいしい煮玉子 このサムネ本当かわいい	
102	00:00:00	じょーげん	おいしい煮玉子	
103	00:00:00	ぴねかっと	いおん	
104	00:00:00	カーマイン	おいしい煮玉子	
105	00:00:00	_ Die	おいしい煮玉子	
106	00:00:00	めるカバ	おいしい煮玉子	
107	00:00:00	リフェ	おいしい煮玉子	
108	00:00:00	竹輪	おいしい煮玉子	
109	00:00:00	クロムア	おいしい煮玉子	
110	00:00:00	おさかな	おいしい煮玉子	
111	00:00:00	あざーら	おいしい煮玉子	
112	00:00:00	motiyomogi	おいしい煮玉子	
113	00:00:00	Ami Saika	おいしい煮玉子	
114	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
115	00:00:00	小さい胡麻塩	おいしい煮玉子	
116	00:00:00	うぇいのる	おいしい煮玉子	
117	00:00:00	天然ステルス	おいしい煮玉子	
118	00:00:00	ラルエメ	おいしい煮玉子	
119	00:00:00	ねこくーる	おいしい煮玉子	
120	00:00:00	ジョナサン・グレーン	ツイーティングえらい	
121	00:00:00	桜田紅	おいしい煮玉子	
122	00:00:00	スモーク	おいしい煮玉子	
123	00:00:00	がっしー	​おいしい煮玉子	
124	00:00:00	こみこ	おいしい煮玉子	
125	00:00:00	10あああ	おいしい煮玉子	
126	00:00:00	JUNY	おいしい煮玉子	
127	00:00:00	T.のかね	おいしい煮玉子	
128	00:00:00	HILO	おいしい煮玉子	
129	00:00:00	ジョナサン・グレーン	いおん煮い子お	
130	00:00:00	なんたら		￥100
131	00:00:12	らうらう	かわいい	
132	00:00:14	東京コノハムシ	おいしい煮玉子	
133	00:00:14	motiyomogi	おいしい煮玉子	
134	00:00:16	カギカギ	おいしいにたまかわいい	
135	00:00:17	らうらう	おいしい煮玉子	
136	00:00:17	むらさきあんこ	おいしい煮玉子	
137	00:00:18	うぇいのる	かわいい！	
138	00:00:18	なんたら	おいしい煮玉子	
139	00:00:18	Ryo Kamiya	おいしい煮玉子	
140	00:00:18	ぴねかっと	かわいい	
141	00:00:18	クロムア	かわいい	
142	00:00:18	タケノコ男	おいしい煮玉子	
143	00:00:18	天然ステルス	おいしい煮玉子	
144	00:00:20	sio3go	おいしい煮玉子	
145	00:00:20	aarar scsrt	おいしい煮玉子	
146	00:00:20	ナウ	おいしい煮玉子	
147	00:00:21	桜田紅	かわいい	
148	00:00:21	竹輪	かわいい！	
149	00:00:22	ジョナサン・グレーン	かわいい	
150	00:00:23	HILO	かわいい	
151	00:00:23	秋箱	おしし煮玉子	
152	00:00:23	刀根雅武	おいし	
153	00:00:24	あざーら	かわいい	
154	00:00:24	こみこ	うわあああああ	
155	00:00:25	もっけい	誰だお前は！	
156	00:00:25	ユキイチゴ	かわいい！！！	
157	00:00:26	グエス -VEx Gues Ch-	こんばんは	
158	00:00:26	さけとば	おいしい煮玉子	
159	00:00:27	がっしー	かわいい	
160	00:00:27	チャキ	おいしい煮玉子	
161	00:00:27	motiyomogi	かわいい	
162	00:00:27	mori mori	久しぶりのピンク部屋	
163	00:00:28	せせらぎ	かわいい～	
164	00:00:29	おさかな	かわいい	
165	00:00:29	ブロア	かわいい	
166	00:00:29	東京コノハムシ	かわいい	
167	00:00:29	Garden	おにたま～	
168	00:00:29	クラックリン	おいしい煮玉子	
169	00:00:29	らうらう	かわいい	
170	00:00:30	なんたら	かわいい	
171	00:00:32	T.のかね	かわいいいいい	
172	00:00:33	らうらう	くぅ！！！	
173	00:00:34	ナウ	マウスカーソル助かる	
174	00:00:34	桜田紅	カーソルくん	
175	00:00:35	にけい	おいしい煮玉子	
176	00:00:35	sio3go	かわいい	
177	00:00:35	タケノコ男	かわいい	
178	00:00:35	aarar scsrt	ていうやつかわいい	
179	00:00:37	_ Die	かわいい！	
180	00:00:38	くーねる	おいしい煮玉子雨	
181	00:00:38	まりも	おいしい煮玉子	
182	00:00:40	じょーげん	かわいい	
183	00:00:40	スモーク	草	
184	00:00:41	HILO	久々の挨拶	
185	00:00:41	biki koto	おいしい煮玉子	
186	00:00:42	カーマイン	おいしい煮玉子	
187	00:00:42	ジョナサン・グレーン	かわいい	
