行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子まじ卍	
1	00:00:00	カーマイン	おいしい煮玉子	
2	00:00:00	こみこ	おいしいシンクロン	
3	00:00:00	うぇいのる	おいしい煮玉子	
4	00:00:00	スモーク	おいしい玉子	
5	00:00:00	はまちハウマッチ	おいしい煮玉子	
6	00:00:00	近藤亮	おいしい煮玉子	
7	00:00:00	eve 8848	おいしい煮玉子	
8	00:00:00	ぴねかっと	おいしい煮玉子	
9	00:00:00	いぶきんぐ	おいしい煮玉子	
10	00:00:12	なんたら	おいしい煮玉子	
11	00:00:17	タケノコ男	おいしい煮玉子	
12	00:00:19	御早和杯	おいしい煮玉子	
13	00:00:24	Clacklin/クラックリン	おいしい煮玉子	
14	00:00:26	うぇいのる	おいしい煮玉子	
15	00:00:29	Redlead	おいしい煮玉子	
16	00:00:32	カーマイン	おいしい煮玉子	
17	00:00:32	ジョナサン・グレーン	おいしい煮玉子	
18	00:00:40	味付けタマゴ	おいしい煮玉子	
19	00:00:41	K. u	おいしい煮玉子	
20	00:00:41	うるし	おいしい煮玉子	
21	00:00:41	黄咲隼	おいしい煮玉子	
22	00:00:46	MrTama02	おいしい煮玉子	
23	00:00:47	竹輪	おいたま 自己紹介かわいい	
24	00:00:48	いぶきんぐ	おいしい煮玉子	
25	00:00:48	ニャンコ先生	おいしい煮玉子	
26	00:00:49	アルフォンス・ミュシャ	おいしい煮玉子	
27	00:00:51	ヌルヌペペ	おいしい煮玉子	
28	00:00:51	ゴギガガガギゴ	おいしい煮玉子	
29	00:00:55	みのり	おいしい煮玉子	
30	00:00:55	ジャック・オー	おいしい煮玉子	
31	00:00:56	うぇいのる	ジャンクロン祈願	
32	00:00:57	E:0tA / イオタ	おいしい煮玉子	
33	00:01:00	はまちハウマッチ	本田君のリーゼントが！	
34	00:01:00	東京は夜の判事	おいしいコーヒー玉子焼き	
35	00:01:06	ぼんじりウマ太郎	おいしい煮玉子	
36	00:01:07	せせらぎ	説明たすかる	
37	00:01:08	J u d a s s	こんばんおいしい煮玉子	
38	00:01:11	E:0tA / イオタ	ジャンクロンありがたい	
39	00:01:18	motiyomogi	おいしい煮玉子	
40	00:01:19	アルフォンス・ミュシャ	蠱惑の落とし穴ひけたの嬉しい	
41	00:01:32	はまちハウマッチ	蠱惑魔イラストアド高い	
42	00:01:42	ジョナサン・グレーン	ジャンクシンクロン好き	
43	00:01:43	こみこ	えちえち蟲モンスター	
44	00:01:46	カーマイン	姉ちゃん口動いてない？	
45	00:01:47	K. u	ジャンクロンは･･･強い	
46	00:01:48	アルフォンス・ミュシャ	イラストアドも良いよね	
47	00:01:49	うぇいのる	蟲惑魔出ない…	
48	00:01:55	E:0tA / イオタ	なんだこのジェムの量！？	
49	00:01:57	ヤマタノオロチ	おいしい煮玉子	
50	00:02:01	Eトマト	おいしい煮玉子、遂に禁止モンスターが…	
51	00:02:05	土間うまる	おいしい煮玉子	
52	00:02:19	ジョナサン・グレーン	姉ちゃんのお声がちょっと小さいかな？	
53	00:02:20	あまいさい	おいしい煮玉子	
54	00:02:26	御早和杯	マイクが遠い気がする	
55	00:02:26	じょーげん	おいしい煮玉子	
56	00:02:30	土間うまる	凄いジェムお持ちになりますねぇ	
57	00:02:42	タケノコ男	たしかに小さい	
58	00:02:46	Clacklin/クラックリン	なかなか汎用シンクロ実装されなかったからね	
59	00:02:52	Eトマト	そんな気になんないよ	
60	00:00:00	ジョナサン・グレーン	おいしい煮玉子まじ卍	
61	00:00:00	カーマイン	おいしい煮玉子	
62	00:00:00	こみこ	おいしいシンクロン	
63	00:00:00	うぇいのる	おいしい煮玉子	
64	00:00:00	スモーク	おいしい玉子	
65	00:00:00	はまちハウマッチ	おいしい煮玉子	
66	00:00:00	近藤亮	おいしい煮玉子	
67	00:00:00	eve 8848	おいしい煮玉子	
68	00:00:00	ぴねかっと	おいしい煮玉子	
69	00:00:00	いぶきんぐ	おいしい煮玉子	
70	00:00:12	なんたら	おいしい煮玉子	
71	00:00:17	タケノコ男	おいしい煮玉子	
72	00:00:19	御早和杯	おいしい煮玉子	
73	00:00:24	Clacklin/クラックリン	おいしい煮玉子	
74	00:00:26	うぇいのる	おいしい煮玉子	
75	00:00:29	Redlead	おいしい煮玉子	
76	00:00:32	カーマイン	おいしい煮玉子	
77	00:00:32	ジョナサン・グレーン	おいしい煮玉子	
78	00:00:40	味付けタマゴ	おいしい煮玉子	
79	00:00:41	K. u	おいしい煮玉子	
80	00:00:41	うるし	おいしい煮玉子	
81	00:00:41	黄咲隼	おいしい煮玉子	
82	00:00:46	MrTama02	おいしい煮玉子	
83	00:00:47	竹輪	おいたま 自己紹介かわいい	
84	00:00:48	いぶきんぐ	おいしい煮玉子	
85	00:00:48	ニャンコ先生	おいしい煮玉子	
86	00:00:49	アルフォンス・ミュシャ	おいしい煮玉子	
87	00:00:51	ヌルヌペペ	おいしい煮玉子	
88	00:00:51	ゴギガガガギゴ	おいしい煮玉子	
89	00:00:55	みのり	おいしい煮玉子	
90	00:00:55	ジャック・オー	おいしい煮玉子	
91	00:00:56	うぇいのる	ジャンクロン祈願	
92	00:00:57	E:0tA / イオタ	おいしい煮玉子	
93	00:01:00	はまちハウマッチ	本田君のリーゼントが！	
94	00:01:00	東京は夜の判事	おいしいコーヒー玉子焼き	
95	00:01:06	ぼんじりウマ太郎	おいしい煮玉子	
96	00:01:07	せせらぎ	説明たすかる	
97	00:01:08	J u d a s s	こんばんおいしい煮玉子	
98	00:01:11	E:0tA / イオタ	ジャンクロンありがたい	
99	00:01:18	motiyomogi	おいしい煮玉子	
100	00:01:19	アルフォンス・ミュシャ	蠱惑の落とし穴ひけたの嬉しい	
101	00:01:32	はまちハウマッチ	蠱惑魔イラストアド高い	
102	00:01:42	ジョナサン・グレーン	ジャンクシンクロン好き	
103	00:01:43	こみこ	えちえち蟲モンスター	
104	00:01:46	カーマイン	姉ちゃん口動いてない？	
105	00:01:47	K. u	ジャンクロンは･･･強い	
106	00:01:48	アルフォンス・ミュシャ	イラストアドも良いよね	
107	00:01:49	うぇいのる	蟲惑魔出ない…	
108	00:01:55	E:0tA / イオタ	なんだこのジェムの量！？	
109	00:01:57	ヤマタノオロチ	おいしい煮玉子	
110	00:02:01	Eトマト	おいしい煮玉子、遂に禁止モンスターが…	
111	00:02:05	土間うまる	おいしい煮玉子	
112	00:02:19	ジョナサン・グレーン	姉ちゃんのお声がちょっと小さいかな？	
113	00:02:20	あまいさい	おいしい煮玉子	
114	00:02:26	御早和杯	マイクが遠い気がする	
115	00:02:26	じょーげん	おいしい煮玉子	
116	00:02:30	土間うまる	凄いジェムお持ちになりますねぇ	
117	00:02:42	タケノコ男	たしかに小さい	
118	00:02:46	Clacklin/クラックリン	なかなか汎用シンクロ実装されなかったからね	
119	00:02:52	Eトマト	そんな気になんないよ	
120	00:02:58	カーマイン	おくち動いてないよ姉ちゃん	
121	00:03:00	ジョナサン・グレーン	良さげ	
122	00:03:03	御早和杯	あ、良くなった	
123	00:03:05	近藤亮	またワンピースになってない？	
