行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ゆおた	お疲れさまでした	
1	00:00:00	スモーク	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	JUNY	おいしい煮玉子	
4	00:00:00	ジャック・オー	おいしい悪魔のおにぎり😈🍙	
5	00:00:00	内海柚	おいしい煮玉子ー	
6	00:00:00	桜田紅	おいしい煮玉子	
7	00:00:00	マルピギア	おいしい煮卵	
8	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
9	00:00:00	爆盛飯太郎	おいしい煮玉子	
10	00:00:00	ゆおた	おいしい煮玉子	
11	00:00:00	aa aa	おいしい煮玉子	
12	00:00:00	防人	おいしい煮玉子	
13	00:00:00	天然ステルス	おいしい煮玉子	
14	00:00:00	たびびと	おいしい煮玉子	
15	00:00:00	八木谷	おいしい煮玉子	
16	00:00:17	Redmix	おいしい煮玉子	
17	00:00:31	JUNY	はじまった	
18	00:00:39	小さい胡麻塩	おいしい煮玉子	
19	00:00:51	リフェ	きこえてたよー	
20	00:01:15	究極ド根性ダイコン	おいしい煮玉子	
21	00:01:18	JUNY	おま環だと思うけど最近配信の出だしから見れない	
22	00:01:41	内海柚	腐ってる(ゾンビ)	
23	00:01:44	D W	美味しい煮玉子	
24	00:01:54	八木谷	きびしい	
25	00:01:55	aa aa	アーリマン系の敵多いな	
26	00:01:56	JUNY	エボンはゾンビィの集団じゃけぇ	
27	00:01:58	究極ド根性ダイコン	召喚に頼ろう！	
28	00:02:03	にけい	ユウナステひっく	
29	00:02:19	内海柚	助けに来て早々に謀反を起こすキマリ	
30	00:02:28	究極ド根性ダイコン	このオリエンタルな雰囲気がたまらない	
31	00:02:43	たびびと	しゅごい・・・	
32	00:02:46	ホワイトラン衛兵	自営業は覚悟がちがう	
33	00:02:52	八木谷	オリエンタルじえいぎょう	
34	00:02:56	aa aa	自営業の強さは個人差がありすぎる	
35	00:02:57	リフェ	かっこいい	
36	00:03:10	ウホウホマン	スッとよけるのになんか草	
37	00:03:23	スモーク	草	
38	00:03:25	JUNY	さすが個人事業主	
39	00:03:25	aa aa	草	
40	00:03:25	ゆおた	じえいぎょうだけで大体何とかなる	
41	00:03:30	D W	草	
42	00:03:36	究極ド根性ダイコン	じえいぎょうは覚えてる魔法まで強い	
43	00:03:48	八木谷	ツケが回ってきてしまった	
44	00:04:26	スモーク	雷平原ぐらいからふってないんじゃ	
45	00:05:38	究極ド根性ダイコン	それやるとルールーの出番がなくなってしまうという悲しみ	
46	00:05:46	ゆおた	ホーリーは覚えるよ	
47	00:05:55	無責任おじさん	ホーリーあるけど結構後なんだよね	
48	00:06:01	東京コノハムシ	どっかの子会社になりそう	
49	00:06:08	ゆおた	ホーリー覚えそうな顔とは	
50	00:06:28	にけい	今通り過ぎたステなんだった？	
51	00:07:30	raptor 1843	おいしい煮玉子	
52	00:07:37	スモーク	脱獄して試合するんだ	
53	00:07:49	biggs	おいしい煮玉子	
54	00:07:49	ゆおた	三度の飯よりシンよりブリッツが大事	
55	00:08:08	D W	自営業に頼る	
56	00:08:08	ゆおた	そこに気づいてしまった…	
57	00:08:27	究極ド根性ダイコン	じえいぎょうのステータスも跳ね上がった	
58	00:08:30	biggs	ありがとう自営業	
59	00:08:47	D W	HP1000くらい上がったな	
60	00:08:48	いぶきんぐ	おいしい煮玉子 じえいぎょうかっこいい	
61	00:08:49	raptor 1843	１０のメガフレア格好いいよね	
62	00:08:54	八木谷	かっこいい	
63	00:09:02	JUNY	腕組んで誇らしそう	
64	00:09:05	D W	つよ	
65	00:09:30	ゆおた	一発殴っとけば（武器交換だけでも可）入るよ	
66	00:00:00	ゆおた	お疲れさまでした	
67	00:00:00	スモーク	おいしい煮玉子	
68	00:00:00	リフェ	おいしい煮玉子	
69	00:00:00	JUNY	おいしい煮玉子	
70	00:00:00	ジャック・オー	おいしい悪魔のおにぎり😈🍙	
71	00:00:00	内海柚	おいしい煮玉子ー	
72	00:00:00	桜田紅	おいしい煮玉子	
73	00:00:00	マルピギア	おいしい煮卵	
74	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
75	00:00:00	爆盛飯太郎	おいしい煮玉子	
76	00:00:00	ゆおた	おいしい煮玉子	
77	00:00:00	aa aa	おいしい煮玉子	
78	00:00:00	防人	おいしい煮玉子	
79	00:00:00	天然ステルス	おいしい煮玉子	
80	00:00:00	たびびと	おいしい煮玉子	
81	00:00:00	八木谷	おいしい煮玉子	
82	00:00:17	Redmix	おいしい煮玉子	
83	00:00:31	JUNY	はじまった	
84	00:00:39	小さい胡麻塩	おいしい煮玉子	
85	00:00:51	リフェ	きこえてたよー	
86	00:01:15	究極ド根性ダイコン	おいしい煮玉子	
87	00:01:18	JUNY	おま環だと思うけど最近配信の出だしから見れない	
88	00:01:41	内海柚	腐ってる(ゾンビ)	
89	00:01:44	D W	美味しい煮玉子	
90	00:01:54	八木谷	きびしい	
91	00:01:55	aa aa	アーリマン系の敵多いな	
92	00:01:56	JUNY	エボンはゾンビィの集団じゃけぇ	
93	00:01:58	究極ド根性ダイコン	召喚に頼ろう！	
94	00:02:03	にけい	ユウナステひっく	
95	00:02:19	内海柚	助けに来て早々に謀反を起こすキマリ	
96	00:02:28	究極ド根性ダイコン	このオリエンタルな雰囲気がたまらない	
97	00:02:43	たびびと	しゅごい・・・	
98	00:02:46	ホワイトラン衛兵	自営業は覚悟がちがう	
99	00:02:52	八木谷	オリエンタルじえいぎょう	
100	00:02:56	aa aa	自営業の強さは個人差がありすぎる	
101	00:02:57	リフェ	かっこいい	
102	00:03:10	ウホウホマン	スッとよけるのになんか草	
103	00:03:23	スモーク	草	
104	00:03:25	JUNY	さすが個人事業主	
105	00:03:25	aa aa	草	
106	00:03:25	ゆおた	じえいぎょうだけで大体何とかなる	
107	00:03:30	D W	草	
108	00:03:36	究極ド根性ダイコン	じえいぎょうは覚えてる魔法まで強い	
109	00:03:48	八木谷	ツケが回ってきてしまった	
110	00:04:26	スモーク	雷平原ぐらいからふってないんじゃ	
111	00:05:38	究極ド根性ダイコン	それやるとルールーの出番がなくなってしまうという悲しみ	
