行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	黄咲隼	いい…	
1	00:00:00	徳川慶喜	いい…	
2	00:00:00	いぶきんぐ	いい…	
3	00:00:00	motiyomogi	どうして「30分」だけなのよォオオオ～ッ！！	
4	00:00:00	プラスワン	いいよね...	
5	00:00:00	徳川慶喜	いい…	
6	00:00:00	nokonokoasyu	遅刻したと言ったがすまんありゃウソだった	
7	00:00:00	岸辺一徳	ひょっとしたら( '༥' )ŧ‹”ŧ‹”配信も来るのでは……	
8	00:00:00	らうらう	さきイカくるな	
9	00:00:00	究極ド根性ダイコン	つまりよォもぐクゥが見られるってことだろ？	
10	00:00:00	岸辺一徳	最高にハイってやつだ！	
11	00:00:00	ねこくーる	もぐクゥ…	
12	00:00:00	刀水橋	『寝坊』をします	
13	00:00:00	こみこ	クゥ条徐倫	
14	00:00:00	周恩来	ቺገ˝ቺገ˝	
15	00:00:00	なんたら	「頃」なのでなんの問題もない	
16	00:00:00	クゥの部屋 Ch	すみませんでした 始めます	
17	00:00:00	nokonokoasyu	スゲーッ爽やかな気分だぜ 眠い姉ちゃんの声を聞いた朝のよーによォ～～～～～～～～ッ	
18	00:00:00	ブロア	かわいい	
19	00:00:00	岸辺一徳	おいしい煮玉子	
20	00:00:00	周恩来	かわいい	
21	00:00:00	ミワタリ	かわいい	
22	00:00:00	nokonokoasyu	かわいい	
23	00:00:00	近藤亮	かわいい	
24	00:00:00	いぶきんぐ	かわいい	
25	00:00:00	徳川慶喜	かわいい	
26	00:00:00	陰キャバス竹中	おいしい煮玉子	
27	00:00:00	めるカバ	おいしい煮玉子	
28	00:00:00	プラスワン	かわいい	
29	00:00:00	岸辺一徳	かわいい	
30	00:00:00	こみこ	かわいい	
31	00:00:00	Redmix	かわいい	
32	00:00:00	あい	かわいい	
33	00:00:00	竹輪	かわいい	
34	00:00:00	なる	おいしい煮玉子	
35	00:00:00	ジョナサン・グレーン	何も問題はないようじゃがのぅ〜	
36	00:00:00	刀水橋	かわいい	
37	00:00:00	らうらう	かわいい煮玉子	
38	00:00:00	ジョナサン・グレーン	かわいい	
39	00:00:00	黄咲隼	おいしい煮玉子	
40	00:00:00	こみこ	かわいインザミラー！！	
41	00:00:00	岸辺一徳	実績解除『配信開始』	
42	00:00:00	mussaOren	おはよう煮玉子	
43	00:00:00	四畳ハル	ああ 武器は剣なのか	
