行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい伝説対決	
1	00:00:00	らうらう	おいしいMOBA	
2	00:00:00	ジョナサン・グレーン	おいしい案件	
3	00:00:00	JUNY	事前に告知したから遅刻じゃないもん	
4	00:00:00	いぶきんぐ	たのしい伝説対決	
5	00:00:00	mk 95	姉ちゃんが遅刻するなんて何かあったんじゃ……	
6	00:00:00	えび	おいしい煮玉子	
7	00:00:00	厳かな守護者P	おいしい煮玉子	
8	00:00:00	ゼッケン100	おいしい煮玉子	
9	00:00:00	竹輪	おいしい煮玉子〜	
10	00:00:00	カギアカギ	おいしい煮玉子	
11	00:00:00	桜田紅	美味しい煮玉子	
12	00:00:00	こみこ	伝説って？	
13	00:00:00	パンセポンセ	おいしい煮玉子	
14	00:00:00	リフェ	おいしい煮玉子	
15	00:00:00	eve	おいしい煮玉子	
16	00:00:00	ジャック・オー	ああ！	
17	00:00:00	竹輪	姉ちゃんが遅刻なんて珍しいなぁ	
18	00:00:00	ジャック・オー	いつもは時間ピッタリなのにね	
19	00:00:00	らうらう	🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔	
20	00:00:00	aarar scsrt	案件で遅刻は焦ってそう	
21	00:00:00	うぇいのる	おいしい煮玉子	
22	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
23	00:00:00	らうらう	伝説対決さんは遅刻しても寛容なんだ素晴らしいアプリです	
24	00:00:00	biki koto	おいしい煮玉子	
25	00:00:00	近藤亮	おいしい煮玉子	
26	00:00:00	くりお	おにたま	
27	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
28	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
29	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
30	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
31	00:00:00	ジャック・オー	　	
32	00:00:00	にけい	やや！	
33	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
34	00:00:00	くりお	　	
35	00:00:00	こみこ	荒らしかな？	
36	00:00:00	にけい	　	
37	00:00:00	JUNY	荒らしかな？	
38	00:00:00	らうらう	姉ちゃん？	
39	00:00:00	biki koto	ご機嫌だな…？	
40	00:00:00	FFDD	かわいい	
41	00:00:00	aarar scsrt	　😲ｖｓ👹　	
42	00:00:00	竹輪	かわいい	
43	00:00:00	ホワイトラン衛兵	かわいい	
44	00:00:00	D W	草	
45	00:00:00	ジャック・オー	　　　	
46	00:00:00	スモーク	　　　	
47	00:00:00	くりお	こうやってみるとなんかイメチェン前の姉ちゃんの絵文字だけ解像度高くない？	
48	00:00:15	いぶきんぐ	おいしい煮玉子	
49	00:00:16	ヌルヌペペ	おいしい煮玉子	
50	00:00:17	近藤亮	おいしい煮玉子	
51	00:00:18	究極ド根性ダイコン	おいしい煮玉子	
52	00:00:18	ホワイトラン衛兵	おいしい煮玉子	
53	00:00:19	Ryo Kamiya	おいしい煮玉子	
54	00:00:19	リフェ	おいしい煮玉子	
55	00:00:20	カギアカギ	おいしい煮玉子	
56	00:00:23	JUNY	たしかに	
57	00:00:23	じょーげん	おいしい煮玉子	
58	00:00:24	パンセポンセ	おいしい煮玉子	
59	00:00:24	くりお	おいしい煮玉子	
60	00:00:24	FFDD	おいしい煮玉子	
61	00:00:25	motiyomogi	おいしい煮玉子	
62	00:00:26	ふーばー	おいしい煮玉子	
63	00:00:26	mk 95	おいしい煮玉子	
64	00:00:27	D W	こんばんわ	
65	00:00:27	ジャック・オー	おいしい煮玉子	
66	00:00:28	タケノコ男	おいしい煮玉子	
67	00:00:29	なんたら	おいしい煮玉子	
68	00:00:29	厳かな守護者P	おいしい煮玉子	
69	00:00:32	うぇいのる	おいしい煮玉子	
70	00:00:33	ナウ	おいしい煮玉子	
71	00:00:34	スモーク	おいしい煮玉子	
72	00:00:35	竹輪	おいしい煮玉子	
73	00:00:37	eve	おいしい煮玉子	
74	00:00:37	ゼッケン100	おいしい煮玉子	
75	00:00:37	クロム	時間ぴったりやね	
76	00:00:38	らうらう	かわいい	
77	00:00:39	JUNY	おいしい煮玉子	
78	00:00:41	ジュンペイ	おいしい煮玉子	
79	00:00:43	_ Die	おいしい煮玉子	
80	00:00:45	タケノコ男	かわいい	
81	00:00:47	いぶきんぐ	かわいい	
82	00:00:48	なんたら	どういうこと	
83	00:00:49	seafood	おいしい煮玉子	
84	00:00:49	竹輪	かわいい	
85	00:00:52	ジュンペイ	かわいい	
86	00:00:56	aarar scsrt	わーい	
87	00:00:57	近藤亮	今日も最強の姉ちゃんを見に来た	
88	00:01:11	ひとーん	おいしい煮玉子	
89	00:01:18	らうらう	かわいい	
90	00:01:25	mori mori	草	
91	00:01:27	カギアカギ	かわいい	
92	00:01:28	らうらう	幸せだなあ	
93	00:01:29	リフェ	草	
94	00:01:30	こみこ	草	
95	00:01:31	JUNY	草	
96	00:01:31	竹輪	草	
97	00:01:32	じょーげん	しあわせ	
98	00:00:00	ジャック・オー	おいしい伝説対決	
99	00:00:00	らうらう	おいしいMOBA	
100	00:00:00	ジョナサン・グレーン	おいしい案件	
101	00:00:00	JUNY	事前に告知したから遅刻じゃないもん	
102	00:00:00	いぶきんぐ	たのしい伝説対決	
103	00:00:00	mk 95	姉ちゃんが遅刻するなんて何かあったんじゃ……	
104	00:00:00	えび	おいしい煮玉子	
105	00:00:00	厳かな守護者P	おいしい煮玉子	
106	00:00:00	ゼッケン100	おいしい煮玉子	
107	00:00:00	竹輪	おいしい煮玉子〜	
108	00:00:00	カギアカギ	おいしい煮玉子	
109	00:00:00	桜田紅	美味しい煮玉子	
110	00:00:00	こみこ	伝説って？	
111	00:00:00	パンセポンセ	おいしい煮玉子	
112	00:00:00	リフェ	おいしい煮玉子	
113	00:00:00	eve	おいしい煮玉子	
114	00:00:00	ジャック・オー	ああ！	
115	00:00:00	竹輪	姉ちゃんが遅刻なんて珍しいなぁ	
116	00:00:00	ジャック・オー	いつもは時間ピッタリなのにね	
117	00:00:00	らうらう	🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔	
118	00:00:00	aarar scsrt	案件で遅刻は焦ってそう	
119	00:00:00	うぇいのる	おいしい煮玉子	
120	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
121	00:00:00	らうらう	伝説対決さんは遅刻しても寛容なんだ素晴らしいアプリです	
122	00:00:00	biki koto	おいしい煮玉子	
123	00:00:00	近藤亮	おいしい煮玉子	
124	00:00:00	くりお	おにたま	
125	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
126	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
127	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
128	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
129	00:00:00	ジャック・オー	　	
130	00:00:00	にけい	やや！	
131	00:00:00	꧁꧂クゥの部屋꧁꧂	　	
132	00:00:00	くりお	　	
133	00:00:00	こみこ	荒らしかな？	
134	00:00:00	にけい	　	
135	00:00:00	JUNY	荒らしかな？	
136	00:00:00	らうらう	姉ちゃん？	
137	00:00:00	biki koto	ご機嫌だな…？	
138	00:00:00	FFDD	かわいい	
139	00:00:00	aarar scsrt	　😲ｖｓ👹　	
140	00:00:00	竹輪	かわいい	
141	00:00:00	ホワイトラン衛兵	かわいい	
142	00:00:00	D W	草	
143	00:00:00	ジャック・オー	　　　	
144	00:00:00	スモーク	　　　	
145	00:00:00	くりお	こうやってみるとなんかイメチェン前の姉ちゃんの絵文字だけ解像度高くない？	
146	00:00:15	いぶきんぐ	おいしい煮玉子	
147	00:00:16	ヌルヌペペ	おいしい煮玉子	
148	00:00:17	近藤亮	おいしい煮玉子	
149	00:00:18	究極ド根性ダイコン	おいしい煮玉子	
150	00:00:18	ホワイトラン衛兵	おいしい煮玉子	
151	00:00:19	Ryo Kamiya	おいしい煮玉子	
152	00:00:19	リフェ	おいしい煮玉子	
153	00:00:20	カギアカギ	おいしい煮玉子	
154	00:00:23	JUNY	たしかに	
155	00:00:23	じょーげん	おいしい煮玉子	
156	00:00:24	パンセポンセ	おいしい煮玉子	
157	00:00:24	くりお	おいしい煮玉子	
158	00:00:24	FFDD	おいしい煮玉子	
159	00:00:25	motiyomogi	おいしい煮玉子	
160	00:00:26	ふーばー	おいしい煮玉子	
161	00:00:26	mk 95	おいしい煮玉子	
162	00:00:27	D W	こんばんわ	
163	00:00:27	ジャック・オー	おいしい煮玉子	
164	00:00:28	タケノコ男	おいしい煮玉子	
165	00:00:29	なんたら	おいしい煮玉子	
166	00:00:29	厳かな守護者P	おいしい煮玉子	
167	00:00:32	うぇいのる	おいしい煮玉子	
168	00:00:33	ナウ	おいしい煮玉子	
169	00:00:34	スモーク	おいしい煮玉子	
170	00:00:35	竹輪	おいしい煮玉子	
171	00:00:37	eve	おいしい煮玉子	
172	00:00:37	ゼッケン100	おいしい煮玉子	
173	00:00:37	クロム	時間ぴったりやね	
174	00:00:38	らうらう	かわいい	
175	00:00:39	JUNY	おいしい煮玉子	
176	00:00:41	ジュンペイ	おいしい煮玉子	
177	00:00:43	_ Die	おいしい煮玉子	
178	00:00:45	タケノコ男	かわいい	
179	00:00:47	いぶきんぐ	かわいい	
180	00:00:48	なんたら	どういうこと	
181	00:00:49	seafood	おいしい煮玉子	
182	00:00:49	竹輪	かわいい	
183	00:00:52	ジュンペイ	かわいい	
184	00:00:56	aarar scsrt	わーい	
185	00:00:57	近藤亮	今日も最強の姉ちゃんを見に来た	
186	00:01:11	ひとーん	おいしい煮玉子	
187	00:01:18	らうらう	かわいい	
188	00:01:25	mori mori	草	
189	00:01:27	カギアカギ	かわいい	
190	00:01:28	らうらう	幸せだなあ	
191	00:01:29	リフェ	草	
192	00:01:30	こみこ	草	
193	00:01:31	JUNY	草	
194	00:01:31	竹輪	草	
195	00:01:32	じょーげん	しあわせ	
196	00:01:34	ジュンペイ	媚を売る	
197	00:01:36	えび	入ってるー	
198	00:01:38	ジョナサン・グレーン	草	
199	00:01:40	eve	入ってるよ	
200	00:01:42	パンセポンセ	音大丈夫です	
201	00:01:43	いぶきんぐ	ゲームの音入ってないね	
202	00:01:44	ひとーん	入ってるよ	
203	00:01:47	aarar scsrt	ゲーム音は今無い	
204	00:01:47	らうらう	ゲーム音はいってない	
205	00:01:49	くりお	あれ消えちゃった？	
206	00:01:52	えび	でなくなった	
207	00:01:52	ホワイトラン衛兵	ゲームの音は聞こえない	
208	00:01:53	なんたら	ゲーム来てなくない？	
209	00:01:54	ジャック・オー	ゲーム音入ってない	
210	00:01:55	タケノコ男	今ない	
211	00:02:00	eve	ごめん入ってなかった	
212	00:02:05	ぷりん	こんばんは	
213	00:02:09	リフェ	さっきは鳴ってた気がする	
214	00:02:15	にけい	さっきは入ってた	
215	00:02:18	竹輪	あら	
216	00:02:26	ジュンペイ	最初は入ってたね	
217	00:02:33	くりお	がんばれー	
218	00:02:40	らうらう	キャプボしっかりして	
219	00:03:06	mori mori	しぐなるあうとおぶれんじくんだ	
220	00:03:22	らうらう	グラボよりキャプボ買わないか？	
221	00:03:23	なんたら	キャプボも買い替えかな	
222	00:03:34	ゼッケン100	どうして…	
223	00:03:42	竹輪	かわいい	
224	00:03:47	ジョナサン・グレーン	かわいい	
225	00:03:47	いぶきんぐ	グラボよりキャプチャを先に新調したほうが良さげ	
226	00:03:49	ゼッケン100	今効果音来た	
227	00:03:52	うぇいのる	なんでだろう…	
228	00:03:54	くりお	あ、聞こえたんじゃない？	
229	00:03:57	じょーげん	そんな…	
230	00:04:01	いぶきんぐ	一瞬音した	
231	00:04:03	aarar scsrt	シャリーンが聞こえた	
232	00:04:07	らうらう	腕が！	
233	00:04:10	クロム	効果音はあるね	
234	00:04:15	なんたら	聞こえる	
235	00:04:15	えび	SEはある！	
236	00:04:19	くりお	効果音だけ聴こえる	
237	00:04:21	リフェ	遷移するときの音は聞こえるね	
238	00:04:23	いぶきんぐ	効果音聞こえる	
239	00:04:24	近藤亮	SEだけ聞こえる	
240	00:04:26	らうらう	はい	
241	00:04:27	うぇいのる	かわいい	
242	00:04:29	らうらう	きこえた！	
243	00:04:30	aarar scsrt	ボイスある	
244	00:04:32	くりお	ボイスも聴こえる	
245	00:04:32	こみこ	ボイスOK	
246	00:04:33	クロム	ボイスある	
247	00:04:34	ジャック・オー	ボイスは入ってるね	
248	00:04:34	motiyomogi	BGMだけないな	
249	00:04:34	リフェ	ボイス聞こえるー	
250	00:04:34	ジュンペイ	声入ってる	
251	00:04:35	竹輪	ボイスもある	
252	00:04:35	mori mori	声聞こえる	
253	00:04:35	ジョナサン・グレーン	BGMがないね	
254	00:04:35	カギアカギ	こえがきこえる	
255	00:04:36	じょーげん	ボイスおｋ	
256	00:04:37	タケノコ男	きこえる	
257	00:04:38	うぇいのる	BGMだけないね	
258	00:04:38	パンセポンセ	ボイス聞こえる	
259	00:04:38	らうらう	BGM切ってるんじゃ？	
260	00:04:39	いぶきんぐ	キャラの声も聞こえる	
261	00:04:41	D W	BGMdake	
262	00:04:56	D W	BGM だけない	
263	00:04:56	えび	音量ちょうどいい	
264	00:04:59	近藤亮	BGMだけ入ってない感じかな	
265	00:05:00	らうらう	いいかんじ	
266	00:05:01	くりお	大丈夫	
267	00:05:01	ジョナサン・グレーン	ちょうどいい感じ	
268	00:05:02	ジュンペイ	おけおけ	
269	00:05:02	リフェ	大丈夫ー	
270	00:05:06	ホワイトラン衛兵	大丈夫	
271	00:05:14	ジョナサン・グレーン	SOAで確認する？	
272	00:05:22	ジュンペイ	かわいい	
273	00:05:22	くりお	かわいい	
274	00:05:29	ジョナサン・グレーン	かわいい	
275	00:05:41	ジャック・オー	かわいい	
276	00:05:42	らうらう	草	
277	00:05:42	うぇいのる	なるほど	
278	00:05:42	motiyomogi	へー	
279	00:05:43	EEB	今は亡きマスタリー	
