行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クレイジーキャッツマンチカン	おいしいლ(´ڡ`ლ)煮卵!	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	クレイジーキャッツマンチカン	クゥさん、無事手術成功したよ!ありがとうm(_ _)m。	
3	00:00:00	天然ステルス	おいしい煮玉子	
4	00:00:00	うぇいのる	おいしい煮玉子	
5	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
6	00:00:00	カギカギ	おいしい煮玉子	
7	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
8	00:00:00	ni nai	おいしい煮玉子	
9	00:00:00	一博月形	おいしい煮玉子	
10	00:00:00	カーマイン	おいしい煮玉子	
11	00:00:00	おさかな	おいしい煮玉子	
12	00:00:00	リフェ	おいしい煮玉子	
13	00:00:00	タケノコ男	おいしい煮玉子	
14	00:00:00	桜田紅	おいしい煮玉子	
15	00:00:00	竹輪	おいしい煮玉子	
16	00:00:14	motiyomogi	おいしい煮玉子	
17	00:00:17	ジャック・オー	おいしい煮玉子	
18	00:00:18	岸辺一徳	おいしい煮玉子	
19	00:00:20	ナウ	おいしい煮玉子	
20	00:00:21	JUNY	おいしい煮玉子	
21	00:00:22	リフェ	おいしい煮玉子	
22	00:00:23	うぇいのる	おいしい煮玉子	
23	00:00:23	ねこくーる	おいしい煮玉子	
24	00:00:24	らうらう	おいしい煮玉子	
25	00:00:25	カーマイン	おいしい煮玉子	
26	00:00:27	おさかな	おいしい煮玉子	
27	00:00:28	くーねる	おいしい煮玉子	
28	00:00:30	タケノコ男	おいしい煮玉子	
29	00:00:31	seafood	おいしい煮玉子	
30	00:00:33	ナウ	元気？	
31	00:00:34	りょう八咫烏ヒナ愛し隊所属	おいしい煮玉子	
32	00:00:36	天然ステルス	アクリルフィギュア届いたよ	
33	00:00:41	motiyomogi	体調良くなった？	
34	00:00:42	JUNY	元気になった？	
35	00:00:42	カギカギ	おいしい煮玉子	
36	00:00:43	カーマイン	大丈夫？	
37	00:00:47	リフェ	今日は大丈夫？	
38	00:00:49	近藤大輔	やぁ元気かい？	
39	00:00:50	Aschen puttel	体調大事！	
40	00:00:50	くーねる	バーチャルたすかる	
41	00:00:51	らうらう	バーチャルあたま・・・	
42	00:00:52	ジャック・オー	気圧は強いから仕方ないよ	
43	00:00:58	スモーク	おいしい煮玉子	
44	00:01:03	おさかな	にんにくは強い	
45	00:01:03	motiyomogi	おいしいニンニク焼きそば	
46	00:01:03	JUNY	よかった	
47	00:01:04	りょう八咫烏ヒナ愛し隊所属	無理しないようにね	
48	00:01:05	いぶきんぐ	おいしい煮玉子	
49	00:01:24	ナウ	草	
50	00:01:26	リフェ	草	
51	00:01:50	一博月形	昔やったなぁ…懐かしい…	
52	00:01:53	motiyomogi	草	
53	00:01:54	うぇいのる	DIO様どんだけ刺客送ってんの	
54	00:01:55	天然ステルス	まさかの展開	
55	00:01:56	りあすて	おいしい煮玉子	
56	00:02:00	ロンドベルジェニ	おいしい煮玉子	
57	00:02:17	JUNY	逆に新鮮	
58	00:02:17	ナウ	せこい	
