行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	えび	あれ？限定公開になってる？	
1	00:00:00	らうらう	honnmaya	
2	00:00:00	らうらう	あ、限定じゃなくなってる	
3	00:00:00	えび	おいしい限定解除	
4	00:00:00	じょーげん	おいしい煮玉子	
5	00:00:00	らうらう	​おいしい煮玉子	
6	00:00:00	ヌルヌペペ	おいしい煮玉子	
7	00:00:00	カギアカギ	おいしい煮玉子	
8	00:00:02	いぶきんぐ	おいしい煮玉子	
9	00:00:11	あい	おいしい煮玉子	
10	00:00:12	motiyomogi	おいしい煮玉子	
11	00:00:17	eve	おいしい煮玉子	
12	00:00:20	えび	おいたま～	
13	00:00:20	ねこくーる	おいしい煮玉子	
14	00:00:28	尾花	おいしい煮玉子	
15	00:00:29	めるカバ	おいしい煮玉子	
16	00:00:32	らうらう	かわいい	
17	00:00:32	タチャンカ	おいしい煮玉子	
18	00:00:33	カーマイン	おいしい煮玉子	
19	00:00:33	カギアカギ	おにたま！	
20	00:00:34	鷹丸	おいしい煮玉子	
21	00:00:37	スモーク	おいたまーヘッダーが姉妹になってる！かわいい！	
22	00:00:38	じょーげん	かわいい	
23	00:00:39	たんこぶ	こんばんはー	
24	00:00:40	尾花	なんか音声がエコーしてるね	
25	00:00:43	さんぽーる祐三	おいしい煮玉子	
26	00:00:43	ジャック・オー	なにそのかわいい動き	
27	00:00:46	miso	おいしい煮玉子	
28	00:00:48	なんたら	おいしい煮玉子	
29	00:00:48	タケノコ男	おいしい煮玉子	
30	00:00:50	_ Die	おいしい煮玉子	
31	00:00:54	Redmix	おいしい煮玉子	
32	00:00:55	まこ	こんばんは	
33	00:01:06	にけい	ゲーム音大きいかも	
34	00:01:13	かーるポン	おいしい煮玉子	
35	00:01:30	みつはちみつ	おいしい煮玉子	
36	00:01:30	ZW犬死無能盾-肉無鶏	オイスィニッタマグ	
37	00:01:34	HILO	こんばんは	
38	00:01:38	えび	かわいい	
39	00:01:39	らうらう	拍手できるの	
40	00:01:41	あい	かわいいことしか分からない	
41	00:01:47	じょーげん	脳みそかき回してるDIOかな？	
42	00:01:48	eve	つよつよ姉ちゃん	
43	00:01:52	スモーク	触ってる感ある	
44	00:01:53	ジャック・オー	さすが公式よりニューロンを使いこなすJC	
45	00:01:57	タケノコ男	かわいい	
46	00:01:57	ZW犬死無能盾-肉無鶏	結論;姉ちゃんはかわいい	
47	00:02:05	HILO	おいしい煮玉子	
48	00:02:07	たんこぶ	同期ピッタリな感じ？	
49	00:02:15	らうらう	さす姉	
50	00:02:19	HILO	かわいい	
51	00:02:21	カーマイン	意外と元気ね20万の機材	
52	00:02:26	ヌルヌペペ	すごい	
53	00:02:28	FFDD	かわいい	
54	00:02:30	めるカバ	3サイズいくつ？	
55	00:02:33	たんこぶ	すごい	
56	00:02:36	タケノコ男	すごい	
57	00:02:36	いぶきんぐ	姉ちゃんかしこい	
58	00:00:00	えび	あれ？限定公開になってる？	
59	00:00:00	らうらう	honnmaya	
60	00:00:00	らうらう	あ、限定じゃなくなってる	
61	00:00:00	えび	おいしい限定解除	
62	00:00:00	じょーげん	おいしい煮玉子	
63	00:00:00	らうらう	​おいしい煮玉子	
64	00:00:00	ヌルヌペペ	おいしい煮玉子	
65	00:00:00	カギアカギ	おいしい煮玉子	
66	00:00:02	いぶきんぐ	おいしい煮玉子	
67	00:00:11	あい	おいしい煮玉子	
68	00:00:12	motiyomogi	おいしい煮玉子	
69	00:00:17	eve	おいしい煮玉子	
70	00:00:20	えび	おいたま～	
71	00:00:20	ねこくーる	おいしい煮玉子	
72	00:00:28	尾花	おいしい煮玉子	
73	00:00:29	めるカバ	おいしい煮玉子	
74	00:00:32	らうらう	かわいい	
75	00:00:32	タチャンカ	おいしい煮玉子	
76	00:00:33	カーマイン	おいしい煮玉子	
77	00:00:33	カギアカギ	おにたま！	
78	00:00:34	鷹丸	おいしい煮玉子	
79	00:00:37	スモーク	おいたまーヘッダーが姉妹になってる！かわいい！	
80	00:00:38	じょーげん	かわいい	
81	00:00:39	たんこぶ	こんばんはー	
82	00:00:40	尾花	なんか音声がエコーしてるね	
83	00:00:43	さんぽーる祐三	おいしい煮玉子	
84	00:00:43	ジャック・オー	なにそのかわいい動き	
85	00:00:46	miso	おいしい煮玉子	
86	00:00:48	なんたら	おいしい煮玉子	
87	00:00:48	タケノコ男	おいしい煮玉子	
88	00:00:50	_ Die	おいしい煮玉子	
89	00:00:54	Redmix	おいしい煮玉子	
90	00:00:55	まこ	こんばんは	
91	00:01:06	にけい	ゲーム音大きいかも	
92	00:01:13	かーるポン	おいしい煮玉子	
93	00:01:30	みつはちみつ	おいしい煮玉子	
94	00:01:30	ZW犬死無能盾-肉無鶏	オイスィニッタマグ	
95	00:01:34	HILO	こんばんは	
96	00:01:38	えび	かわいい	
97	00:01:39	らうらう	拍手できるの	
98	00:01:41	あい	かわいいことしか分からない	
99	00:01:47	じょーげん	脳みそかき回してるDIOかな？	
100	00:01:48	eve	つよつよ姉ちゃん	
101	00:01:52	スモーク	触ってる感ある	
102	00:01:53	ジャック・オー	さすが公式よりニューロンを使いこなすJC	
103	00:01:57	タケノコ男	かわいい	
104	00:01:57	ZW犬死無能盾-肉無鶏	結論;姉ちゃんはかわいい	
105	00:02:05	HILO	おいしい煮玉子	
106	00:02:07	たんこぶ	同期ピッタリな感じ？	
107	00:02:15	らうらう	さす姉	
108	00:02:19	HILO	かわいい	
109	00:02:21	カーマイン	意外と元気ね20万の機材	
110	00:02:26	ヌルヌペペ	すごい	
111	00:02:28	FFDD	かわいい	
112	00:02:30	めるカバ	3サイズいくつ？	
113	00:02:33	たんこぶ	すごい	
114	00:02:36	タケノコ男	すごい	
115	00:02:36	いぶきんぐ	姉ちゃんかしこい	
116	00:02:41	HILO	身体のサイズ図るのエッチぃ	
117	00:02:42	ZW犬死無能盾-肉無鶏	すごい	
118	00:02:48	らうらう	普通はかってやるんじゃ・・・・	
119	00:02:52	えび	ニューロンすごい	
120	00:02:52	motiyomogi	すごい	
121	00:03:03	ねこくーる	おみず飲む動きが的確になる？	
122	00:03:04	らうらう	かわいい	
123	00:03:05	K. u	さすニュー	
124	00:03:06	たんこぶ	結構伝わってるよ	
125	00:03:07	えび	かわいい	
126	00:03:07	カーマイン	姉ちゃんのスリーサイズ…	
