行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	Garden	おいしい煮玉子	
3	00:00:00	ブロア	おいしい煮玉子	
4	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
5	00:00:00	_ Die	おいしい煮玉子	
6	00:00:00	ねこくーる	おいしい煮玉子	
7	00:00:00	こみこ	おいしい煮玉子	
8	00:00:00	スモーク	おいたま	
9	00:00:00	カギカギ	おいしい煮玉子	
10	00:00:00	biggs	おいしい煮玉子	
11	00:00:00	タケノコ男	おいしい煮玉子	
12	00:00:00	_ Tamaya	おいしい煮玉子	
13	00:00:00	蒼井エリミch	おいしい煮玉子	
14	00:00:00	T.のかね	おいしい煮玉子	
15	00:00:00	あい	おいしい煮玉子	
16	00:00:00	しれちゅー	おいしい煮玉子…	
17	00:00:00	岸辺一徳	アイカツラジオよかった	￥2,000
18	00:00:13	岸辺一徳	おいしい煮玉子	
19	00:00:13	あい	おいしい煮玉子	
20	00:00:15	aru ku	おいしい煮玉子～	
21	00:00:17	ブロア	おいしい煮玉子！	
22	00:00:18	カギカギ	おいしい煮玉子	
23	00:00:23	究極ド根性ダイコン	おいしい煮玉子	
24	00:00:24	ロンドベルジェニ	おいしい煮玉子	
25	00:00:26	Tokonomo	おいしい煮玉子	
26	00:00:26	らうらう	おいしい煮玉子	
27	00:00:29	_ Die	おいしい煮玉子	
28	00:00:29	タケノコ男	おいしい煮玉子	
29	00:00:29	バリ島のサボテン	おいしい煮玉子	
30	00:00:31	biggs	おいしい煮玉子	
31	00:00:31	ろくほう	おいしい煮玉子	
32	00:00:31	ジョナサン・グレーン	おいたま〜	
33	00:00:35	ss kk	おいしい煮玉子	
34	00:00:38	毒入りトマト	おいしい煮玉子	
35	00:00:42	ラスクパンネ	また懐かしい物を……	
36	00:00:42	mori mori	おは姉	
37	00:00:43	T.のかね	おいたま～	
38	00:00:58	ゆるふわ院	にたまご！	
39	00:01:02	まきお	おいたま～	
40	00:01:16	たんこぶ	おはようございます～	
41	00:01:17	毒入りトマト	止まった	
42	00:01:19	aru ku	懐かしさ～	
43	00:01:23	mk 95	おいしい煮玉子	
44	00:01:29	生霊X	25年前・・・？	
45	00:01:29	ねこくーる	ちょうどいい	
46	00:01:31	毒入りトマト	動いた	
47	00:01:47	ブロア	１人ほしい	
48	00:01:49	量産型雑魚	懐かしいゲームだ	
49	00:01:51	Ryo Kamiya	おいたま～	
50	00:01:52	らうらう	姉ちゃんが二人・・・	
51	00:01:54	毒入りトマト	2の方はやってたようだね	
52	00:01:57	岸辺一徳	姉ちゃんがふたり！	
53	00:01:59	まきお	地味に難しいステージが多い	
54	00:02:01	タケノコ男	姉ちゃん二人！？	
55	00:02:14	aru ku	ドンキーを操作できるゲームだ	
56	00:02:17	ゆるふわ院	孫が生まれちゃう	
57	00:02:39	T.のかね	懐かしい…	
58	00:02:42	まきお	うわーなつかしいわー	
59	00:02:49	mori mori	なつかしい	
