行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	スモーク	おいしい煮玉子	
1	00:00:00	らうらう	おいしい煮玉子	
2	00:00:00	ジャック・オー	おいしい煮玉子　	
3	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
4	00:00:00	岸辺一徳	おいしい煮玉子	
5	00:00:00	リフェ	おいしい煮玉子	
6	00:00:00	いぶきんぐ	おいしい煮玉子	
7	00:00:00	T.のかね	おいしい煮玉子	
8	00:00:00	eve	おいしい煮玉子	
9	00:00:00	小さい胡麻塩	おいしい煮玉子	
10	00:00:00	東京コノハムシ	おいしい煮玉子	
11	00:00:00	Shuzo	煮玉子おいしかのやま	
12	00:00:00	うぇいのる	おいしい煮玉子	
13	00:00:18	リフェ	おいしい煮玉子	
14	00:00:18	motiyomogi	おいしい煮玉子	
15	00:00:20	ジャック・オー	おいしい煮玉子	
16	00:00:22	らうらう	おいしい煮玉子	
17	00:00:24	東京コノハムシ	おいしい煮玉子	
18	00:00:24	究極ド根性ダイコン	おいしい煮玉子	
19	00:00:31	JUNY	おいしい煮玉子	
20	00:00:34	クロムア	おいしい煮玉子	
21	00:00:35	にけい	おいしい煮玉ん	
22	00:00:38	seafood	おいしい煮玉子	
23	00:00:43	Ryo Kamiya	おいしい煮玉子	
24	00:00:43	岸辺一徳	おいしい煮玉子	
25	00:00:43	小さい胡麻塩	おいしい煮玉子	
26	00:00:55	いぶきんぐ	おいしい煮玉子	
27	00:00:56	らうらう	あ	
28	00:00:59	リフェ	草	
29	00:01:00	motiyomogi	あるある	
30	00:01:01	JUNY	つむじ	
31	00:01:05	にけい	あるある	
32	00:01:31	せせらぎ	たまにあるよね	
33	00:01:33	東京コノハムシ	nintendo	
34	00:01:35	スモーク	草	
35	00:01:49	いぶきんぐ	そんなのあるんだね	
36	00:02:02	にけい	起動ごとにキャリブレーションしてるんだよ	
37	00:02:03	らうらう	コントローラーのスティックキャリブレーションが不要になるメリットがある	
38	00:02:40	白銀ユリア	おいしい煮玉子	
39	00:03:25	JUNY	ヨシ！	
40	00:04:04	白銀ユリア	局地的に雨降らせるとか陰湿では	
41	00:04:53	らうらう	土地を枯らせるのやびい	
42	00:05:25	究極ド根性ダイコン	ありそう	
43	00:05:37	八木谷	おいしい煮玉子	
44	00:09:01	白銀ユリア	過去の話は大体幸せになれない…	
45	00:10:42	究極ド根性ダイコン	似てないなあ	
46	00:11:01	にけい	相談乗ってくれなかった	
47	00:12:52	にけい	マーノってギロなのかな	
48	00:13:48	リフェ	当たってた	
49	00:14:00	究極ド根性ダイコン	面白い価値観だ	
50	00:14:01	motiyomogi	なるほどね	
51	00:14:08	T.のかね	なるほどね	
52	00:14:55	東京コノハムシ	番外編みたいな？	
53	00:16:02	究極ド根性ダイコン	この傷ではもはや助かるまい…	
54	00:16:46	リフェ	かっこいい曲	
55	00:16:49	究極ド根性ダイコン	深海魚の寄せ集めみたいな敵だ	
56	00:17:01	にけい	川に落ちたか…この流れの速さでは助かるまい…	
57	00:17:01	motiyomogi	がんばえー	
58	00:17:53	岸辺一徳	あわただしさが楽しそう	
59	00:18:33	motiyomogi	うまい	
60	00:19:08	eve	1と比べてだいぶスピーディになってる	
61	00:19:15	究極ド根性ダイコン	やったね！	
62	00:19:18	motiyomogi	やったね	
63	00:00:00	スモーク	おいしい煮玉子	
64	00:00:00	らうらう	おいしい煮玉子	
65	00:00:00	ジャック・オー	おいしい煮玉子　	
66	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
67	00:00:00	岸辺一徳	おいしい煮玉子	
68	00:00:00	リフェ	おいしい煮玉子	
69	00:00:00	いぶきんぐ	おいしい煮玉子	
70	00:00:00	T.のかね	おいしい煮玉子	
71	00:00:00	eve	おいしい煮玉子	
72	00:00:00	小さい胡麻塩	おいしい煮玉子	
73	00:00:00	東京コノハムシ	おいしい煮玉子	
74	00:00:00	Shuzo	煮玉子おいしかのやま	
75	00:00:00	うぇいのる	おいしい煮玉子	
76	00:00:18	リフェ	おいしい煮玉子	
77	00:00:18	motiyomogi	おいしい煮玉子	
78	00:00:20	ジャック・オー	おいしい煮玉子	
79	00:00:22	らうらう	おいしい煮玉子	
80	00:00:24	東京コノハムシ	おいしい煮玉子	
81	00:00:24	究極ド根性ダイコン	おいしい煮玉子	
82	00:00:31	JUNY	おいしい煮玉子	
83	00:00:34	クロムア	おいしい煮玉子	
84	00:00:35	にけい	おいしい煮玉ん	
85	00:00:38	seafood	おいしい煮玉子	
86	00:00:43	Ryo Kamiya	おいしい煮玉子	
87	00:00:43	岸辺一徳	おいしい煮玉子	
88	00:00:43	小さい胡麻塩	おいしい煮玉子	
89	00:00:55	いぶきんぐ	おいしい煮玉子	
90	00:00:56	らうらう	あ	
91	00:00:59	リフェ	草	
92	00:01:00	motiyomogi	あるある	
93	00:01:01	JUNY	つむじ	
94	00:01:05	にけい	あるある	
95	00:01:31	せせらぎ	たまにあるよね	
96	00:01:33	東京コノハムシ	nintendo	
97	00:01:35	スモーク	草	
98	00:01:49	いぶきんぐ	そんなのあるんだね	
99	00:02:02	にけい	起動ごとにキャリブレーションしてるんだよ	
100	00:02:03	らうらう	コントローラーのスティックキャリブレーションが不要になるメリットがある	
101	00:02:40	白銀ユリア	おいしい煮玉子	
102	00:03:25	JUNY	ヨシ！	
103	00:04:04	白銀ユリア	局地的に雨降らせるとか陰湿では	
104	00:04:53	らうらう	土地を枯らせるのやびい	
105	00:05:25	究極ド根性ダイコン	ありそう	
106	00:05:37	八木谷	おいしい煮玉子	
107	00:09:01	白銀ユリア	過去の話は大体幸せになれない…	
108	00:10:42	究極ド根性ダイコン	似てないなあ	
109	00:11:01	にけい	相談乗ってくれなかった	
110	00:12:52	にけい	マーノってギロなのかな	
111	00:13:48	リフェ	当たってた	
112	00:14:00	究極ド根性ダイコン	面白い価値観だ	
113	00:14:01	motiyomogi	なるほどね	
114	00:14:08	T.のかね	なるほどね	
115	00:14:55	東京コノハムシ	番外編みたいな？	
116	00:16:02	究極ド根性ダイコン	この傷ではもはや助かるまい…	
117	00:16:46	リフェ	かっこいい曲	
118	00:16:49	究極ド根性ダイコン	深海魚の寄せ集めみたいな敵だ	
119	00:17:01	にけい	川に落ちたか…この流れの速さでは助かるまい…	
120	00:17:01	motiyomogi	がんばえー	
121	00:17:53	岸辺一徳	あわただしさが楽しそう	
122	00:18:33	motiyomogi	うまい	
123	00:19:08	eve	1と比べてだいぶスピーディになってる	
124	00:19:15	究極ド根性ダイコン	やったね！	
125	00:19:18	motiyomogi	やったね	
126	00:19:21	ホワイトラン衛兵	やったね	
127	00:19:22	岸辺一徳	やったね！	
128	00:19:24	白銀ユリア	リレーコンボ決まると気持ちいい	
129	00:19:31	eve	やったね	
130	00:19:48	ジャック・オー	やったね	
131	00:20:04	白銀ユリア	戦闘中ノリノリの天の声くん好き	
132	00:20:27	ジャック・オー	ファイッ！	
133	00:20:30	motiyomogi	ﾃﾞｨﾚｲｺﾝﾎﾞｫ!!	
134	00:22:32	むむめめ	しぶとい	
135	00:22:41	リフェ	追い払っただけだったのか	
136	00:22:47	東京コノハムシ	復活怪人なので…	
137	00:23:28	motiyomogi	つよい	
138	00:24:01	東京コノハムシ	つよい	
139	00:24:40	motiyomogi	また逃げた	
140	00:24:55	東京コノハムシ	そういうやつか	
141	00:25:09	ジャック・オー	草	
142	00:25:10	motiyomogi	草	
143	00:25:15	リフェ	草	
144	00:25:22	スモーク	お、おう	
145	00:25:23	motiyomogi	おみず	
146	00:25:25	東京コノハムシ	かわいい	
147	00:25:36	motiyomogi	^^	
148	00:25:40	ジャック・オー	＾ワ＾	
149	00:25:43	ホワイトラン衛兵	久々の笑顔	
150	00:25:47	白銀ユリア	３人固定PTのゲームは名作だから…	
151	00:27:31	T.のかね	ドラクエ2が三人だね	
152	00:28:15	K IS	おいしい煮玉子	
153	00:28:35	白銀ユリア	エンドオブエタニティの３人もなかなか愉快だったなぁ	
154	00:29:26	東京コノハムシ	大勢でもマリオrpgとか	
155	00:29:27	白銀ユリア	あ。	
