行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	天然ステルス	おいしい煮玉子	
3	00:00:00	桜田紅	おいしい煮玉子	
4	00:00:00	カギカギ	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	竹輪	おいしい煮玉子	
7	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
8	00:00:00	カーマイン	おいしい煮玉子	
9	00:00:22	biki koto	おいしい煮玉子	
10	00:00:24	天然ステルス	おいしい煮玉子	
11	00:00:26	motiyomogi	美味なる生命の揺籃	
12	00:00:27	Ryo Kamiya	おいしい煮玉子	
13	00:00:30	らうらう	おいしい煮玉子	
14	00:00:34	リフェ	おいしい煮玉子	
15	00:00:43	竹輪	おいしい煮玉子	
16	00:00:51	桜田紅	コラボ！？	
17	00:00:51	カーマイン	コラボたのしみ	
18	00:00:56	sas b	おいしい煮玉子	
19	00:00:56	ほるもん	美味なる生命の揺籃	
20	00:00:58	ナウ	おいしい煮玉子	
21	00:01:13	D W	おいしい煮玉子	
22	00:01:21	竹輪	かわいい	
23	00:01:30	らうらう	いいよ	
24	00:01:44	ねこくーる	おいしい煮玉子	
25	00:01:46	ジャック・オー	おいしい煮玉子	
26	00:01:49	いぶきんぐ	おいしい煮玉子	
27	00:01:49	ジョナサン・グレーン	おいしい煮玉子	
28	00:01:51	味付けタマゴ	おいしい煮玉子	
29	00:02:07	Ganon	はいサレンダー	
30	00:02:09	biki koto	うん？	
31	00:02:12	じょんどぅ	美味しい煮玉子	
32	00:02:15	D W	リストバンドにカード仕込むんやで	
33	00:02:38	ジョナサン・グレーン	なんちゅうデッキじゃ	
34	00:02:39	Ganon	かっこいいやつら	
35	00:02:53	じょんどぅ	来た途端に涙が出そうな手札が見えた	
36	00:03:14	JUNY	おいしい煮玉子	
37	00:03:26	ジョナサン・グレーン	城之内くんいいカード持ってるな！	
38	00:03:27	じょんどぅ	機械族は時の魔術師に気をつけないと	
39	00:03:27	Ganon	鼻息で殺されそう	
40	00:03:30	リフェ	うわー	
41	00:03:31	八木谷	おいしい煮玉子	
42	00:03:36	小さい胡麻塩	おいしい煮玉子	
43	00:03:41	ホワイトラン衛兵	つよい	
44	00:03:49	Ganon	草	
45	00:03:53	mori mori	ボコボコにされとる	
46	00:04:21	味付けタマゴ	草	
47	00:04:21	Ganon	あっ	
48	00:04:25	カーマイン	かわいい	
49	00:04:25	motiyomogi	草	
50	00:04:25	竹輪	かわいい	
51	00:04:26	ホワイトラン衛兵	ぐえー	
52	00:04:27	リフェ	草	
53	00:04:27	らうらう	草	
54	00:04:27	防人	魔法効かないし割と強かった	
55	00:04:28	ジョナサン・グレーン	草	
56	00:04:28	Ryo Kamiya	草	
57	00:04:29	天然ステルス	ひでえ	
58	00:04:29	sas b	凄い声で草	
59	00:00:00	ジャック・オー	おいしい煮玉子	
60	00:00:00	リフェ	おいしい煮玉子	
61	00:00:00	天然ステルス	おいしい煮玉子	
62	00:00:00	桜田紅	おいしい煮玉子	
63	00:00:00	カギカギ	おいしい煮玉子	
64	00:00:00	らうらう	おいしい煮玉子	
65	00:00:00	竹輪	おいしい煮玉子	
66	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
67	00:00:00	カーマイン	おいしい煮玉子	
68	00:00:22	biki koto	おいしい煮玉子	
69	00:00:24	天然ステルス	おいしい煮玉子	
70	00:00:26	motiyomogi	美味なる生命の揺籃	
71	00:00:27	Ryo Kamiya	おいしい煮玉子	
72	00:00:30	らうらう	おいしい煮玉子	
73	00:00:34	リフェ	おいしい煮玉子	
74	00:00:43	竹輪	おいしい煮玉子	
75	00:00:51	桜田紅	コラボ！？	
76	00:00:51	カーマイン	コラボたのしみ	
77	00:00:56	sas b	おいしい煮玉子	
78	00:00:56	ほるもん	美味なる生命の揺籃	
79	00:00:58	ナウ	おいしい煮玉子	
80	00:01:13	D W	おいしい煮玉子	
81	00:01:21	竹輪	かわいい	
82	00:01:30	らうらう	いいよ	
83	00:01:44	ねこくーる	おいしい煮玉子	
84	00:01:46	ジャック・オー	おいしい煮玉子	
85	00:01:49	いぶきんぐ	おいしい煮玉子	
86	00:01:49	ジョナサン・グレーン	おいしい煮玉子	
87	00:01:51	味付けタマゴ	おいしい煮玉子	
88	00:02:07	Ganon	はいサレンダー	
89	00:02:09	biki koto	うん？	
90	00:02:12	じょんどぅ	美味しい煮玉子	
91	00:02:15	D W	リストバンドにカード仕込むんやで	
92	00:02:38	ジョナサン・グレーン	なんちゅうデッキじゃ	
93	00:02:39	Ganon	かっこいいやつら	
94	00:02:53	じょんどぅ	来た途端に涙が出そうな手札が見えた	
95	00:03:14	JUNY	おいしい煮玉子	
96	00:03:26	ジョナサン・グレーン	城之内くんいいカード持ってるな！	
