行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
4	00:00:00	竹輪	おいしい煮玉子	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	スモーク	おいたま	
7	00:00:00	御早和杯	おいしい煮玉子	
8	00:00:00	mussaOren	おいしい煮玉子	
9	00:00:00	ほるもん	おいしい煮玉子	
10	00:00:00	タケノコ男	おいしい煮玉子	
11	00:00:00	あい	おいしい煮玉子	
12	00:00:00	バリ島のサボテン	おいしい煮玉子	
13	00:00:00	デンキヒツジ	おいしい煮玉子	
14	00:00:00	こみこ	おいしい煮玉子	
15	00:00:00	陰キャバス竹中	おいしい煮玉子	
16	00:00:00	potage10		￥100
17	00:00:09	あい	おいしい煮玉子	
18	00:00:09	岸辺一徳	おいしい煮玉子	
19	00:00:12	カギカギ	おいしい煮玉子	
20	00:00:12	ジョナサン・グレーン	おいしい煮玉子	
21	00:00:13	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
22	00:00:13	eve	おいしい煮玉子	
23	00:00:17	バリ島のサボテン	おいしい煮玉子	
24	00:00:22	ほるもん	おいしい煮玉子	
25	00:00:24	タケノコ男	おいしい煮玉子	
26	00:00:25	ジョナサン・グレーン	遅刻してない！高評価！	
27	00:00:25	あい	かわいい	
28	00:00:27	ナウ	おいしい煮玉子	
29	00:00:27	こみこ	おかおが可愛い	
30	00:00:29	竹輪	おいしい煮玉子ー	
31	00:00:29	10あああ	おいしい煮玉子	
32	00:00:35	竹輪	かわいい	
33	00:00:37	陰キャバス竹中	おいしい煮玉子	
34	00:00:37	たんこぶ	おはようございますー	
35	00:00:38	近藤亮	おいしい煮玉子	
36	00:00:41	スモーク	かわいい	
37	00:00:42	名億MingYi	≧ω≦	
38	00:00:54	究極ド根性ダイコン	おいしい煮玉子	
39	00:01:09	EEB	おいしい煮玉子	
40	00:01:12	バリ島のサボテン	！？	
41	00:01:18	あい	？	
42	00:01:19	ジョナサン・グレーン	消えた…	
43	00:01:20	ハイナマ	​おいしい煮玉子	
44	00:01:22	ログ	？	
45	00:01:23	こみこ	一体何が	
46	00:01:23	タケノコ男	姉ちゃんが消えた...	
47	00:01:28	竹輪	大丈夫！？	
48	00:01:30	バリ島のサボテン	電磁波？	
49	00:01:31	陰キャバス竹中	だんげあ	
50	00:01:32	究極ド根性ダイコン	困惑する姉ちゃん	
51	00:01:35	岸辺一徳	姉ちゃん…	
52	00:01:38	らうらう	姉ちゃんどこ	
53	00:02:13	バリ島のサボテン	おかえり	
54	00:02:20	究極ド根性ダイコン	かわいい	
55	00:02:23	らうらう	くびかしげてない？	
56	00:02:29	岸辺一徳	かわいい	
57	00:02:41	あい	かわいい	
58	00:02:43	はおたど	朝からかわいくてありがたい…	
59	00:02:51	ジョナサン・グレーン	かわいい	
60	00:02:55	かーるポン	かわいい	
61	00:02:56	ほるもん	やったー	
62	00:02:59	タケノコ男	かわいい	
63	00:03:02	竹輪	かわいい	
64	00:03:03	ログ	斜め姉ちゃん	
65	00:03:08	ジュンペイ	美味しい煮玉子	
66	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
67	00:00:00	岸辺一徳	おいしい煮玉子	
68	00:00:00	カギカギ	おいしい煮玉子	
69	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
70	00:00:00	竹輪	おいしい煮玉子	
71	00:00:00	らうらう	おいしい煮玉子	
72	00:00:00	スモーク	おいたま	
73	00:00:00	御早和杯	おいしい煮玉子	
74	00:00:00	mussaOren	おいしい煮玉子	
75	00:00:00	ほるもん	おいしい煮玉子	
76	00:00:00	タケノコ男	おいしい煮玉子	
77	00:00:00	あい	おいしい煮玉子	
78	00:00:00	バリ島のサボテン	おいしい煮玉子	
79	00:00:00	デンキヒツジ	おいしい煮玉子	
80	00:00:00	こみこ	おいしい煮玉子	
81	00:00:00	陰キャバス竹中	おいしい煮玉子	
82	00:00:00	potage10		￥100
83	00:00:09	あい	おいしい煮玉子	
84	00:00:09	岸辺一徳	おいしい煮玉子	
85	00:00:12	カギカギ	おいしい煮玉子	
86	00:00:12	ジョナサン・グレーン	おいしい煮玉子	
87	00:00:13	クロノス	おいしい煮玉子～⸜(* ॑꒳ ॑* )⸝	
88	00:00:13	eve	おいしい煮玉子	
89	00:00:17	バリ島のサボテン	おいしい煮玉子	
90	00:00:22	ほるもん	おいしい煮玉子	
91	00:00:24	タケノコ男	おいしい煮玉子	
92	00:00:25	ジョナサン・グレーン	遅刻してない！高評価！	
93	00:00:25	あい	かわいい	
94	00:00:27	ナウ	おいしい煮玉子	
95	00:00:27	こみこ	おかおが可愛い	
96	00:00:29	竹輪	おいしい煮玉子ー	
97	00:00:29	10あああ	おいしい煮玉子	
98	00:00:35	竹輪	かわいい	
99	00:00:37	陰キャバス竹中	おいしい煮玉子	
100	00:00:37	たんこぶ	おはようございますー	
101	00:00:38	近藤亮	おいしい煮玉子	
102	00:00:41	スモーク	かわいい	
103	00:00:42	名億MingYi	≧ω≦	
104	00:00:54	究極ド根性ダイコン	おいしい煮玉子	
105	00:01:09	EEB	おいしい煮玉子	
106	00:01:12	バリ島のサボテン	！？	
107	00:01:18	あい	？	
108	00:01:19	ジョナサン・グレーン	消えた…	
109	00:01:20	ハイナマ	​おいしい煮玉子	
110	00:01:22	ログ	？	
111	00:01:23	こみこ	一体何が	
112	00:01:23	タケノコ男	姉ちゃんが消えた...	
113	00:01:28	竹輪	大丈夫！？	
114	00:01:30	バリ島のサボテン	電磁波？	
115	00:01:31	陰キャバス竹中	だんげあ	
116	00:01:32	究極ド根性ダイコン	困惑する姉ちゃん	
117	00:01:35	岸辺一徳	姉ちゃん…	
118	00:01:38	らうらう	姉ちゃんどこ	
119	00:02:13	バリ島のサボテン	おかえり	
120	00:02:20	究極ド根性ダイコン	かわいい	
121	00:02:23	らうらう	くびかしげてない？	
122	00:02:29	岸辺一徳	かわいい	
123	00:02:41	あい	かわいい	
124	00:02:43	はおたど	朝からかわいくてありがたい…	
125	00:02:51	ジョナサン・グレーン	かわいい	
126	00:02:55	かーるポン	かわいい	
127	00:02:56	ほるもん	やったー	
128	00:02:59	タケノコ男	かわいい	
129	00:03:02	竹輪	かわいい	
130	00:03:03	ログ	斜め姉ちゃん	
131	00:03:08	ジュンペイ	美味しい煮玉子	
132	00:03:12	カギカギ	かわいい	
133	00:03:26	バリ島のサボテン	きれい	
134	00:03:28	こみこ	やったことないから楽しみ	
135	00:03:31	TKG M	おいしい煮玉子	
136	00:03:34	タケノコ男	すごい	
137	00:03:35	御早和杯	ディスクシステムじゃなかったっけ	
138	00:03:39	EEB	姉ちゃんは初期の悪魔城の操作性に勝てるのか	
139	00:03:43	D W	姉ちゃんの方が綺麗だよ	
140	00:03:45	カギカギ	ｽｰｯ	
141	00:03:53	陰キャバス竹中	ブラッディティアーズ流れるかな	
142	00:03:55	助六	おいしい煮玉子	
143	00:03:58	ふーばー	スーッ	
144	00:04:08	バリ島のサボテン	ムーディ勝山？	
145	00:04:09	カギカギ	ｽﾎﾟｰﾃｨなﾀｲﾄﾙﾛｺﾞ	
146	00:04:10	クロノス	神曲期待～⸜(* ॑꒳ ॑* )⸝	
147	00:04:11	究極ド根性ダイコン	失敗したパワーポイントのプレゼン画面みたいだ	
148	00:04:14	ss kk	おいしい煮玉子	
149	00:04:19	御早和杯	NAME TOUROKU	
150	00:04:19	こみこ	TOUROKU	
151	00:04:20	motiyomogi	NAME TOUROKU	
152	00:04:20	岸辺一徳	ネーム トウロク	
153	00:04:20	らうらう	神曲こいこい	
154	00:04:21	D W	TOUROKU	
155	00:04:27	Roy F.	KESU	
156	00:04:35	御早和杯	NAME KESU	
157	00:04:37	ログ	草	
158	00:04:39	EEB	NAMEKESUがじわじわくる	
159	00:04:42	スモーク	トウロク ケス	
160	00:04:43	助六	KESU	
161	00:04:51	Roy F.	ネームではなくなめえとよむ可能性	
162	00:04:53	究極ド根性ダイコン	OISII NITAMAGO	
163	00:04:54	タケノコ男	おはな	
164	00:04:55	Garden	ナメケス君	
165	00:04:56	FFDD	KUSA	
166	00:04:57	たんこぶ	ネームケスて	
167	00:05:01	こみこ	舐め消す	
168	00:05:10	ygk ichi	おいしい煮玉子	
169	00:05:38	べるべる	DERISIOUS NITAMAGO	
170	00:05:43	岸辺一徳	姉ちゃん！	
171	00:05:45	こみこ	うんぽ	
172	00:05:45	せせらぎ	UNPO	
173	00:05:46	Roy F.	UNPO...	
174	00:05:47	あい	UNP・・・	
175	00:05:50	バリ島のサボテン	UNPO	
176	00:05:50	ログ	姉ちゃん！	
177	00:05:51	タケノコ男	UNPO	
178	00:05:56	ふーばー	かわいい名前	
179	00:06:01	究極ド根性ダイコン	開幕神曲	
180	00:06:06	ジュンペイ	知ってる曲だ	
181	00:06:09	べるべる	かっこいい	
182	00:06:12	陰キャバス竹中	ブラッディティアーズだー	
183	00:06:12	助六	例のBGM！	
184	00:06:13	黄咲隼	いい曲	
185	00:06:13	クロノス	さっそく神曲～⸜(* ॑꒳ ॑* )⸝	
186	00:06:19	たんこぶ	神曲じゃん	
187	00:06:21	あい	かっこいい	
188	00:06:24	ふーばー	くっそかっこいい	
189	00:06:29	究極ド根性ダイコン	Vampire Killerやね	
190	00:06:32	EEB	悪魔城シリーズはBGMもよきよき	
191	00:06:37	ジョナサン・グレーン	名曲	
192	00:07:07	こみこ	姉ちゃん…	
193	00:07:24	らうらう	だめそう	
194	00:07:25	タケノコ男	草	
195	00:07:25	究極ド根性ダイコン	ｳｯ	
196	00:07:27	竹輪	草	
197	00:07:30	御早和杯	敵が速い	
198	00:07:38	ふーばー	コナミ感ある音使い	
199	00:07:40	ログ	イキり失敗	
200	00:07:43	月森まどか	おはよう	
201	00:07:44	ジョナサン・グレーン	まあ姉ちゃんには必殺どこでもセーブがあるから…	
202	00:07:54	助六	ハートは特殊のエネルギー	
203	00:08:03	クロノス	まあ初見だとハートはそう解釈しちゃいますよね～(^_^;)	
204	00:08:04	Roy F.	曲は山下絹代さん メダロットシリーズとかと同じ人	
205	00:08:08	御早和杯	鞭が遅い	
206	00:08:10	らうらう	いにゅ！	
207	00:08:11	究極ド根性ダイコン	かわいい	
208	00:08:12	竹輪	かわいい	
209	00:08:12	こみこ	かわいい	
210	00:08:13	岸辺一徳		￥100
211	00:08:13	EEB	姉ちゃん階段上れるかな	
212	00:08:14	ジョナサン・グレーン	かわいい	
213	00:08:18	タケノコ男	かわいい	
214	00:08:24	Fuzuki K	姉ちゃんいいゲームやってんね	
215	00:08:26	D W	かわいい	
216	00:08:28	たんこぶ		￥100
217	00:08:29	こみこ	階段上れた！凄い！	
218	00:08:45	らうらう	草	
219	00:08:45	ジョナサン・グレーン	かしこい	
220	00:08:47	EEB	地味に独特な階段の上り方だよね	
221	00:09:09	クロノス	階段昇るときは気をつけた方がいいよ、後々足場がなくなりはじめる～(^_^;)	
222	00:09:23	御早和杯	犬は走る前くらいに叩こう	
223	00:09:26	助六	ベルモンド家特有の山男歩き	
224	00:09:48	究極ド根性ダイコン	ベルトコンベアかな	
225	00:09:55	空気	おいたま 結構難しいから頑張って姉ちゃん	
226	00:10:13	毒入りトマト	おいしい煮玉子	
227	00:10:29	こみこ	タイムあるのか	
228	00:10:47	ジュンペイ	タイム切れしそう	
229	00:11:03	あい	時間もあるのかー	
230	00:11:08	らうらう	草	
231	00:11:08	eve	時間制限あるんだ	
232	00:11:30	たんこぶ	しゃがみが結構重要だったりする	
233	00:11:37	ジョナサン・グレーン	時間制限キツイな…	
234	00:11:38	スモーク	このアラームゲームの音か	
235	00:11:45	クロノス	序盤でぐだったのが響いたか～	
236	00:11:47	陰キャバス竹中	草	
237	00:11:47	たんこぶ	草	
238	00:11:49	竹輪	だめでした	
239	00:11:49	タケノコ男	草	
240	00:11:58	黄咲隼	突然の死	
241	00:12:10	あい	スタート地点まで戻されるわけじゃないのか	
242	00:12:17	らうらう	ｳｯ	
243	00:12:20	ジョナサン・グレーン	ｳｯ	
244	00:12:31	陰キャバス竹中	ｳｯ	
245	00:12:39	こみこ	KBT！	
246	00:12:40	あい	ｳｯ	
247	00:12:45	究極ド根性ダイコン	アクションゲームでも信頼すべきはKBT	
248	00:12:47	らうらう	やったね	
249	00:12:48	ジョナサン・グレーン	KBTだ！	
250	00:12:49	カギカギ	KBT!KBT!	
251	00:12:49	あい	やったね	
252	00:12:50	ログ	やったね！	
253	00:12:50	岸辺一徳	やったー！	
254	00:12:51	ほるもん	やったね	
255	00:12:54	eve	KBT！	
256	00:12:55	TKG M	やったね	
257	00:12:55	スモーク	やったね	
258	00:12:57	たんこぶ	やったね！	
259	00:12:58	べるべる	やったぜ	
260	00:12:58	EEB	おめでとう！	
261	00:12:59	タケノコ男	やったね	
262	00:13:06	ジョナサン・グレーン	ステージクリアの曲かっこいいよね	
263	00:13:06	助六	信頼と実績のKBT	
264	00:13:06	ss kk	KBT!	
265	00:13:07	竹輪	やはりKBT！やったね！	
266	00:14:03	ジョナサン・グレーン	ﾌﾞﾝﾌﾞﾝ	
267	00:14:10	究極ド根性ダイコン	優雅…？	
268	00:14:13	こみこ	優雅に…？	
269	00:14:16	黄咲隼	いうて350カウント	
270	00:14:22	ジョナサン・グレーン	優雅…？	
271	00:14:59	こみこ	草	
272	00:15:00	あい	ひどい	
273	00:15:01	タケノコ男	草	
274	00:15:01	カギカギ	かわいい	
275	00:15:02	御早和杯	アイテムスルーテク（魔界村）	
276	00:15:02	ジョナサン・グレーン	草	
277	00:15:06	究極ド根性ダイコン	かわいい	
278	00:15:08	陰キャバス竹中	忍者龍剣伝じゃないか	
279	00:15:13	たんこぶ	これが一番つらい	
280	00:15:19	ふーばー	王道の喰らいモーションからの落下死	
281	00:15:19	Garden		￥100
282	00:15:20	スモーク		￥100
283	00:15:20	クロノス	本当これがキツい～	
284	00:15:26	こみこ	ロックマンに出てきそうな厄介な動き	
285	00:15:27	はこ	恐怖の落下地獄	
286	00:15:35	EEB	狭い足場に浮遊敵、定番の鬼構成	
287	00:16:00	近藤亮	草	
288	00:16:00	たんこぶ	草	
289	00:16:02	タケノコ男	草	
290	00:16:02	らうらう	草	
291	00:16:04	あい	草	
292	00:16:05	ジョナサン・グレーン	草	
293	00:16:05	スモーク	草	
294	00:16:08	クロノス	(笑)	
295	00:16:09	岸辺一徳		￥100
296	00:16:13	竹輪	悲鳴が可愛すぎる	
297	00:16:19	究極ド根性ダイコン	レゲーが簡単なわけないだろ！	
298	00:16:23	空気	メディウサは初心者キラー	
299	00:16:41	クロノス	まあやればわかるけど本当に難しいからね～(^_^;)	
300	00:16:45	究極ド根性ダイコン	かわいい	
301	00:16:45	らうらう	草	
302	00:16:48	あい	すっとおちた	
303	00:16:48	たんこぶ	あるある	
304	00:16:48	ふーばー	草	
305	00:16:50	こみこ	鬼門すぎる	
306	00:16:54	スモーク	そこ落ちるんだ…	
307	00:16:54	陰キャバス竹中	いつか・・・	
308	00:16:59	タケノコ男	かわいい	
309	00:17:13	EEB	階段が足場にならないんだよねぇ・・・	
310	00:17:15	ジョナサン・グレーン	結構優しいな…	
311	00:17:16	助六	使っても良いんだよ？	
312	00:18:07	毒入りトマト	姉ちゃんこれも耐久？	
313	00:18:24	究極ド根性ダイコン	ヴァンパイアキラーといえば投げナイフ	
314	00:18:46	らうらう	うまい	
315	00:18:47	究極ド根性ダイコン	うまい	
316	00:18:58	ふーばー	さす姉	
317	00:19:01	ジョナサン・グレーン	うまい	
318	00:19:07	毒入りトマト	昔のゲームは急に理不尽なったりするしな…	
319	00:19:37	ジョナサン・グレーン	かわいい	
320	00:19:40	究極ド根性ダイコン	すごいいやらしい配置	
321	00:19:41	助六	時間停止の残り1割か	
322	00:19:49	近藤亮	草	
323	00:19:49	黄咲隼	草	
324	00:19:51	らうらう	草の草	
325	00:19:53	あい	草	
326	00:19:53	毒入りトマト	えぇ	
327	00:19:53	クロノス	うん、大体のボスは聖水かクロスでいい～	
328	00:19:54	EEB	穴に吸い込まれた	
329	00:19:54	カギカギ	かわいい	
330	00:19:55	タケノコ男	草	
331	00:19:55	ほるもん	ダイナミック	
332	00:19:57	クロノス	(笑)	
333	00:19:59	ジョナサン・グレーン	草	
334	00:20:00	岸辺一徳		￥100
335	00:20:04	たんこぶ	つらい	
336	00:20:47	スモーク	宝箱って生えてくるものなんだ	
337	00:20:49	究極ド根性ダイコン	ｳｯ	
338	00:20:52	岸辺一徳	草	
339	00:20:54	毒入りトマト	配置がいやらしい	
340	00:20:58	近藤亮	いきなり難所だ	
341	00:20:59	カギカギ	ｳｯ	
342	00:21:08	ジョナサン・グレーン	結構シビアな難易度だな…	
343	00:21:20	究極ド根性ダイコン	高難度アクションの金字塔だしねー	
344	00:21:33	東京コノハムシ	課長的な	
345	00:21:33	毒入りトマト	へぇー	
346	00:21:47	クロノス	BGMが特に好きなんですね～🤔	
347	00:21:55	EEB	押し出された	
348	00:21:58	タケノコ男	草	
349	00:21:58	岸辺一徳	かわいい	
350	00:21:58	陰キャバス竹中	今日は叫び声が冴え渡る	
351	00:22:00	御早和杯	リスタートが超早いから再挑戦しやすい	
352	00:22:07	ジョナサン・グレーン	かわいい	
353	00:22:08	ネムノキ	簡単にするとすぐ終わっちゃうからね	
354	00:22:12	毒入りトマト	ゲームセンターkx	
355	00:22:20	竹輪	悲鳴がいっぱい聞けて嬉しい	
356	00:22:31	あい	ブーメランなのか	
357	00:22:58	ジョナサン・グレーン	ｳｯ	
358	00:23:12	究極ド根性ダイコン	肉ー！早く来てくれーっ！	
359	00:23:17	東京コノハムシ	わかる	
360	00:23:46	はぶじょうじ	ここのボスにはきいたはず	
361	00:23:54	はぶじょうじ	ここ肉あるよ	
362	00:24:10	たんこぶ	草	
363	00:24:11	こみこ	疑惑の判定	
364	00:24:14	ジョナサン・グレーン	かわいい	
365	00:24:17	毒入りトマト	わっかりずらい	
366	00:24:24	EEB	ぽっちゃり系ハンター	
367	00:24:28	クロノス	適当に壁叩いてみるのがいいかもですね～🤔	
368	00:24:31	竹輪	出来るのだろうか…	
369	00:24:41	カギカギ	cute english	
370	00:24:42	究極ド根性ダイコン	媚びを売る	
371	00:24:45	タケノコ男	cute English	
372	00:24:50	東京コノハムシ	kawaii	
373	00:24:50	スモーク	草	
374	00:24:53	こみこ	Foo!	
375	00:24:53	あい	I am jc	
376	00:24:54	岸辺一徳	cute English	
377	00:24:55	せせらぎ	cute English	
378	00:24:59	陰キャバス竹中	スペインっぽい	
379	00:24:59	なる	foo!	
380	00:25:00	らうらう	ポルトガル語かな	
381	00:25:02	ジョナサン・グレーン	cool	
382	00:25:32	はおたど	She is Joshichugakusei.	
383	00:26:05	東京コノハムシ	ブラジル人？	
384	00:26:26	はぶじょうじ	そこの右上の足場に肉	
385	00:26:59	SUPER BRUNIM GAMER	understand	
386	00:27:06	竹輪	おお	
387	00:27:06	黄咲隼	おお	
388	00:27:12	毒入りトマト	おお	
389	00:27:21	陰キャバス竹中	滴る血	
390	00:27:23	岸辺一徳	わかってくれた…	
391	00:27:24	東京コノハムシ	ワイルドだろぉ	
392	00:27:27	タケノコ男	おなか壊しそう	
393	00:27:38	スモーク	やはりドラキュラ…	
394	00:27:38	毒入りトマト	強靭お腹	
395	00:28:04	らうらう	ええ・・・・	
396	00:28:04	黄咲隼	えぇ...	
397	00:28:05	たんこぶ	即死です	
398	00:28:06	近藤亮	つらい	
399	00:28:07	ジョナサン・グレーン	かわいい	
400	00:28:08	岸辺一徳	時間停止物で止まらない？	
401	00:28:09	御早和杯	フェイント	
402	00:28:09	カギカギ	ひどい	
403	00:28:09	こみこ	ワンパンかー	
404	00:28:11	スモーク	つよい	
405	00:28:11	タケノコ男	えぇ...	
406	00:28:12	あい	むっず	
407	00:28:12	竹輪	きびしい	
408	00:28:14	毒入りトマト	MAXENDでお腹鍛えられてる説	
409	00:28:16	eve	即死か...	
410	00:28:18	毒入りトマト	えぇ	
411	00:28:18	究極ド根性ダイコン	頭を強打されると人は死ぬ	
412	00:28:24	スモーク	しゃがみ？	
413	00:28:43	らうらう	クさ	
414	00:28:46	岸辺一徳	草	
415	00:28:47	ジョナサン・グレーン	かわいい	
416	00:28:48	クロノス	(笑)	
