行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	桜田紅	おいしい煮玉子	
1	00:00:00	スモーク	おいしい煮玉子	
2	00:00:00	JUNY	おいしい煮玉子	
3	00:00:00	T.のかね	おいしい煮玉子〜	
4	00:00:00	motiyomogi	おいしい煮玉子	
5	00:00:00	らうらう	おいたま	
6	00:00:00	あい	おいしい煮玉子	
7	00:00:00	天然ステルス	おいしい煮玉子	
8	00:00:00	ほるもん	おいしい煮玉子	
9	00:00:00	ヌルヌペペ	おいしい煮玉子	
10	00:00:00	eve	おいしい煮玉子	
11	00:00:00	biki koto	おいしい煮玉子	
12	00:00:00	うぇいのる		￥100
13	00:00:17	ジョナサン・グレーン	おいしい煮玉子	
14	00:00:26	あい	おいしい煮玉子	
15	00:00:27	らうらう	めがね！	
16	00:00:27	motiyomogi	おいしい煮玉子	
17	00:00:28	なんたら	おいしい煮玉子	
18	00:00:29	桜田紅	メガネ姉ちゃんだ	
19	00:00:30	D W	おいしい煮玉子	
20	00:00:30	佐藤太郎	こんばんは	
21	00:00:31	mori mori	美味しいバナナ	
22	00:00:32	JUNY	あらめがね	
23	00:00:34	タケノコ男	おいしい煮玉子	
24	00:00:36	スモーク	かわいい！	
25	00:00:39	ヌルヌペペ	めがねだ	
26	00:00:41	motiyomogi	メガ姉ちゃんすき	
27	00:00:42	mori mori	かわいい	
28	00:00:43	D W	おっメガネじゃぁ～ん	
29	00:00:45	らうらう	かわいい	
30	00:00:47	T.のかね	メガネ…ありがたい…	
31	00:00:48	なんたら	ｸｨｯ	
32	00:00:48	タケノコ男	かわいい	
33	00:00:54	mori mori	かしこい	
34	00:00:56	ねこくーる	おいメロ〜	
35	00:00:58	うぇいのる	おいしい煮玉子	
36	00:01:00	らうらう	かしこそう	
37	00:01:04	うぇいのる	かわいい	
38	00:01:05	カギアカギ	おいしい煮玉子	
39	00:01:06	biki koto	眼鏡クイ	
40	00:01:12	ほるもん	ぐらっしーず	
41	00:01:14	ジャック・オー	おいしい煮玉子	
42	00:01:21	T.のかね	うらやましい	
43	00:01:34	いぶきんぐ	眼鏡かわいい	
44	00:01:37	むらさきあんこ	おいしい煮玉子	
45	00:01:40	うぇいのる	鬼龍の様子がおかしい…	
46	00:01:42	biki koto	マサイ族かな？	
47	00:01:46	らうらう	かわいい	
48	00:02:04	T.のかね	草	
49	00:02:11	mori mori	やっぱ意味なかったよって記事この間見た	
50	00:02:22	らうらう	草	
51	00:02:23	スモーク	草	
52	00:02:27	天然ステルス	おいしい煮玉子	
53	00:02:34	なんたら	デバフじゃん	
54	00:02:37	うぇいのる	すごい	
55	00:02:38	らうらう	なにそれすごい	
56	00:02:43	佐藤太郎	重量かぁ	
57	00:02:43	いぶきんぐ	慣れないと違和感あるよね	
58	00:02:52	biki koto	伊達だった…？	
59	00:02:53	mori mori	ブルーライトカットは重い	
60	00:03:02	ジャック・オー	すごい	
61	00:03:13	motiyomogi	WiiUすごい	
62	00:00:00	桜田紅	おいしい煮玉子	
63	00:00:00	スモーク	おいしい煮玉子	
