行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	カギカギ	おいしい煮玉子	
3	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
4	00:00:00	スモーク	おいしい煮玉子	
5	00:00:00	パンセポンセ	おいしい煮玉子	
6	00:00:00	カーマイン	おいしい煮玉子	
7	00:00:00	天然ステルス	おいしい煮玉子	
8	00:00:00	らうらう	また時空が歪んでる	
9	00:00:00	えび	おいしい煮玉子	
10	00:00:00	小さい胡麻塩	おいしい煮玉子	
11	00:00:00	HILO	おいしい煮玉子	
12	00:00:00	ジャック・オー	おいしい煮玉子	
13	00:00:00	T.のかね	おいしい煮玉子	
14	00:00:00	パンセポンセ		￥100
15	00:00:10	りあすて	おいしい煮玉子	
16	00:00:17	らうらう	​おいしい煮玉子	
17	00:00:20	motiyomogi	おいしい煮玉子	
18	00:00:21	HILO	おいしい煮玉子	
19	00:00:23	えび	おいしい煮玉子	
20	00:00:23	カギカギ	おいしい煮玉子	
21	00:00:24	小さい胡麻塩	おいしい煮玉子	
22	00:00:26	にけい	おいしい煮玉子	
23	00:00:27	天然ステルス	おいしい煮玉子	
24	00:00:30	EEB	おいしい煮玉子	
25	00:00:33	リフェ	おいしい煮玉子	
26	00:00:36	小さい胡麻塩	生きてるんだか死んでるんだか…	
27	00:00:36	mori mori	ブチャラティは頑丈だなあ	
28	00:00:36	いぶきんぐ	おいしい煮玉子	
29	00:00:44	カーマイン	おいしい煮玉子	
30	00:00:52	りあすて	ギアッチョ後？	
31	00:01:16	HILO	トリッシュのスタンドお披露目だし	
32	00:01:20	mori mori	インパクトはとにかく強い	
33	00:01:39	リフェ	草	
34	00:01:45	いぶきんぐ	草	
35	00:01:46	カーマイン	草	
36	00:02:02	HILO	なんか、ほら、椅子とか柔らかく出来るし	
