行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	バリ島のサボテン	おいしい煮玉子	
1	00:00:00	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
2	00:00:00	岸辺一徳	おいしい煮玉子	
3	00:00:00	えび	おいしい煮玉子	
4	00:00:00	らうらう	​おいしい煮玉子	
5	00:00:00	ヌルヌペペ	おいしい煮玉子	
6	00:00:00	周恩来	おいしい煮玉子	
7	00:00:00	うぇいのる	おいしい煮玉子	
8	00:00:00	ジャック・オー	おいしい煮玉子	
9	00:00:00	さんぽーる	おいしい煮玉子	
10	00:00:00	スモーク	おいたま	
11	00:00:00	カーマイン	美味しい煮玉子	
12	00:00:00	T.のかね	おいしい煮玉子	
13	00:00:00	あい	おいしい煮玉子	
14	00:00:00	ねこくーる	おいしい煮玉子	
15	00:00:00	biki koto	おやすみ♡	
16	00:00:00	いぶきんぐ	おいしい煮玉子	
17	00:00:00	らうらう		￥100
18	00:00:30	じょーげん	草	
19	00:00:31	ジャック・オー	開幕ゲッダンｗ	
20	00:00:32	リフェ	おいしい煮玉子	
21	00:00:33	あい	開幕ゲッダン	
22	00:00:33	スモーク	！？	
23	00:00:35	周恩来	おいしいゲッダン	
24	00:00:36	えび	おいゲッダン	
25	00:00:36	ヌルヌペペ	おいしい煮玉子	
26	00:00:36	Sea Sting	草	
27	00:00:37	たんこぶ	草	
28	00:00:38	いぶきんぐ	おいしい荒ぶり	
29	00:00:38	mori mori	うわーっ	
30	00:00:38	とがま日和	この回転は…！？	
31	00:00:39	さんぽーる	ゲッダン	
32	00:00:40	御早和杯	ひぃぃ！	
33	00:00:41	しろいぬ	おいしい煮玉子	
34	00:00:41	FFDD	草	
35	00:00:42	なんたら	姉ちゃん！？	
36	00:00:45	さんぽーる	おいしいゲッダン	
37	00:00:47	ZW犬死無能盾-肉無鶏	おいしいゲッダン	
38	00:00:47	fami fami	おいし…	
39	00:00:48	ヌルヌペペ	草	
40	00:00:48	チャキ	草	
41	00:00:48	ヤマえもん	おいしい煮玉子	
42	00:00:50	たんこぶ	こんばんはー	
43	00:00:52	らうらう	姉ちゃん？！！？！？！	
44	00:00:53	ヤマえもん	開幕荒ぶってて草	
45	00:00:53	mori mori	ひいいいい	
46	00:00:55	T.のかね	ゲッダン！！	
47	00:00:55	うぇいのる	ええ…	
48	00:00:57	あい	おいしい煮玉子…	
49	00:01:00	行方不明	荒ぶってるね！	
50	00:01:00	らうらう	こんばんわじゃないよ！！！！！	
51	00:01:02	周恩来	今日は元気ですね	
52	00:01:02	ささき.	ダチョウの煮玉子	
53	00:01:06	ZW犬死無能盾-肉無鶏	ゆーれるまわってゆーれる	
54	00:01:08	岸辺一徳	姉ちゃん？！	
55	00:01:08	むぎやちゃんねる	こんばんは	
56	00:01:12	ヤマえもん	ゲッダン	
57	00:01:12	なんたら	カメラが高速回転してる説	
58	00:01:12	あい	何か起きてるってレベルじゃないよ！	
59	00:01:19	御早和杯	恐ろしく速い回転、俺でなきゃ見逃しちゃうね	
60	00:01:19	とがま日和	どんどん速度を上げていく！！！！！！！！！！速度が上がっていく！！！！！！！	
61	00:01:22	T.のかね	ゆーれるまーわる	
62	00:01:22	biki koto	黄金の回転	
63	00:01:22	えび	JCの運動量はすごい	
64	00:01:23	らうらう	ええ・・・・	
65	00:01:26	カーマイン	おいしい煮…姉ちゃん…？	
66	00:01:29	岸辺一徳	これが太極拳…	
67	00:00:00	バリ島のサボテン	おいしい煮玉子	
68	00:00:00	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
69	00:00:00	岸辺一徳	おいしい煮玉子	
70	00:00:00	えび	おいしい煮玉子	
71	00:00:00	らうらう	​おいしい煮玉子	
72	00:00:00	ヌルヌペペ	おいしい煮玉子	
73	00:00:00	周恩来	おいしい煮玉子	
74	00:00:00	うぇいのる	おいしい煮玉子	
75	00:00:00	ジャック・オー	おいしい煮玉子	
76	00:00:00	さんぽーる	おいしい煮玉子	
77	00:00:00	スモーク	おいたま	
78	00:00:00	カーマイン	美味しい煮玉子	
79	00:00:00	T.のかね	おいしい煮玉子	
80	00:00:00	あい	おいしい煮玉子	
81	00:00:00	ねこくーる	おいしい煮玉子	
82	00:00:00	biki koto	おやすみ♡	
83	00:00:00	いぶきんぐ	おいしい煮玉子	
84	00:00:00	らうらう		￥100
85	00:00:30	じょーげん	草	
86	00:00:31	ジャック・オー	開幕ゲッダンｗ	
87	00:00:32	リフェ	おいしい煮玉子	
88	00:00:33	あい	開幕ゲッダン	
89	00:00:33	スモーク	！？	
90	00:00:35	周恩来	おいしいゲッダン	
91	00:00:36	えび	おいゲッダン	
92	00:00:36	ヌルヌペペ	おいしい煮玉子	
93	00:00:36	Sea Sting	草	
94	00:00:37	たんこぶ	草	
95	00:00:38	いぶきんぐ	おいしい荒ぶり	
96	00:00:38	mori mori	うわーっ	
97	00:00:38	とがま日和	この回転は…！？	
98	00:00:39	さんぽーる	ゲッダン	
99	00:00:40	御早和杯	ひぃぃ！	
100	00:00:41	しろいぬ	おいしい煮玉子	
101	00:00:41	FFDD	草	
102	00:00:42	なんたら	姉ちゃん！？	
103	00:00:45	さんぽーる	おいしいゲッダン	
104	00:00:47	ZW犬死無能盾-肉無鶏	おいしいゲッダン	
105	00:00:47	fami fami	おいし…	
106	00:00:48	ヌルヌペペ	草	
107	00:00:48	チャキ	草	
108	00:00:48	ヤマえもん	おいしい煮玉子	
109	00:00:50	たんこぶ	こんばんはー	
110	00:00:52	らうらう	姉ちゃん？！！？！？！	
111	00:00:53	ヤマえもん	開幕荒ぶってて草	
112	00:00:53	mori mori	ひいいいい	
113	00:00:55	T.のかね	ゲッダン！！	
114	00:00:55	うぇいのる	ええ…	
115	00:00:57	あい	おいしい煮玉子…	
116	00:01:00	行方不明	荒ぶってるね！	
117	00:01:00	らうらう	こんばんわじゃないよ！！！！！	
118	00:01:02	周恩来	今日は元気ですね	
119	00:01:02	ささき.	ダチョウの煮玉子	
120	00:01:06	ZW犬死無能盾-肉無鶏	ゆーれるまわってゆーれる	
121	00:01:08	岸辺一徳	姉ちゃん？！	
122	00:01:08	むぎやちゃんねる	こんばんは	
123	00:01:12	ヤマえもん	ゲッダン	
124	00:01:12	なんたら	カメラが高速回転してる説	
125	00:01:12	あい	何か起きてるってレベルじゃないよ！	
126	00:01:19	御早和杯	恐ろしく速い回転、俺でなきゃ見逃しちゃうね	
127	00:01:19	とがま日和	どんどん速度を上げていく！！！！！！！！！！速度が上がっていく！！！！！！！	
128	00:01:22	T.のかね	ゆーれるまーわる	
129	00:01:22	biki koto	黄金の回転	
130	00:01:22	えび	JCの運動量はすごい	
131	00:01:23	らうらう	ええ・・・・	
132	00:01:26	カーマイン	おいしい煮…姉ちゃん…？	
133	00:01:29	岸辺一徳	これが太極拳…	
134	00:01:31	さんぽーる	今日のアイカツが良すぎて荒ぶってる	
135	00:01:32	スモーク	姉ちゃんめっちゃ元気だな	
136	00:01:32	周恩来	みえ	
137	00:01:34	ジャック・オー	最近の太極拳はすごいな	
138	00:01:38	うぇいのる	これがブレイクダンスですか	
139	00:01:41	mori mori	激烈な太極拳だなあ	
140	00:01:41	キラ	おいしいゲッダン	
141	00:01:49	しねちゅー	JCは体力が有り余ってる	
142	00:01:49	あい	ゲッダンできるなんてすごいね	
143	00:01:51	岸辺一徳	好きそうだよね	
144	00:01:52	じょーげん	メイドインヘブン発動してる	
145	00:01:54	T.のかね	太極拳ってなんなんだ	
146	00:01:58	ささき.	最近のJCは太極拳が流行りなのか	
147	00:02:15	えび	音量大丈夫	
148	00:02:16	さんぽーる	おけまる	
149	00:02:18	岸辺一徳	大丈夫よ	
150	00:02:19	いぶきんぐ	超ヨガ！	￥500
151	00:02:21	周恩来	大丈夫	
152	00:02:25	たんこぶ	音量おーけー！	
153	00:02:28	キラ	オッケー	
154	00:02:33	らうらう	かわいい	
155	00:02:37	えび	かわいい	
156	00:02:42	八木谷	かわいい	
157	00:02:44	なんたら	裏返ってる	
158	00:02:44	岸辺一徳	かわいい	
159	00:02:44	mori mori	病院行こ？	
160	00:02:45	竹輪	間に合った。おいたま。開幕可愛い。	
