行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	クゥの部屋 Ch	まじ... おいおいおい...んんん...	
1	00:00:00	なんたら	のんのんまじまじ	
2	00:00:00	むむめめ	まじ...❓	
3	00:00:00	らうらう	しの煮玉子	
4	00:00:00	ジョナサン・グレーン	じんましん	
5	00:00:00	ゼッケン100	おいおいおい	
6	00:00:00	ほるもん	おいしい煮玉子	
7	00:00:00	じょーげん	おいおいおい	
8	00:00:00	ミワタリ	おいしい煮玉子	
9	00:00:00	クゥの部屋 Ch	まま まま いまいましいまま しの	
10	00:00:00	eve	おいしい煮玉子	
11	00:00:00	らうらう	だめそう	
12	00:00:00	T.のかね	ままいまいましいましの	
13	00:00:00	K. u	おそろし煮玉子	
14	00:00:00	岸辺一徳	おいしい煮玉子	
15	00:00:00	なんたら	姉ちゃん…	
16	00:00:00	ヌルヌペペ	おいしい煮玉子	
17	00:00:00	ゼッケン100	まじおそろしい	
18	00:00:00	スモーク	ままの煮玉子	
19	00:00:00	じょーげん	おいしい煮玉子	
20	00:00:00	クゥの部屋 Ch	しの煮玉子ましまし	
21	00:00:00	デンキヒツジ	おいしい煮玉子	
22	00:00:00	こみこ	おいしい子	
23	00:00:00	岸辺一徳	いい子いい子	
24	00:00:00	クゥの部屋 Ch	しの玉	
25	00:00:00	なんたら	玉しい煮	
26	00:00:00	ゼッケン100	ままの子	
27	00:00:00	_ Die	おそろしい煮玉子	
28	00:00:00	スモーク	うしの玉	
29	00:00:00	mk 95	しの煮おい	
30	00:00:00	worstplayerinjp	おそろしい煮玉子	
31	00:00:00	ミワタリ	こわい煮玉子	
32	00:00:00	ジョナサン・グレーン	しん子	
33	00:00:00	Ami Saika	じまんの煮玉子	
34	00:00:00	八木谷	おどろおどろしい煮玉子	
35	00:00:00	ヘンリーダーガー	おいしい煮玉子	
36	00:00:00	陰キャバス竹中	おいしい煮玉子	
37	00:00:00	クゥの部屋 Ch	ままおいしおいし	
38	00:00:00	ジョナサン・グレーン	ままん	
39	00:00:00	らうらう	姉ちゃん？	
40	00:00:00	陰キャバス竹中	ママおいしおいし	
41	00:00:00	カギカギ	おいしい煮玉子	
42	00:00:00	こみこ	牡牛の玉玉を攻撃するサソリ	
43	00:00:00	Ganon	ねえちゃあああああん	
44	00:00:00	じょーげん	まんままんま	
45	00:00:00	ゼッケン100	おいしい玉しい	
46	00:00:00	スモーク	ママ食べちゃダメだよ！	
47	00:00:00	Ami Saika	おのまじん	
