行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	べるべる	待機ですー	
1	00:00:00	nokonokoasyu	好吃卤蛋	
2	00:00:00	なる	エナドリ買ってくるの忘れた	
3	00:00:00	夕暮れ雨	風邪ひいてるマン	
4	00:00:00	もっぃ	FATHER3	
5	00:00:00	らうらう	おいしい煮玉子	
6	00:00:00	スモーク	おいたま！	
7	00:00:00	伏葦たぐい	おいしい煮玉子	
8	00:00:00	たびびと	おいしい煮玉子	
9	00:00:00	べるべる	おいしい煮玉子	
10	00:00:00	マーボー炒飯あんかけ風	おいしい煮玉子	
11	00:00:00	周恩来	おいしい煮玉子	
12	00:00:00	メレンゲ	おいたまー	
13	00:00:00	R gon	おいしい煮玉子	
14	00:00:00	ふーばー	おいしい煮玉子	
15	00:00:00	白雪	おいしい煮玉子	
16	00:00:00	eve	おいしい煮玉子	
17	00:00:00	あまいさい	おいしい煮玉子	
18	00:00:00	せせらぎ	おいたま～	
19	00:00:00	あい	おいしい煮玉子	
20	00:00:00	やみ鍋	おいしい煮玉子	
21	00:00:00	すろっかす	おいしい煮玉子	
22	00:00:00	白雪	クロノトリガーとmother3で名作が被ってしまった	
23	00:00:00	りあすて	おにたま	
24	00:00:00	ブロア	おいしい煮玉子	
25	00:00:00	始祖くらげ	こんばんは〜	
26	00:00:00	ジョナサン・グレーン	おにたま〜	
27	00:00:00	夕暮れ雨	おいたま	
28	00:00:00	ジュンペイ	おいたま～	
29	00:00:00	のどあめ	ひさびさに遅刻してるな姉ちゃん	
30	00:00:00	悠	おいたまー	
31	00:00:00	なにここ	おいたまー	
32	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
33	00:00:00	名馬ポニー	おいしいこのみパン	
34	00:00:00	ブロア	１５分までは遅刻じゃないから	
35	00:00:00	鈴木おじさん	おいたま温泉賜の湯	
36	00:00:00	R gon	誤差だよ誤差！	
37	00:00:00	なにここ	なんとか様の電話がないから遅刻もやむなし	
38	00:00:00	なにここ	オープンレック様は素晴らしいサイトです	
39	00:00:00	松本幸四郎	今日中にはじまれば遅刻じゃないから	
40	00:00:00	りあすて	珍しく遅刻	
41	00:00:00	ジョナサン・グレーン	クゥchannelを待っています。	
42	00:00:00	周恩来	遅刻なんて珍しいな~	
43	00:00:00	蒼井エリミch	美味しい煮玉子	
44	00:00:00	蒼井エリミch	おいしい煮玉子(やりなおし)	
45	00:00:00	ジョナサン・グレーン	あの姉ちゃんが遅刻なんて…何かあったのかな…	
46	00:00:00	せせらぎ	あの時間に厳しい姉ちゃんが遅刻なんて珍しいなー	
47	00:00:00	ドソドソ	遅刻してきたのに始まってなかった これは高評価	
48	00:00:00	のどあめ	姉ちゃん含めYOUに夢中行った方多いのかな	
49	00:00:00	なにここ	やはり…父親なんて遅刻するくらいでちょうどいい悲しい存在…	
50	00:00:07	北極	マザー３から逃げるな	
51	00:00:10	ゆおた	YouTubeさんのサーバーの時計ずれてるなー（）	
52	00:00:11	あい	おいしい煮玉子	
53	00:00:15	うぇいのる	おいしい煮玉子	
54	00:00:15	せせらぎ	おいたま～	
55	00:00:16	FFDD	おいしい煮玉子	
56	00:00:16	周恩来	おいしい煮玉子	
