行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	パンセポンセ	おいしい煮玉子	
1	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
2	00:00:00	aa aa	おいしい煮玉子	
3	00:00:00	カギカギ	おいしい煮玉子	
4	00:00:00	K. u	おいしい煮玉子	
5	00:00:00	クロムア	おいしい煮玉子	
6	00:00:00	桜田紅	おいしい煮玉子	
7	00:00:00	うぇいのる	おいしい煮玉子	
8	00:00:00	じょーげん	おいしい煮玉子	
9	00:00:00	ミワタリ	おいしい煮玉子	
10	00:00:00	こみこ	おいしい煮玉子	
11	00:00:00	クゥの部屋 Ch	１５分ぐらい遅れます	
12	00:00:00	パンセポンセ	はーい	
13	00:00:00	にけい	はーい	
14	00:00:00	ミワタリ	はーい	
15	00:00:00	クロムア	はーい	
16	00:00:00	マイフェイバリットトリビアン	はーい	
17	00:00:00	aa aa	はーい	
18	00:00:00	クゥの部屋 Ch	アプデが終わらない	
19	00:00:00	クゥの部屋 Ch	PS3の	
20	00:00:00	クゥの部屋 Ch	もうちょい	
21	00:00:00	クゥの部屋 Ch	まって	
22	00:00:00	クゥの部屋 Ch	ください	
23	00:00:00	mori mori	草	
24	00:00:00	桜田紅	はい	
25	00:00:00	まりも	はーい	
26	00:00:00	ミワタリ	はい	
27	00:00:00	じょーげん	おれまつ	
28	00:00:00	究極ド根性ダイコン	はい	
29	00:00:00	aa aa	おのれアップデート	
30	00:00:00	にけい	PS3ってまだアップデートくるんだ	
31	00:00:00	こみこ	おのれupd8	
32	00:00:00	JUNY	おいしい煮玉子	
33	00:00:00	ナウ	終わらないアップデート	
34	00:00:00	Yakiniku Cat	おいしい煮玉子	
35	00:00:00	りあすて	おいしい煮玉子	
36	00:00:00	ジャック・オー	おいしい煮玉子	
37	00:00:00	aa aa	僕ドラキュラ君とかでお茶を濁そう	
38	00:00:00	にけい	進まないプログレスバー	
39	00:00:00	カギカギ	概要覧からダウンロードしたアッシュテイル-風の大陸-しながら待つか...	
40	00:00:13	motiyomogi	おいしい煮玉子	
41	00:00:14	ジャック・オー	おいしい煮玉子	
42	00:00:16	らうらう	​おいしい煮玉子	
43	00:00:17	ナウ	おいしい煮玉子	
44	00:00:17	Ryo Kamiya	おいしい煮玉子	
45	00:00:17	岸辺一徳	おいしい煮玉子	
46	00:00:20	sas b	おいしい煮玉子	
47	00:00:22	JUNY	はじまた	
48	00:00:23	ミワタリ	おいしい煮玉子	
49	00:00:23	まりも	おいしい煮玉子	
50	00:00:24	Ami Saika	美味しい煮玉子	
51	00:00:24	こみこ	おいしい煮玉子	
52	00:00:25	究極ド根性ダイコン	おいしい煮玉子	
53	00:00:26	カギカギ	おいしい煮玉子	
54	00:00:27	パンセポンセ	美味しい煮玉子	
55	00:00:28	マイフェイバリットトリビアン	おいしい煮玉子	
56	00:00:28	miasa	oisiinitamago	
57	00:00:29	くりお	おいしい煮玉子！	
58	00:00:30	小さい胡麻塩	おいしい煮玉子	
59	00:00:30	タケノコ男	おいしい煮玉子	
60	00:00:36	にけい	おいしい煮玉子	
61	00:00:41	aa aa	おいしい煮玉子	
62	00:00:41	K. u	おいしい煮玉子	
63	00:00:43	らうらう	おこえが	
64	00:00:45	mk 95	おいしい煮玉子	
65	00:00:45	motiyomogi	おみず	
66	00:00:46	mori mori	思ったより古いゲームだった	
67	00:00:47	りょう八咫烏ヒナ愛し隊所属	おいしい煮玉子	
68	00:00:47	ミワタリ	おみず	
69	00:00:49	マイフェイバリットトリビアン	おみず	
70	00:00:49	パンセポンセ	なつかしい曲	
71	00:00:50	motiyomogi	喉わるいの？	
72	00:00:50	つきかげ	おいしい煮玉子	
73	00:00:51	ベーコン	声が寝起き	
74	00:00:52	sio3go	おいしい煮玉子	
75	00:00:52	くりお	超名作	
76	00:00:54	mk 95	おみず	
77	00:00:56	sas b	姉ちゃん寝起き？	
78	00:00:58	mori mori	ぐびーっ	
79	00:01:00	tokun 4	おいしい煮玉子	
80	00:01:00	ナナコ	なついｗ	
81	00:01:09	らうらう	寝起き声	
82	00:01:11	JUNY	おはよう	
83	00:01:13	ナウ	めっちゃ寝起きだ	
84	00:01:16	つきかげ	コナミの社名ロゴなつかしい	
85	00:01:17	aa aa	草	
86	00:01:18	mori mori	草	
87	00:01:19	にけい	すごい寝起き	
88	00:01:20	りょう八咫烏ヒナ愛し隊所属	おはよう	
89	00:01:20	カギカギ	かわいい	
90	00:00:00	パンセポンセ	おいしい煮玉子	
91	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
92	00:00:00	aa aa	おいしい煮玉子	
93	00:00:00	カギカギ	おいしい煮玉子	
94	00:00:00	K. u	おいしい煮玉子	
95	00:00:00	クロムア	おいしい煮玉子	
96	00:00:00	桜田紅	おいしい煮玉子	
97	00:00:00	うぇいのる	おいしい煮玉子	
98	00:00:00	じょーげん	おいしい煮玉子	
99	00:00:00	ミワタリ	おいしい煮玉子	
100	00:00:00	こみこ	おいしい煮玉子	
101	00:00:00	クゥの部屋 Ch	１５分ぐらい遅れます	
102	00:00:00	パンセポンセ	はーい	
103	00:00:00	にけい	はーい	
104	00:00:00	ミワタリ	はーい	
105	00:00:00	クロムア	はーい	
106	00:00:00	マイフェイバリットトリビアン	はーい	
107	00:00:00	aa aa	はーい	
108	00:00:00	クゥの部屋 Ch	アプデが終わらない	
109	00:00:00	クゥの部屋 Ch	PS3の	
110	00:00:00	クゥの部屋 Ch	もうちょい	
111	00:00:00	クゥの部屋 Ch	まって	
112	00:00:00	クゥの部屋 Ch	ください	
113	00:00:00	mori mori	草	
114	00:00:00	桜田紅	はい	
115	00:00:00	まりも	はーい	
116	00:00:00	ミワタリ	はい	
117	00:00:00	じょーげん	おれまつ	
118	00:00:00	究極ド根性ダイコン	はい	
119	00:00:00	aa aa	おのれアップデート	
120	00:00:00	にけい	PS3ってまだアップデートくるんだ	
121	00:00:00	こみこ	おのれupd8	
122	00:00:00	JUNY	おいしい煮玉子	
123	00:00:00	ナウ	終わらないアップデート	
124	00:00:00	Yakiniku Cat	おいしい煮玉子	
125	00:00:00	りあすて	おいしい煮玉子	
126	00:00:00	ジャック・オー	おいしい煮玉子	
127	00:00:00	aa aa	僕ドラキュラ君とかでお茶を濁そう	
128	00:00:00	にけい	進まないプログレスバー	
129	00:00:00	カギカギ	概要覧からダウンロードしたアッシュテイル-風の大陸-しながら待つか...	
130	00:00:13	motiyomogi	おいしい煮玉子	
131	00:00:14	ジャック・オー	おいしい煮玉子	
132	00:00:16	らうらう	​おいしい煮玉子	
133	00:00:17	ナウ	おいしい煮玉子	
134	00:00:17	Ryo Kamiya	おいしい煮玉子	
135	00:00:17	岸辺一徳	おいしい煮玉子	
136	00:00:20	sas b	おいしい煮玉子	
137	00:00:22	JUNY	はじまた	
138	00:00:23	ミワタリ	おいしい煮玉子	
139	00:00:23	まりも	おいしい煮玉子	
140	00:00:24	Ami Saika	美味しい煮玉子	
141	00:00:24	こみこ	おいしい煮玉子	
142	00:00:25	究極ド根性ダイコン	おいしい煮玉子	
143	00:00:26	カギカギ	おいしい煮玉子	
144	00:00:27	パンセポンセ	美味しい煮玉子	
145	00:00:28	マイフェイバリットトリビアン	おいしい煮玉子	
146	00:00:28	miasa	oisiinitamago	
147	00:00:29	くりお	おいしい煮玉子！	
148	00:00:30	小さい胡麻塩	おいしい煮玉子	
149	00:00:30	タケノコ男	おいしい煮玉子	
150	00:00:36	にけい	おいしい煮玉子	
151	00:00:41	aa aa	おいしい煮玉子	
152	00:00:41	K. u	おいしい煮玉子	
153	00:00:43	らうらう	おこえが	
154	00:00:45	mk 95	おいしい煮玉子	
155	00:00:45	motiyomogi	おみず	
156	00:00:46	mori mori	思ったより古いゲームだった	
157	00:00:47	りょう八咫烏ヒナ愛し隊所属	おいしい煮玉子	
158	00:00:47	ミワタリ	おみず	
159	00:00:49	マイフェイバリットトリビアン	おみず	
160	00:00:49	パンセポンセ	なつかしい曲	
161	00:00:50	motiyomogi	喉わるいの？	
162	00:00:50	つきかげ	おいしい煮玉子	
163	00:00:51	ベーコン	声が寝起き	
164	00:00:52	sio3go	おいしい煮玉子	
165	00:00:52	くりお	超名作	
166	00:00:54	mk 95	おみず	
167	00:00:56	sas b	姉ちゃん寝起き？	
168	00:00:58	mori mori	ぐびーっ	
169	00:01:00	tokun 4	おいしい煮玉子	
170	00:01:00	ナナコ	なついｗ	
171	00:01:09	らうらう	寝起き声	
172	00:01:11	JUNY	おはよう	
173	00:01:13	ナウ	めっちゃ寝起きだ	
174	00:01:16	つきかげ	コナミの社名ロゴなつかしい	
175	00:01:17	aa aa	草	
176	00:01:18	mori mori	草	
177	00:01:19	にけい	すごい寝起き	
178	00:01:20	りょう八咫烏ヒナ愛し隊所属	おはよう	
179	00:01:20	カギカギ	かわいい	
180	00:01:22	ミワタリ	ねむそう	
181	00:01:22	sas b	寝起き姉ちゃんかわいい	
182	00:01:23	モグゾウ	ガチの寝起きで草	
183	00:01:25	ナウ	昼飯食べたの姉ちゃん	
184	00:01:27	パンセポンセ	すごい寝起き	
185	00:01:35	クロムア	ごはんは？	
186	00:02:01	mk 95	L	
187	00:02:04	motiyomogi	わたしがLです	
188	00:02:37	ジャック・オー	ポリゴンポリゴンしてる	
189	00:02:38	にけい	トランシルバニア！！	
190	00:02:38	究極ド根性ダイコン	地震ですぐ壊れそう	
191	00:02:39	Yohsuke	始まったのね	
192	00:02:40	JUNY	違法建築	
193	00:02:47	aa aa	NKT･･･	
194	00:02:52	つきかげ	生ポリゴン感	
195	00:03:01	JUNY	たしかにヘンダー城	
196	00:03:04	Ami Saika	相変わらず地震きたら速攻で崩れそうなラスボスのいるとこ	
197	00:03:07	くりお	リヒター！	
198	00:03:10	パンセポンセ	天気悪いから待ち時間短そう	
199	00:03:11	こみこ	急に	
200	00:03:13	motiyomogi	ボス戦だー	
201	00:03:13	究極ド根性ダイコン	我はラスダン…	
202	00:03:19	sio3go	クライマックス！	
203	00:03:21	JUNY	ついに最後の戦いか。長かった…	
204	00:03:22	タケノコ男	いきなりだ	
205	00:03:22	ナウ	最初からクライマックス	
206	00:03:23	らうらう	我はラスダン	
207	00:03:27	aa aa	姉ちゃんこれはやったことあるの？	
208	00:03:27	りあすて	長い戦いだった	
209	00:03:28	ジャック・オー	我はラスボス前…	
210	00:03:30	Ami Saika	ここからなのか	
211	00:03:32	パンセポンセ	最初からクライマックス	
212	00:03:37	JUNY	ろんど	
213	00:03:43	sas b	草	
214	00:03:49	くりお	もったいないw	
215	00:03:49	Ami Saika	スマブラで見た	
216	00:03:50	にけい	スマブラでみたやつ	
217	00:04:03	はぶじょうじ	おいしい煮卵	
218	00:04:11	らうらう	もったいない・・・	
219	00:04:14	くりお	スマブラでも何個も投げたい	
220	00:04:20	りあすて	残り３発	
221	00:04:23	こみこ	残数が	
222	00:04:32	りょう八咫烏ヒナ愛し隊所属	数に限りがあるのか	
223	00:04:33	スモーク	おいしい煮玉子	
224	00:04:34	はぶじょうじ	ここでの操作で初期パラが変わる	
225	00:04:35	究極ド根性ダイコン	ついにラスボスか…長かったな…	
226	00:04:36	motiyomogi	cv若本	
227	00:04:39	ナナコ	若本	
